country,date,median,lower_90,upper_90,lower_50,upper_50,confidence
Brazil,2020-01-21,1,1,1,1,1,1
Brazil,2020-01-22,0,0,0,0,0,1
Brazil,2020-01-23,1,0,1,1,1,1
Brazil,2020-01-24,0,0,1,0,0,1
Brazil,2020-01-25,0,0,1,0,0,1
Brazil,2020-01-26,0,0,1,0,0,1
Brazil,2020-01-27,0,0,1,0,0,1
Brazil,2020-01-28,0,0,1,0,0,1
Brazil,2020-01-29,0,0,1,0,0,1
Brazil,2020-01-30,0,0,1,0,0,1
Brazil,2020-01-31,0,0,1,0,0,1
Brazil,2020-02-01,0,0,1,0,0,1
Brazil,2020-02-02,0,0,1,0,0,1
Brazil,2020-02-03,0,0,1,0,0,1
Brazil,2020-02-04,0,0,1,0,0,1
Brazil,2020-02-05,0,0,1,0,0,1
Brazil,2020-02-06,0,0,1,0,0,1
Brazil,2020-02-07,0,0,1,0,0,1
Brazil,2020-02-08,0,0,1,0,0,1
Brazil,2020-02-09,0,0,1,0,0,1
Brazil,2020-02-10,1,0,1,0,1,1
Brazil,2020-02-11,0.5,0,2,0,1,1
Brazil,2020-02-12,1,0,2,0,1,1
Brazil,2020-02-13,1,0,2,0,1,1
Brazil,2020-02-14,1,0,3,0,1,1
Brazil,2020-02-15,1,0,3,0,1,1
Brazil,2020-02-16,1,0,4,0,1,1
Brazil,2020-02-17,1,0,4,0,1,1
Brazil,2020-02-18,2,0,5,0,2,1
Brazil,2020-02-19,2,0,7,0,2,1
Brazil,2020-02-20,3,0,8,0,3,1
Brazil,2020-02-21,4,0,9,1,4,1
Brazil,2020-02-22,5,0,12,1,5,1
Brazil,2020-02-23,7,0,15,2,7,1
Brazil,2020-02-24,8,1,17,2,8,1
Brazil,2020-02-25,10,1,21,4,11,1
Brazil,2020-02-26,13,2,26,5,14,1
Brazil,2020-02-27,17,3,31,8,18,1
Brazil,2020-02-28,21,7,38,10,22,1
Brazil,2020-02-29,26.5,10,46,13,28,1
Brazil,2020-03-01,32,11,54,24,40,1
Brazil,2020-03-02,40,17,68,26,44,1
Brazil,2020-03-03,49,25,79,31,52,1
Brazil,2020-03-04,60,31,96,42,67,1
Brazil,2020-03-05,73.5,35,109,50,80,1
Brazil,2020-03-06,89,45,131,69,102,1
Brazil,2020-03-07,106,64,159,77,115,1
Brazil,2020-03-08,127,75,176,95,137,1
Brazil,2020-03-09,151,92,206,115,162,1
Brazil,2020-03-10,179,118,244,146,196,1
Brazil,2020-03-11,210,144,285,166,223,1
Brazil,2020-03-12,243,166,317,201,261,1
Brazil,2020-03-13,279,208,365,236,299,1
Brazil,2020-03-14,319,233,397,275,343,1
Brazil,2020-03-15,363,272,452,317,390,1
Brazil,2020-03-16,408,319,517,366,443,1
Brazil,2020-03-17,450,351,554,409,490,1
Brazil,2020-03-18,500,385,602,449,536,1
Brazil,2020-03-19,548,426,669,492,588,1
Brazil,2020-03-20,601.5,470,725,533,638,1
Brazil,2020-03-21,662,528,812,597,706,1
Brazil,2020-03-22,726.5,577,874,659,781,1
Brazil,2020-03-23,803,643,956,728,857,1
Brazil,2020-03-24,883,714,1050,804,937,1
Brazil,2020-03-25,972,794,1129,878,1015,1
Brazil,2020-03-26,1062,890,1227,984,1126,1
Brazil,2020-03-27,1155,987,1333,1070,1214,1
Brazil,2020-03-28,1246,1054,1417,1178,1325,1
Brazil,2020-03-29,1343,1156,1519,1263,1412,1
Brazil,2020-03-30,1425,1236,1608,1350,1499,1
Brazil,2020-03-31,1509,1306,1710,1412,1567,1
Brazil,2020-04-01,1597.5,1373,1793,1487,1662,1
Brazil,2020-04-02,1686,1483,1929,1590,1773,1
Brazil,2020-04-03,1787.5,1544,2007,1676,1860,1
Brazil,2020-04-04,1892,1659,2145,1782,1982,1
Brazil,2020-04-05,1991,1746,2256,1853,2066,1
Brazil,2020-04-06,2097.5,1839,2409,1970,2191,1
