"region","date","type","bottom","top","lower","upper","median","mean"
"BA-Ibirataia",2020-02-24,"nowcast",1,1,1,1,1,1
"BA-Ibirataia",2020-02-25,"nowcast",0,0,0,0,0,0
"BA-Ibirataia",2020-02-26,"nowcast",0,0,0,0,0,0
"BA-Ibirataia",2020-02-27,"nowcast",0,0,0,0,0,0
"BA-Ibirataia",2020-02-28,"nowcast",0,0,0,0,0,0
"BA-Ibirataia",2020-02-29,"nowcast",0,1,0,1,0.5,0.5
"BA-Ibirataia",2020-03-01,"nowcast",0,1,0,1,0.5,0.5
"BA-Ibirataia",2020-03-02,"nowcast",0,1,1,1,1,0.6
"BA-Ibirataia",2020-03-03,"nowcast",0,0,0,0,0,0
"BA-Ibirataia",2020-03-04,"nowcast",0,0,0,0,0,0
"BA-Ibirataia",2020-03-05,"nowcast",0,1,0,0,0,0.375
"BA-Ibirataia",2020-03-06,"nowcast",0,1,0,0,0,0.222222222222222
"BA-Ibirataia",2020-03-07,"nowcast",0,1,0,0,0,0.181818181818182
"BA-Ibirataia",2020-03-08,"nowcast",0,1,0,0,0,0.421052631578947
"BA-Ibirataia",2020-03-09,"nowcast",0,1,0,0,0,0.333333333333333
"BA-Ibirataia",2020-03-10,"nowcast",0,1,0,0,0,0.393939393939394
"BA-Ibirataia",2020-03-11,"nowcast",0,1,0,0,0,0.318181818181818
"BA-Ibirataia",2020-03-12,"nowcast",0,1,0,0,0,0.380952380952381
"BA-Ibirataia",2020-03-13,"nowcast",0,1,0,0,0,0.341772151898734
"BA-Ibirataia",2020-03-14,"nowcast",0,1,0,0,0,0.284210526315789
"BA-Ibirataia",2020-03-15,"nowcast",0,1,0,0,0,0.263157894736842
"BA-Ibirataia",2020-03-16,"nowcast",0,1,0,0,0,0.296551724137931
"BA-Ibirataia",2020-03-17,"nowcast",0,1,0,0,0,0.30939226519337
"BA-Ibirataia",2020-03-18,"nowcast",0,1,0,0,0,0.271889400921659
"BA-Ibirataia",2020-03-19,"nowcast",0,1,0,0,0,0.2265625
"BA-Ibirataia",2020-03-20,"nowcast",0,1,0,0,0,0.30794701986755
"BA-Ibirataia",2020-03-21,"nowcast",0,1,0,0,0,0.277620396600567
"BA-Ibirataia",2020-03-22,"nowcast",0,1,0,0,0,0.269879518072289
"BA-Ibirataia",2020-03-23,"nowcast",0,1,0,0,0,0.283018867924528
"BA-Ibirataia",2020-03-24,"nowcast",0,1,0,0,0,0.299270072992701
"BA-Ibirataia",2020-03-25,"nowcast",0,1,0,0,0,0.318840579710145
"BA-Ibirataia",2020-03-26,"nowcast",0,1,0,0,0,0.362731152204836
"BA-Ibirataia",2020-03-27,"nowcast",0,1,0,0,0,0.313548387096774
"BA-Ibirataia",2020-03-28,"nowcast",0,1,0,0,0,0.345738295318127
"BA-Ibirataia",2020-03-29,"nowcast",0,1,0,0,0,0.324232081911263
"BA-Ibirataia",2020-03-30,"nowcast",0,1,0,0,0,0.332608695652174
"BA-Ibirataia",2020-03-31,"nowcast",0,1,0,0,0,0.313496280552604
"BA-Ibirataia",2020-04-01,"nowcast",0,1,0,0,0,0.237644584647739
"BA-Ibirataia",2020-04-02,"nowcast",0,1,0,0,0,0.210580912863071
"BA-Ibirataia",2020-04-03,"nowcast",0,1,0,0,0,0.186142709410548
"BA-Ibirataia",2020-04-04,"nowcast",0,1,0,0,0,0.157245632065776
"BA-Ibirataia",2020-04-05,"nowcast",0,1,0,0,0,0.152507676560901
"BA-Ibirataia",2020-04-06,"nowcast",0,1,0,0,0,0.155645981688708
"BA-Ibirataia",2020-04-07,"nowcast",0,1,0,0,0,0.209137055837563
"BA-Ibirataia",2020-04-08,"nowcast",0,1,0,0,0,0.183198380566802
"BA-Ibirataia",2020-04-09,"nowcast",0,1,0,0,0,0.191532258064516
"BA-Ibirataia",2020-04-10,"nowcast",0,1,0,0,0,0.242454728370221
"BA-Ibirataia",2020-04-11,"nowcast",0,1,0,0,0,0.265060240963855
"BA-Ibirataia",2020-04-12,"nowcast",0,1,0,0,0,0.285571142284569
"BA-Ibirataia",2020-04-13,"nowcast",0,1,0,0,0,0.280561122244489
"BA-Ibirataia",2020-04-14,"nowcast",0,1,0,0,0,0.271543086172345
"BA-Ibirataia",2020-04-15,"nowcast",0,1,0,0,0,0.288288288288288
"BA-Ibirataia",2020-04-16,"nowcast",0,1,0,0,0,0.274274274274274
"BA-Ibirataia",2020-04-17,"nowcast",0,1,0,0,0,0.296296296296296
