"region","date","type","bottom","top","lower","upper","median","mean"
"MA-Barra do Corda",2020-03-25,"nowcast",1,1,1,1,1,1
"MA-Barra do Corda",2020-03-26,"nowcast",0,0,0,0,0,0
"MA-Barra do Corda",2020-03-27,"nowcast",0,0,0,0,0,0
"MA-Barra do Corda",2020-03-28,"nowcast",0,1,0,1,0.5,0.5
"MA-Barra do Corda",2020-03-29,"nowcast",0,1,1,1,1,0.666666666666667
"MA-Barra do Corda",2020-03-30,"nowcast",0,1,1,1,1,0.529411764705882
"MA-Barra do Corda",2020-03-31,"nowcast",0,1,0,0,0,0.285714285714286
"MA-Barra do Corda",2020-04-01,"nowcast",0,1,0,0,0,0.333333333333333
"MA-Barra do Corda",2020-04-02,"nowcast",0,1,0,0,0,0.305555555555556
"MA-Barra do Corda",2020-04-03,"nowcast",0,1,0,0,0,0.276595744680851
"MA-Barra do Corda",2020-04-04,"nowcast",0,1,0,0,0,0.369230769230769
"MA-Barra do Corda",2020-04-05,"nowcast",0,1,0,0,0,0.337349397590361
"MA-Barra do Corda",2020-04-06,"nowcast",0,1,0,0,0,0.457627118644068
"MA-Barra do Corda",2020-04-07,"nowcast",0,1,0,0,0,0.4625
"MA-Barra do Corda",2020-04-08,"nowcast",0,1,0,0,0,0.409756097560976
"MA-Barra do Corda",2020-04-09,"nowcast",0,1,0,0,0,0.481481481481481
"MA-Barra do Corda",2020-04-10,"nowcast",0,1,0,0,0,0.404907975460123
"MA-Barra do Corda",2020-04-11,"nowcast",0,1,0,0,0,0.452322738386308
"MA-Barra do Corda",2020-04-12,"nowcast",0,1,0,0,0,0.470347648261759
"MA-Barra do Corda",2020-04-13,"nowcast",0,1,0,0,0,0.536155202821869
"MA-Barra do Corda",2020-04-14,"nowcast",0,1,0,0,0,0.553323029366306
"MA-Barra do Corda",2020-04-15,"nowcast",0,2,0,0,0,0.631432545201669
"MA-Barra do Corda",2020-04-16,"nowcast",0,2,0,1,1,0.720050441361917
"MA-Barra do Corda",2020-04-17,"nowcast",0,2,0,1,1,0.889671361502347
"MA-Barra do Corda",2020-04-18,"nowcast",0,2,0,1,1,0.991101223581758
"MA-Barra do Corda",2020-04-19,"nowcast",0,3,0,1,1,1.19914346895075
"MA-Barra do Corda",2020-04-20,"nowcast",0,3,0,1,1,1.47352024922118
"MA-Barra do Corda",2020-04-21,"nowcast",0,4,1,2,2,1.83180428134557
"MA-Barra do Corda",2020-04-22,"nowcast",0,4,1,2,2,2.20845921450151
"MA-Barra do Corda",2020-04-23,"nowcast",0,5,1,3,3,2.75827482447342
"MA-Barra do Corda",2020-04-24,"nowcast",0,6,1,3,3,3.4004004004004
"MA-Barra do Corda",2020-04-25,"nowcast",1,7,2,4,4,4.102
"MA-Barra do Corda",2020-04-26,"nowcast",0,8,2,5,5,4.878
"MA-Barra do Corda",2020-04-27,"nowcast",1,10,3,6,6,5.954
"MA-Barra do Corda",2020-04-28,"nowcast",2,11,5,8,7,7.052
"MA-Barra do Corda",2020-04-29,"nowcast",2,13,5,9,8,8.502
"MA-Barra do Corda",2020-04-30,"nowcast",4,15,6,10,9,9.791
"MA-Barra do Corda",2020-05-01,"nowcast",5,16,8,12,11,11.154
"MA-Barra do Corda",2020-05-02,"nowcast",7,19,8,13,13,12.962
"MA-Barra do Corda",2020-05-03,"nowcast",8,21,11,16,15,14.895
"MA-Barra do Corda",2020-05-04,"nowcast",8,22,13,18,16,16.491
"MA-Barra do Corda",2020-05-05,"nowcast",11,25,15,20,18,18.227
"MA-Barra do Corda",2020-05-06,"nowcast",12,27,15,21,20,20.226
"MA-Barra do Corda",2020-05-07,"nowcast",13,28,16,22,21,21.49
"MA-Barra do Corda",2020-05-08,"nowcast",15,30,19,25,23,23.06
"MA-Barra do Corda",2020-05-09,"nowcast",15,31,19,25,24,24.413
"MA-Barra do Corda",2020-05-10,"nowcast",18,33,21,27,25,25.372
"MA-Barra do Corda",2020-05-11,"nowcast",19,36,22,29,27,26.884
"MA-Barra do Corda",2020-05-12,"nowcast",19,37,23,30,28,28.692
"MA-Barra do Corda",2020-05-13,"nowcast",22,39,25,32,30,30.538
"MA-Barra do Corda",2020-05-14,"nowcast",22,41,29,36,32.5,32.709
"MA-Barra do Corda",2020-05-15,"nowcast",24,43,28,36,34.5,34.746
"MA-Barra do Corda",2020-05-16,"nowcast",27,46,33,40,36,36.176
"MA-Barra do Corda",2020-05-17,"nowcast",28,46,31,39,37,37.186
"MA-Barra do Corda",2020-05-18,"nowcast",27,45,33,40,37,37.206
