"region","date","type","bottom","top","lower","upper","median","mean","std","prob_control"
"PB-Itapororoca",2020-05-14,"nowcast",0.602428458565099,1.93158938616023,0.857671240369126,1.34516190910917,1.14417632687872,1.22190559311245,0.445685616720352,0.335185185185185
"PB-Itapororoca",2020-05-15,"nowcast",0.564810407251921,2.00496393596819,0.836052936415758,1.30679455265511,1.16258695479656,1.23870233306336,0.455789621052482,0.30873786407767
"PB-Itapororoca",2020-05-16,"nowcast",0.612624454985825,1.7603613754604,0.941672070133436,1.36490865731161,1.17620047257168,1.23964063215333,0.402129214573601,0.272
"PB-Itapororoca",2020-05-17,"nowcast",0.623472980372062,1.88453510175489,0.907067317389965,1.39681574796751,1.18117772894574,1.23927925663165,0.450529159123336,0.3
"PB-Itapororoca",2020-05-18,"nowcast",0.576480369494805,1.94860091972865,0.870901126571616,1.33998501511626,1.19897793797445,1.21357313790011,0.406574496261828,0.318867924528302
"PB-Itapororoca",2020-05-19,"nowcast",0.669936023276552,1.72177785747303,0.98290080677149,1.40696664158022,1.18802140979955,1.21029140451188,0.345658802518178,0.279207920792079
"PB-Itapororoca",2020-05-20,"nowcast",0.636249103972673,1.68073557577441,0.930850924192019,1.37429073511157,1.1606401766855,1.19288924975425,0.359125744945663,0.311538461538462
"PB-Itapororoca",2020-05-21,"nowcast",0.542193609087111,1.68265611933983,0.881720017087175,1.3114032028411,1.14893937309629,1.19220930976733,0.375666931160388,0.302803738317757
"PB-Itapororoca",2020-05-22,"nowcast",0.656721542699164,1.67112228253768,0.889381715734648,1.27032525491239,1.12292312421658,1.16334064590384,0.345514886208982,0.32
"PB-Itapororoca",2020-05-23,"nowcast",0.616854944745984,1.78860891829921,0.922678902214027,1.31865837054097,1.13619660340409,1.15575639970691,0.354671846462777,0.315686274509804
"PB-Itapororoca",2020-05-24,"nowcast",0.684746505629684,1.66556736418427,0.91460148242704,1.32910132193755,1.18832138903112,1.21920311316943,0.352376977069115,0.264077669902913
"PB-Itapororoca",2020-05-25,"nowcast",0.66621924811829,1.68199970142645,0.967251384710464,1.31740170230546,1.17657884682257,1.19715846163143,0.329362386544193,0.250980392156863
"PB-Itapororoca",2020-05-26,"nowcast",0.639380470360413,1.66658423785852,0.980271923118174,1.35478393247291,1.1723953259233,1.19259976778241,0.32031096522226,0.268627450980392
"PB-Itapororoca",2020-05-27,"nowcast",0.669597387586934,1.66572367847108,0.902070730571062,1.24515559215401,1.15352949487885,1.18984294069262,0.320251792400475,0.274285714285714
"PB-Itapororoca",2020-05-28,"nowcast",0.795815116353968,1.64469591202546,0.992949426627613,1.34233704550306,1.13983799548694,1.16279853002087,0.266506289002959,0.282352941176471
"PB-Itapororoca",2020-05-29,"nowcast",0.680386621187965,1.62979384002003,0.981744986039088,1.3261919755073,1.14007914675121,1.15300378075385,0.302595638994936,0.287378640776699
"PB-Itapororoca",2020-05-30,"nowcast",0.666731716910985,1.61283671338385,0.910832949104791,1.24998923655607,1.13696081755093,1.15306826498133,0.287203491336237,0.307843137254902
"PB-Itapororoca",2020-05-31,"nowcast",0.702534992147826,1.59146655527357,0.964378517547756,1.30649693652774,1.1482079509051,1.15477234265753,0.28894089583342,0.3
"PB-Itapororoca",2020-06-01,"nowcast",0.758633243404667,1.66270999341482,0.966174847516248,1.30617573891811,1.1408964556817,1.17924840667774,0.301950819904769,0.284905660377358
"PB-Itapororoca",2020-06-02,"nowcast",0.677893903239496,1.58175274517352,0.874239535615807,1.18367238038568,1.12323702082202,1.13383584887375,0.300631184871226,0.302970297029703
"PB-Itapororoca",2020-06-03,"nowcast",0.738182423500674,1.53828198363356,0.990416270183987,1.29704483003691,1.13152608621503,1.15382117692936,0.264454263666532,0.29126213592233
"PB-Itapororoca",2020-06-04,"nowcast",0.553491388685295,1.60177933539657,0.883628065842047,1.20986927848288,1.09060389205155,1.10784915145194,0.30878358964886,0.364
"PB-Itapororoca",2020-06-05,"nowcast",0.739563959473665,1.6981354152244,0.910280858381953,1.23033574065006,1.13819576184292,1.15944674779595,0.28594356552219,0.285714285714286
"PB-Itapororoca",2020-06-06,"nowcast",0.744517244336922,1.63542835537211,0.990684501626849,1.29442299395372,1.15294908942389,1.18632639248569,0.290280486616904,0.242
"PB-Itapororoca",2020-06-07,"nowcast",0.757455512929147,1.63738642063758,0.959643172581062,1.28335859402829,1.13389641116468,1.15199594187064,0.269419624965209,0.277227722772277
"PB-Itapororoca",2020-06-08,"nowcast",0.743483613045687,1.50289186256706,1.01107437580383,1.30293746061631,1.13309064928343,1.13142575753713,0.23633710882825,0.283168316831683
"PB-Itapororoca",2020-06-09,"nowcast",0.745423175519621,1.52235475069033,0.921580525311672,1.21784138534718,1.08892743437848,1.10568689618366,0.244652073999265,0.321904761904762
"PB-Itapororoca",2020-06-10,"nowcast",0.664625361758375,1.53087768973591,0.878837827242313,1.20195886818754,1.10650199497052,1.12708978820056,0.289077907552032,0.32156862745098
"PB-Itapororoca",2020-06-11,"nowcast",0.713419185434744,1.59235455371883,0.968275503323525,1.26924722588559,1.09376333923402,1.09088681176598,0.27347942011419,0.344554455445545
