"region","date","type","bottom","top","lower","upper","median","mean"
"PB-Lucena",2020-03-15,"nowcast",1,1,1,1,1,1
"PB-Lucena",2020-03-16,"nowcast",0,0,0,0,0,0
"PB-Lucena",2020-03-17,"nowcast",0,1,0,1,0.5,0.5
"PB-Lucena",2020-03-18,"nowcast",0,0,0,0,0,0
"PB-Lucena",2020-03-19,"nowcast",0,0,0,0,0,0
"PB-Lucena",2020-03-20,"nowcast",0,1,0,1,0.5,0.5
"PB-Lucena",2020-03-21,"nowcast",0,0,0,0,0,0
"PB-Lucena",2020-03-22,"nowcast",0,1,0,1,0.5,0.5
"PB-Lucena",2020-03-23,"nowcast",0,1,0,0,0,0.333333333333333
"PB-Lucena",2020-03-24,"nowcast",0,1,0,0,0,0.285714285714286
"PB-Lucena",2020-03-25,"nowcast",0,1,0,0,0,0.222222222222222
"PB-Lucena",2020-03-26,"nowcast",0,1,0,0,0,0.363636363636364
"PB-Lucena",2020-03-27,"nowcast",0,0,0,0,0,0.0833333333333333
"PB-Lucena",2020-03-28,"nowcast",0,1,0,0,0,0.266666666666667
"PB-Lucena",2020-03-29,"nowcast",0,1,0,0,0,0.263157894736842
"PB-Lucena",2020-03-30,"nowcast",0,1,0,0,0,0.304347826086957
"PB-Lucena",2020-03-31,"nowcast",0,1,0,0,0,0.185185185185185
"PB-Lucena",2020-04-01,"nowcast",0,1,0,0,0,0.242424242424242
"PB-Lucena",2020-04-02,"nowcast",0,1,0,0,0,0.30952380952381
"PB-Lucena",2020-04-03,"nowcast",0,1,0,0,0,0.280701754385965
"PB-Lucena",2020-04-04,"nowcast",0,1,0,0,0,0.315789473684211
"PB-Lucena",2020-04-05,"nowcast",0,1,0,0,0,0.376237623762376
"PB-Lucena",2020-04-06,"nowcast",0,1,0,0,0,0.362962962962963
"PB-Lucena",2020-04-07,"nowcast",0,1,0,0,0,0.292682926829268
"PB-Lucena",2020-04-08,"nowcast",0,1,0,0,0,0.287735849056604
"PB-Lucena",2020-04-09,"nowcast",0,1,0,0,0,0.324324324324324
"PB-Lucena",2020-04-10,"nowcast",0,1,0,0,0,0.355345911949686
"PB-Lucena",2020-04-11,"nowcast",0,1,0,0,0,0.360406091370558
"PB-Lucena",2020-04-12,"nowcast",0,1,0,0,0,0.305676855895196
"PB-Lucena",2020-04-13,"nowcast",0,1,0,0,0,0.335227272727273
"PB-Lucena",2020-04-14,"nowcast",0,1,0,0,0,0.372516556291391
"PB-Lucena",2020-04-15,"nowcast",0,1,0,0,0,0.439592430858806
"PB-Lucena",2020-04-16,"nowcast",0,1,0,0,0,0.472703062583222
