"region","date","type","bottom","top","lower","upper","median","mean","std","prob_control"
"PB-Sertãozinho",2020-06-10,"nowcast",0.558616599361199,2.22013542598134,0.801842404699113,1.44056897079867,1.16663958475209,1.27761127772269,0.592335234432094,0.35
"PB-Sertãozinho",2020-06-11,"nowcast",0.504335069890168,2.28262911399464,0.77868279231029,1.44076587352321,1.22231804535288,1.34404577565814,0.601687904511588,0.322641509433962
"PB-Sertãozinho",2020-06-12,"nowcast",0.416166009215132,1.98363417088721,0.792714171729424,1.41398436707939,1.077102819953,1.17879329442949,0.523848502868889,0.433333333333333
"PB-Sertãozinho",2020-06-13,"nowcast",0.300443940207389,1.87151896712472,0.782617293389229,1.3990527503037,1.14619254211903,1.20195541306297,0.518637518273077,0.372815533980583
"PB-Sertãozinho",2020-06-14,"nowcast",0.358420271261243,1.96409766584925,0.807004556170299,1.42671884223,1.13843863835486,1.19730618148903,0.504829023073012,0.363461538461538
"PB-Sertãozinho",2020-06-15,"nowcast",0.367225820493796,1.89652318265892,0.753369094468389,1.37115042016762,1.15081051695862,1.19953538414068,0.555554950863163,0.381818181818182
"PB-Sertãozinho",2020-06-16,"nowcast",0.38414169100999,2.0893357680825,0.790099933935235,1.37926129392465,1.18526003363177,1.3250753729328,0.675462504795309,0.335849056603774
"PB-Sertãozinho",2020-06-17,"nowcast",0.304699154608969,2.07065994720679,0.735061801748157,1.33276158171307,1.12493865127933,1.27341569316012,0.656005986308804,0.387155963302752
"PB-Sertãozinho",2020-06-18,"nowcast",0.423646107260576,2.18282254079062,0.752266522072219,1.32866019114406,1.14467370464986,1.26986408084011,0.605573999727086,0.340384615384615
"PB-Sertãozinho",2020-06-19,"nowcast",0.377780552679114,1.99789453405826,0.908498781928532,1.48548169759931,1.15316390795207,1.22619819175771,0.55627336357054,0.368932038834951
"PB-Sertãozinho",2020-06-20,"nowcast",0.396843181732315,1.96545662119059,0.788976007450227,1.29471605265577,1.18980105962419,1.28075722337692,0.517649203923205,0.324752475247525
"PB-Sertãozinho",2020-06-21,"nowcast",0.467299930256614,1.94967179584422,0.819878332060464,1.42675116453825,1.18971826944198,1.27642649302965,0.565738548357434,0.330769230769231
"PB-Sertãozinho",2020-06-22,"nowcast",0.555332559022347,2.15320184372522,0.746869498831326,1.31997306274391,1.21563283416145,1.30181482465662,0.526137403505479,0.295238095238095
"PB-Sertãozinho",2020-06-23,"nowcast",0.478975797499447,2.10095891150418,0.814949989656198,1.4541713519721,1.17330166963284,1.25077466856731,0.544869541363656,0.344761904761905
"PB-Sertãozinho",2020-06-24,"nowcast",0.532507071033396,1.94780688232425,0.843015822505727,1.39441059389123,1.19601537918918,1.25318988072953,0.480565786028166,0.309803921568627
"PB-Sertãozinho",2020-06-25,"nowcast",0.484731831828734,1.94760725454514,0.944331095923525,1.42351895938996,1.16105157477188,1.22657747984151,0.469076122167386,0.299047619047619
"PB-Sertãozinho",2020-06-26,"nowcast",0.488059101743601,1.92082572161079,0.904704773134771,1.34750083804476,1.1431635742275,1.20155597198979,0.448391463971652,0.325490196078431
"PB-Sertãozinho",2020-06-27,"nowcast",0.559105129549888,1.92703439146185,0.939230258082662,1.46034595839779,1.17201593301765,1.19761470986866,0.428823415431251,0.325714285714286
"PB-Sertãozinho",2020-06-28,"nowcast",0.422568291298058,1.83778378044794,0.764912695943511,1.27073354401975,1.089224550347,1.12765086579251,0.448234027204129,0.415384615384615
"PB-Sertãozinho",2020-06-29,"nowcast",0.441999371743569,1.82183414696981,0.739227944142494,1.24408445801945,1.10951209816625,1.18127113422204,0.509773470851112,0.4
"PB-Sertãozinho",2020-06-30,"nowcast",0.282506988566874,1.77251858575559,0.847470439727438,1.35351110064652,1.11530579451413,1.16882024666882,0.516082738740432,0.384905660377359
"PB-Sertãozinho",2020-07-01,"nowcast",0.436174840570587,1.9861344718434,0.776735920294692,1.32396474729144,1.16354419397287,1.22654171989968,0.50202698471567,0.340384615384615
"PB-Sertãozinho",2020-07-02,"nowcast",0.595394303600562,1.9055636927265,0.755051314241999,1.2367041340455,1.11076635110366,1.18869562904375,0.425887513596803,0.388679245283019
"PB-Sertãozinho",2020-07-03,"nowcast",0.533417833825961,1.72406288182468,0.908878948021867,1.38753786114602,1.09524946684012,1.16170053908674,0.420978879627045,0.359615384615385
"PB-Sertãozinho",2020-07-04,"nowcast",0.366804591232743,1.74258668806212,0.867604836170822,1.38996666755751,1.12320538805238,1.15955379170136,0.442643627173548,0.371428571428571
"PB-Sertãozinho",2020-07-05,"nowcast",0.550185468429649,1.89794191042689,0.789922215845686,1.2919066089365,1.14993944811984,1.19151314856128,0.439176253789536,0.342307692307692
"PB-Sertãozinho",2020-07-06,"nowcast",0.553598776364798,1.67467275644171,0.813061413873847,1.25043989080857,1.08886125109209,1.13284956987363,0.354536679167724,0.385046728971963
"PB-Sertãozinho",2020-07-07,"nowcast",0.377466390331375,1.64435898415638,0.766916037775485,1.22913313443668,1.09130456599489,1.11146454896385,0.401007539470933,0.41747572815534
"PB-Sertãozinho",2020-07-08,"nowcast",0.449135003725016,1.70528527914439,0.720788497338784,1.15332796448557,1.04076322142678,1.08139598099038,0.424507603746353,0.452941176470588
"PB-Sertãozinho",2020-07-09,"nowcast",0.534409136664859,1.75150253426971,0.74755418078281,1.19276696816711,1.07417008063896,1.12476876326062,0.378760598093858,0.413461538461538
"PB-Sertãozinho",2020-07-10,"nowcast",0.580799893097791,1.80253412010505,0.898321253910228,1.34690910515134,1.10510510776775,1.15654761573058,0.405141683392081,0.372549019607843
"PB-Sertãozinho",2020-07-11,"nowcast",0.526658343520531,1.77227943141646,0.779364821356022,1.20863223121536,1.07115280253941,1.15158816228438,0.418772420122313,0.40377358490566
"PB-Sertãozinho",2020-07-12,"nowcast",0.520956907463685,1.81678553552841,0.868207263813219,1.31472806887192,1.11766580327204,1.15618670230692,0.397359345061948,0.352475247524752
"PB-Sertãozinho",2020-07-13,"nowcast",0.602828302958828,1.73595340305084,0.895661365587464,1.34440658822902,1.13501752825362,1.1625160364664,0.360895619636591,0.322641509433962
