"region","date","type","bottom","top","lower","upper","median","mean","std","prob_control"
"PI-Demerval Lobão",2020-05-27,"nowcast",0.702288755555948,1.83631366983593,1.02187095254313,1.44516560451062,1.2503914039287,1.28111278081664,0.36079575549244,0.202521823472357
"PI-Demerval Lobão",2020-05-28,"nowcast",0.687841240416482,1.69896514866421,0.98384117371244,1.37165529688255,1.19756374367081,1.21758923260316,0.321360356073916,0.238797284190107
"PI-Demerval Lobão",2020-05-29,"nowcast",0.642455130160173,1.62208809687154,0.945157758707935,1.32711124336458,1.15190439205968,1.16114347147439,0.30696602144829,0.297386253630203
"PI-Demerval Lobão",2020-05-30,"nowcast",0.601666856572848,1.54934436352872,0.925873996360786,1.28081956363804,1.1053599389124,1.11334682847763,0.294185506697272,0.337743190661479
"PI-Demerval Lobão",2020-05-31,"nowcast",0.583954167431858,1.5027312601479,0.861256322523373,1.20115328093748,1.04751898643638,1.05725270305958,0.282472830675733,0.423449612403101
"PI-Demerval Lobão",2020-06-01,"nowcast",0.597762291049329,1.49145602055699,0.866192505490103,1.20607031441899,1.02021566013942,1.03617388509094,0.277287503391728,0.468287937743191
"PI-Demerval Lobão",2020-06-02,"nowcast",0.571368498916233,1.44036841941387,0.828875973540477,1.15150575036442,1.01829523896346,1.03925925100013,0.286171572317358,0.467504835589942
"PI-Demerval Lobão",2020-06-03,"nowcast",0.608757622775383,1.52173006194317,0.84191959557506,1.16625403626275,1.028298304354,1.05350129454415,0.288349397378389,0.449615384615385
"PI-Demerval Lobão",2020-06-04,"nowcast",0.640489081967106,1.58451794792673,0.874730902766563,1.20211127488988,1.05499854434468,1.08642512156892,0.296944768059593,0.409708737864078
"PI-Demerval Lobão",2020-06-05,"nowcast",0.609485121726864,1.57530360405039,0.868492968723366,1.20480637342902,1.08004666362915,1.11773425810793,0.304771305127643,0.364132553606238
"PI-Demerval Lobão",2020-06-06,"nowcast",0.678462466964093,1.62546781851305,0.892862154062905,1.2394088254193,1.11285916930952,1.15019968189255,0.304555892939892,0.323420796890185
"PI-Demerval Lobão",2020-06-07,"nowcast",0.700678166943175,1.61756079538861,0.915925859010802,1.25882817251597,1.13071934620749,1.16739154062288,0.296096943104893,0.294911937377691
"PI-Demerval Lobão",2020-06-08,"nowcast",0.743825440233941,1.61370778454632,0.947742719846932,1.26523200670801,1.13456834572015,1.16025401038533,0.274589112315208,0.275512195121951
"PI-Demerval Lobão",2020-06-09,"nowcast",0.703050921949748,1.58932382823048,0.957455813650324,1.28332848653477,1.13515701770119,1.15683448213694,0.279742755292695,0.287681862269641
"PI-Demerval Lobão",2020-06-10,"nowcast",0.681236950145658,1.54642389565909,0.937441088347899,1.25957531666852,1.12804791592346,1.14149105079833,0.264895575438709,0.290821256038647
