"region","date","type","bottom","top","lower","upper","median","mean"
"SE-Amparo de São Francisco",2020-01-08,"nowcast",1,1,1,1,1,1
"SE-Amparo de São Francisco",2020-01-09,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-01-10,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-01-11,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-01-12,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-01-13,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-01-14,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-01-15,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-01-16,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-01-17,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-01-18,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-01-19,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-01-20,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-01-21,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-01-22,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-01-23,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-01-24,"nowcast",0,1,0,1,0.5,0.5
"SE-Amparo de São Francisco",2020-01-25,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-01-26,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-01-27,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-01-28,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-01-29,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-01-30,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-01-31,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-02-01,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-02-02,"nowcast",0,1,0,0,0,0.333333333333333
"SE-Amparo de São Francisco",2020-02-03,"nowcast",0,1,0,1,0.5,0.5
"SE-Amparo de São Francisco",2020-02-04,"nowcast",0,1,0,0,0,0.2
"SE-Amparo de São Francisco",2020-02-05,"nowcast",0,1,0,0,0,0.285714285714286
"SE-Amparo de São Francisco",2020-02-06,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-02-07,"nowcast",0,1,0,0,0,0.125
"SE-Amparo de São Francisco",2020-02-08,"nowcast",0,1,0,0,0,0.111111111111111
"SE-Amparo de São Francisco",2020-02-09,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-02-10,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-02-11,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-02-12,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-02-13,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-02-14,"nowcast",0,1,0,0,0,0.1
"SE-Amparo de São Francisco",2020-02-15,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-02-16,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-02-17,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-02-18,"nowcast",0,1,0,0,0,0.166666666666667
"SE-Amparo de São Francisco",2020-02-19,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-02-20,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-02-21,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-02-22,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-02-23,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-02-24,"nowcast",0,0,0,0,0,0.0769230769230769
"SE-Amparo de São Francisco",2020-02-25,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-02-26,"nowcast",0,0,0,0,0,0.0714285714285714
"SE-Amparo de São Francisco",2020-02-27,"nowcast",0,0,0,0,0,0.0714285714285714
"SE-Amparo de São Francisco",2020-02-28,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-02-29,"nowcast",0,0,0,0,0,0.0666666666666667
"SE-Amparo de São Francisco",2020-03-01,"nowcast",0,1,0,0,0,0.117647058823529
"SE-Amparo de São Francisco",2020-03-02,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-03-03,"nowcast",0,1,0,0,0,0.105263157894737
"SE-Amparo de São Francisco",2020-03-04,"nowcast",0,1,0,0,0,0.1
"SE-Amparo de São Francisco",2020-03-05,"nowcast",0,0,0,0,0,0
"SE-Amparo de São Francisco",2020-03-06,"nowcast",0,0,0,0,0,0.0952380952380952
"SE-Amparo de São Francisco",2020-03-07,"nowcast",0,0,0,0,0,0.0454545454545455
"SE-Amparo de São Francisco",2020-03-08,"nowcast",0,1,0,0,0,0.230769230769231
"SE-Amparo de São Francisco",2020-03-09,"nowcast",0,0,0,0,0,0.0769230769230769
"SE-Amparo de São Francisco",2020-03-10,"nowcast",0,1,0,0,0,0.107142857142857
"SE-Amparo de São Francisco",2020-03-11,"nowcast",0,0,0,0,0,0.0344827586206897
"SE-Amparo de São Francisco",2020-03-12,"nowcast",0,1,0,0,0,0.166666666666667
"SE-Amparo de São Francisco",2020-03-13,"nowcast",0,1,0,0,0,0.1
"SE-Amparo de São Francisco",2020-03-14,"nowcast",0,1,0,0,0,0.125
"SE-Amparo de São Francisco",2020-03-15,"nowcast",0,0,0,0,0,0.0588235294117647
"SE-Amparo de São Francisco",2020-03-16,"nowcast",0,1,0,0,0,0.166666666666667
"SE-Amparo de São Francisco",2020-03-17,"nowcast",0,0,0,0,0,0.0555555555555556
"SE-Amparo de São Francisco",2020-03-18,"nowcast",0,1,0,0,0,0.105263157894737
"SE-Amparo de São Francisco",2020-03-19,"nowcast",0,0,0,0,0,0.075
"SE-Amparo de São Francisco",2020-03-20,"nowcast",0,0,0,0,0,0.024390243902439
"SE-Amparo de São Francisco",2020-03-21,"nowcast",0,0,0,0,0,0.0952380952380952
"SE-Amparo de São Francisco",2020-03-22,"nowcast",0,1,0,0,0,0.133333333333333
"SE-Amparo de São Francisco",2020-03-23,"nowcast",0,1,0,0,0,0.148936170212766
"SE-Amparo de São Francisco",2020-03-24,"nowcast",0,0,0,0,0,0.0816326530612245
"SE-Amparo de São Francisco",2020-03-25,"nowcast",0,0,0,0,0,0.04
"SE-Amparo de São Francisco",2020-03-26,"nowcast",0,1,0,0,0,0.169811320754717
"SE-Amparo de São Francisco",2020-03-27,"nowcast",0,0,0,0,0,0.0727272727272727
"SE-Amparo de São Francisco",2020-03-28,"nowcast",0,1,0,0,0,0.137931034482759
"SE-Amparo de São Francisco",2020-03-29,"nowcast",0,1,0,0,0,0.1
"SE-Amparo de São Francisco",2020-03-30,"nowcast",0,1,0,0,0,0.114754098360656
"SE-Amparo de São Francisco",2020-03-31,"nowcast",0,0,0,0,0,0.0967741935483871
"SE-Amparo de São Francisco",2020-04-01,"nowcast",0,1,0,0,0,0.142857142857143
"SE-Amparo de São Francisco",2020-04-02,"nowcast",0,1,0,0,0,0.169230769230769
"SE-Amparo de São Francisco",2020-04-03,"nowcast",0,0,0,0,0,0.0757575757575758
"SE-Amparo de São Francisco",2020-04-04,"nowcast",0,0,0,0,0,0.106060606060606
"SE-Amparo de São Francisco",2020-04-05,"nowcast",0,1,0,0,0,0.119402985074627
"SE-Amparo de São Francisco",2020-04-06,"nowcast",0,1,0,0,0,0.142857142857143
"SE-Amparo de São Francisco",2020-04-07,"nowcast",0,0,0,0,0,0.0845070422535211
"SE-Amparo de São Francisco",2020-04-08,"nowcast",0,1,0,0,0,0.189189189189189
"SE-Amparo de São Francisco",2020-04-09,"nowcast",0,1,0,0,0,0.131578947368421
"SE-Amparo de São Francisco",2020-04-10,"nowcast",0,1,0,0,0,0.116883116883117
"SE-Amparo de São Francisco",2020-04-11,"nowcast",0,1,0,0,0,0.126582278481013
"SE-Amparo de São Francisco",2020-04-12,"nowcast",0,1,0,0,0,0.234567901234568
"SE-Amparo de São Francisco",2020-04-13,"nowcast",0,1,0,0,0,0.172839506172839
"SE-Amparo de São Francisco",2020-04-14,"nowcast",0,1,0,0,0,0.202380952380952
"SE-Amparo de São Francisco",2020-04-15,"nowcast",0,1,0,0,0,0.178571428571429
"SE-Amparo de São Francisco",2020-04-16,"nowcast",0,1,0,0,0,0.151162790697674
"SE-Amparo de São Francisco",2020-04-17,"nowcast",0,1,0,0,0,0.267441860465116
"SE-Amparo de São Francisco",2020-04-18,"nowcast",0,1,0,0,0,0.170454545454545
"SE-Amparo de São Francisco",2020-04-19,"nowcast",0,1,0,0,0,0.177777777777778
"SE-Amparo de São Francisco",2020-04-20,"nowcast",0,1,0,0,0,0.175824175824176
"SE-Amparo de São Francisco",2020-04-21,"nowcast",0,1,0,0,0,0.228260869565217
"SE-Amparo de São Francisco",2020-04-22,"nowcast",0,1,0,0,0,0.189473684210526
"SE-Amparo de São Francisco",2020-04-23,"nowcast",0,1,0,0,0,0.260416666666667
"SE-Amparo de São Francisco",2020-04-24,"nowcast",0,1,0,0,0,0.224489795918367
"SE-Amparo de São Francisco",2020-04-25,"nowcast",0,1,0,0,0,0.306122448979592
"SE-Amparo de São Francisco",2020-04-26,"nowcast",0,1,0,0,0,0.224489795918367
"SE-Amparo de São Francisco",2020-04-27,"nowcast",0,1,0,0,0,0.285714285714286
"SE-Amparo de São Francisco",2020-04-28,"nowcast",0,1,0,0,0,0.224489795918367
"SE-Amparo de São Francisco",2020-04-29,"nowcast",0,1,0,0,0,0.275510204081633
"SE-Amparo de São Francisco",2020-04-30,"nowcast",0,1,0,0,0,0.326530612244898
"SE-Amparo de São Francisco",2020-05-01,"nowcast",0,1,0,0,0,0.214285714285714
"SE-Amparo de São Francisco",2020-05-02,"nowcast",0,1,0,0,0,0.336734693877551
"SE-Amparo de São Francisco",2020-05-03,"nowcast",0,1,0,0,0,0.36734693877551
"SE-Amparo de São Francisco",2020-05-04,"nowcast",0,1,0,0,0,0.285714285714286
"SE-Amparo de São Francisco",2020-05-05,"nowcast",0,1,0,0,0,0.387755102040816
"SE-Amparo de São Francisco",2020-05-06,"nowcast",0,1,0,0,0,0.36734693877551
