region,date,median,lower_90,upper_90,lower_50,upper_50,confidence
AL-Arapiraca,2020-03-11,1,1,1,1,1,1
AL-Arapiraca,2020-03-12,0,0,0,0,0,1
AL-Arapiraca,2020-03-13,1,1,1,1,1,1
AL-Arapiraca,2020-03-14,0.5,0,1,0,1,1
AL-Arapiraca,2020-03-15,0,0,1,0,0,1
AL-Arapiraca,2020-03-16,0,0,0,0,0,1
AL-Arapiraca,2020-03-17,0,0,1,0,0,1
AL-Arapiraca,2020-03-18,0.5,0,1,0,1,1
AL-Arapiraca,2020-03-19,0,0,1,0,0,1
AL-Arapiraca,2020-03-20,0,0,1,0,0,1
AL-Arapiraca,2020-03-21,0,0,1,0,0,1
AL-Arapiraca,2020-03-22,0,0,1,0,0,1
AL-Arapiraca,2020-03-23,0,0,1,0,0,1
AL-Arapiraca,2020-03-24,0,0,1,0,0,1
AL-Arapiraca,2020-03-25,0,0,1,0,0,1
AL-Arapiraca,2020-03-26,0,0,1,0,0,1
AL-Arapiraca,2020-03-27,0,0,1,0,0,1
AL-Arapiraca,2020-03-28,0,0,1,0,0,1
AL-Arapiraca,2020-03-29,0,0,1,0,0,1
AL-Arapiraca,2020-03-30,0,0,1,0,0,1
AL-Arapiraca,2020-03-31,0,0,1,0,0,1
AL-Arapiraca,2020-04-01,0,0,1,0,0,1
AL-Arapiraca,2020-04-02,0,0,1,0,0,1
AL-Arapiraca,2020-04-03,0,0,1,0,0,1
AL-Arapiraca,2020-04-04,0,0,1,0,0,1
AL-Arapiraca,2020-04-05,0,0,1,0,0,1
AL-Arapiraca,2020-04-06,0,0,1,0,0,1
AL-Arapiraca,2020-04-07,0,0,1,0,0,1
AL-Arapiraca,2020-04-08,0,0,1,0,0,1
AL-Arapiraca,2020-04-09,0,0,2,0,0,1
AL-Arapiraca,2020-04-10,1,0,2,0,1,1
AL-Arapiraca,2020-04-11,1,0,2,0,1,1
AL-Arapiraca,2020-04-12,1,0,2,0,1,1
AL-Arapiraca,2020-04-13,1,0,2,0,1,1
AL-Arapiraca,2020-04-14,1,0,3,0,1,1
AL-Arapiraca,2020-04-15,1,0,3,0,1,1
AL-Arapiraca,2020-04-16,1,0,3,0,1,1
AL-Arapiraca,2020-04-17,2,0,4,1,2,1
AL-Arapiraca,2020-04-18,2,0,4,1,2,1
AL-Arapiraca,2020-04-19,2,0,4,1,2,1
AL-Arapiraca,2020-04-20,2,0,4,0,2,1
AL-Arapiraca,2020-04-21,2,0,5,0,2,1
AL-Arapiraca,2020-04-22,3,0,5,1,3,1
AL-Arapiraca,2020-04-23,3,0,5,1,3,1
AL-Arapiraca,2020-04-24,3,1,6,1,3,1
AL-Arapiraca,2020-04-25,3,1,6,1,3,1
AL-Arapiraca,2020-04-26,3,0,6,1,3,1
AL-Arapiraca,2020-04-27,4,0,6,2,4,1
AL-Arapiraca,2020-04-28,4,1,7,2,4,1
AL-Arapiraca,2020-04-29,4,1,8,2,5,1
AL-Arapiraca,2020-04-30,5,0,8,2,5,1
AL-Arapiraca,2020-05-01,5,1,9,3,6,1
AL-Arapiraca,2020-05-02,6,2,10,3,6,1
AL-Arapiraca,2020-05-03,7,2,11,5,8,1
AL-Arapiraca,2020-05-04,8,3,13,5,9,1
AL-Arapiraca,2020-05-05,9,3,14,6,10,1
AL-Arapiraca,2020-05-06,11,6,16,8,12,1
AL-Arapiraca,2020-05-07,12,6,18,8,13,1
AL-Arapiraca,2020-05-08,14,6,19,10,15,1
AL-Arapiraca,2020-05-09,15,8,21,11,16,1
AL-Arapiraca,2020-05-10,17,9,23,13,18,1
AL-Arapiraca,2020-05-11,18,12,25,15,20,1
AL-Arapiraca,2020-05-12,20,12,26,15,21,1
AL-Arapiraca,2020-05-13,20,12,27,15,21,1
AL-Arapiraca,2020-05-14,21,14,29,16,22,1
AL-Arapiraca,2020-05-15,22,14,30,18,24,1
AL-Arapiraca,2020-05-16,24,15,32,19,26,1
AL-Arapiraca,2020-05-17,26,17,35,21,28,1
AL-Arapiraca,2020-05-18,29,19,37,24,31,1
AL-Arapiraca,2020-05-19,31,21,40,26,33,1
AL-Arapiraca,2020-05-20,33,22,42,27,35,1
AL-Arapiraca,2020-05-21,35,22,43,29,37,1
AL-Arapiraca,2020-05-22,37,25,47,30,39,1
AL-Arapiraca,2020-05-23,40,26,49,34,43,1
AL-Arapiraca,2020-05-24,43,29,55,36,46,1
AL-Arapiraca,2020-05-25,47,36,61,39,49,1
AL-Arapiraca,2020-05-26,52,39,66,44,55,1
AL-Arapiraca,2020-05-27,56,44,71,48,60,1
AL-Arapiraca,2020-05-28,61,47,75,56,67,1
AL-Arapiraca,2020-05-29,65,51,79,59,70,1
AL-Arapiraca,2020-05-30,70,56,85,61,73,1
AL-Arapiraca,2020-05-31,75,60,91,70,81,1
AL-Arapiraca,2020-06-01,80,63,94,71,83,1
AL-Arapiraca,2020-06-02,84,67,97,75,87,1
AL-Arapiraca,2020-06-03,87,70,99,82,93,1
