"region","date","type","bottom","top","lower","upper","median","mean","std","prob_control"
"AL-Boca da Mata",2020-05-19,"nowcast",0.673794624466271,2.49741278613171,1.08479865122758,1.76778525657915,1.50464012939229,1.5936933851085,0.620465219409197,0.135109419600381
"AL-Boca da Mata",2020-05-20,"nowcast",0.721888333900551,2.43086471551786,1.09250488138715,1.72190671050029,1.50745558604148,1.58767665125428,0.577826209101595,0.114203454894434
"AL-Boca da Mata",2020-05-21,"nowcast",0.742135598150978,2.42067406857981,1.18121455394367,1.79856838941411,1.52122556703255,1.5906689555798,0.547920038476847,0.107088122605364
"AL-Boca da Mata",2020-05-22,"nowcast",0.794344583595802,2.29802679278404,1.16783168244366,1.73108863275985,1.53110443241717,1.59079411222826,0.500891969425021,0.0817391304347826
"AL-Boca da Mata",2020-05-23,"nowcast",0.833472657947186,2.34469207587897,1.21696742995437,1.78357786631926,1.53845661000024,1.59970916826485,0.497018405736889,0.0781586679725759
"AL-Boca da Mata",2020-05-24,"nowcast",0.899644734613403,2.28758795089638,1.20294695395587,1.72443965711639,1.5337410505906,1.58375356726739,0.461446583725952,0.0677606177606178
"AL-Boca da Mata",2020-05-25,"nowcast",0.81799708013699,2.20536198271033,1.2015422387402,1.70465585335098,1.51358148237633,1.56571623540295,0.4444529084577,0.0651794374393792
"AL-Boca da Mata",2020-05-26,"nowcast",0.896517766873611,2.14966245100093,1.20242773853004,1.67736887254972,1.47923123140841,1.51255815723031,0.399269784913424,0.0793436293436293
"AL-Boca da Mata",2020-05-27,"nowcast",0.80482341452199,2.01319385167939,1.21335789206016,1.65838398651036,1.45304672091707,1.47403965974518,0.376305581486755,0.0891918208373905
"AL-Boca da Mata",2020-05-28,"nowcast",0.876248127945717,1.99090069355185,1.16408503047275,1.58031401820448,1.4044768978813,1.4249072224121,0.345238501406041,0.0975417895771878
"AL-Boca da Mata",2020-05-29,"nowcast",0.865369458463326,1.89665101153452,1.1515671006887,1.54022888723085,1.37325420887536,1.39205798565354,0.324219685373202,0.0920077972709552
"AL-Boca da Mata",2020-05-30,"nowcast",0.8579471035588,1.85114927985326,1.12154415260327,1.49058470256249,1.33313769531439,1.35801998814824,0.311918145218147,0.108809293320426
"AL-Boca da Mata",2020-05-31,"nowcast",0.855673922167202,1.79042239036698,1.13303489036988,1.48217691011307,1.31061928127737,1.32503384571176,0.291368623294078,0.117808219178082
"AL-Boca da Mata",2020-06-01,"nowcast",0.82263473286344,1.7067919891797,1.13498013002459,1.47585802928558,1.27051544567283,1.27690836794759,0.275652398775243,0.15146771037182
"AL-Boca da Mata",2020-06-02,"nowcast",0.801323931185722,1.66309810433158,1.07666471225733,1.40237514831385,1.23840561378402,1.24843589139103,0.264080073142909,0.161220472440945
"AL-Boca da Mata",2020-06-03,"nowcast",0.826501614894546,1.62992721365199,1.05537180734925,1.35351970090222,1.2103507292717,1.22584024541228,0.250687209716806,0.166860465116279
"AL-Boca da Mata",2020-06-04,"nowcast",0.812565318368306,1.56492821706467,1.03903921928096,1.32923676863633,1.18879918244015,1.19908287438796,0.236293358855034,0.189748549323017
"AL-Boca da Mata",2020-06-05,"nowcast",0.821800519776672,1.57143350817082,1.0159337477385,1.29850720352808,1.17751304104611,1.19288303214485,0.233706894196489,0.18843137254902
