"region","date","type","bottom","top","lower","upper","median","mean","std","prob_control"
"AL-Coruripe",2020-05-07,"nowcast",0.59108957118937,1.93878104274981,0.949231104001724,1.46154644626528,1.23237461034763,1.26292350371223,0.425797569435183,0.267052023121387
"AL-Coruripe",2020-05-08,"nowcast",0.535367896142147,1.90927090659404,0.898536313256794,1.4201879808865,1.22248483314563,1.27103759719935,0.449185895906374,0.272727272727273
"AL-Coruripe",2020-05-09,"nowcast",0.584853093487607,1.91148198385237,0.975110443072652,1.47196734313357,1.24920801664864,1.29549367004832,0.431556556436602,0.241272902603664
"AL-Coruripe",2020-05-10,"nowcast",0.676935522048546,2.01744210425927,0.984024056550243,1.4775426616162,1.27551494593132,1.32987636536414,0.444863278636357,0.211527377521614
"AL-Coruripe",2020-05-11,"nowcast",0.637098987891637,1.94913125178134,0.986048160979649,1.46348960185137,1.28101410816008,1.33007063544701,0.426004163110307,0.201356589147287
"AL-Coruripe",2020-05-12,"nowcast",0.720668519880857,1.92778273534298,0.986969522016641,1.45034289840545,1.2893500578693,1.34687881422713,0.406114338879982,0.174830590513069
"AL-Coruripe",2020-05-13,"nowcast",0.750973453347015,2.0088957386023,1.03673192357149,1.49546934082615,1.3194318723686,1.36410331263183,0.404722478246548,0.154518950437318
"AL-Coruripe",2020-05-14,"nowcast",0.682789104321605,1.92362976742534,1.0590691972134,1.52262621500384,1.31857495003514,1.36153428192585,0.410513051939556,0.164556962025316
"AL-Coruripe",2020-05-15,"nowcast",0.794616082275518,1.93537286690591,1.10799278912904,1.53271177015888,1.34215888586133,1.37875631598147,0.37014372526391,0.129797492767599
"AL-Coruripe",2020-05-16,"nowcast",0.799709800076926,1.97692012855931,1.09792841129127,1.52379261231525,1.34392687362313,1.38082648088941,0.375715013223623,0.1296875
"AL-Coruripe",2020-05-17,"nowcast",0.826527797425566,1.87981218763818,1.07401770397872,1.47091472468262,1.32347305914821,1.35723160259449,0.347356035102016,0.123330106485963
"AL-Coruripe",2020-05-18,"nowcast",0.77169283248537,1.8119855518748,1.05888537895854,1.44979552077037,1.3057585456928,1.33240570273164,0.334234759587011,0.133722060252672
"AL-Coruripe",2020-05-19,"nowcast",0.823164455332488,1.79030179677662,1.05683307114102,1.41626194157471,1.27409257943458,1.29595574916661,0.300862451924738,0.141947926711668
"AL-Coruripe",2020-05-20,"nowcast",0.75086299055338,1.70404022044595,1.03550512400323,1.38844243302114,1.23873718144512,1.25467529653071,0.300169180723591,0.180174927113703
"AL-Coruripe",2020-05-21,"nowcast",0.778826175386707,1.69176633999276,1.01143648156902,1.35249604199213,1.20989484984952,1.21705618854242,0.282184221862353,0.204536489151874
"AL-Coruripe",2020-05-22,"nowcast",0.738289017984093,1.61282120496347,1.02173693558508,1.35946704731032,1.19310816957612,1.19995330135904,0.270481142003684,0.219204655674103
"AL-Coruripe",2020-05-23,"nowcast",0.805041121633969,1.68839413294592,1.01198605367667,1.3363073244214,1.20507964427589,1.2214696112176,0.27396992815682,0.188201160541586
"AL-Coruripe",2020-05-24,"nowcast",0.824043680409037,1.67334451043555,1.05796190818555,1.36312108702726,1.23353271325134,1.25457700591636,0.269995358789131,0.142688910696762
"AL-Coruripe",2020-05-25,"nowcast",0.865050576239878,1.72324053261084,1.10622659382585,1.42007537903669,1.25996812810863,1.29176884957062,0.271453382827583,0.115490196078431
"AL-Coruripe",2020-05-26,"nowcast",0.891752752718533,1.74926895654517,1.08837891847646,1.39963002798214,1.28239617779209,1.31387236260183,0.272092148126158,0.0941291585127202
"AL-Coruripe",2020-05-27,"nowcast",0.896050007876287,1.73353217220208,1.11067786593743,1.41762499602748,1.29829733948612,1.32595650805709,0.262957652615105,0.078423645320197
"AL-Coruripe",2020-05-28,"nowcast",0.93435779528039,1.70699508551687,1.10834703499278,1.40173813232654,1.28925132658695,1.31156534087939,0.248659723945842,0.0764878048780488
"AL-Coruripe",2020-05-29,"nowcast",0.900618925434623,1.67722666924675,1.11625533811293,1.39968210546929,1.25714197014682,1.27145045539636,0.242863337883655,0.112352941176471
"AL-Coruripe",2020-05-30,"nowcast",0.830101618868336,1.57602268018986,1.10953933961298,1.39319928493217,1.22084092965046,1.21882222123175,0.231246092977225,0.161706349206349
"AL-Coruripe",2020-05-31,"nowcast",0.800461138071863,1.51121776552425,1.01152347319467,1.27532281265874,1.16255030215897,1.16413017243856,0.21529095951355,0.205905511811024
"AL-Coruripe",2020-06-01,"nowcast",0.794813117355874,1.47388412357875,1.01111979767143,1.26642856504475,1.13710220018445,1.13317708041306,0.204996613351537,0.243401759530792
"AL-Coruripe",2020-06-02,"nowcast",0.803851853250875,1.44090097142566,0.992232097360049,1.22849353586397,1.11580252714523,1.11517096164751,0.200108897555288,0.259273797841021
"AL-Coruripe",2020-06-03,"nowcast",0.791838816419872,1.40545607081616,0.980748448392114,1.2168830502423,1.10432847699111,1.11336995830622,0.191826839361264,0.264292779426311
"AL-Coruripe",2020-06-04,"nowcast",0.780647476338019,1.38416445227048,0.976175147988623,1.20104665435648,1.09632309433378,1.10368423255118,0.186720494812374,0.284292682926829
"AL-Coruripe",2020-06-05,"nowcast",0.788449372352228,1.37725600919928,0.967447333626685,1.18489529581067,1.08231066583093,1.08959216053227,0.183075114685541,0.312156862745098
"AL-Coruripe",2020-06-06,"nowcast",0.762535033380365,1.34884410254714,0.937252532790805,1.1567261536565,1.06264068863037,1.06802048513154,0.183909189297871,0.349169110459433
"AL-Coruripe",2020-06-07,"nowcast",0.741336464802982,1.31561745209358,0.934291020097188,1.15404789654109,1.03690662185113,1.03840136470591,0.177538907897847,0.406876227897839
"AL-Coruripe",2020-06-08,"nowcast",0.740159201868798,1.29974586069096,0.919392718778965,1.1299828257205,1.01879948437789,1.01920749343572,0.172638500205658,0.450244379276637
"AL-Coruripe",2020-06-09,"nowcast",0.71771967897624,1.27425538535882,0.900380706640638,1.10807117027676,0.992152995586715,0.995902035953153,0.17153927299825,0.518475073313783
"AL-Coruripe",2020-06-10,"nowcast",0.724769602162799,1.27774504492142,0.893588201322007,1.09739775463431,0.994920887822449,1.00172014951184,0.170514909475007,0.513864306784661
