"region","date","type","bottom","top","lower","upper","median","mean"
"AL-Flexeiras",2020-01-27,"nowcast",1,1,1,1,1,1
"AL-Flexeiras",2020-01-28,"nowcast",1,1,1,1,1,1
"AL-Flexeiras",2020-01-29,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-01-30,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-01-31,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-01,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-02,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-03,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-04,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-05,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-06,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-07,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-08,"nowcast",0,1,0,1,0.5,0.5
"AL-Flexeiras",2020-02-09,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-10,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-11,"nowcast",0,1,0,1,0.5,0.5
"AL-Flexeiras",2020-02-12,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-13,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-14,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-15,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-16,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-17,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-18,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-19,"nowcast",0,1,0,0,0,0.333333333333333
"AL-Flexeiras",2020-02-20,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-21,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-22,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-23,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-24,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-25,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-26,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-27,"nowcast",0,1,0,0,0,0.25
"AL-Flexeiras",2020-02-28,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-02-29,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-03-01,"nowcast",0,1,0,0,0,0.2
"AL-Flexeiras",2020-03-02,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-03-03,"nowcast",0,1,0,0,0,0.2
"AL-Flexeiras",2020-03-04,"nowcast",0,1,0,0,0,0.166666666666667
"AL-Flexeiras",2020-03-05,"nowcast",0,1,0,1,0.5,0.5
"AL-Flexeiras",2020-03-06,"nowcast",0,1,0,0,0,0.25
"AL-Flexeiras",2020-03-07,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-03-08,"nowcast",0,1,0,0,0,0.111111111111111
"AL-Flexeiras",2020-03-09,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-03-10,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-03-11,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-03-12,"nowcast",0,1,0,0,0,0.111111111111111
"AL-Flexeiras",2020-03-13,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-03-14,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-03-15,"nowcast",0,0,0,0,0,0
"AL-Flexeiras",2020-03-16,"nowcast",0,1,0,0,0,0.25
"AL-Flexeiras",2020-03-17,"nowcast",0,1,0,0,0,0.214285714285714
"AL-Flexeiras",2020-03-18,"nowcast",0,1,0,0,0,0.176470588235294
"AL-Flexeiras",2020-03-19,"nowcast",0,0,0,0,0,0.0555555555555556
"AL-Flexeiras",2020-03-20,"nowcast",0,1,0,0,0,0.157894736842105
"AL-Flexeiras",2020-03-21,"nowcast",0,1,0,0,0,0.2
"AL-Flexeiras",2020-03-22,"nowcast",0,0,0,0,0,0.0476190476190476
"AL-Flexeiras",2020-03-23,"nowcast",0,0,0,0,0,0.0454545454545455
"AL-Flexeiras",2020-03-24,"nowcast",0,1,0,0,0,0.16
"AL-Flexeiras",2020-03-25,"nowcast",0,0,0,0,0,0.04
"AL-Flexeiras",2020-03-26,"nowcast",0,1,0,0,0,0.137931034482759
"AL-Flexeiras",2020-03-27,"nowcast",0,0,0,0,0,0.0333333333333333
"AL-Flexeiras",2020-03-28,"nowcast",0,1,0,0,0,0.181818181818182
"AL-Flexeiras",2020-03-29,"nowcast",0,1,0,0,0,0.151515151515152
"AL-Flexeiras",2020-03-30,"nowcast",0,1,0,0,0,0.2
"AL-Flexeiras",2020-03-31,"nowcast",0,1,0,0,0,0.131578947368421
"AL-Flexeiras",2020-04-01,"nowcast",0,0,0,0,0,0.0769230769230769
"AL-Flexeiras",2020-04-02,"nowcast",0,1,0,0,0,0.238095238095238
"AL-Flexeiras",2020-04-03,"nowcast",0,1,0,0,0,0.177777777777778
"AL-Flexeiras",2020-04-04,"nowcast",0,1,0,0,0,0.148936170212766
"AL-Flexeiras",2020-04-05,"nowcast",0,1,0,0,0,0.235294117647059
"AL-Flexeiras",2020-04-06,"nowcast",0,1,0,0,0,0.166666666666667
"AL-Flexeiras",2020-04-07,"nowcast",0,1,0,0,0,0.206896551724138
"AL-Flexeiras",2020-04-08,"nowcast",0,1,0,0,0,0.19672131147541
"AL-Flexeiras",2020-04-09,"nowcast",0,1,0,0,0,0.208955223880597
"AL-Flexeiras",2020-04-10,"nowcast",0,1,0,0,0,0.36231884057971
"AL-Flexeiras",2020-04-11,"nowcast",0,1,0,0,0,0.225352112676056
"AL-Flexeiras",2020-04-12,"nowcast",0,1,0,0,0,0.328767123287671
"AL-Flexeiras",2020-04-13,"nowcast",0,1,0,0,0,0.173333333333333
"AL-Flexeiras",2020-04-14,"nowcast",0,1,0,0,0,0.324675324675325
"AL-Flexeiras",2020-04-15,"nowcast",0,1,0,0,0,0.2125
"AL-Flexeiras",2020-04-16,"nowcast",0,1,0,0,0,0.280487804878049
"AL-Flexeiras",2020-04-17,"nowcast",0,1,0,0,0,0.285714285714286
"AL-Flexeiras",2020-04-18,"nowcast",0,1,0,0,0,0.305882352941176
"AL-Flexeiras",2020-04-19,"nowcast",0,1,0,0,0,0.306818181818182
"AL-Flexeiras",2020-04-20,"nowcast",0,1,0,0,0,0.322222222222222
"AL-Flexeiras",2020-04-21,"nowcast",0,1,0,0,0,0.505494505494505
"AL-Flexeiras",2020-04-22,"nowcast",0,1,0,0,0,0.347826086956522
"AL-Flexeiras",2020-04-23,"nowcast",0,1,0,0,0,0.393617021276596
"AL-Flexeiras",2020-04-24,"nowcast",0,1,0,0,0,0.412371134020619
"AL-Flexeiras",2020-04-25,"nowcast",0,1,0,0,0,0.448979591836735
"AL-Flexeiras",2020-04-26,"nowcast",0,1,0,0,0,0.377551020408163
"AL-Flexeiras",2020-04-27,"nowcast",0,2,0,0,0,0.535353535353535
"AL-Flexeiras",2020-04-28,"nowcast",0,2,0,0,0,0.636363636363636
"AL-Flexeiras",2020-04-29,"nowcast",0,2,0,0,0,0.606060606060606
"AL-Flexeiras",2020-04-30,"nowcast",0,2,0,0,0,0.646464646464647
"AL-Flexeiras",2020-05-01,"nowcast",0,2,0,0,0,0.676767676767677
"AL-Flexeiras",2020-05-02,"nowcast",0,2,0,1,1,0.848484848484849
"AL-Flexeiras",2020-05-03,"nowcast",0,2,0,1,1,0.838383838383838
"AL-Flexeiras",2020-05-04,"nowcast",0,2,0,1,1,0.868686868686869
"AL-Flexeiras",2020-05-05,"nowcast",0,2,0,1,1,1.02
"AL-Flexeiras",2020-05-06,"nowcast",0,3,0,1,1,0.89
"AL-Flexeiras",2020-05-07,"nowcast",0,2,0,1,1,0.99
"AL-Flexeiras",2020-05-08,"nowcast",0,2,0,1,1,1.09
"AL-Flexeiras",2020-05-09,"nowcast",0,3,0,1,1,1.44
"AL-Flexeiras",2020-05-10,"nowcast",0,3,0,1,1,1.24
"AL-Flexeiras",2020-05-11,"nowcast",0,3,0,1,1,1.43
