"region","date","type","bottom","top","lower","upper","median","mean"
"AL-Messias",2020-02-23,"nowcast",1,1,1,1,1,1
"AL-Messias",2020-02-24,"nowcast",0,0,0,0,0,0
"AL-Messias",2020-02-25,"nowcast",1,1,1,1,1,1
"AL-Messias",2020-02-26,"nowcast",0,0,0,0,0,0
"AL-Messias",2020-02-27,"nowcast",0,0,0,0,0,0
"AL-Messias",2020-02-28,"nowcast",0,0,0,0,0,0
"AL-Messias",2020-02-29,"nowcast",0,0,0,0,0,0
"AL-Messias",2020-03-01,"nowcast",0,0,0,0,0,0
"AL-Messias",2020-03-02,"nowcast",0,1,1,1,1,0.666666666666667
"AL-Messias",2020-03-03,"nowcast",0,0,0,0,0,0
"AL-Messias",2020-03-04,"nowcast",0,1,0,0,0,0.4
"AL-Messias",2020-03-05,"nowcast",0,1,0,0,0,0.166666666666667
"AL-Messias",2020-03-06,"nowcast",0,1,0,0,0,0.333333333333333
"AL-Messias",2020-03-07,"nowcast",0,1,0,0,0,0.285714285714286
"AL-Messias",2020-03-08,"nowcast",0,1,0,0,0,0.125
"AL-Messias",2020-03-09,"nowcast",0,1,0,0,0,0.333333333333333
"AL-Messias",2020-03-10,"nowcast",0,1,0,0,0,0.2
"AL-Messias",2020-03-11,"nowcast",0,1,0,0,0,0.1
"AL-Messias",2020-03-12,"nowcast",0,1,0,0,0,0.166666666666667
"AL-Messias",2020-03-13,"nowcast",0,1,0,0,0,0.266666666666667
"AL-Messias",2020-03-14,"nowcast",0,1,0,0,0,0.117647058823529
"AL-Messias",2020-03-15,"nowcast",0,0,0,0,0,0.0555555555555556
"AL-Messias",2020-03-16,"nowcast",0,1,0,0,0,0.157894736842105
"AL-Messias",2020-03-17,"nowcast",0,1,0,0,0,0.285714285714286
"AL-Messias",2020-03-18,"nowcast",0,1,0,0,0,0.136363636363636
"AL-Messias",2020-03-19,"nowcast",0,0,0,0,0,0.0909090909090909
"AL-Messias",2020-03-20,"nowcast",0,1,0,0,0,0.173913043478261
"AL-Messias",2020-03-21,"nowcast",0,0,0,0,0,0.0416666666666667
"AL-Messias",2020-03-22,"nowcast",0,1,0,0,0,0.115384615384615
"AL-Messias",2020-03-23,"nowcast",0,1,0,0,0,0.107142857142857
"AL-Messias",2020-03-24,"nowcast",0,1,0,0,0,0.233333333333333
"AL-Messias",2020-03-25,"nowcast",0,1,0,0,0,0.235294117647059
"AL-Messias",2020-03-26,"nowcast",0,1,0,0,0,0.25
"AL-Messias",2020-03-27,"nowcast",0,1,0,0,0,0.256410256410256
"AL-Messias",2020-03-28,"nowcast",0,1,0,0,0,0.166666666666667
"AL-Messias",2020-03-29,"nowcast",0,1,0,0,0,0.333333333333333
"AL-Messias",2020-03-30,"nowcast",0,1,0,0,0,0.230769230769231
"AL-Messias",2020-03-31,"nowcast",0,1,0,0,0,0.307692307692308
"AL-Messias",2020-04-01,"nowcast",0,1,0,0,0,0.196428571428571
"AL-Messias",2020-04-02,"nowcast",0,1,0,0,0,0.137931034482759
"AL-Messias",2020-04-03,"nowcast",0,1,0,0,0,0.183333333333333
"AL-Messias",2020-04-04,"nowcast",0,1,0,0,0,0.21875
"AL-Messias",2020-04-05,"nowcast",0,1,0,0,0,0.17910447761194
"AL-Messias",2020-04-06,"nowcast",0,1,0,0,0,0.309859154929577
"AL-Messias",2020-04-07,"nowcast",0,1,0,0,0,0.194444444444444
"AL-Messias",2020-04-08,"nowcast",0,1,0,0,0,0.287671232876712
"AL-Messias",2020-04-09,"nowcast",0,1,0,0,0,0.26027397260274
"AL-Messias",2020-04-10,"nowcast",0,1,0,0,0,0.276315789473684
"AL-Messias",2020-04-11,"nowcast",0,1,0,0,0,0.333333333333333
"AL-Messias",2020-04-12,"nowcast",0,1,0,0,0,0.35632183908046
"AL-Messias",2020-04-13,"nowcast",0,1,0,0,0,0.337078651685393
"AL-Messias",2020-04-14,"nowcast",0,1,0,0,0,0.351648351648352
"AL-Messias",2020-04-15,"nowcast",0,1,0,0,0,0.391304347826087
"AL-Messias",2020-04-16,"nowcast",0,1,0,0,0,0.445652173913043
"AL-Messias",2020-04-17,"nowcast",0,1,0,0,0,0.351063829787234
"AL-Messias",2020-04-18,"nowcast",0,1,0,0,0,0.404255319148936
"AL-Messias",2020-04-19,"nowcast",0,1,0,0,0,0.526315789473684
"AL-Messias",2020-04-20,"nowcast",0,2,0,0,0,0.479166666666667
"AL-Messias",2020-04-21,"nowcast",0,2,0,0,0,0.581632653061224
"AL-Messias",2020-04-22,"nowcast",0,2,0,0,0,0.571428571428571
"AL-Messias",2020-04-23,"nowcast",0,2,0,0,0,0.565656565656566
"AL-Messias",2020-04-24,"nowcast",0,2,0,0,0,0.595959595959596
"AL-Messias",2020-04-25,"nowcast",0,2,0,1,1,0.696969696969697
"AL-Messias",2020-04-26,"nowcast",0,2,0,1,1,0.828282828282828
"AL-Messias",2020-04-27,"nowcast",0,2,0,1,1,0.818181818181818
"AL-Messias",2020-04-28,"nowcast",0,2,0,1,0.5,0.82
"AL-Messias",2020-04-29,"nowcast",0,2,0,1,1,0.99
"AL-Messias",2020-04-30,"nowcast",0,2,0,1,1,0.84
"AL-Messias",2020-05-01,"nowcast",0,3,0,1,1,1.16
"AL-Messias",2020-05-02,"nowcast",0,2,0,1,1,1.11
"AL-Messias",2020-05-03,"nowcast",0,3,0,1,1,1.11
"AL-Messias",2020-05-04,"nowcast",0,3,0,1,1,1.38
"AL-Messias",2020-05-05,"nowcast",0,3,0,1,1,1.59
"AL-Messias",2020-05-06,"nowcast",0,3,0,1,1,1.47
"AL-Messias",2020-05-07,"nowcast",0,3,0,1,1,1.62
"AL-Messias",2020-05-08,"nowcast",0,3,0,1,1,1.54
"AL-Messias",2020-05-09,"nowcast",0,4,1,2,2,2
"AL-Messias",2020-05-10,"nowcast",0,4,0,2,2,1.9
"AL-Messias",2020-05-11,"nowcast",0,4,1,2,2,1.9
"AL-Messias",2020-05-12,"nowcast",0,4,1,2,2,2.21
"AL-Messias",2020-05-13,"nowcast",0,4,1,2,2,2.15
"AL-Messias",2020-05-14,"nowcast",0,4,1,2,2,2.21
"AL-Messias",2020-05-15,"nowcast",0,5,2,3,3,2.76
"AL-Messias",2020-05-16,"nowcast",0,5,1,3,3,2.61
"AL-Messias",2020-05-17,"nowcast",0,6,1,3,3,3.1
"AL-Messias",2020-05-18,"nowcast",1,6,3,5,4,3.5
"AL-Messias",2020-05-19,"nowcast",0,6,2,4,4,3.7
"AL-Messias",2020-05-20,"nowcast",1,6,3,5,4,3.77
"AL-Messias",2020-05-21,"nowcast",1,7,2,4,4,3.83
"AL-Messias",2020-05-22,"nowcast",1,7,2,4,4,4.01
"AL-Messias",2020-05-23,"nowcast",2,7,3,4,4,4.22
"AL-Messias",2020-05-24,"nowcast",1,8,3,5,4,4.68
"AL-Messias",2020-05-25,"nowcast",1,7,3,5,4,4.42
"AL-Messias",2020-05-26,"nowcast",1,8,3,5,4.5,4.72
"AL-Messias",2020-05-27,"nowcast",1,8,3,5,5,4.75
"AL-Messias",2020-05-28,"nowcast",1,8,3,5,4,4.52
"AL-Messias",2020-05-29,"nowcast",1,8,3,5,5,5.35
"AL-Messias",2020-05-30,"nowcast",2,9,3,6,5,5.6
"AL-Messias",2020-05-31,"nowcast",2,9,3,6,6,5.56
"AL-Messias",2020-06-01,"nowcast",3,10,5,7,6,5.87
"AL-Messias",2020-06-02,"nowcast",3,10,4,6,6,6.01
"AL-Messias",2020-06-03,"nowcast",2,9,5,7,6.5,6.52
"AL-Messias",2020-06-04,"nowcast",3,11,4,7,6.5,6.72
"AL-Messias",2020-06-05,"nowcast",2,11,4,7,7,6.84
"AL-Messias",2020-06-06,"nowcast",3,10,6,8,7,7.18
"AL-Messias",2020-06-07,"nowcast",2,11,5,8,7,7.16
"AL-Messias",2020-06-08,"nowcast",2,9,5,7,6,6.24
"AL-Messias",2020-06-09,"nowcast",3,10,4,7,7,6.54
"AL-Messias",2020-06-10,"nowcast",1,9,4,7,6,6.33
"AL-Messias",2020-06-11,"nowcast",3,10,3,6,6,6.38
"AL-Messias",2020-06-12,"nowcast",4,11,6,8,7,6.86
"AL-Messias",2020-06-13,"nowcast",4,11,5,7,7,6.96
"AL-Messias",2020-06-14,"nowcast",2,10,4,7,7,6.72
"AL-Messias",2020-06-15,"nowcast",2,9,3,6,6,5.9
"AL-Messias",2020-06-16,"nowcast",2,8,5,7,6,5.74
"AL-Messias",2020-06-17,"nowcast",2,8,3,5,5,5.01
"AL-Messias",2020-06-18,"nowcast",2,8,4,6,5,4.97
"AL-Messias",2020-06-19,"nowcast",1,8,3,5,4,4.57
"AL-Messias",2020-06-20,"nowcast",1,7,3,5,5,4.73
"AL-Messias",2020-06-21,"nowcast",2,8,3,5,5,4.93
"AL-Messias",2020-06-22,"nowcast",0,8,3,5,5,4.92
"AL-Messias",2020-06-23,"nowcast",1,8,4,6,5,5.37
"AL-Messias",2020-06-24,"nowcast",3,9,3,6,6,5.77
"AL-Messias",2020-06-25,"nowcast",2,9,3,6,6,5.93
"AL-Messias",2020-06-26,"nowcast",3,9,5,7,6,6.31
"AL-Messias",2020-06-27,"nowcast",3,10,3,6,6,6.2
"AL-Messias",2020-06-28,"nowcast",2,9,4,7,6,6.01
"AL-Messias",2020-06-29,"nowcast",2,9,4,7,6,6.38
"AL-Messias",2020-06-30,"nowcast",1,10,5,8,7,6.44
"AL-Messias",2020-07-01,"nowcast",2,11,4,7,6.5,6.68
"AL-Messias",2020-07-02,"nowcast",1,9,3,6,6,5.86
"AL-Messias",2020-07-03,"nowcast",2,9,5,7,6,6.42
"AL-Messias",2020-07-04,"nowcast",1,10,4,7,6,6.31
"AL-Messias",2020-07-05,"nowcast",2,10,3,6,6,6.17
"AL-Messias",2020-07-06,"nowcast",2,10,3,6,6,6.36
"AL-Messias",2020-07-07,"nowcast",2,9,5,7,6,6.11
"AL-Messias",2020-07-08,"nowcast",2,10,4,6,6,6.28
"AL-Messias",2020-07-09,"nowcast",2,9,5,7,6,5.74
"AL-Messias",2020-07-10,"nowcast",3,10,3,6,6,6.11
"AL-Messias",2020-07-11,"nowcast",1,8,3,6,6,5.73
"AL-Messias",2020-07-12,"nowcast",3,11,4,7,7,6.8
"AL-Messias",2020-07-13,"nowcast",2,10,3,6,6,6.29
"AL-Messias",2020-07-14,"nowcast",2,10,4,7,6,6.58
"AL-Messias",2020-07-15,"nowcast",3,11,4,7,7,7
"AL-Messias",2020-07-16,"nowcast",3,11,5,8,7,6.76
"AL-Messias",2020-07-17,"nowcast",2,11,6,9,7,7.33
"AL-Messias",2020-07-18,"nowcast",3,11,5,8,7,7.57
"AL-Messias",2020-07-19,"nowcast",4,11,4,7,7,7.33
"AL-Messias",2020-07-20,"nowcast",3,11,5,8,7,7.13
"AL-Messias",2020-07-21,"nowcast",3,9,4,7,6,6.22
"AL-Messias",2020-07-22,"nowcast",1,9,3,6,6,5.76
"AL-Messias",2020-07-23,"nowcast",3,11,3,6,6,5.84
"AL-Messias",2020-07-24,"nowcast",1,9,4,6,5,5.37
"AL-Messias",2020-07-25,"nowcast",1,10,4,7,6,6.03
"AL-Messias",2020-07-26,"nowcast",2,9,3,6,6,5.95
"AL-Messias",2020-07-27,"nowcast",2,9,3,6,5,5.5
"AL-Messias",2020-07-28,"nowcast",3,10,3,6,6,5.93
"AL-Messias",2020-07-29,"nowcast",3,9,4,6,6,5.99
"AL-Messias",2020-07-30,"nowcast",2,9,3,6,5,5.64
"AL-Messias",2020-07-31,"nowcast",0,8,2,5,5,4.74
"AL-Messias",2020-08-01,"nowcast",1,8,2,5,4,4.43
"AL-Messias",2020-08-02,"nowcast",1,7,2,4,4,3.86
"AL-Messias",2020-08-03,"nowcast",0,7,2,4,3.5,4.03
"AL-Messias",2020-08-04,"nowcast",1,7,4,6,4,4.24
"AL-Messias",2020-08-05,"nowcast",1,7,4,6,4,4.29
"AL-Messias",2020-08-06,"nowcast",1,8,2,5,5,4.8
"AL-Messias",2020-08-07,"nowcast",1,9,2,5,5,5.01
"AL-Messias",2020-08-08,"nowcast",1,9,4,6,5,5.24
"AL-Messias",2020-08-09,"nowcast",1,8,4,6,5,5.4
"AL-Messias",2020-08-10,"nowcast",2,10,2,5,5,5.53
"AL-Messias",2020-08-11,"nowcast",0,9,3,6,5,5.52
"AL-Messias",2020-08-12,"nowcast",2,12,3,6,5,6.33
"AL-Messias",2020-08-13,"nowcast",2,11,2,6,6,6.81
"AL-Messias",2020-05-04,"observed",NA,NA,NA,NA,1,NA
"AL-Messias",2020-05-05,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-05-06,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-05-07,"observed",NA,NA,NA,NA,1,NA
"AL-Messias",2020-05-08,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-05-09,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-05-10,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-05-11,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-05-12,"observed",NA,NA,NA,NA,1,NA
"AL-Messias",2020-05-13,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-05-14,"observed",NA,NA,NA,NA,4,NA
"AL-Messias",2020-05-15,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-05-16,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-05-17,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-05-18,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-05-19,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-05-20,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-05-21,"observed",NA,NA,NA,NA,1,NA
"AL-Messias",2020-05-22,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-05-23,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-05-24,"observed",NA,NA,NA,NA,1,NA
"AL-Messias",2020-05-25,"observed",NA,NA,NA,NA,7,NA
"AL-Messias",2020-05-26,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-05-27,"observed",NA,NA,NA,NA,2,NA
"AL-Messias",2020-05-28,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-05-29,"observed",NA,NA,NA,NA,13,NA
"AL-Messias",2020-05-30,"observed",NA,NA,NA,NA,1,NA
"AL-Messias",2020-05-31,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-06-01,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-06-02,"observed",NA,NA,NA,NA,1,NA
"AL-Messias",2020-06-03,"observed",NA,NA,NA,NA,10,NA
"AL-Messias",2020-06-04,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-06-05,"observed",NA,NA,NA,NA,1,NA
"AL-Messias",2020-06-06,"observed",NA,NA,NA,NA,2,NA
"AL-Messias",2020-06-07,"observed",NA,NA,NA,NA,1,NA
"AL-Messias",2020-06-08,"observed",NA,NA,NA,NA,6,NA
"AL-Messias",2020-06-09,"observed",NA,NA,NA,NA,8,NA
"AL-Messias",2020-06-10,"observed",NA,NA,NA,NA,24,NA
"AL-Messias",2020-06-11,"observed",NA,NA,NA,NA,2,NA
"AL-Messias",2020-06-12,"observed",NA,NA,NA,NA,1,NA
"AL-Messias",2020-06-13,"observed",NA,NA,NA,NA,2,NA
"AL-Messias",2020-06-14,"observed",NA,NA,NA,NA,3,NA
"AL-Messias",2020-06-15,"observed",NA,NA,NA,NA,1,NA
"AL-Messias",2020-06-16,"observed",NA,NA,NA,NA,6,NA
"AL-Messias",2020-06-17,"observed",NA,NA,NA,NA,39,NA
"AL-Messias",2020-06-18,"observed",NA,NA,NA,NA,3,NA
"AL-Messias",2020-06-19,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-06-20,"observed",NA,NA,NA,NA,1,NA
"AL-Messias",2020-06-21,"observed",NA,NA,NA,NA,30,NA
"AL-Messias",2020-06-22,"observed",NA,NA,NA,NA,3,NA
"AL-Messias",2020-06-23,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-06-24,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-06-25,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-06-26,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-06-27,"observed",NA,NA,NA,NA,1,NA
"AL-Messias",2020-06-28,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-06-29,"observed",NA,NA,NA,NA,19,NA
"AL-Messias",2020-06-30,"observed",NA,NA,NA,NA,3,NA
"AL-Messias",2020-07-01,"observed",NA,NA,NA,NA,2,NA
"AL-Messias",2020-07-02,"observed",NA,NA,NA,NA,1,NA
"AL-Messias",2020-07-03,"observed",NA,NA,NA,NA,2,NA
"AL-Messias",2020-07-04,"observed",NA,NA,NA,NA,24,NA
"AL-Messias",2020-07-05,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-07-06,"observed",NA,NA,NA,NA,9,NA
"AL-Messias",2020-07-07,"observed",NA,NA,NA,NA,1,NA
"AL-Messias",2020-07-08,"observed",NA,NA,NA,NA,2,NA
"AL-Messias",2020-07-09,"observed",NA,NA,NA,NA,18,NA
"AL-Messias",2020-07-10,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-07-11,"observed",NA,NA,NA,NA,4,NA
"AL-Messias",2020-07-12,"observed",NA,NA,NA,NA,16,NA
"AL-Messias",2020-07-13,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-07-14,"observed",NA,NA,NA,NA,1,NA
"AL-Messias",2020-07-15,"observed",NA,NA,NA,NA,6,NA
"AL-Messias",2020-07-16,"observed",NA,NA,NA,NA,14,NA
"AL-Messias",2020-07-17,"observed",NA,NA,NA,NA,1,NA
"AL-Messias",2020-07-18,"observed",NA,NA,NA,NA,1,NA
"AL-Messias",2020-07-19,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-07-20,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-07-21,"observed",NA,NA,NA,NA,14,NA
"AL-Messias",2020-07-22,"observed",NA,NA,NA,NA,1,NA
"AL-Messias",2020-07-23,"observed",NA,NA,NA,NA,38,NA
"AL-Messias",2020-07-24,"observed",NA,NA,NA,NA,9,NA
"AL-Messias",2020-07-25,"observed",NA,NA,NA,NA,2,NA
"AL-Messias",2020-07-26,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-07-27,"observed",NA,NA,NA,NA,7,NA
"AL-Messias",2020-07-28,"observed",NA,NA,NA,NA,2,NA
"AL-Messias",2020-07-29,"observed",NA,NA,NA,NA,6,NA
"AL-Messias",2020-07-30,"observed",NA,NA,NA,NA,10,NA
"AL-Messias",2020-07-31,"observed",NA,NA,NA,NA,4,NA
"AL-Messias",2020-08-01,"observed",NA,NA,NA,NA,3,NA
"AL-Messias",2020-08-02,"observed",NA,NA,NA,NA,22,NA
"AL-Messias",2020-08-03,"observed",NA,NA,NA,NA,15,NA
"AL-Messias",2020-08-04,"observed",NA,NA,NA,NA,4,NA
"AL-Messias",2020-08-05,"observed",NA,NA,NA,NA,3,NA
"AL-Messias",2020-08-06,"observed",NA,NA,NA,NA,3,NA
"AL-Messias",2020-08-07,"observed",NA,NA,NA,NA,2,NA
"AL-Messias",2020-08-08,"observed",NA,NA,NA,NA,3,NA
"AL-Messias",2020-08-09,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-08-10,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-08-11,"observed",NA,NA,NA,NA,2,NA
"AL-Messias",2020-08-12,"observed",NA,NA,NA,NA,10,NA
"AL-Messias",2020-08-13,"observed",NA,NA,NA,NA,7,NA
"AL-Messias",2020-08-14,"observed",NA,NA,NA,NA,5,NA
"AL-Messias",2020-08-15,"observed",NA,NA,NA,NA,1,NA
"AL-Messias",2020-08-16,"observed",NA,NA,NA,NA,1,NA
"AL-Messias",2020-08-17,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-08-18,"observed",NA,NA,NA,NA,12,NA
"AL-Messias",2020-08-19,"observed",NA,NA,NA,NA,3,NA
"AL-Messias",2020-08-20,"observed",NA,NA,NA,NA,8,NA
"AL-Messias",2020-08-21,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-08-22,"observed",NA,NA,NA,NA,7,NA
"AL-Messias",2020-08-23,"observed",NA,NA,NA,NA,2,NA
"AL-Messias",2020-08-24,"observed",NA,NA,NA,NA,0,NA
"AL-Messias",2020-08-14,"forecast",0,14,2,7,6,7.13
"AL-Messias",2020-08-15,"forecast",0,14,2,7,6,7.542
"AL-Messias",2020-08-16,"forecast",0,17,2,8,7,8.516
"AL-Messias",2020-08-17,"forecast",0,17,0,7,7,9.078
"AL-Messias",2020-08-18,"forecast",0,18,0,7,7,8.972
"AL-Messias",2020-08-19,"forecast",0,23,0,7,7,10.578
"AL-Messias",2020-08-20,"forecast",0,25,0,7,7,11.798
"AL-Messias",2020-08-21,"forecast",0,28,0,7,7,13.458
"AL-Messias",2020-08-22,"forecast",0,35,0,8,8,14.544
"AL-Messias",2020-08-23,"forecast",0,34,0,8,8,14.902
"AL-Messias",2020-08-24,"forecast",0,39,0,8,8,17.354
"AL-Messias",2020-08-25,"forecast",0,42,0,8,8,20.036
"AL-Messias",2020-08-26,"forecast",0,46,0,8,8,28.6
"AL-Messias",2020-08-27,"forecast",0,53,0,8,8,33.242
