"region","date","type","bottom","top","lower","upper","median","mean","std","prob_control"
"AL-São Miguel dos Campos",2020-05-16,"nowcast",0.900240233770835,1.88664111892877,1.14627819886395,1.52917997771136,1.37683809740872,1.39392479430481,0.307012515447199,0.0817647058823529
"AL-São Miguel dos Campos",2020-05-17,"nowcast",0.897534896930677,1.82664733551284,1.16752143152811,1.51497692700436,1.34135542556773,1.35477625650618,0.284783643170853,0.088102261553589
"AL-São Miguel dos Campos",2020-05-18,"nowcast",0.916274665056477,1.81206950266483,1.13852168857439,1.48238260446489,1.30925868230049,1.32027410161046,0.275952013472018,0.104892367906067
"AL-São Miguel dos Campos",2020-05-19,"nowcast",0.878413649175347,1.68917783325329,1.11155304627994,1.41783601651971,1.27312549805091,1.27977224219582,0.249730564616739,0.11937984496124
"AL-São Miguel dos Campos",2020-05-20,"nowcast",0.817823555045626,1.60644489977455,1.07549124428739,1.38030828914733,1.22588975887722,1.23027296512967,0.245473245927539,0.161606268364349
"AL-São Miguel dos Campos",2020-05-21,"nowcast",0.817439262325282,1.54411156574672,1.06286592769548,1.34124122917928,1.189602074738,1.19104151986852,0.227025636856309,0.182312925170068
"AL-São Miguel dos Campos",2020-05-22,"nowcast",0.798576076368168,1.51154633461347,1.04007038230675,1.31652535079072,1.1742521016037,1.17718047957291,0.222927484523336,0.200388726919339
"AL-São Miguel dos Campos",2020-05-23,"nowcast",0.804874154389332,1.49961526291269,1.03755718330585,1.29959505921387,1.15894427821129,1.16404620693592,0.215954226906217,0.21163708086785
"AL-São Miguel dos Campos",2020-05-24,"nowcast",0.80755856251746,1.49447513314349,1.00573248955349,1.26105465408648,1.14402641391374,1.15473829328794,0.212641917956409,0.222396856581532
"AL-São Miguel dos Campos",2020-05-25,"nowcast",0.797012654317581,1.44270844706879,0.994405751890689,1.23674809702347,1.12622995829536,1.13094430415136,0.198403882618803,0.242536585365854
"AL-São Miguel dos Campos",2020-05-26,"nowcast",0.790882724864305,1.42660936838611,0.981722202938845,1.22736213753728,1.10136068655195,1.10914357026618,0.199668483387198,0.28565815324165
"AL-São Miguel dos Campos",2020-05-27,"nowcast",0.76300160308915,1.39629552780523,0.947767166838186,1.18479327875765,1.07916179487243,1.08192533575165,0.193811540000285,0.324561403508772
"AL-São Miguel dos Campos",2020-05-28,"nowcast",0.754863840430756,1.36446067923925,0.954942825361619,1.18523875957063,1.05647030251409,1.05941271293974,0.191405322292647,0.370399221032132
"AL-São Miguel dos Campos",2020-05-29,"nowcast",0.718197281619674,1.31186205603095,0.926454272636302,1.15044678267663,1.0292361806145,1.03364302005481,0.182481444120386,0.425196850393701
"AL-São Miguel dos Campos",2020-05-30,"nowcast",0.712251463455977,1.28866385292259,0.915199181925647,1.13179175445787,1.01434777012417,1.01385542815706,0.175510900560833,0.46284046692607
"AL-São Miguel dos Campos",2020-05-31,"nowcast",0.719196271840747,1.30342705652854,0.898978378097614,1.11643421942426,0.997013275293135,1.0006609694854,0.179070131966443,0.506692913385827
"AL-São Miguel dos Campos",2020-06-01,"nowcast",0.698275275125259,1.28724631412429,0.892889548675328,1.10663364120526,0.992843277496607,0.997073343941422,0.183861100947808,0.516129032258065
