"region","date","type","bottom","top","lower","upper","median","mean","std","prob_control"
"BA-Amélia Rodrigues",2020-06-02,"nowcast",0.260878169711964,1.75231395553647,0.527927187744943,1.17413468056964,0.985180988096793,1.0567548403544,0.53369528727472,0.507692307692308
"BA-Amélia Rodrigues",2020-06-03,"nowcast",0.164840544078354,1.92425832019059,0.554993492312265,1.15568874398429,1.02373208710936,1.14723192891077,0.642083259092482,0.483636363636364
"BA-Amélia Rodrigues",2020-06-04,"nowcast",0.431849554118541,2.19547002522464,0.62838588717174,1.25093697490263,1.11684209093365,1.26051168445688,0.680659856641574,0.4
"BA-Amélia Rodrigues",2020-06-05,"nowcast",0.191914901220455,1.95280204123232,0.800873629238207,1.43795310758614,1.10884717194958,1.18477685600168,0.626213563311019,0.409615384615385
"BA-Amélia Rodrigues",2020-06-06,"nowcast",0.230714023310889,1.8827476734379,0.649447079183832,1.33426942818677,1.09643815207835,1.1661919405124,0.580441245538703,0.426666666666667
"BA-Amélia Rodrigues",2020-06-07,"nowcast",0.451830731842126,2.17595108355401,0.790220656407957,1.36478819552449,1.15314895560465,1.24670940757718,0.553680876059427,0.353153153153153
"BA-Amélia Rodrigues",2020-06-08,"nowcast",0.37481154199445,1.99046462519179,0.616632469304635,1.20272782191033,1.09886443572575,1.18446569967417,0.518472926588939,0.40952380952381
"BA-Amélia Rodrigues",2020-06-09,"nowcast",0.345609288251214,2.18069154660348,0.654494343120895,1.31876274025185,1.17835826487639,1.29388522259631,0.643427267279039,0.358181818181818
"BA-Amélia Rodrigues",2020-06-10,"nowcast",0.350852405345141,2.24327328203307,0.884511359293706,1.51670409194385,1.23751904999305,1.34055835083194,0.639653027346785,0.297196261682243
"BA-Amélia Rodrigues",2020-06-11,"nowcast",0.476575887302902,2.09589012802896,0.721858268527516,1.32822141030706,1.22866006018973,1.33634009663564,0.599221381803624,0.302803738317757
"BA-Amélia Rodrigues",2020-06-12,"nowcast",0.578332361502755,2.06103135088815,0.858883061679547,1.43401803818485,1.24529730913199,1.30465434147083,0.519697330802439,0.292156862745098
"BA-Amélia Rodrigues",2020-06-13,"nowcast",0.411703514973,2.09673412238901,0.779259081012566,1.38243400501029,1.15795104656737,1.28632733591713,0.665585646476473,0.348514851485148
"BA-Amélia Rodrigues",2020-06-14,"nowcast",0.42238583582043,2.02207835999667,0.856623877189286,1.43363345523173,1.16580985576249,1.22346373736331,0.513368554498144,0.349090909090909
"BA-Amélia Rodrigues",2020-06-15,"nowcast",0.475139114142873,2.02390349979493,0.812628278965839,1.40165718801197,1.19497638737689,1.2561470648977,0.555171341390606,0.313725490196078
"BA-Amélia Rodrigues",2020-06-16,"nowcast",0.519250520637849,1.93855068515664,0.89926023334001,1.40120939362057,1.19188412199449,1.27733033884284,0.516329311922156,0.301923076923077
"BA-Amélia Rodrigues",2020-06-17,"nowcast",0.311250243243576,1.89236433478773,0.872492222301423,1.46485966545541,1.17309587407118,1.25486373525626,0.585510595177005,0.339805825242718
"BA-Amélia Rodrigues",2020-06-18,"nowcast",0.521306312215553,1.94738305041167,1.02098974859192,1.58306550626762,1.25215695381347,1.29102545564615,0.457117015854755,0.265384615384615
"BA-Amélia Rodrigues",2020-06-19,"nowcast",0.487194881368629,1.96412408714549,0.870130064709106,1.42659204619376,1.21053828185871,1.25486258161208,0.486365137808236,0.309803921568627
"BA-Amélia Rodrigues",2020-06-20,"nowcast",0.587223408903783,1.89964748487083,0.839973298148527,1.32236945916849,1.1890937803798,1.23311180398997,0.44175350693244,0.299047619047619
"BA-Amélia Rodrigues",2020-06-21,"nowcast",0.467544241646728,1.86918154856697,0.926139071217035,1.47723519579219,1.15694565069599,1.20933630788301,0.478381942196059,0.340952380952381
"BA-Amélia Rodrigues",2020-06-22,"nowcast",0.499982818387218,1.78634898849767,0.772617828552865,1.29511118842909,1.16543026854642,1.19231308911333,0.430396663537301,0.333980582524272
"BA-Amélia Rodrigues",2020-06-23,"nowcast",0.607437400927493,1.82507451910671,0.821031172083774,1.29560780868984,1.08699013043338,1.13990036804268,0.39487714895229,0.387155963302752
"BA-Amélia Rodrigues",2020-06-24,"nowcast",0.566544925935014,1.74667466619682,0.872271538533034,1.30742882420412,1.11223339690802,1.15292912244219,0.389524894822477,0.347572815533981
"BA-Amélia Rodrigues",2020-06-25,"nowcast",0.41992066712246,1.71789859043503,0.813455798018117,1.21851836676847,1.02953277412805,1.08507557680848,0.411302526832839,0.443137254901961
"BA-Amélia Rodrigues",2020-06-26,"nowcast",0.505122799298742,1.57752256882201,0.866446572249946,1.28668134665715,1.05031676729088,1.06749057167962,0.330904362865769,0.43302752293578
"BA-Amélia Rodrigues",2020-06-27,"nowcast",0.464611757950833,1.66028166671075,0.766169061692384,1.19013543819371,1.0252522744274,1.06567612396162,0.396905979950362,0.484313725490196
