"region","date","type","bottom","top","lower","upper","median","mean"
"BA-Candeias",2020-02-27,"nowcast",1,1,1,1,1,1
"BA-Candeias",2020-02-28,"nowcast",0,1,1,1,1,0.666666666666667
"BA-Candeias",2020-02-29,"nowcast",0,1,0,1,0.5,0.5
"BA-Candeias",2020-03-01,"nowcast",0,1,0,0,0,0.333333333333333
"BA-Candeias",2020-03-02,"nowcast",0,1,0,0,0,0.142857142857143
"BA-Candeias",2020-03-03,"nowcast",0,0,0,0,0,0
"BA-Candeias",2020-03-04,"nowcast",0,1,0,0,0,0.4
"BA-Candeias",2020-03-05,"nowcast",0,0,0,0,0,0
"BA-Candeias",2020-03-06,"nowcast",0,1,0,0,0,0.25
"BA-Candeias",2020-03-07,"nowcast",0,1,0,0,0,0.25
"BA-Candeias",2020-03-08,"nowcast",0,1,0,0,0,0.263157894736842
"BA-Candeias",2020-03-09,"nowcast",0,0,0,0,0,0.0952380952380952
"BA-Candeias",2020-03-10,"nowcast",0,1,0,0,0,0.259259259259259
"BA-Candeias",2020-03-11,"nowcast",0,1,0,0,0,0.384615384615385
"BA-Candeias",2020-03-12,"nowcast",0,1,0,0,0,0.357142857142857
"BA-Candeias",2020-03-13,"nowcast",0,1,0,0,0,0.246153846153846
"BA-Candeias",2020-03-14,"nowcast",0,1,0,0,0,0.32183908045977
"BA-Candeias",2020-03-15,"nowcast",0,1,0,0,0,0.247706422018349
"BA-Candeias",2020-03-16,"nowcast",0,1,0,0,0,0.264705882352941
"BA-Candeias",2020-03-17,"nowcast",0,1,0,0,0,0.246913580246914
"BA-Candeias",2020-03-18,"nowcast",0,1,0,0,0,0.228723404255319
"BA-Candeias",2020-03-19,"nowcast",0,1,0,0,0,0.243478260869565
"BA-Candeias",2020-03-20,"nowcast",0,1,0,0,0,0.256227758007117
"BA-Candeias",2020-03-21,"nowcast",0,1,0,0,0,0.267647058823529
"BA-Candeias",2020-03-22,"nowcast",0,1,0,0,0,0.214285714285714
"BA-Candeias",2020-03-23,"nowcast",0,1,0,0,0,0.207126948775056
"BA-Candeias",2020-03-24,"nowcast",0,1,0,0,0,0.223938223938224
"BA-Candeias",2020-03-25,"nowcast",0,1,0,0,0,0.157342657342657
"BA-Candeias",2020-03-26,"nowcast",0,1,0,0,0,0.138211382113821
"BA-Candeias",2020-03-27,"nowcast",0,1,0,0,0,0.112828438948995
"BA-Candeias",2020-03-28,"nowcast",0,0,0,0,0,0.0651515151515152
"BA-Candeias",2020-03-29,"nowcast",0,0,0,0,0,0.0713224368499257
"BA-Candeias",2020-03-30,"nowcast",0,0,0,0,0,0.0744525547445255
"BA-Candeias",2020-03-31,"nowcast",0,0,0,0,0,0.0660919540229885
"BA-Candeias",2020-04-01,"nowcast",0,0,0,0,0,0.0886075949367089
"BA-Candeias",2020-04-02,"nowcast",0,1,0,0,0,0.115702479338843
"BA-Candeias",2020-04-03,"nowcast",0,1,0,0,0,0.138627187079408
"BA-Candeias",2020-04-04,"nowcast",0,1,0,0,0,0.143229166666667
"BA-Candeias",2020-04-05,"nowcast",0,1,0,0,0,0.193670886075949
"BA-Candeias",2020-04-06,"nowcast",0,1,0,0,0,0.218137254901961
"BA-Candeias",2020-04-07,"nowcast",0,1,0,0,0,0.273381294964029
"BA-Candeias",2020-04-08,"nowcast",0,1,0,0,0,0.310826542491269
"BA-Candeias",2020-04-09,"nowcast",0,1,0,0,0,0.362186788154898
"BA-Candeias",2020-04-10,"nowcast",0,1,0,0,0,0.454244762954796
"BA-Candeias",2020-04-11,"nowcast",0,2,0,0,0,0.555198285101822
"BA-Candeias",2020-04-12,"nowcast",0,2,0,0,0,0.664248704663212
"BA-Candeias",2020-04-13,"nowcast",0,2,0,1,1,0.730417090539166
"BA-Candeias",2020-04-14,"nowcast",0,2,0,1,1,0.856998992950655
"BA-Candeias",2020-04-15,"nowcast",0,2,0,1,1,1.038
"BA-Candeias",2020-04-16,"nowcast",0,3,0,1,1,1.217
"BA-Candeias",2020-04-17,"nowcast",0,3,0,1,1,1.349
"BA-Candeias",2020-04-18,"nowcast",0,3,0,1,1,1.436
"BA-Candeias",2020-04-19,"nowcast",0,3,0,1,1,1.604
"BA-Candeias",2020-04-20,"nowcast",0,3,0,1,1,1.671
"BA-Candeias",2020-04-21,"nowcast",0,3,1,2,2,1.835
"BA-Candeias",2020-04-22,"nowcast",0,4,1,2,2,1.869
"BA-Candeias",2020-04-23,"nowcast",0,4,1,2,2,1.902
"BA-Candeias",2020-04-24,"nowcast",0,4,1,2,2,2.047
"BA-Candeias",2020-04-25,"nowcast",0,4,1,2,2,2.125
"BA-Candeias",2020-04-26,"nowcast",0,4,1,2,2,2.146
"BA-Candeias",2020-04-27,"nowcast",0,4,1,2,2,2.253
"BA-Candeias",2020-04-28,"nowcast",0,5,0,2,2,2.497
"BA-Candeias",2020-04-29,"nowcast",0,5,1,3,3,2.826
"BA-Candeias",2020-04-30,"nowcast",1,6,1,3,3,3.352
"BA-Candeias",2020-05-01,"nowcast",0,6,2,4,4,3.741
"BA-Candeias",2020-05-02,"nowcast",1,7,2,4,4,4.143
"BA-Candeias",2020-05-03,"nowcast",1,8,3,5,4,4.66
"BA-Candeias",2020-05-04,"nowcast",1,8,2,5,5,5.212
"BA-Candeias",2020-05-05,"nowcast",1,9,3,6,5,5.684
"BA-Candeias",2020-05-06,"nowcast",1,9,3,6,6,6.259
"BA-Candeias",2020-05-07,"nowcast",2,10,4,7,7,6.815
"BA-Candeias",2020-05-08,"nowcast",3,11,4,7,7,7.161
"BA-Candeias",2020-05-09,"nowcast",3,11,5,8,7,7.57
"BA-Candeias",2020-05-10,"nowcast",3,11,5,8,8,7.725
"BA-Candeias",2020-05-11,"nowcast",4,12,6,9,8,7.761
"BA-Candeias",2020-05-12,"nowcast",4,12,5,8,8,7.859
"BA-Candeias",2020-05-13,"nowcast",3,11,5,8,7,7.51
"BA-Candeias",2020-05-14,"nowcast",3,11,5,8,8,7.578
"BA-Candeias",2020-05-15,"nowcast",4,12,5,8,8,8.047
"BA-Candeias",2020-05-16,"nowcast",3,12,6,9,8,8.324
"BA-Candeias",2020-05-17,"nowcast",3,13,5,9,9,8.865
"BA-Candeias",2020-05-18,"nowcast",4,13,7,10,9,9.324
"BA-Candeias",2020-05-19,"nowcast",4,14,6,10,10,9.813
"BA-Candeias",2020-05-20,"nowcast",5,15,7,11,10,10.28
"BA-Candeias",2020-05-21,"nowcast",5,15,7,11,11,10.892
"BA-Candeias",2020-05-22,"nowcast",6,16,8,12,12,11.597
"BA-Candeias",2020-05-23,"nowcast",6,17,9,13,12,12.425
"BA-Candeias",2020-05-24,"nowcast",8,19,11,15,13,13.427
"BA-Candeias",2020-05-25,"nowcast",7,19,12,16,14,14.335
"BA-Candeias",2020-05-26,"nowcast",8,20,13,17,15,14.931
"BA-Candeias",2020-05-27,"nowcast",9,21,11,16,16,15.704
"BA-Candeias",2020-05-28,"nowcast",10,22,12,17,16,16.254
"BA-Candeias",2020-05-29,"nowcast",10,22,13,18,16,16.641
"BA-Candeias",2020-05-30,"nowcast",9,22,13,18,16,16.468
"BA-Candeias",2020-05-31,"nowcast",8,21,12,17,16,15.978
"BA-Candeias",2020-06-01,"nowcast",9,21,11,16,15,15.515
"BA-Candeias",2020-06-02,"nowcast",9,21,13,17,15,15.23
"BA-Candeias",2020-06-03,"nowcast",8,20,11,16,15,15.136
"BA-Candeias",2020-06-04,"nowcast",9,21,11,16,15,15.3
"BA-Candeias",2020-06-05,"nowcast",9,21,11,16,16,15.75
"BA-Candeias",2020-06-06,"nowcast",10,22,11,16,16,15.885
"BA-Candeias",2020-06-07,"nowcast",10,22,12,17,16,15.989
"BA-Candeias",2020-06-08,"nowcast",8,21,12,17,16,15.801
"BA-Candeias",2020-06-09,"nowcast",9,21,13,17,15,15.612
"BA-Candeias",2020-06-10,"nowcast",9,22,13,18,16,16.086
"BA-Candeias",2020-06-11,"nowcast",10,23,13,18,17,16.801
"BA-Candeias",2020-06-12,"nowcast",11,24,14,19,18,17.595
"BA-Candeias",2020-06-13,"nowcast",11,24,15,20,18,18.405
"BA-Candeias",2020-06-14,"nowcast",11,25,14,20,19,19.184
"BA-Candeias",2020-06-15,"nowcast",13,27,16,21,20,19.885
"BA-Candeias",2020-06-16,"nowcast",13,27,17,22,20,20.418
"BA-Candeias",2020-06-17,"nowcast",14,28,15,21,21,20.724
"BA-Candeias",2020-06-18,"nowcast",14,27,17,22,20,20.644
"BA-Candeias",2020-06-19,"nowcast",12,27,17,23,21,21.219
"BA-Candeias",2020-06-20,"nowcast",14,29,17,23,22,21.881
"BA-Candeias",2020-06-21,"nowcast",13,29,18,24,22,22.539
"BA-Candeias",2020-06-22,"nowcast",14,29,18,24,23,22.768
"BA-Candeias",2020-06-23,"nowcast",15,31,20,26,24,23.87
"BA-Candeias",2020-06-24,"nowcast",15,32,22,28,24,24.68
"BA-Candeias",2020-06-25,"nowcast",16,32,21,27,25,25.371
"BA-Candeias",2020-06-26,"nowcast",17,34,23,29,27,27.041
"BA-Candeias",2020-06-27,"nowcast",19,35,23,29,28,28.404
"BA-Candeias",2020-06-28,"nowcast",21,38,25,32,30,29.646
"BA-Candeias",2020-06-29,"nowcast",22,39,25,32,30,30.794
"BA-Candeias",2020-06-30,"nowcast",21,39,25,32,31,31.14
"BA-Candeias",2020-07-01,"nowcast",23,40,26,33,31,30.974
"BA-Candeias",2020-07-02,"nowcast",22,39,24,31,30,30.344
"BA-Candeias",2020-07-03,"nowcast",20,37,23,30,29,29.406
"BA-Candeias",2020-07-04,"nowcast",21,37,25,31,29,28.857
"BA-Candeias",2020-07-05,"nowcast",20,36,22,29,28,27.895
"BA-Candeias",2020-07-06,"nowcast",18,34,21,28,27,27.105
"BA-Candeias",2020-07-07,"nowcast",18,34,22,28,26,26.325
"BA-Candeias",2020-07-08,"nowcast",16,33,21,27,25,25.26
"BA-Candeias",2020-07-09,"nowcast",16,32,21,27,25,25.554
"BA-Candeias",2020-07-10,"nowcast",17,33,22,28,26,25.823
"BA-Candeias",2020-07-11,"nowcast",17,33,22,28,26,26.456
"BA-Candeias",2020-07-12,"nowcast",18,34,22,28,27,26.816
"BA-Candeias",2020-07-13,"nowcast",19,35,22,29,27,27.451
"BA-Candeias",2020-07-14,"nowcast",19,35,23,29,27,27.509
"BA-Candeias",2020-07-15,"nowcast",20,35,23,29,27,27.43
"BA-Candeias",2020-07-16,"nowcast",18,34,24,30,27,27.127
"BA-Candeias",2020-07-17,"nowcast",19,35,23,29,27,26.774
"BA-Candeias",2020-07-18,"nowcast",18,34,23,29,27,26.619
"BA-Candeias",2020-07-19,"nowcast",17,33,22,28,26,25.707
"BA-Candeias",2020-07-20,"nowcast",16,31,19,25,24,23.839
"BA-Candeias",2020-07-21,"nowcast",15,30,17,23,22,22.213
"BA-Candeias",2020-07-22,"nowcast",14,28,18,23,21,21.406
"BA-Candeias",2020-07-23,"nowcast",13,27,15,21,21,20.552
"BA-Candeias",2020-07-24,"nowcast",13,27,17,22,20,20.423
"BA-Candeias",2020-07-25,"nowcast",13,27,17,22,20,20.012
"BA-Candeias",2020-07-26,"nowcast",13,26,16,21,20,19.713
"BA-Candeias",2020-07-27,"nowcast",12,26,13,19,19,19.255
"BA-Candeias",2020-07-28,"nowcast",12,25,15,20,19,18.919
