"region","date","type","bottom","top","lower","upper","median","mean"
"BA-Catu",2020-01-21,"nowcast",1,1,1,1,1,1
"BA-Catu",2020-01-22,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-01-23,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-01-24,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-01-25,"nowcast",0,1,0,1,0.5,0.5
"BA-Catu",2020-01-26,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-01-27,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-01-28,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-01-29,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-01-30,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-01-31,"nowcast",0,1,0,1,0.5,0.5
"BA-Catu",2020-02-01,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-02-02,"nowcast",0,1,0,1,0.5,0.5
"BA-Catu",2020-02-03,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-02-04,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-02-05,"nowcast",0,1,0,0,0,0.333333333333333
"BA-Catu",2020-02-06,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-02-07,"nowcast",0,1,0,1,0.5,0.5
"BA-Catu",2020-02-08,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-02-09,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-02-10,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-02-11,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-02-12,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-02-13,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-02-14,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-02-15,"nowcast",0,1,0,0,0,0.333333333333333
"BA-Catu",2020-02-16,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-02-17,"nowcast",0,1,0,0,0,0.166666666666667
"BA-Catu",2020-02-18,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-02-19,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-02-20,"nowcast",0,0,0,0,0,0
"BA-Catu",2020-02-21,"nowcast",0,1,0,0,0,0.285714285714286
"BA-Catu",2020-02-22,"nowcast",0,1,0,0,0,0.125
"BA-Catu",2020-02-23,"nowcast",0,1,0,0,0,0.2
"BA-Catu",2020-02-24,"nowcast",0,1,0,0,0,0.3
"BA-Catu",2020-02-25,"nowcast",0,1,0,0,0,0.25
"BA-Catu",2020-02-26,"nowcast",0,1,0,0,0,0.214285714285714
"BA-Catu",2020-02-27,"nowcast",0,1,0,0,0,0.125
"BA-Catu",2020-02-28,"nowcast",0,0,0,0,0,0.0625
"BA-Catu",2020-02-29,"nowcast",0,1,0,0,0,0.263157894736842
"BA-Catu",2020-03-01,"nowcast",0,1,0,0,0,0.1
"BA-Catu",2020-03-02,"nowcast",0,1,0,0,0,0.181818181818182
"BA-Catu",2020-03-03,"nowcast",0,0,0,0,0,0.0454545454545455
"BA-Catu",2020-03-04,"nowcast",0,1,0,0,0,0.2
"BA-Catu",2020-03-05,"nowcast",0,1,0,0,0,0.153846153846154
"BA-Catu",2020-03-06,"nowcast",0,1,0,0,0,0.241379310344828
"BA-Catu",2020-03-07,"nowcast",0,0,0,0,0,0.0689655172413793
"BA-Catu",2020-03-08,"nowcast",0,1,0,0,0,0.133333333333333
"BA-Catu",2020-03-09,"nowcast",0,1,0,0,0,0.25
"BA-Catu",2020-03-10,"nowcast",0,1,0,0,0,0.243243243243243
"BA-Catu",2020-03-11,"nowcast",0,1,0,0,0,0.175
"BA-Catu",2020-03-12,"nowcast",0,0,0,0,0,0.0930232558139535
"BA-Catu",2020-03-13,"nowcast",0,1,0,0,0,0.173913043478261
"BA-Catu",2020-03-14,"nowcast",0,1,0,0,0,0.173076923076923
"BA-Catu",2020-03-15,"nowcast",0,1,0,0,0,0.228070175438596
"BA-Catu",2020-03-16,"nowcast",0,1,0,0,0,0.180327868852459
"BA-Catu",2020-03-17,"nowcast",0,1,0,0,0,0.169230769230769
"BA-Catu",2020-03-18,"nowcast",0,1,0,0,0,0.181818181818182
"BA-Catu",2020-03-19,"nowcast",0,1,0,0,0,0.323943661971831
"BA-Catu",2020-03-20,"nowcast",0,1,0,0,0,0.216216216216216
"BA-Catu",2020-03-21,"nowcast",0,1,0,0,0,0.217948717948718
"BA-Catu",2020-03-22,"nowcast",0,1,0,0,0,0.253012048192771
"BA-Catu",2020-03-23,"nowcast",0,1,0,0,0,0.176470588235294
"BA-Catu",2020-03-24,"nowcast",0,1,0,0,0,0.344444444444444
"BA-Catu",2020-03-25,"nowcast",0,1,0,0,0,0.293478260869565
"BA-Catu",2020-03-26,"nowcast",0,1,0,0,0,0.315789473684211
"BA-Catu",2020-03-27,"nowcast",0,1,0,0,0,0.294736842105263
"BA-Catu",2020-03-28,"nowcast",0,1,0,0,0,0.291666666666667
"BA-Catu",2020-03-29,"nowcast",0,1,0,0,0,0.260416666666667
"BA-Catu",2020-03-30,"nowcast",0,1,0,0,0,0.298969072164948
"BA-Catu",2020-03-31,"nowcast",0,1,0,0,0,0.224489795918367
"BA-Catu",2020-04-01,"nowcast",0,1,0,0,0,0.323232323232323
"BA-Catu",2020-04-02,"nowcast",0,1,0,0,0,0.43
"BA-Catu",2020-04-03,"nowcast",0,1,0,0,0,0.39
"BA-Catu",2020-04-04,"nowcast",0,1,0,0,0,0.35
"BA-Catu",2020-04-05,"nowcast",0,1,0,0,0,0.44
"BA-Catu",2020-04-06,"nowcast",0,1,0,0,0,0.28
"BA-Catu",2020-04-07,"nowcast",0,2,0,0,0,0.51
"BA-Catu",2020-04-08,"nowcast",0,1,0,0,0,0.35
"BA-Catu",2020-04-09,"nowcast",0,1,0,0,0,0.42
"BA-Catu",2020-04-10,"nowcast",0,1,0,0,0,0.36
"BA-Catu",2020-04-11,"nowcast",0,1,0,0,0,0.4
"BA-Catu",2020-04-12,"nowcast",0,1,0,0,0,0.38
"BA-Catu",2020-04-13,"nowcast",0,1,0,0,0,0.32
"BA-Catu",2020-04-14,"nowcast",0,2,0,0,0,0.46
"BA-Catu",2020-04-15,"nowcast",0,1,0,0,0,0.47
"BA-Catu",2020-04-16,"nowcast",0,1,0,0,0,0.37
"BA-Catu",2020-04-17,"nowcast",0,2,0,0,0,0.5
"BA-Catu",2020-04-18,"nowcast",0,2,0,0,0,0.53
"BA-Catu",2020-04-19,"nowcast",0,2,0,0,0,0.46
"BA-Catu",2020-04-20,"nowcast",0,1,0,0,0,0.53
"BA-Catu",2020-04-21,"nowcast",0,2,0,0,0,0.55
"BA-Catu",2020-04-22,"nowcast",0,2,0,0,0,0.61
"BA-Catu",2020-04-23,"nowcast",0,2,0,0,0,0.69
"BA-Catu",2020-04-24,"nowcast",0,2,0,0,0,0.64
"BA-Catu",2020-04-25,"nowcast",0,2,0,1,1,0.72
"BA-Catu",2020-04-26,"nowcast",0,2,0,0,0,0.73
"BA-Catu",2020-04-27,"nowcast",0,2,0,1,1,0.78
"BA-Catu",2020-04-28,"nowcast",0,2,0,1,1,0.9
"BA-Catu",2020-04-29,"nowcast",0,2,0,1,1,0.97
"BA-Catu",2020-04-30,"nowcast",0,2,0,1,1,1.03
"BA-Catu",2020-05-01,"nowcast",0,3,0,1,1,1.34
