"region","date","type","bottom","top","lower","upper","median","mean"
"BA-Feira de Santana",2020-01-30,"nowcast",1,1,1,1,1,1
"BA-Feira de Santana",2020-01-31,"nowcast",0,1,0,1,0.5,0.5
"BA-Feira de Santana",2020-02-01,"nowcast",0,1,0,0,0,0.333333333333333
"BA-Feira de Santana",2020-02-02,"nowcast",0,1,0,0,0,0.4
"BA-Feira de Santana",2020-02-03,"nowcast",0,1,0,1,0.5,0.5
"BA-Feira de Santana",2020-02-04,"nowcast",0,1,0,0,0,0.222222222222222
"BA-Feira de Santana",2020-02-05,"nowcast",0,1,0,0,0,0.181818181818182
"BA-Feira de Santana",2020-02-06,"nowcast",0,1,0,0,0,0.214285714285714
"BA-Feira de Santana",2020-02-07,"nowcast",0,1,0,0,0,0.176470588235294
"BA-Feira de Santana",2020-02-08,"nowcast",0,1,0,0,0,0.19047619047619
"BA-Feira de Santana",2020-02-09,"nowcast",0,1,0,0,0,0.451612903225806
"BA-Feira de Santana",2020-02-10,"nowcast",0,1,0,0,0,0.222222222222222
"BA-Feira de Santana",2020-02-11,"nowcast",0,1,0,0,0,0.304347826086957
"BA-Feira de Santana",2020-02-12,"nowcast",0,1,0,0,0,0.370967741935484
"BA-Feira de Santana",2020-02-13,"nowcast",0,1,0,0,0,0.259259259259259
"BA-Feira de Santana",2020-02-14,"nowcast",0,1,0,0,0,0.321100917431193
"BA-Feira de Santana",2020-02-15,"nowcast",0,1,0,0,0,0.24031007751938
"BA-Feira de Santana",2020-02-16,"nowcast",0,1,0,0,0,0.233333333333333
"BA-Feira de Santana",2020-02-17,"nowcast",0,1,0,0,0,0.251428571428571
"BA-Feira de Santana",2020-02-18,"nowcast",0,1,0,0,0,0.233644859813084
"BA-Feira de Santana",2020-02-19,"nowcast",0,1,0,0,0,0.2578125
"BA-Feira de Santana",2020-02-20,"nowcast",0,1,0,0,0,0.3375
"BA-Feira de Santana",2020-02-21,"nowcast",0,1,0,0,0,0.303430079155673
"BA-Feira de Santana",2020-02-22,"nowcast",0,1,0,0,0,0.321507760532151
"BA-Feira de Santana",2020-02-23,"nowcast",0,1,0,0,0,0.345864661654135
"BA-Feira de Santana",2020-02-24,"nowcast",0,1,0,0,0,0.341584158415842
"BA-Feira de Santana",2020-02-25,"nowcast",0,1,0,0,0,0.347889374090247
"BA-Feira de Santana",2020-02-26,"nowcast",0,1,0,0,0,0.378989361702128
"BA-Feira de Santana",2020-02-27,"nowcast",0,1,0,0,0,0.346437346437346
"BA-Feira de Santana",2020-02-28,"nowcast",0,1,0,0,0,0.36562860438293
"BA-Feira de Santana",2020-02-29,"nowcast",0,1,0,0,0,0.407734806629834
"BA-Feira de Santana",2020-03-01,"nowcast",0,1,0,0,0,0.382820784729586
"BA-Feira de Santana",2020-03-02,"nowcast",0,1,0,0,0,0.416580310880829
"BA-Feira de Santana",2020-03-03,"nowcast",0,1,0,0,0,0.420998980632008
"BA-Feira de Santana",2020-03-04,"nowcast",0,1,0,0,0,0.37246963562753
"BA-Feira de Santana",2020-03-05,"nowcast",0,1,0,0,0,0.390120967741935
"BA-Feira de Santana",2020-03-06,"nowcast",0,1,0,0,0,0.418932527693857
"BA-Feira de Santana",2020-03-07,"nowcast",0,1,0,0,0,0.409227683049147
"BA-Feira de Santana",2020-03-08,"nowcast",0,1,0,0,0,0.477955911823647
"BA-Feira de Santana",2020-03-09,"nowcast",0,1,0,0,0,0.46
"BA-Feira de Santana",2020-03-10,"nowcast",0,1,0,0,0,0.497
"BA-Feira de Santana",2020-03-11,"nowcast",0,1,0,0,0,0.501
"BA-Feira de Santana",2020-03-12,"nowcast",0,2,0,0,0,0.583
"BA-Feira de Santana",2020-03-13,"nowcast",0,2,0,1,1,0.671
"BA-Feira de Santana",2020-03-14,"nowcast",0,2,0,1,1,0.777
"BA-Feira de Santana",2020-03-15,"nowcast",0,2,0,1,1,0.83
"BA-Feira de Santana",2020-03-16,"nowcast",0,2,0,1,1,0.989
"BA-Feira de Santana",2020-03-17,"nowcast",0,2,0,1,1,1.073
"BA-Feira de Santana",2020-03-18,"nowcast",0,3,0,1,1,1.189
"BA-Feira de Santana",2020-03-19,"nowcast",0,3,0,1,1,1.364
"BA-Feira de Santana",2020-03-20,"nowcast",0,3,0,1,1,1.643
"BA-Feira de Santana",2020-03-21,"nowcast",0,3,1,2,2,1.749
"BA-Feira de Santana",2020-03-22,"nowcast",0,4,1,2,2,1.898
"BA-Feira de Santana",2020-03-23,"nowcast",0,4,1,2,2,2.119
"BA-Feira de Santana",2020-03-24,"nowcast",0,4,1,2,2,2.277
"BA-Feira de Santana",2020-03-25,"nowcast",0,5,0,2,2,2.478
"BA-Feira de Santana",2020-03-26,"nowcast",0,5,0,2,2,2.511
"BA-Feira de Santana",2020-03-27,"nowcast",0,5,0,2,2,2.57
"BA-Feira de Santana",2020-03-28,"nowcast",0,5,0,2,2,2.587
"BA-Feira de Santana",2020-03-29,"nowcast",0,5,0,2,2,2.63
"BA-Feira de Santana",2020-03-30,"nowcast",0,5,1,3,3,2.632
"BA-Feira de Santana",2020-03-31,"nowcast",0,5,0,2,2,2.575
"BA-Feira de Santana",2020-04-01,"nowcast",0,4,0,2,2,2.541
"BA-Feira de Santana",2020-04-02,"nowcast",0,4,0,2,2,2.493
"BA-Feira de Santana",2020-04-03,"nowcast",0,4,1,2,2,2.287
"BA-Feira de Santana",2020-04-04,"nowcast",0,4,1,2,2,2.164
"BA-Feira de Santana",2020-04-05,"nowcast",0,4,1,2,2,2.035
"BA-Feira de Santana",2020-04-06,"nowcast",0,4,1,2,2,1.881
"BA-Feira de Santana",2020-04-07,"nowcast",0,4,1,2,2,1.88
