"region","date","type","bottom","top","lower","upper","median","mean"
"BA-Itabela",2020-03-17,"nowcast",1,1,1,1,1,1
"BA-Itabela",2020-03-18,"nowcast",0,1,0,1,0.5,0.5
"BA-Itabela",2020-03-19,"nowcast",0,1,1,1,1,0.666666666666667
"BA-Itabela",2020-03-20,"nowcast",0,1,0,0,0,0.25
"BA-Itabela",2020-03-21,"nowcast",0,1,0,0,0,0.2
"BA-Itabela",2020-03-22,"nowcast",0,1,0,0,0,0.428571428571429
"BA-Itabela",2020-03-23,"nowcast",0,1,0,0,0,0.222222222222222
"BA-Itabela",2020-03-24,"nowcast",0,1,0,0,0,0.272727272727273
"BA-Itabela",2020-03-25,"nowcast",0,1,0,0,0,0.153846153846154
"BA-Itabela",2020-03-26,"nowcast",0,1,0,0,0,0.1875
"BA-Itabela",2020-03-27,"nowcast",0,1,0,0,0,0.380952380952381
"BA-Itabela",2020-03-28,"nowcast",0,1,0,0,0,0.285714285714286
"BA-Itabela",2020-03-29,"nowcast",0,1,0,0,0,0.305555555555556
"BA-Itabela",2020-03-30,"nowcast",0,1,0,0,0,0.195121951219512
"BA-Itabela",2020-03-31,"nowcast",0,1,0,0,0,0.296296296296296
"BA-Itabela",2020-04-01,"nowcast",0,1,0,0,0,0.253731343283582
"BA-Itabela",2020-04-02,"nowcast",0,1,0,0,0,0.24390243902439
"BA-Itabela",2020-04-03,"nowcast",0,1,0,0,0,0.22680412371134
"BA-Itabela",2020-04-04,"nowcast",0,1,0,0,0,0.260504201680672
"BA-Itabela",2020-04-05,"nowcast",0,1,0,0,0,0.215277777777778
"BA-Itabela",2020-04-06,"nowcast",0,1,0,0,0,0.25
"BA-Itabela",2020-04-07,"nowcast",0,1,0,0,0,0.209302325581395
"BA-Itabela",2020-04-08,"nowcast",0,1,0,0,0,0.236641221374046
"BA-Itabela",2020-04-09,"nowcast",0,1,0,0,0,0.207236842105263
"BA-Itabela",2020-04-10,"nowcast",0,1,0,0,0,0.200564971751412
"BA-Itabela",2020-04-11,"nowcast",0,1,0,0,0,0.219277108433735
"BA-Itabela",2020-04-12,"nowcast",0,1,0,0,0,0.204968944099379
"BA-Itabela",2020-04-13,"nowcast",0,1,0,0,0,0.159554730983302
"BA-Itabela",2020-04-14,"nowcast",0,1,0,0,0,0.155668358714044
"BA-Itabela",2020-04-15,"nowcast",0,1,0,0,0,0.119685039370079
"BA-Itabela",2020-04-16,"nowcast",0,0,0,0,0,0.0688073394495413
"BA-Itabela",2020-04-17,"nowcast",0,0,0,0,0,0.0670640834575261
"BA-Itabela",2020-04-18,"nowcast",0,0,0,0,0,0.0308370044052863
"BA-Itabela",2020-04-19,"nowcast",0,0,0,0,0,0.0116959064327485
"BA-Itabela",2020-04-20,"nowcast",0,0,0,0,0,0.00583941605839416
"BA-Itabela",2020-04-21,"nowcast",0,0,0,0,0,0.00581395348837209
"BA-Itabela",2020-04-22,"nowcast",0,0,0,0,0,0.00578871201157742
"BA-Itabela",2020-04-23,"nowcast",0,0,0,0,0,0.0100719424460432
"BA-Itabela",2020-04-24,"nowcast",0,0,0,0,0,0.00862068965517241
"BA-Itabela",2020-04-25,"nowcast",0,0,0,0,0,0.0100430416068867
"BA-Itabela",2020-04-26,"nowcast",0,0,0,0,0,0.0171428571428571
"BA-Itabela",2020-04-27,"nowcast",0,0,0,0,0,0.0185185185185185
"BA-Itabela",2020-04-28,"nowcast",0,0,0,0,0,0.024045261669024
"BA-Itabela",2020-04-29,"nowcast",0,0,0,0,0,0.0351123595505618
"BA-Itabela",2020-04-30,"nowcast",0,0,0,0,0,0.0472222222222222
"BA-Itabela",2020-05-01,"nowcast",0,0,0,0,0,0.0655737704918033
"BA-Itabela",2020-05-02,"nowcast",0,0,0,0,0,0.0715249662618084
"BA-Itabela",2020-05-03,"nowcast",0,0,0,0,0,0.0838881491344873
"BA-Itabela",2020-05-04,"nowcast",0,0,0,0,0,0.0964797913950456
"BA-Itabela",2020-05-05,"nowcast",0,1,0,0,0,0.123252858958069
"BA-Itabela",2020-05-06,"nowcast",0,1,0,0,0,0.166051660516605
"BA-Itabela",2020-05-07,"nowcast",0,1,0,0,0,0.171428571428571
"BA-Itabela",2020-05-08,"nowcast",0,1,0,0,0,0.203962703962704
"BA-Itabela",2020-05-09,"nowcast",0,1,0,0,0,0.241183162684869
"BA-Itabela",2020-05-10,"nowcast",0,1,0,0,0,0.258563535911602
"BA-Itabela",2020-05-11,"nowcast",0,1,0,0,0,0.322894168466523
"BA-Itabela",2020-05-12,"nowcast",0,1,0,0,0,0.328374070138151
"BA-Itabela",2020-05-13,"nowcast",0,1,0,0,0,0.362014690451207
"BA-Itabela",2020-05-14,"nowcast",0,1,0,0,0,0.427979274611399
"BA-Itabela",2020-05-15,"nowcast",0,1,0,0,0,0.449230769230769
"BA-Itabela",2020-05-16,"nowcast",0,1,0,0,0,0.466463414634146
"BA-Itabela",2020-05-17,"nowcast",0,2,0,0,0,0.587878787878788
"BA-Itabela",2020-05-18,"nowcast",0,2,0,0,0,0.631419939577039
"BA-Itabela",2020-05-19,"nowcast",0,2,0,1,1,0.728643216080402
"BA-Itabela",2020-05-20,"nowcast",0,2,0,1,1,0.770310932798395
"BA-Itabela",2020-05-21,"nowcast",0,2,0,1,1,0.893787575150301
"BA-Itabela",2020-05-22,"nowcast",0,2,0,1,1,0.940940940940941
"BA-Itabela",2020-05-23,"nowcast",0,3,0,1,1,1.0960960960961
"BA-Itabela",2020-05-24,"nowcast",0,3,0,1,1,1.2972972972973
"BA-Itabela",2020-05-25,"nowcast",0,3,0,1,1,1.413
"BA-Itabela",2020-05-26,"nowcast",0,3,0,1,1,1.565
"BA-Itabela",2020-05-27,"nowcast",0,3,0,1,1,1.686
"BA-Itabela",2020-05-28,"nowcast",0,3,1,2,2,1.778
"BA-Itabela",2020-05-29,"nowcast",0,4,1,2,2,1.833
"BA-Itabela",2020-05-30,"nowcast",0,3,1,2,2,1.783
"BA-Itabela",2020-05-31,"nowcast",0,3,1,2,2,1.813
"BA-Itabela",2020-06-01,"nowcast",0,3,0,1,1,1.61
"BA-Itabela",2020-06-02,"nowcast",0,3,0,1,1,1.53
"BA-Itabela",2020-06-03,"nowcast",0,3,0,1,1,1.612
"BA-Itabela",2020-06-04,"nowcast",0,3,0,1,1,1.621
"BA-Itabela",2020-06-05,"nowcast",0,3,0,1,1,1.638
"BA-Itabela",2020-06-06,"nowcast",0,4,1,2,2,1.797
"BA-Itabela",2020-06-07,"nowcast",0,4,1,2,2,1.807
"BA-Itabela",2020-06-08,"nowcast",0,4,1,2,2,1.891
"BA-Itabela",2020-06-09,"nowcast",0,4,1,2,2,2.047
"BA-Itabela",2020-06-10,"nowcast",0,4,0,2,2,2.233
"BA-Itabela",2020-06-11,"nowcast",0,5,0,2,2,2.493
"BA-Itabela",2020-06-12,"nowcast",0,5,1,3,3,2.64
"BA-Itabela",2020-06-13,"nowcast",0,5,1,3,3,2.841
"BA-Itabela",2020-06-14,"nowcast",0,5,1,3,3,2.969
"BA-Itabela",2020-06-15,"nowcast",0,5,1,3,3,3.247
"BA-Itabela",2020-06-16,"nowcast",1,6,1,3,3,3.496
"BA-Itabela",2020-06-17,"nowcast",0,6,2,4,4,3.692
"BA-Itabela",2020-06-18,"nowcast",0,6,2,4,4,3.862
"BA-Itabela",2020-06-19,"nowcast",1,6,2,4,4,3.944
"BA-Itabela",2020-06-20,"nowcast",1,7,2,4,4,4.093
"BA-Itabela",2020-06-21,"nowcast",0,6,2,4,4,3.886
"BA-Itabela",2020-06-22,"nowcast",0,6,2,4,4,3.833
"BA-Itabela",2020-06-23,"nowcast",0,6,2,4,4,3.689
"BA-Itabela",2020-06-24,"nowcast",1,6,1,3,3,3.34
"BA-Itabela",2020-06-25,"nowcast",0,5,1,3,3,3.089
"BA-Itabela",2020-06-26,"nowcast",0,5,1,3,3,3.088
"BA-Itabela",2020-06-27,"nowcast",0,5,1,3,3,3.134
"BA-Itabela",2020-06-28,"nowcast",1,6,1,3,3,3.421
"BA-Itabela",2020-06-29,"nowcast",0,6,2,4,3,3.721
"BA-Itabela",2020-06-30,"nowcast",1,7,2,4,4,3.887
"BA-Itabela",2020-07-01,"nowcast",1,7,2,4,4,4.089
"BA-Itabela",2020-07-02,"nowcast",1,7,3,5,4,4.434
"BA-Itabela",2020-07-03,"nowcast",0,7,2,5,5,4.649
"BA-Itabela",2020-07-04,"nowcast",1,8,2,5,5,5.094
"BA-Itabela",2020-07-05,"nowcast",2,9,2,5,5,5.517
"BA-Itabela",2020-07-06,"nowcast",2,9,3,6,6,5.929
"BA-Itabela",2020-07-07,"nowcast",2,10,4,7,6,6.361
"BA-Itabela",2020-07-08,"nowcast",2,10,4,7,7,6.855
"BA-Itabela",2020-07-09,"nowcast",3,11,4,7,7,7.202
"BA-Itabela",2020-07-10,"nowcast",3,12,6,9,8,7.91
"BA-Itabela",2020-07-11,"nowcast",4,13,7,10,9,8.723
"BA-Itabela",2020-07-12,"nowcast",3,13,7,10,9,9.363
"BA-Itabela",2020-07-13,"nowcast",5,15,8,12,10,10.65
"BA-Itabela",2020-07-14,"nowcast",7,17,9,13,12,11.84
"BA-Itabela",2020-07-15,"nowcast",7,18,10,14,13,12.764
"BA-Itabela",2020-07-16,"nowcast",7,19,12,16,14,13.999
"BA-Itabela",2020-07-17,"nowcast",8,20,10,15,15,14.783
"BA-Itabela",2020-07-18,"nowcast",8,21,12,17,16,15.878
"BA-Itabela",2020-07-19,"nowcast",10,22,13,18,16,16.358
"BA-Itabela",2020-07-20,"nowcast",11,23,13,18,17,16.825
"BA-Itabela",2020-07-21,"nowcast",11,23,13,18,17,17.108
"BA-Itabela",2020-07-22,"nowcast",11,24,14,19,18,17.733
"BA-Itabela",2020-07-23,"nowcast",12,25,15,20,19,18.802
"BA-Itabela",2020-07-24,"nowcast",12,26,16,21,19,19.327
"BA-Itabela",2020-07-25,"nowcast",12,26,18,23,20,19.822
"BA-Itabela",2020-07-26,"nowcast",13,27,17,22,20,20.044
"BA-Itabela",2020-07-27,"nowcast",13,27,15,21,20,20.081
"BA-Itabela",2020-07-28,"nowcast",11,26,14,20,19,19.523
"BA-Itabela",2020-07-29,"nowcast",11,26,14,20,19,19.148
"BA-Itabela",2020-07-30,"nowcast",12,26,14,20,19,19.307
"BA-Itabela",2020-07-31,"nowcast",12,27,14,20,19,19.218
"BA-Itabela",2020-08-01,"nowcast",10,26,14,20,18,18.565
"BA-Itabela",2020-08-02,"nowcast",8,25,12,18,17,17.45
"BA-Itabela",2020-04-20,"observed",NA,NA,NA,NA,1,NA
"BA-Itabela",2020-04-21,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-04-22,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-04-23,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-04-24,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-04-25,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-04-26,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-04-27,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-04-28,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-04-29,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-04-30,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-01,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-02,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-03,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-04,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-05,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-06,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-07,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-08,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-09,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-10,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-11,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-12,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-13,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-14,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-15,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-16,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-17,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-18,"observed",NA,NA,NA,NA,1,NA
"BA-Itabela",2020-05-19,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-20,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-21,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-22,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-23,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-24,"observed",NA,NA,NA,NA,1,NA
"BA-Itabela",2020-05-25,"observed",NA,NA,NA,NA,1,NA
"BA-Itabela",2020-05-26,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-27,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-28,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-29,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-30,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-05-31,"observed",NA,NA,NA,NA,1,NA
"BA-Itabela",2020-06-01,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-06-02,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-06-03,"observed",NA,NA,NA,NA,7,NA
"BA-Itabela",2020-06-04,"observed",NA,NA,NA,NA,3,NA
"BA-Itabela",2020-06-05,"observed",NA,NA,NA,NA,1,NA
"BA-Itabela",2020-06-06,"observed",NA,NA,NA,NA,2,NA
"BA-Itabela",2020-06-07,"observed",NA,NA,NA,NA,1,NA
"BA-Itabela",2020-06-08,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-06-09,"observed",NA,NA,NA,NA,1,NA
"BA-Itabela",2020-06-10,"observed",NA,NA,NA,NA,4,NA
"BA-Itabela",2020-06-11,"observed",NA,NA,NA,NA,2,NA
"BA-Itabela",2020-06-12,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-06-13,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-06-14,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-06-15,"observed",NA,NA,NA,NA,4,NA
"BA-Itabela",2020-06-16,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-06-17,"observed",NA,NA,NA,NA,3,NA
"BA-Itabela",2020-06-18,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-06-19,"observed",NA,NA,NA,NA,1,NA
"BA-Itabela",2020-06-20,"observed",NA,NA,NA,NA,6,NA
"BA-Itabela",2020-06-21,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-06-22,"observed",NA,NA,NA,NA,2,NA
"BA-Itabela",2020-06-23,"observed",NA,NA,NA,NA,1,NA
"BA-Itabela",2020-06-24,"observed",NA,NA,NA,NA,4,NA
"BA-Itabela",2020-06-25,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-06-26,"observed",NA,NA,NA,NA,1,NA
"BA-Itabela",2020-06-27,"observed",NA,NA,NA,NA,25,NA
"BA-Itabela",2020-06-28,"observed",NA,NA,NA,NA,1,NA
"BA-Itabela",2020-06-29,"observed",NA,NA,NA,NA,3,NA
"BA-Itabela",2020-06-30,"observed",NA,NA,NA,NA,1,NA
"BA-Itabela",2020-07-01,"observed",NA,NA,NA,NA,1,NA
"BA-Itabela",2020-07-02,"observed",NA,NA,NA,NA,2,NA
"BA-Itabela",2020-07-03,"observed",NA,NA,NA,NA,1,NA
"BA-Itabela",2020-07-04,"observed",NA,NA,NA,NA,6,NA
"BA-Itabela",2020-07-05,"observed",NA,NA,NA,NA,2,NA
"BA-Itabela",2020-07-06,"observed",NA,NA,NA,NA,5,NA
"BA-Itabela",2020-07-07,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-07-08,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-07-09,"observed",NA,NA,NA,NA,3,NA
"BA-Itabela",2020-07-10,"observed",NA,NA,NA,NA,7,NA
"BA-Itabela",2020-07-11,"observed",NA,NA,NA,NA,4,NA
"BA-Itabela",2020-07-12,"observed",NA,NA,NA,NA,5,NA
"BA-Itabela",2020-07-13,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-07-14,"observed",NA,NA,NA,NA,11,NA
"BA-Itabela",2020-07-15,"observed",NA,NA,NA,NA,2,NA
"BA-Itabela",2020-07-16,"observed",NA,NA,NA,NA,5,NA
"BA-Itabela",2020-07-17,"observed",NA,NA,NA,NA,4,NA
"BA-Itabela",2020-07-18,"observed",NA,NA,NA,NA,5,NA
"BA-Itabela",2020-07-19,"observed",NA,NA,NA,NA,2,NA
"BA-Itabela",2020-07-20,"observed",NA,NA,NA,NA,1,NA
"BA-Itabela",2020-07-21,"observed",NA,NA,NA,NA,1,NA
"BA-Itabela",2020-07-22,"observed",NA,NA,NA,NA,12,NA
"BA-Itabela",2020-07-23,"observed",NA,NA,NA,NA,40,NA
"BA-Itabela",2020-07-24,"observed",NA,NA,NA,NA,8,NA
"BA-Itabela",2020-07-25,"observed",NA,NA,NA,NA,15,NA
"BA-Itabela",2020-07-26,"observed",NA,NA,NA,NA,6,NA
"BA-Itabela",2020-07-27,"observed",NA,NA,NA,NA,2,NA
"BA-Itabela",2020-07-28,"observed",NA,NA,NA,NA,1,NA
"BA-Itabela",2020-07-29,"observed",NA,NA,NA,NA,32,NA
"BA-Itabela",2020-07-30,"observed",NA,NA,NA,NA,30,NA
"BA-Itabela",2020-07-31,"observed",NA,NA,NA,NA,20,NA
"BA-Itabela",2020-08-01,"observed",NA,NA,NA,NA,39,NA
"BA-Itabela",2020-08-02,"observed",NA,NA,NA,NA,9,NA
"BA-Itabela",2020-08-03,"observed",NA,NA,NA,NA,1,NA
"BA-Itabela",2020-08-04,"observed",NA,NA,NA,NA,1,NA
"BA-Itabela",2020-08-05,"observed",NA,NA,NA,NA,29,NA
"BA-Itabela",2020-08-06,"observed",NA,NA,NA,NA,71,NA
"BA-Itabela",2020-08-07,"observed",NA,NA,NA,NA,20,NA
"BA-Itabela",2020-08-08,"observed",NA,NA,NA,NA,9,NA
"BA-Itabela",2020-08-09,"observed",NA,NA,NA,NA,6,NA
"BA-Itabela",2020-08-10,"observed",NA,NA,NA,NA,4,NA
"BA-Itabela",2020-08-11,"observed",NA,NA,NA,NA,3,NA
"BA-Itabela",2020-08-12,"observed",NA,NA,NA,NA,10,NA
"BA-Itabela",2020-08-13,"observed",NA,NA,NA,NA,0,NA
"BA-Itabela",2020-08-03,"forecast",5,29,12,21,18,18.5574
"BA-Itabela",2020-08-04,"forecast",3,30,10,20,18,18.5858
"BA-Itabela",2020-08-05,"forecast",4,33,9,20,17,18.635
"BA-Itabela",2020-08-06,"forecast",0,32,7,19,17,18.414
"BA-Itabela",2020-08-07,"forecast",0,34,5,18,16,18.6192
"BA-Itabela",2020-08-08,"forecast",0,35,4,18,16,18.8126
"BA-Itabela",2020-08-09,"forecast",0,36,3,17,15,18.615
"BA-Itabela",2020-08-10,"forecast",0,37,2,17,16,18.956
"BA-Itabela",2020-08-11,"forecast",0,38,0,15,15,18.8044
"BA-Itabela",2020-08-12,"forecast",0,40,0,15,15,19.193
"BA-Itabela",2020-08-13,"forecast",0,41,0,14,14,19.418
"BA-Itabela",2020-08-14,"forecast",0,41,0,13,13,19.201
"BA-Itabela",2020-08-15,"forecast",0,43,0,13,13,19.8344
"BA-Itabela",2020-08-16,"forecast",0,45,0,12,12,20.2026
