"region","date","type","bottom","top","lower","upper","median","mean"
"BA-Lauro de Freitas",2020-02-10,"nowcast",1,1,1,1,1,1
"BA-Lauro de Freitas",2020-02-11,"nowcast",0,1,0,1,0.5,0.5
"BA-Lauro de Freitas",2020-02-12,"nowcast",0,1,0,1,0.5,0.5
"BA-Lauro de Freitas",2020-02-13,"nowcast",0,0,0,0,0,0
"BA-Lauro de Freitas",2020-02-14,"nowcast",0,0,0,0,0,0
"BA-Lauro de Freitas",2020-02-15,"nowcast",0,1,0,0,0,0.333333333333333
"BA-Lauro de Freitas",2020-02-16,"nowcast",0,1,0,0,0,0.4
"BA-Lauro de Freitas",2020-02-17,"nowcast",0,1,0,0,0,0.363636363636364
"BA-Lauro de Freitas",2020-02-18,"nowcast",0,1,0,0,0,0.421052631578947
"BA-Lauro de Freitas",2020-02-19,"nowcast",0,1,0,0,0,0.173913043478261
"BA-Lauro de Freitas",2020-02-20,"nowcast",0,1,0,0,0,0.290322580645161
"BA-Lauro de Freitas",2020-02-21,"nowcast",0,1,0,0,0,0.285714285714286
"BA-Lauro de Freitas",2020-02-22,"nowcast",0,1,0,0,0,0.25
"BA-Lauro de Freitas",2020-02-23,"nowcast",0,1,0,0,0,0.296296296296296
"BA-Lauro de Freitas",2020-02-24,"nowcast",0,1,0,0,0,0.287671232876712
"BA-Lauro de Freitas",2020-02-25,"nowcast",0,1,0,0,0,0.241379310344828
"BA-Lauro de Freitas",2020-02-26,"nowcast",0,1,0,0,0,0.292035398230089
"BA-Lauro de Freitas",2020-02-27,"nowcast",0,1,0,0,0,0.294117647058824
"BA-Lauro de Freitas",2020-02-28,"nowcast",0,1,0,0,0,0.273291925465839
"BA-Lauro de Freitas",2020-02-29,"nowcast",0,1,0,0,0,0.26
"BA-Lauro de Freitas",2020-03-01,"nowcast",0,1,0,0,0,0.297959183673469
"BA-Lauro de Freitas",2020-03-02,"nowcast",0,1,0,0,0,0.370967741935484
"BA-Lauro de Freitas",2020-03-03,"nowcast",0,1,0,0,0,0.331578947368421
"BA-Lauro de Freitas",2020-03-04,"nowcast",0,1,0,0,0,0.320088300220751
"BA-Lauro de Freitas",2020-03-05,"nowcast",0,1,0,0,0,0.366920152091255
"BA-Lauro de Freitas",2020-03-06,"nowcast",0,1,0,0,0,0.387987012987013
"BA-Lauro de Freitas",2020-03-07,"nowcast",0,1,0,0,0,0.406609195402299
"BA-Lauro de Freitas",2020-03-08,"nowcast",0,1,0,0,0,0.403622250970246
"BA-Lauro de Freitas",2020-03-09,"nowcast",0,1,0,0,0,0.431818181818182
"BA-Lauro de Freitas",2020-03-10,"nowcast",0,1,0,0,0,0.524348810872027
"BA-Lauro de Freitas",2020-03-11,"nowcast",0,2,0,0,0,0.586244541484716
"BA-Lauro de Freitas",2020-03-12,"nowcast",0,2,0,0,0,0.617245005257624
"BA-Lauro de Freitas",2020-03-13,"nowcast",0,2,0,0,0,0.665641025641026
"BA-Lauro de Freitas",2020-03-14,"nowcast",0,2,0,1,1,0.705882352941177
"BA-Lauro de Freitas",2020-03-15,"nowcast",0,2,0,1,1,0.78391959798995
"BA-Lauro de Freitas",2020-03-16,"nowcast",0,2,0,1,1,0.69939879759519
"BA-Lauro de Freitas",2020-03-17,"nowcast",0,2,0,1,1,0.837
