"region","date","type","bottom","top","lower","upper","median","mean"
"BA-Pojuca",2020-02-17,"nowcast",1,1,1,1,1,1
"BA-Pojuca",2020-02-18,"nowcast",0,0,0,0,0,0
"BA-Pojuca",2020-02-19,"nowcast",0,0,0,0,0,0
"BA-Pojuca",2020-02-20,"nowcast",0,0,0,0,0,0
"BA-Pojuca",2020-02-21,"nowcast",0,1,0,1,0.5,0.5
"BA-Pojuca",2020-02-22,"nowcast",0,0,0,0,0,0
"BA-Pojuca",2020-02-23,"nowcast",0,1,0,1,0.5,0.5
"BA-Pojuca",2020-02-24,"nowcast",0,0,0,0,0,0
"BA-Pojuca",2020-02-25,"nowcast",0,1,0,1,0.5,0.5
"BA-Pojuca",2020-02-26,"nowcast",0,0,0,0,0,0
"BA-Pojuca",2020-02-27,"nowcast",0,1,0,0,0,0.333333333333333
"BA-Pojuca",2020-02-28,"nowcast",0,1,0,0,0,0.4
"BA-Pojuca",2020-02-29,"nowcast",0,1,0,0,0,0.285714285714286
"BA-Pojuca",2020-03-01,"nowcast",0,1,0,0,0,0.222222222222222
"BA-Pojuca",2020-03-02,"nowcast",0,1,0,0,0,0.272727272727273
"BA-Pojuca",2020-03-03,"nowcast",0,0,0,0,0,0.0833333333333333
"BA-Pojuca",2020-03-04,"nowcast",0,1,0,0,0,0.153846153846154
"BA-Pojuca",2020-03-05,"nowcast",0,0,0,0,0,0
"BA-Pojuca",2020-03-06,"nowcast",0,1,0,0,0,0.235294117647059
"BA-Pojuca",2020-03-07,"nowcast",0,1,0,0,0,0.36
"BA-Pojuca",2020-03-08,"nowcast",0,1,0,0,0,0.333333333333333
"BA-Pojuca",2020-03-09,"nowcast",0,1,0,0,0,0.239130434782609
"BA-Pojuca",2020-03-10,"nowcast",0,1,0,0,0,0.214285714285714
"BA-Pojuca",2020-03-11,"nowcast",0,1,0,0,0,0.287671232876712
"BA-Pojuca",2020-03-12,"nowcast",0,1,0,0,0,0.215909090909091
"BA-Pojuca",2020-03-13,"nowcast",0,1,0,0,0,0.186274509803922
"BA-Pojuca",2020-03-14,"nowcast",0,1,0,0,0,0.265151515151515
"BA-Pojuca",2020-03-15,"nowcast",0,1,0,0,0,0.257668711656442
"BA-Pojuca",2020-03-16,"nowcast",0,1,0,0,0,0.278048780487805
"BA-Pojuca",2020-03-17,"nowcast",0,1,0,0,0,0.238866396761134
"BA-Pojuca",2020-03-18,"nowcast",0,1,0,0,0,0.251655629139073
"BA-Pojuca",2020-03-19,"nowcast",0,1,0,0,0,0.215686274509804
"BA-Pojuca",2020-03-20,"nowcast",0,1,0,0,0,0.196078431372549
"BA-Pojuca",2020-03-21,"nowcast",0,1,0,0,0,0.185344827586207
"BA-Pojuca",2020-03-22,"nowcast",0,1,0,0,0,0.16412213740458
"BA-Pojuca",2020-03-23,"nowcast",0,1,0,0,0,0.132275132275132
"BA-Pojuca",2020-03-24,"nowcast",0,1,0,0,0,0.112377850162866
