"region","date","type","bottom","top","lower","upper","median","mean"
"BA-Riachão do Jacuípe",2020-03-06,"nowcast",1,1,1,1,1,1
"BA-Riachão do Jacuípe",2020-03-07,"nowcast",0,0,0,0,0,0
"BA-Riachão do Jacuípe",2020-03-08,"nowcast",0,0,0,0,0,0
"BA-Riachão do Jacuípe",2020-03-09,"nowcast",0,0,0,0,0,0
"BA-Riachão do Jacuípe",2020-03-10,"nowcast",0,0,0,0,0,0
"BA-Riachão do Jacuípe",2020-03-11,"nowcast",0,0,0,0,0,0
"BA-Riachão do Jacuípe",2020-03-12,"nowcast",0,0,0,0,0,0
"BA-Riachão do Jacuípe",2020-03-13,"nowcast",0,0,0,0,0,0
"BA-Riachão do Jacuípe",2020-03-14,"nowcast",0,1,0,0,0,0.333333333333333
"BA-Riachão do Jacuípe",2020-03-15,"nowcast",0,0,0,0,0,0
"BA-Riachão do Jacuípe",2020-03-16,"nowcast",0,0,0,0,0,0
"BA-Riachão do Jacuípe",2020-03-17,"nowcast",0,1,0,0,0,0.333333333333333
"BA-Riachão do Jacuípe",2020-03-18,"nowcast",0,0,0,0,0,0
"BA-Riachão do Jacuípe",2020-03-19,"nowcast",0,0,0,0,0,0
"BA-Riachão do Jacuípe",2020-03-20,"nowcast",0,1,0,0,0,0.25
"BA-Riachão do Jacuípe",2020-03-21,"nowcast",0,1,0,0,0,0.2
"BA-Riachão do Jacuípe",2020-03-22,"nowcast",0,1,0,0,0,0.166666666666667
"BA-Riachão do Jacuípe",2020-03-23,"nowcast",0,0,0,0,0,0
"BA-Riachão do Jacuípe",2020-03-24,"nowcast",0,0,0,0,0,0
"BA-Riachão do Jacuípe",2020-03-25,"nowcast",0,0,0,0,0,0
"BA-Riachão do Jacuípe",2020-03-26,"nowcast",0,1,0,0,0,0.375
"BA-Riachão do Jacuípe",2020-03-27,"nowcast",0,1,0,0,0,0.125
"BA-Riachão do Jacuípe",2020-03-28,"nowcast",0,1,0,0,0,0.2
"BA-Riachão do Jacuípe",2020-03-29,"nowcast",0,0,0,0,0,0.0909090909090909
"BA-Riachão do Jacuípe",2020-03-30,"nowcast",0,0,0,0,0,0.0833333333333333
"BA-Riachão do Jacuípe",2020-03-31,"nowcast",0,0,0,0,0,0.0833333333333333
"BA-Riachão do Jacuípe",2020-04-01,"nowcast",0,0,0,0,0,0.0769230769230769
"BA-Riachão do Jacuípe",2020-04-02,"nowcast",0,1,0,0,0,0.3125
"BA-Riachão do Jacuípe",2020-04-03,"nowcast",0,1,0,0,0,0.166666666666667
"BA-Riachão do Jacuípe",2020-04-04,"nowcast",0,1,0,0,0,0.3
"BA-Riachão do Jacuípe",2020-04-05,"nowcast",0,1,0,0,0,0.1
"BA-Riachão do Jacuípe",2020-04-06,"nowcast",0,0,0,0,0,0.05
"BA-Riachão do Jacuípe",2020-04-07,"nowcast",0,1,0,0,0,0.136363636363636
"BA-Riachão do Jacuípe",2020-04-08,"nowcast",0,1,0,0,0,0.185185185185185
"BA-Riachão do Jacuípe",2020-04-09,"nowcast",0,1,0,0,0,0.172413793103448
"BA-Riachão do Jacuípe",2020-04-10,"nowcast",0,1,0,0,0,0.125
