"region","date","type","bottom","top","lower","upper","median","mean","std","prob_control"
"BA-Salinas da Margarida",2020-07-08,"nowcast",0.464186754733349,2.08356625936306,0.866029417902498,1.47378977029036,1.25007715023743,1.30483743705988,0.512110818245073,0.278409090909091
"BA-Salinas da Margarida",2020-07-09,"nowcast",0.515156693660063,2.03522832150536,0.853345396809348,1.43436775147281,1.19823517304475,1.26143381668418,0.499620203078121,0.315384615384615
"BA-Salinas da Margarida",2020-07-10,"nowcast",0.482441422811146,1.97699571966821,0.868860922611373,1.41445420578007,1.19842647703819,1.24757814458293,0.48460228610842,0.309837631327603
"BA-Salinas da Margarida",2020-07-11,"nowcast",0.501866140127273,2.04512915779987,0.919772446200626,1.48282911517173,1.20578433230296,1.26491303644667,0.503435911035372,0.300381679389313
"BA-Salinas da Margarida",2020-07-12,"nowcast",0.565151929879276,2.01752760193322,0.904269949863268,1.4571425496007,1.23093295944371,1.30164006209133,0.484646835328657,0.270893371757925
"BA-Salinas da Margarida",2020-07-13,"nowcast",0.586565986035541,2.0847404894335,0.967040736066317,1.52092408740501,1.27552910156957,1.34046831915314,0.491621435440499,0.235260115606936
"BA-Salinas da Margarida",2020-07-14,"nowcast",0.620170014914285,2.13797155889201,1.00221450442562,1.56530890462598,1.3315646182175,1.41490975291544,0.524972988517309,0.19016393442623
"BA-Salinas da Margarida",2020-07-15,"nowcast",0.732187116365284,2.21301178936386,1.04702206104641,1.58401747888927,1.38198068279874,1.45472022376747,0.495772534636245,0.143624161073826
"BA-Salinas da Margarida",2020-07-16,"nowcast",0.76143595381708,2.21568553934685,1.09673792709396,1.63461469054657,1.41271528502974,1.48221295067771,0.483218586618595,0.126315789473684
"BA-Salinas da Margarida",2020-07-17,"nowcast",0.803436865530943,2.20456197786004,1.10060494030116,1.61203635285397,1.43154843459097,1.48845087630395,0.452337084392679,0.107039537126326
"BA-Salinas da Margarida",2020-07-18,"nowcast",0.814954938243394,2.14676223131533,1.14223327303026,1.64153677871916,1.44376312582379,1.4885109558423,0.426702019083999,0.0962962962962963
"BA-Salinas da Margarida",2020-07-19,"nowcast",0.848686320627647,2.14845022290477,1.1831604127623,1.63623176821431,1.43101426992876,1.47888561522959,0.407512121549249,0.0866341463414634
"BA-Salinas da Margarida",2020-07-20,"nowcast",0.880253310039646,2.05945947144622,1.15120133259306,1.58820132255029,1.41598456711434,1.44847944625928,0.374759165958959,0.095136186770428
"BA-Salinas da Margarida",2020-07-21,"nowcast",0.803688249282443,1.90709464080033,1.14577927664378,1.5661515366986,1.35971893359756,1.38508301596355,0.347832209080033,0.119298245614035
"BA-Salinas da Margarida",2020-07-22,"nowcast",0.783620730009657,1.85789411080541,1.08943798699297,1.49603227502522,1.32105848297524,1.33653990017205,0.330809736378528,0.139435248296008
"BA-Salinas da Margarida",2020-07-23,"nowcast",0.81165345976401,1.80109657399053,1.07169875063269,1.44353261126427,1.26629414190655,1.28168669426439,0.305272439232492,0.168762278978389
"BA-Salinas da Margarida",2020-07-24,"nowcast",0.759115070819634,1.71535311831533,1.00978780889986,1.37329088448251,1.20919231714372,1.22470821263338,0.293779502184674,0.214117647058824
"BA-Salinas da Margarida",2020-07-25,"nowcast",0.724854879425026,1.63403090462294,1.00154746250558,1.34465039598781,1.18430697232607,1.19056935703036,0.280871150631651,0.233429951690821
"BA-Salinas da Margarida",2020-07-26,"nowcast",0.733832033316453,1.5803125919426,1.03480688714033,1.35478900221281,1.16484490001812,1.168003128528,0.260735031278551,0.245249755142018
"BA-Salinas da Margarida",2020-07-27,"nowcast",0.739820750871201,1.5974692486621,0.952684381171095,1.275122104958,1.15626144594424,1.17101898870337,0.271368704575225,0.259273797841021
"BA-Salinas da Margarida",2020-07-28,"nowcast",0.769322811857766,1.66338625084325,0.979677585120286,1.29982853540357,1.17312509093536,1.1993303323742,0.281239914520743,0.222762645914397
"BA-Salinas da Margarida",2020-07-29,"nowcast",0.794384364131211,1.68241667388183,1.02831858461813,1.34642759637924,1.20768793950102,1.23830779592017,0.279325423234155,0.181322957198444
"BA-Salinas da Margarida",2020-07-30,"nowcast",0.86409584260608,1.78130923159498,1.06548075430612,1.41632922185575,1.28508568270127,1.31581298515083,0.293351439006804,0.119648093841642
"BA-Salinas da Margarida",2020-07-31,"nowcast",0.931329961250587,1.89409272891893,1.14140302974986,1.4939629107494,1.35922349652238,1.4018782180973,0.313868720124432,0.0643835616438356
"BA-Salinas da Margarida",2020-08-01,"nowcast",0.982235773332211,1.9903970398133,1.22227445734356,1.59221545393398,1.43973515025834,1.4830383376715,0.319824820402374,0.0306182531894014
"BA-Salinas da Margarida",2020-08-02,"nowcast",1.0875057366086,2.0833564849611,1.2623853071736,1.64340757790758,1.53677495958236,1.58804258393709,0.319983991614524,0.00969337289812067
"BA-Salinas da Margarida",2020-08-03,"forecast",0.831841340098524,2.16398967329251,1.20286040333926,1.70091140508934,1.46872735527907,1.49957725385318,0.413243415047692,0.0908
"BA-Salinas da Margarida",2020-08-04,"forecast",0.743774840923028,2.19570270780174,1.1438014896473,1.70647268428579,1.4625165816751,1.48393451952959,0.455444476287811,0.1256
"BA-Salinas da Margarida",2020-08-05,"forecast",0.680141412851311,2.29833684402775,1.0888914303425,1.68369236182962,1.45330560240142,1.48933868831333,0.501568645526307,0.1358
"BA-Salinas da Margarida",2020-08-06,"forecast",0.654937850359507,2.33669398886703,1.0808095918322,1.70585135200322,1.45468255220763,1.48607397945079,0.530473263719568,0.1624
"BA-Salinas da Margarida",2020-08-07,"forecast",0.647217303028012,2.43137145548877,1.06666619652459,1.71800558836126,1.45080751347817,1.49433717916226,0.566213750782455,0.1628
"BA-Salinas da Margarida",2020-08-08,"forecast",0.517291746175845,2.4258600114872,1.11032840530731,1.79374246373756,1.44542588521362,1.48516341886654,0.597976705538766,0.1878
"BA-Salinas da Margarida",2020-08-09,"forecast",0.442692934221088,2.43448105712218,1.0488441702717,1.75988763113634,1.43820555809318,1.48642345069662,0.629302628199253,0.1878
"BA-Salinas da Margarida",2020-08-10,"forecast",0.437361403923958,2.55998160351572,1.00167686533706,1.75493399084284,1.43714805101394,1.48328142179445,0.673605917847611,0.2074
"BA-Salinas da Margarida",2020-08-11,"forecast",0.342241930771152,2.55139740192396,1.063071149267,1.85765506372155,1.43808779298815,1.48213568587371,0.694590923995012,0.2178
"BA-Salinas da Margarida",2020-08-12,"forecast",0.360092968019095,2.64569900647033,0.981499451312105,1.79078189158811,1.44907429915927,1.50082342336519,0.736266974178281,0.2228
"BA-Salinas da Margarida",2020-08-13,"forecast",0.328054300569461,2.70922916482167,1.00132257587089,1.81485900371157,1.44499423571135,1.50297749287089,0.763701463900253,0.22
"BA-Salinas da Margarida",2020-08-14,"forecast",0,2.37899902149437,0.934513933318542,1.76312778561581,1.43656338403002,1.49970954612565,0.786122728245039,0.2266
"BA-Salinas da Margarida",2020-08-15,"forecast",0,2.40411799980992,1.02989321848635,1.90421903372186,1.43836094277162,1.49223096346905,0.843190606971705,0.2442
"BA-Salinas da Margarida",2020-08-16,"forecast",0,2.44128189535791,1.05641540930929,1.94210517255363,1.45610327797813,1.5166126677544,0.895636811718823,0.2428
