"region","date","type","bottom","top","lower","upper","median","mean"
"BA-Teixeira de Freitas",2020-02-16,"nowcast",1,1,1,1,1,1
"BA-Teixeira de Freitas",2020-02-17,"nowcast",0,0,0,0,0,0
"BA-Teixeira de Freitas",2020-02-18,"nowcast",0,0,0,0,0,0
"BA-Teixeira de Freitas",2020-02-19,"nowcast",1,1,1,1,1,1
"BA-Teixeira de Freitas",2020-02-20,"nowcast",1,1,1,1,1,1
"BA-Teixeira de Freitas",2020-02-21,"nowcast",0,0,0,0,0,0
"BA-Teixeira de Freitas",2020-02-22,"nowcast",0,1,0,0,0,0.333333333333333
"BA-Teixeira de Freitas",2020-02-23,"nowcast",0,1,1,1,1,0.571428571428571
"BA-Teixeira de Freitas",2020-02-24,"nowcast",0,0,0,0,0,0
"BA-Teixeira de Freitas",2020-02-25,"nowcast",0,1,0,0,0,0.4
"BA-Teixeira de Freitas",2020-02-26,"nowcast",0,1,0,0,0,0.307692307692308
"BA-Teixeira de Freitas",2020-02-27,"nowcast",0,1,0,0,0,0.277777777777778
"BA-Teixeira de Freitas",2020-02-28,"nowcast",0,1,0,0,0,0.36
"BA-Teixeira de Freitas",2020-02-29,"nowcast",0,1,0,0,0,0.142857142857143
"BA-Teixeira de Freitas",2020-03-01,"nowcast",0,1,0,0,0,0.333333333333333
"BA-Teixeira de Freitas",2020-03-02,"nowcast",0,1,0,0,0,0.358490566037736
"BA-Teixeira de Freitas",2020-03-03,"nowcast",0,1,0,0,0,0.246153846153846
"BA-Teixeira de Freitas",2020-03-04,"nowcast",0,1,0,0,0,0.333333333333333
"BA-Teixeira de Freitas",2020-03-05,"nowcast",0,1,0,0,0,0.25
"BA-Teixeira de Freitas",2020-03-06,"nowcast",0,1,0,0,0,0.236842105263158
"BA-Teixeira de Freitas",2020-03-07,"nowcast",0,1,0,0,0,0.218978102189781
"BA-Teixeira de Freitas",2020-03-08,"nowcast",0,1,0,0,0,0.251497005988024
"BA-Teixeira de Freitas",2020-03-09,"nowcast",0,1,0,0,0,0.201058201058201
"BA-Teixeira de Freitas",2020-03-10,"nowcast",0,1,0,0,0,0.263392857142857
"BA-Teixeira de Freitas",2020-03-11,"nowcast",0,1,0,0,0,0.255474452554745
"BA-Teixeira de Freitas",2020-03-12,"nowcast",0,1,0,0,0,0.223564954682779
"BA-Teixeira de Freitas",2020-03-13,"nowcast",0,1,0,0,0,0.261096605744125
"BA-Teixeira de Freitas",2020-03-14,"nowcast",0,1,0,0,0,0.267415730337079
"BA-Teixeira de Freitas",2020-03-15,"nowcast",0,1,0,0,0,0.250493096646943
"BA-Teixeira de Freitas",2020-03-16,"nowcast",0,1,0,0,0,0.252204585537919
"BA-Teixeira de Freitas",2020-03-17,"nowcast",0,1,0,0,0,0.243630573248408
"BA-Teixeira de Freitas",2020-03-18,"nowcast",0,1,0,0,0,0.240174672489083
"BA-Teixeira de Freitas",2020-03-19,"nowcast",0,1,0,0,0,0.227642276422764
"BA-Teixeira de Freitas",2020-03-20,"nowcast",0,1,0,0,0,0.216041397153946
"BA-Teixeira de Freitas",2020-03-21,"nowcast",0,1,0,0,0,0.220443349753695
"BA-Teixeira de Freitas",2020-03-22,"nowcast",0,1,0,0,0,0.205882352941176
"BA-Teixeira de Freitas",2020-03-23,"nowcast",0,1,0,0,0,0.217889908256881
"BA-Teixeira de Freitas",2020-03-24,"nowcast",0,1,0,0,0,0.223214285714286
"BA-Teixeira de Freitas",2020-03-25,"nowcast",0,1,0,0,0,0.263616557734205
"BA-Teixeira de Freitas",2020-03-26,"nowcast",0,1,0,0,0,0.275423728813559
"BA-Teixeira de Freitas",2020-03-27,"nowcast",0,1,0,0,0,0.299895506792059
"BA-Teixeira de Freitas",2020-03-28,"nowcast",0,1,0,0,0,0.257497414684592
"BA-Teixeira de Freitas",2020-03-29,"nowcast",0,1,0,0,0,0.249484536082474
"BA-Teixeira de Freitas",2020-03-30,"nowcast",0,1,0,0,0,0.255384615384615
"BA-Teixeira de Freitas",2020-03-31,"nowcast",0,1,0,0,0,0.235173824130879
"BA-Teixeira de Freitas",2020-04-01,"nowcast",0,1,0,0,0,0.271894093686354
"BA-Teixeira de Freitas",2020-04-02,"nowcast",0,1,0,0,0,0.293401015228426
"BA-Teixeira de Freitas",2020-04-03,"nowcast",0,1,0,0,0,0.340748230535895
"BA-Teixeira de Freitas",2020-04-04,"nowcast",0,1,0,0,0,0.336693548387097
"BA-Teixeira de Freitas",2020-04-05,"nowcast",0,1,0,0,0,0.375629405840886
"BA-Teixeira de Freitas",2020-04-06,"nowcast",0,1,0,0,0,0.390342052313883
"BA-Teixeira de Freitas",2020-04-07,"nowcast",0,1,0,0,0,0.424698795180723
"BA-Teixeira de Freitas",2020-04-08,"nowcast",0,1,0,0,0,0.432730923694779
"BA-Teixeira de Freitas",2020-04-09,"nowcast",0,1,0,0,0,0.459459459459459
"BA-Teixeira de Freitas",2020-04-10,"nowcast",0,1,0,0,0,0.416416416416416
"BA-Teixeira de Freitas",2020-04-11,"nowcast",0,1,0,0,0,0.439439439439439
"BA-Teixeira de Freitas",2020-04-12,"nowcast",0,1,0,0,0,0.403
"BA-Teixeira de Freitas",2020-04-13,"nowcast",0,1,0,0,0,0.435
"BA-Teixeira de Freitas",2020-04-14,"nowcast",0,1,0,0,0,0.417
"BA-Teixeira de Freitas",2020-04-15,"nowcast",0,1,0,0,0,0.377
"BA-Teixeira de Freitas",2020-04-16,"nowcast",0,1,0,0,0,0.395
"BA-Teixeira de Freitas",2020-04-17,"nowcast",0,1,0,0,0,0.434
"BA-Teixeira de Freitas",2020-04-18,"nowcast",0,2,0,0,0,0.489
"BA-Teixeira de Freitas",2020-04-19,"nowcast",0,1,0,0,0,0.531
"BA-Teixeira de Freitas",2020-04-20,"nowcast",0,2,0,0,0,0.652
"BA-Teixeira de Freitas",2020-04-21,"nowcast",0,2,0,1,1,0.729
"BA-Teixeira de Freitas",2020-04-22,"nowcast",0,2,0,1,1,0.865
"BA-Teixeira de Freitas",2020-04-23,"nowcast",0,2,0,1,1,1.025
"BA-Teixeira de Freitas",2020-04-24,"nowcast",0,3,0,1,1,1.141
"BA-Teixeira de Freitas",2020-04-25,"nowcast",0,3,0,1,1,1.275
"BA-Teixeira de Freitas",2020-04-26,"nowcast",0,3,0,1,1,1.496
"BA-Teixeira de Freitas",2020-04-27,"nowcast",0,3,1,2,2,1.696
"BA-Teixeira de Freitas",2020-04-28,"nowcast",0,4,1,2,2,1.832
"BA-Teixeira de Freitas",2020-04-29,"nowcast",0,4,1,2,2,2.131
"BA-Teixeira de Freitas",2020-04-30,"nowcast",0,4,0,2,2,2.43
"BA-Teixeira de Freitas",2020-05-01,"nowcast",0,5,1,3,3,2.751
"BA-Teixeira de Freitas",2020-05-02,"nowcast",0,5,1,3,3,3.098
"BA-Teixeira de Freitas",2020-05-03,"nowcast",1,6,1,3,3,3.34
"BA-Teixeira de Freitas",2020-05-04,"nowcast",1,6,1,3,3,3.543
"BA-Teixeira de Freitas",2020-05-05,"nowcast",1,6,2,4,4,3.665
"BA-Teixeira de Freitas",2020-05-06,"nowcast",0,6,2,4,4,3.753
