"region","date","type","bottom","top","lower","upper","median","mean","std","prob_control"
"BA-Teixeira de Freitas",2020-05-09,"nowcast",0.538273257234876,1.95779635100273,0.925855069203538,1.45824473955179,1.22031845242885,1.25356885257902,0.447984850996656,0.284149855907781
"BA-Teixeira de Freitas",2020-05-10,"nowcast",0.53247636909918,1.91135155521593,0.925214980358296,1.44195941517123,1.20555090764078,1.2438301654747,0.43754434979712,0.293588516746412
"BA-Teixeira de Freitas",2020-05-11,"nowcast",0.485075492194349,1.87220610265368,0.83819594881461,1.35149319655033,1.17439725046984,1.22382384576518,0.455680443975971,0.315648854961832
"BA-Teixeira de Freitas",2020-05-12,"nowcast",0.525900348989228,1.86499917886747,0.880404026399812,1.38513177185512,1.15989256465736,1.20828558815003,0.448264826438663,0.32862669245648
"BA-Teixeira de Freitas",2020-05-13,"nowcast",0.541218558386295,1.83750916609445,0.885093403759131,1.37113787629815,1.16961744274412,1.22042490566572,0.437351761417556,0.308516746411483
"BA-Teixeira de Freitas",2020-05-14,"nowcast",0.536368371735582,1.87635079498771,0.909553588073861,1.38196744905511,1.19472205435514,1.25257726715061,0.438093283358963,0.274052478134111
"BA-Teixeira de Freitas",2020-05-15,"nowcast",0.597200479957678,1.87910424708461,0.967505164882885,1.4351226444391,1.23333548281115,1.27596041045416,0.409877611373717,0.247081339712919
"BA-Teixeira de Freitas",2020-05-16,"nowcast",0.676619488568481,2.07746343133714,0.95341529302791,1.43688036168671,1.28717303680844,1.35617548575373,0.454879371866382,0.19367816091954
"BA-Teixeira de Freitas",2020-05-17,"nowcast",0.754059926088179,2.13549368389297,1.08045266019646,1.57885288498068,1.37333248115876,1.43373220671564,0.445987202057473,0.136637512147716
"BA-Teixeira de Freitas",2020-05-18,"nowcast",0.811418552252675,2.09597349111469,1.11964750673291,1.58570231957749,1.39249435812755,1.45420476282036,0.419558648600081,0.10709426627794
"BA-Teixeira de Freitas",2020-05-19,"nowcast",0.827575477153304,2.1255445025854,1.12938965197525,1.60221675490369,1.44260730342345,1.49925114471994,0.433491882800793,0.0867961165048544
"BA-Teixeira de Freitas",2020-05-20,"nowcast",0.877153772114573,2.10807957910311,1.20769981370447,1.65282805690251,1.46341438963152,1.50649524281988,0.411426964669463,0.0712195121951219
"BA-Teixeira de Freitas",2020-05-21,"nowcast",0.938310632644917,2.09940395002772,1.22099505828249,1.65151462383133,1.49568639551549,1.53391820533495,0.374754957525479,0.0470243902439024
"BA-Teixeira de Freitas",2020-05-22,"nowcast",0.986247738395629,2.13540077313033,1.24468192505328,1.67088303740021,1.51293277584758,1.55041400153912,0.365833492286768,0.0423828125
"BA-Teixeira de Freitas",2020-05-23,"nowcast",1.01270467931264,2.09735111024187,1.31760286802446,1.71448319673455,1.52879796187063,1.56220953705859,0.341149822097688,0.0290480863591757
"BA-Teixeira de Freitas",2020-05-24,"nowcast",1.05376017934756,2.08588275256762,1.32519440029446,1.70917833046047,1.5382481669927,1.5711932387571,0.325533920870302,0.02317429406037
"BA-Teixeira de Freitas",2020-05-25,"nowcast",1.0722212091095,2.0515084487021,1.28312318450203,1.66477204519862,1.53311089935091,1.55725149120514,0.309719915733973,0.0237254901960784
"BA-Teixeira de Freitas",2020-05-26,"nowcast",1.0887516956168,1.99360187823816,1.34623863576057,1.69212890808021,1.51527435548641,1.54263707098193,0.287434881322156,0.0154150197628458
"BA-Teixeira de Freitas",2020-05-27,"nowcast",1.11441476709368,1.94939870172132,1.35464780631586,1.68841695489212,1.51157489663309,1.53283640694837,0.265571595432295,0.0116256157635468
"BA-Teixeira de Freitas",2020-05-28,"nowcast",1.12601909025714,1.93850462316013,1.32517340638723,1.64275114801503,1.49975216261898,1.51762551356148,0.254589160244744,0.00865290068829892
"BA-Teixeira de Freitas",2020-05-29,"nowcast",1.09127980182773,1.8736794449391,1.33236567347616,1.63486763311037,1.4883024892235,1.50040833827944,0.242850882502988,0.0145383104125737
"BA-Teixeira de Freitas",2020-05-30,"nowcast",1.11959902915418,1.85746276614276,1.27917667944743,1.56368976949544,1.45964749809545,1.47195146530959,0.230850989474952,0.016258570029383
"BA-Teixeira de Freitas",2020-05-31,"nowcast",1.07963422980496,1.8019256559237,1.28355241194267,1.56363492757852,1.43578390304857,1.44480687363647,0.227773427091821,0.0169792694965449
"BA-Teixeira de Freitas",2020-06-01,"nowcast",1.10573414265857,1.76581613936409,1.24281690217012,1.49937669040194,1.39888610081678,1.40805430273843,0.205900455494381,0.0191321499013807
"BA-Teixeira de Freitas",2020-06-02,"nowcast",1.07381848845867,1.70019500542224,1.2179276309605,1.46554904104472,1.36118881004558,1.37371773342094,0.19701171080464,0.0213935230618253
"BA-Teixeira de Freitas",2020-06-03,"nowcast",1.01600643585615,1.63303850699555,1.19931787702919,1.44159169220957,1.32375569474126,1.32922426731044,0.188552888825001,0.0374142997061704
"BA-Teixeira de Freitas",2020-06-04,"nowcast",0.994709231051775,1.59555925863634,1.16698475064942,1.39102984131091,1.27687385724893,1.2806773365312,0.179654274235743,0.0587884806355511
"BA-Teixeira de Freitas",2020-06-05,"nowcast",0.95817931772256,1.52132082726454,1.12844859847843,1.34554652789164,1.24249695858595,1.24201242781159,0.170385323287297,0.0784158415841584
"BA-Teixeira de Freitas",2020-06-06,"nowcast",0.923260468389748,1.46445870820087,1.08229608757047,1.2888993154346,1.18763172782609,1.19151665300944,0.165298017339222,0.115529179030663
"BA-Teixeira de Freitas",2020-06-07,"nowcast",0.887829715251064,1.38239034798676,1.03600403184339,1.22678389726258,1.13743570519802,1.13943885932719,0.15099922849752,0.167061143984221
"BA-Teixeira de Freitas",2020-06-08,"nowcast",0.849683015437033,1.31909161622082,1.01655000104879,1.20085551735991,1.09780321999724,1.09363190358717,0.1421844637162,0.251984126984127
"BA-Teixeira de Freitas",2020-06-09,"nowcast",0.833502993078302,1.27597633578023,0.984850615222979,1.15226976717386,1.06578443996843,1.06227501003767,0.134574331942154,0.302085402184707
"BA-Teixeira de Freitas",2020-06-10,"nowcast",0.851517763159632,1.26360188384115,0.974448064221028,1.13294049392126,1.05670241715174,1.05424186127733,0.127222310496073,0.317853658536585
"BA-Teixeira de Freitas",2020-06-11,"nowcast",0.844796865023728,1.2655675885351,0.983052548710515,1.14035069366164,1.05752131959522,1.06159890402924,0.132128124503043,0.302851524090462
"BA-Teixeira de Freitas",2020-06-12,"nowcast",0.884182396950793,1.28470301016987,0.9925105958665,1.14425735589205,1.07695814185911,1.08574537496901,0.124783930201583,0.238415841584158
"BA-Teixeira de Freitas",2020-06-13,"nowcast",0.909729260667415,1.3316223374596,1.00055720884749,1.15244085486586,1.09668991733795,1.11020486159153,0.132611730316907,0.182086614173228
"BA-Teixeira de Freitas",2020-06-14,"nowcast",0.895805229082454,1.31109537333213,1.01120859070823,1.16229591214747,1.10366981357363,1.11768381435711,0.131049845894355,0.156280909990109
"BA-Teixeira de Freitas",2020-06-15,"nowcast",0.920521471858166,1.3226513132216,1.02539638034014,1.17561297407213,1.11135351517873,1.12200041071508,0.125958317616739,0.137142857142857
"BA-Teixeira de Freitas",2020-06-16,"nowcast",0.932118421683768,1.32764845255379,1.03172587498009,1.1804167917088,1.11653953282958,1.12503018014309,0.123026557945743,0.136967294350842
"BA-Teixeira de Freitas",2020-06-17,"nowcast",0.919465627493831,1.28838930191765,1.02337428238867,1.16454871136858,1.10609056312498,1.10900100315201,0.117896507149684,0.157581764122894
"BA-Teixeira de Freitas",2020-06-18,"nowcast",0.901901749908546,1.27548560827023,1.03722320391405,1.17597084094832,1.09460135308101,1.09554677501791,0.114822337581266,0.187128712871287
"BA-Teixeira de Freitas",2020-06-19,"nowcast",0.900377777833998,1.26872540470529,1.01188442413789,1.15197201356372,1.07623161599373,1.0743692506298,0.11502176109821,0.237241379310345
"BA-Teixeira de Freitas",2020-06-20,"nowcast",0.878550330956754,1.25161120363225,0.992490321588096,1.12980810500738,1.06657258815266,1.06480183242136,0.114093864416153,0.260575968222443
"BA-Teixeira de Freitas",2020-06-21,"nowcast",0.861024043563104,1.22011457888102,0.978630261778236,1.11635679512531,1.04591845731614,1.04583946822933,0.111284430104166,0.331563421828909
"BA-Teixeira de Freitas",2020-06-22,"nowcast",0.843430819726594,1.20325804314238,0.951430669265406,1.08862146916177,1.02246272629307,1.01919360287818,0.110042123466164,0.410474308300395
"BA-Teixeira de Freitas",2020-06-23,"nowcast",0.7994885422231,1.16301822533343,0.934674034355597,1.07091033101961,0.994117925746455,0.987806998025062,0.111272932426624,0.523668639053254
"BA-Teixeira de Freitas",2020-06-24,"nowcast",0.757787757499189,1.12244565022927,0.894032071494962,1.03700669249697,0.955678805236807,0.949439986410993,0.112198561682113,0.670541871921182
"BA-Teixeira de Freitas",2020-06-25,"nowcast",0.736004096917519,1.10737661599412,0.870826348198001,1.01866652647207,0.929760766758136,0.923647507099695,0.114668021099584,0.74757665677547
"BA-Teixeira de Freitas",2020-06-26,"nowcast",0.730561552230565,1.07725619574069,0.863536318501093,0.995905228753245,0.916685945877282,0.909979695385932,0.107197063518733,0.813622902270484
"BA-Teixeira de Freitas",2020-06-27,"nowcast",0.736984762958823,1.07394938463046,0.861221874778183,0.987022798785806,0.912443098114066,0.909955570970058,0.102758048937108,0.826930693069307
"BA-Teixeira de Freitas",2020-06-28,"nowcast",0.738393777871766,1.0858636698626,0.848688085407271,0.974873320542722,0.913943286872355,0.917088553981988,0.106576422435073,0.814822134387352
"BA-Teixeira de Freitas",2020-06-29,"nowcast",0.753592095522355,1.08471019676683,0.848287663792304,0.970098803855051,0.915492047811383,0.920900976665553,0.10512540556315,0.809224730127576
"BA-Teixeira de Freitas",2020-06-30,"nowcast",0.75140039169138,1.09647311348023,0.847868409524754,0.970533651609666,0.91670513368994,0.921272098647011,0.106596483311985,0.806102362204724
"BA-Teixeira de Freitas",2020-07-01,"nowcast",0.737266090686845,1.09089137684603,0.846019147180595,0.971728486084703,0.913310989386384,0.917173430396166,0.109097073232664,0.80748031496063
"BA-Teixeira de Freitas",2020-07-02,"nowcast",0.745588460936682,1.09039544529718,0.845613582359632,0.970980995356824,0.915267108005983,0.922346553390354,0.107564248884676,0.793333333333333
"BA-Teixeira de Freitas",2020-07-03,"nowcast",0.741713542755215,1.13104155723255,0.830440020860173,0.969172699474452,0.923375432382386,0.92890497897944,0.118672146271909,0.759009900990099
"BA-Teixeira de Freitas",2020-07-04,"nowcast",0.747399205370625,1.12553099519288,0.849110215178913,0.984914952884931,0.925750229378013,0.930785039533359,0.118687473641033,0.764798426745329
"BA-Teixeira de Freitas",2020-07-05,"nowcast",0.727738592222526,1.10322459876765,0.844487967926792,0.976852748351224,0.922296635738245,0.926821277378665,0.114337822495478,0.773385518590998
"BA-Teixeira de Freitas",2020-07-06,"nowcast",0.722696570869832,1.09672558340402,0.838307011370863,0.980168667820444,0.915051469426744,0.915083358274194,0.116429111523746,0.78987090367428
"BA-Teixeira de Freitas",2020-07-07,"nowcast",0.686085179573915,1.06871706083675,0.838069116870412,0.974760009380639,0.894309404212555,0.893526932748691,0.11832267042813,0.845759368836292
"BA-Teixeira de Freitas",2020-07-08,"nowcast",0.688592257600783,1.08128784103001,0.81197808672371,0.960532309553118,0.881674055515125,0.88022328699109,0.12159541783687,0.858777120315582
"BA-Teixeira de Freitas",2020-07-09,"nowcast",0.664514345410109,1.08479489605905,0.798594294298077,0.950961951427582,0.875692659413539,0.873055612147529,0.130585438789354,0.862463054187192
"BA-Teixeira de Freitas",2020-07-10,"nowcast",0.648408590600293,1.09758200258102,0.798009136660371,0.951531241647085,0.879891391728021,0.884746727212752,0.136157740761364,0.829244357212954
"BA-Teixeira de Freitas",2020-07-11,"forecast",0.648076640821824,1.12741251653947,0.786416546602462,0.973459444806837,0.882460806793098,0.885071286830461,0.148065446013785,0.7966
"BA-Teixeira de Freitas",2020-07-12,"forecast",0.624467727244228,1.15654272273107,0.794107381871296,0.999378078376992,0.884561471034638,0.882242494354674,0.163308494710995,0.7802
"BA-Teixeira de Freitas",2020-07-13,"forecast",0.608507218565071,1.17198597846058,0.774631046309649,0.998344700472108,0.886604052443807,0.885582738728688,0.174128823250742,0.7518
"BA-Teixeira de Freitas",2020-07-14,"forecast",0.566667145303662,1.16304003373009,0.753237906479573,0.983259927793822,0.88277072157686,0.881428845674543,0.186087127056557,0.7554
"BA-Teixeira de Freitas",2020-07-15,"forecast",0.56321087488398,1.19894705000994,0.766946981789955,1.01293091445423,0.880026444544388,0.881426817967013,0.194485774887193,0.74
"BA-Teixeira de Freitas",2020-07-16,"forecast",0.55981647496846,1.21876703478859,0.744407642602399,0.996757929907604,0.880477313450186,0.878048760608729,0.202935283432225,0.7412
"BA-Teixeira de Freitas",2020-07-17,"forecast",0.544862941846607,1.21928566388559,0.749028956189089,1.00871985397322,0.880069137759288,0.878020588882466,0.210847605041792,0.7326
"BA-Teixeira de Freitas",2020-07-18,"forecast",0.509620910283294,1.24363557461174,0.747718226601794,1.02427202043874,0.878483993134434,0.877629241912008,0.223427184628473,0.723
"BA-Teixeira de Freitas",2020-07-19,"forecast",0.509473276497272,1.2636093074862,0.715960157220488,1.00358438848875,0.871064779362669,0.869662587076248,0.232477298762524,0.726
"BA-Teixeira de Freitas",2020-07-20,"forecast",0.483352164627301,1.25770443319683,0.70872371144953,1.00672292715294,0.870636167021165,0.870850196702982,0.2423964346222,0.7186
"BA-Teixeira de Freitas",2020-07-21,"forecast",0.465686102274658,1.25767975213795,0.731370845662071,1.03456549050127,0.878751739358097,0.874423160963074,0.245307219724268,0.71
"BA-Teixeira de Freitas",2020-07-22,"forecast",0.45927180948292,1.28314704896937,0.735591345241687,1.05236905127108,0.871370209557176,0.870262881109803,0.252981298027934,0.7082
"BA-Teixeira de Freitas",2020-07-23,"forecast",0.461353207909521,1.3162995082552,0.690074142358086,1.01192708918763,0.872790295624997,0.875387795215014,0.262599822701817,0.698
"BA-Teixeira de Freitas",2020-07-24,"forecast",0.419544184780643,1.28880715280646,0.736994220035583,1.06454649690047,0.873042949890733,0.862981914809036,0.267678495285846,0.7012
