"region","date","type","bottom","top","lower","upper","median","mean"
"CE-Acarape",2020-03-08,"nowcast",1,1,1,1,1,1
"CE-Acarape",2020-03-09,"nowcast",1,1,1,1,1,1
"CE-Acarape",2020-03-10,"nowcast",0,0,0,0,0,0
"CE-Acarape",2020-03-11,"nowcast",1,1,1,1,1,1
"CE-Acarape",2020-03-12,"nowcast",0,0,0,0,0,0
"CE-Acarape",2020-03-13,"nowcast",0,1,0,1,0.5,0.5
"CE-Acarape",2020-03-14,"nowcast",0,1,0,1,0.5,0.5
"CE-Acarape",2020-03-15,"nowcast",0,1,0,0,0,0.2
"CE-Acarape",2020-03-16,"nowcast",0,0,0,0,0,0
"CE-Acarape",2020-03-17,"nowcast",0,1,0,0,0,0.375
"CE-Acarape",2020-03-18,"nowcast",0,1,0,0,0,0.466666666666667
"CE-Acarape",2020-03-19,"nowcast",0,0,0,0,0,0.0625
"CE-Acarape",2020-03-20,"nowcast",0,1,0,0,0,0.166666666666667
"CE-Acarape",2020-03-21,"nowcast",0,1,0,0,0,0.157894736842105
"CE-Acarape",2020-03-22,"nowcast",0,1,0,0,0,0.304347826086957
"CE-Acarape",2020-03-23,"nowcast",0,1,0,0,0,0.214285714285714
"CE-Acarape",2020-03-24,"nowcast",0,1,0,0,0,0.375
"CE-Acarape",2020-03-25,"nowcast",0,1,0,0,0,0.39344262295082
"CE-Acarape",2020-03-26,"nowcast",0,1,0,0,0,0.320987654320988
"CE-Acarape",2020-03-27,"nowcast",0,1,0,0,0,0.277227722772277
"CE-Acarape",2020-03-28,"nowcast",0,1,0,0,0,0.297709923664122
"CE-Acarape",2020-03-29,"nowcast",0,1,0,0,0,0.30379746835443
"CE-Acarape",2020-03-30,"nowcast",0,1,0,0,0,0.31219512195122
"CE-Acarape",2020-03-31,"nowcast",0,1,0,0,0,0.277551020408163
"CE-Acarape",2020-04-01,"nowcast",0,1,0,0,0,0.314189189189189
"CE-Acarape",2020-04-02,"nowcast",0,1,0,0,0,0.317647058823529
"CE-Acarape",2020-04-03,"nowcast",0,1,0,0,0,0.319711538461538
