"region","date","type","bottom","top","lower","upper","median","mean"
"CE-Capistrano",2020-03-09,"nowcast",1,1,1,1,1,1
"CE-Capistrano",2020-03-10,"nowcast",0,0,0,0,0,0
"CE-Capistrano",2020-03-11,"nowcast",0,0,0,0,0,0
"CE-Capistrano",2020-03-12,"nowcast",0,1,0,1,0.5,0.5
"CE-Capistrano",2020-03-13,"nowcast",0,1,0,1,0.5,0.5
"CE-Capistrano",2020-03-14,"nowcast",0,1,0,1,0.5,0.5
"CE-Capistrano",2020-03-15,"nowcast",0,0,0,0,0,0
"CE-Capistrano",2020-03-16,"nowcast",0,0,0,0,0,0
"CE-Capistrano",2020-03-17,"nowcast",0,0,0,0,0,0
"CE-Capistrano",2020-03-18,"nowcast",0,1,0,0,0,0.333333333333333
"CE-Capistrano",2020-03-19,"nowcast",0,1,0,1,0.5,0.5
"CE-Capistrano",2020-03-20,"nowcast",0,1,0,0,0,0.333333333333333
"CE-Capistrano",2020-03-21,"nowcast",0,1,0,0,0,0.357142857142857
"CE-Capistrano",2020-03-22,"nowcast",0,1,0,0,0,0.434782608695652
"CE-Capistrano",2020-03-23,"nowcast",0,1,0,0,0,0.185185185185185
"CE-Capistrano",2020-03-24,"nowcast",0,1,0,0,0,0.272727272727273
"CE-Capistrano",2020-03-25,"nowcast",0,1,0,0,0,0.24390243902439
"CE-Capistrano",2020-03-26,"nowcast",0,1,0,0,0,0.320754716981132
"CE-Capistrano",2020-03-27,"nowcast",0,1,0,0,0,0.40506329113924
"CE-Capistrano",2020-03-28,"nowcast",0,1,0,0,0,0.244897959183673
"CE-Capistrano",2020-03-29,"nowcast",0,1,0,0,0,0.346153846153846
"CE-Capistrano",2020-03-30,"nowcast",0,1,0,0,0,0.24375
"CE-Capistrano",2020-03-31,"nowcast",0,1,0,0,0,0.247422680412371
"CE-Capistrano",2020-04-01,"nowcast",0,1,0,0,0,0.280851063829787
"CE-Capistrano",2020-04-02,"nowcast",0,1,0,0,0,0.287719298245614
"CE-Capistrano",2020-04-03,"nowcast",0,1,0,0,0,0.253687315634218
"CE-Capistrano",2020-04-04,"nowcast",0,1,0,0,0,0.249376558603491
"CE-Capistrano",2020-04-05,"nowcast",0,1,0,0,0,0.26215644820296
"CE-Capistrano",2020-04-06,"nowcast",0,1,0,0,0,0.277676950998185
"CE-Capistrano",2020-04-07,"nowcast",0,1,0,0,0,0.253634894991922
"CE-Capistrano",2020-04-08,"nowcast",0,1,0,0,0,0.251479289940828
"CE-Capistrano",2020-04-09,"nowcast",0,1,0,0,0,0.305220883534137
"CE-Capistrano",2020-04-10,"nowcast",0,1,0,0,0,0.276864728192162
"CE-Capistrano",2020-04-11,"nowcast",0,1,0,0,0,0.234866828087167
"CE-Capistrano",2020-04-12,"nowcast",0,1,0,0,0,0.235981308411215
"CE-Capistrano",2020-04-13,"nowcast",0,1,0,0,0,0.268571428571429
"CE-Capistrano",2020-04-14,"nowcast",0,1,0,0,0,0.279199110122358
"CE-Capistrano",2020-04-15,"nowcast",0,1,0,0,0,0.338427947598253
"CE-Capistrano",2020-04-16,"nowcast",0,1,0,0,0,0.371122994652406
"CE-Capistrano",2020-04-17,"nowcast",0,1,0,0,0,0.431865828092243
"CE-Capistrano",2020-04-18,"nowcast",0,1,0,0,0,0.468041237113402
"CE-Capistrano",2020-04-19,"nowcast",0,1,0,0,0,0.483673469387755
"CE-Capistrano",2020-04-20,"nowcast",0,2,0,0,0,0.591047812817904
"CE-Capistrano",2020-04-21,"nowcast",0,2,0,1,1,0.718026183282981
"CE-Capistrano",2020-04-22,"nowcast",0,2,0,1,1,0.798994974874372
"CE-Capistrano",2020-04-23,"nowcast",0,2,0,1,1,0.979939819458375
"CE-Capistrano",2020-04-24,"nowcast",0,2,0,1,1,1.1031031031031
"CE-Capistrano",2020-04-25,"nowcast",0,3,0,1,1,1.293
"CE-Capistrano",2020-04-26,"nowcast",0,3,0,1,1,1.471
"CE-Capistrano",2020-04-27,"nowcast",0,3,1,2,2,1.712
