"region","date","type","bottom","top","lower","upper","median","mean"
"CE-Itapipoca",2020-02-22,"nowcast",1,1,1,1,1,1
"CE-Itapipoca",2020-02-23,"nowcast",0,0,0,0,0,0
"CE-Itapipoca",2020-02-24,"nowcast",0,0,0,0,0,0
"CE-Itapipoca",2020-02-25,"nowcast",1,1,1,1,1,1
"CE-Itapipoca",2020-02-26,"nowcast",0,0,0,0,0,0
"CE-Itapipoca",2020-02-27,"nowcast",0,0,0,0,0,0
"CE-Itapipoca",2020-02-28,"nowcast",0,0,0,0,0,0
"CE-Itapipoca",2020-02-29,"nowcast",0,0,0,0,0,0
"CE-Itapipoca",2020-03-01,"nowcast",0,1,0,1,0.5,0.5
"CE-Itapipoca",2020-03-02,"nowcast",0,0,0,0,0,0
"CE-Itapipoca",2020-03-03,"nowcast",0,1,1,1,1,0.666666666666667
"CE-Itapipoca",2020-03-04,"nowcast",0,1,0,1,0.5,0.5
"CE-Itapipoca",2020-03-05,"nowcast",0,1,0,0,0,0.333333333333333
"CE-Itapipoca",2020-03-06,"nowcast",0,1,0,0,0,0.375
"CE-Itapipoca",2020-03-07,"nowcast",0,1,0,0,0,0.3
"CE-Itapipoca",2020-03-08,"nowcast",0,1,0,0,0,0.384615384615385
"CE-Itapipoca",2020-03-09,"nowcast",0,1,0,0,0,0.277777777777778
"CE-Itapipoca",2020-03-10,"nowcast",0,1,0,0,0,0.15
"CE-Itapipoca",2020-03-11,"nowcast",0,1,0,0,0,0.296296296296296
"CE-Itapipoca",2020-03-12,"nowcast",0,1,0,0,0,0.375
"CE-Itapipoca",2020-03-13,"nowcast",0,1,0,0,0,0.288461538461538
"CE-Itapipoca",2020-03-14,"nowcast",0,1,0,0,0,0.337837837837838
"CE-Itapipoca",2020-03-15,"nowcast",0,1,0,0,0,0.266666666666667
"CE-Itapipoca",2020-03-16,"nowcast",0,1,0,0,0,0.290909090909091
"CE-Itapipoca",2020-03-17,"nowcast",0,1,0,0,0,0.25
"CE-Itapipoca",2020-03-18,"nowcast",0,1,0,0,0,0.251572327044025
"CE-Itapipoca",2020-03-19,"nowcast",0,1,0,0,0,0.283582089552239
