"region","date","type","bottom","top","lower","upper","median","mean"
"CE-Miraíma",2020-02-13,"nowcast",1,1,1,1,1,1
"CE-Miraíma",2020-02-14,"nowcast",0,0,0,0,0,0
"CE-Miraíma",2020-02-15,"nowcast",0,0,0,0,0,0
"CE-Miraíma",2020-02-16,"nowcast",0,0,0,0,0,0
"CE-Miraíma",2020-02-17,"nowcast",0,0,0,0,0,0
"CE-Miraíma",2020-02-18,"nowcast",0,0,0,0,0,0
"CE-Miraíma",2020-02-19,"nowcast",0,1,0,1,0.5,0.5
"CE-Miraíma",2020-02-20,"nowcast",0,0,0,0,0,0
"CE-Miraíma",2020-02-21,"nowcast",0,0,0,0,0,0
"CE-Miraíma",2020-02-22,"nowcast",0,0,0,0,0,0
"CE-Miraíma",2020-02-23,"nowcast",0,1,0,0,0,0.333333333333333
"CE-Miraíma",2020-02-24,"nowcast",0,0,0,0,0,0
"CE-Miraíma",2020-02-25,"nowcast",0,0,0,0,0,0
"CE-Miraíma",2020-02-26,"nowcast",0,0,0,0,0,0
"CE-Miraíma",2020-02-27,"nowcast",0,0,0,0,0,0
"CE-Miraíma",2020-02-28,"nowcast",0,1,0,0,0,0.25
"CE-Miraíma",2020-02-29,"nowcast",0,0,0,0,0,0
"CE-Miraíma",2020-03-01,"nowcast",0,0,0,0,0,0
"CE-Miraíma",2020-03-02,"nowcast",0,1,0,0,0,0.25
"CE-Miraíma",2020-03-03,"nowcast",0,1,0,0,0,0.333333333333333
"CE-Miraíma",2020-03-04,"nowcast",0,1,0,0,0,0.166666666666667
"CE-Miraíma",2020-03-05,"nowcast",0,1,0,0,0,0.166666666666667
"CE-Miraíma",2020-03-06,"nowcast",0,1,0,0,0,0.25
"CE-Miraíma",2020-03-07,"nowcast",0,1,0,0,0,0.25
"CE-Miraíma",2020-03-08,"nowcast",0,0,0,0,0,0
"CE-Miraíma",2020-03-09,"nowcast",0,0,0,0,0,0
"CE-Miraíma",2020-03-10,"nowcast",0,1,0,0,0,0.111111111111111
"CE-Miraíma",2020-03-11,"nowcast",0,0,0,0,0,0
"CE-Miraíma",2020-03-12,"nowcast",0,1,0,0,0,0.333333333333333
"CE-Miraíma",2020-03-13,"nowcast",0,1,0,0,0,0.285714285714286
"CE-Miraíma",2020-03-14,"nowcast",0,1,0,0,0,0.1875
"CE-Miraíma",2020-03-15,"nowcast",0,1,0,0,0,0.157894736842105
"CE-Miraíma",2020-03-16,"nowcast",0,1,0,0,0,0.19047619047619
"CE-Miraíma",2020-03-17,"nowcast",0,0,0,0,0,0.0952380952380952
"CE-Miraíma",2020-03-18,"nowcast",0,1,0,0,0,0.227272727272727
"CE-Miraíma",2020-03-19,"nowcast",0,1,0,0,0,0.16
"CE-Miraíma",2020-03-20,"nowcast",0,1,0,0,0,0.148148148148148
"CE-Miraíma",2020-03-21,"nowcast",0,1,0,0,0,0.2
"CE-Miraíma",2020-03-22,"nowcast",0,1,0,0,0,0.133333333333333
"CE-Miraíma",2020-03-23,"nowcast",0,1,0,0,0,0.242424242424242
"CE-Miraíma",2020-03-24,"nowcast",0,1,0,0,0,0.142857142857143
"CE-Miraíma",2020-03-25,"nowcast",0,1,0,0,0,0.216216216216216
"CE-Miraíma",2020-03-26,"nowcast",0,1,0,0,0,0.2
"CE-Miraíma",2020-03-27,"nowcast",0,1,0,0,0,0.285714285714286
"CE-Miraíma",2020-03-28,"nowcast",0,1,0,0,0,0.204545454545455
"CE-Miraíma",2020-03-29,"nowcast",0,1,0,0,0,0.155555555555556
