"region","date","type","bottom","top","lower","upper","median","mean"
"CE-São Benedito",2020-01-07,"nowcast",1,1,1,1,1,1
"CE-São Benedito",2020-01-08,"nowcast",0,0,0,0,0,0
"CE-São Benedito",2020-01-09,"nowcast",0,0,0,0,0,0
"CE-São Benedito",2020-01-10,"nowcast",0,0,0,0,0,0
"CE-São Benedito",2020-01-11,"nowcast",0,0,0,0,0,0
"CE-São Benedito",2020-01-12,"nowcast",0,0,0,0,0,0
"CE-São Benedito",2020-01-13,"nowcast",0,1,1,1,1,0.75
"CE-São Benedito",2020-01-14,"nowcast",0,0,0,0,0,0
"CE-São Benedito",2020-01-15,"nowcast",0,0,0,0,0,0
"CE-São Benedito",2020-01-16,"nowcast",0,0,0,0,0,0
"CE-São Benedito",2020-01-17,"nowcast",0,1,0,0,0,0.4
"CE-São Benedito",2020-01-18,"nowcast",0,0,0,0,0,0
"CE-São Benedito",2020-01-19,"nowcast",0,0,0,0,0,0
"CE-São Benedito",2020-01-20,"nowcast",0,1,0,0,0,0.2
"CE-São Benedito",2020-01-21,"nowcast",0,0,0,0,0,0
"CE-São Benedito",2020-01-22,"nowcast",0,0,0,0,0,0
"CE-São Benedito",2020-01-23,"nowcast",0,1,0,0,0,0.166666666666667
"CE-São Benedito",2020-01-24,"nowcast",0,0,0,0,0,0
"CE-São Benedito",2020-01-25,"nowcast",0,1,0,0,0,0.285714285714286
"CE-São Benedito",2020-01-26,"nowcast",0,0,0,0,0,0
"CE-São Benedito",2020-01-27,"nowcast",0,1,0,0,0,0.125
"CE-São Benedito",2020-01-28,"nowcast",0,0,0,0,0,0
"CE-São Benedito",2020-01-29,"nowcast",0,1,0,0,0,0.111111111111111
"CE-São Benedito",2020-01-30,"nowcast",0,1,0,0,0,0.111111111111111
"CE-São Benedito",2020-01-31,"nowcast",0,1,0,0,0,0.1
"CE-São Benedito",2020-02-01,"nowcast",0,0,0,0,0,0.0909090909090909
"CE-São Benedito",2020-02-02,"nowcast",0,1,0,0,0,0.357142857142857
"CE-São Benedito",2020-02-03,"nowcast",0,0,0,0,0,0.0714285714285714
"CE-São Benedito",2020-02-04,"nowcast",0,0,0,0,0,0
"CE-São Benedito",2020-02-05,"nowcast",0,0,0,0,0,0
"CE-São Benedito",2020-02-06,"nowcast",0,1,0,0,0,0.133333333333333
"CE-São Benedito",2020-02-07,"nowcast",0,1,0,0,0,0.133333333333333
"CE-São Benedito",2020-02-08,"nowcast",0,1,0,0,0,0.117647058823529
"CE-São Benedito",2020-02-09,"nowcast",0,1,0,0,0,0.25
"CE-São Benedito",2020-02-10,"nowcast",0,1,0,0,0,0.1
"CE-São Benedito",2020-02-11,"nowcast",0,1,0,0,0,0.181818181818182
"CE-São Benedito",2020-02-12,"nowcast",0,1,0,0,0,0.16
"CE-São Benedito",2020-02-13,"nowcast",0,1,0,0,0,0.233333333333333
"CE-São Benedito",2020-02-14,"nowcast",0,1,0,0,0,0.1875
"CE-São Benedito",2020-02-15,"nowcast",0,0,0,0,0,0.09375
"CE-São Benedito",2020-02-16,"nowcast",0,1,0,0,0,0.176470588235294
"CE-São Benedito",2020-02-17,"nowcast",0,1,0,0,0,0.243243243243243
"CE-São Benedito",2020-02-18,"nowcast",0,0,0,0,0,0.0789473684210526
"CE-São Benedito",2020-02-19,"nowcast",0,1,0,0,0,0.128205128205128
"CE-São Benedito",2020-02-20,"nowcast",0,0,0,0,0,0.0952380952380952
"CE-São Benedito",2020-02-21,"nowcast",0,0,0,0,0,0.0681818181818182
"CE-São Benedito",2020-02-22,"nowcast",0,1,0,0,0,0.155555555555556
"CE-São Benedito",2020-02-23,"nowcast",0,1,0,0,0,0.204081632653061
"CE-São Benedito",2020-02-24,"nowcast",0,1,0,0,0,0.169811320754717
"CE-São Benedito",2020-02-25,"nowcast",0,1,0,0,0,0.222222222222222
"CE-São Benedito",2020-02-26,"nowcast",0,1,0,0,0,0.254545454545455
"CE-São Benedito",2020-02-27,"nowcast",0,1,0,0,0,0.262295081967213
