"region","date","type","bottom","top","lower","upper","median","mean"
"CE-Viçosa do Ceará",2020-03-18,"nowcast",1,1,1,1,1,1
"CE-Viçosa do Ceará",2020-03-19,"nowcast",0,1,1,1,1,0.75
"CE-Viçosa do Ceará",2020-03-20,"nowcast",0,1,0,0,0,0.2
"CE-Viçosa do Ceará",2020-03-21,"nowcast",0,1,0,0,0,0.285714285714286
"CE-Viçosa do Ceará",2020-03-22,"nowcast",0,1,0,0,0,0.125
"CE-Viçosa do Ceará",2020-03-23,"nowcast",0,1,0,0,0,0.384615384615385
"CE-Viçosa do Ceará",2020-03-24,"nowcast",0,1,0,0,0,0.333333333333333
"CE-Viçosa do Ceará",2020-03-25,"nowcast",0,1,0,0,0,0.28
"CE-Viçosa do Ceará",2020-03-26,"nowcast",0,1,0,0,0,0.363636363636364
"CE-Viçosa do Ceará",2020-03-27,"nowcast",0,1,0,0,0,0.282051282051282
"CE-Viçosa do Ceará",2020-03-28,"nowcast",0,1,0,0,0,0.379310344827586
"CE-Viçosa do Ceará",2020-03-29,"nowcast",0,1,0,0,0,0.363636363636364
"CE-Viçosa do Ceará",2020-03-30,"nowcast",0,1,0,0,0,0.282828282828283
"CE-Viçosa do Ceará",2020-03-31,"nowcast",0,1,0,0,0,0.336
"CE-Viçosa do Ceará",2020-04-01,"nowcast",0,1,0,0,0,0.27741935483871
"CE-Viçosa do Ceará",2020-04-02,"nowcast",0,1,0,0,0,0.367647058823529
"CE-Viçosa do Ceará",2020-04-03,"nowcast",0,1,0,0,0,0.317460317460317
"CE-Viçosa do Ceará",2020-04-04,"nowcast",0,1,0,0,0,0.286195286195286
"CE-Viçosa do Ceará",2020-04-05,"nowcast",0,1,0,0,0,0.372340425531915
"CE-Viçosa do Ceará",2020-04-06,"nowcast",0,1,0,0,0,0.337837837837838
"CE-Viçosa do Ceará",2020-04-07,"nowcast",0,1,0,0,0,0.324324324324324
"CE-Viçosa do Ceará",2020-04-08,"nowcast",0,1,0,0,0,0.371287128712871
"CE-Viçosa do Ceará",2020-04-09,"nowcast",0,1,0,0,0,0.448326055312955
"CE-Viçosa do Ceará",2020-04-10,"nowcast",0,1,0,0,0,0.449868073878628
"CE-Viçosa do Ceará",2020-04-11,"nowcast",0,1,0,0,0,0.496984318455971
"CE-Viçosa do Ceará",2020-04-12,"nowcast",0,2,0,0,0,0.575757575757576
"CE-Viçosa do Ceará",2020-04-13,"nowcast",0,2,0,0,0,0.592233009708738
"CE-Viçosa do Ceará",2020-04-14,"nowcast",0,2,0,1,1,0.704641350210971
"CE-Viçosa do Ceará",2020-04-15,"nowcast",0,2,0,1,1,0.828189300411523
"CE-Viçosa do Ceará",2020-04-16,"nowcast",0,2,0,1,1,1.02647657841141
"CE-Viçosa do Ceará",2020-04-17,"nowcast",0,3,0,1,1,1.16717019133938
"CE-Viçosa do Ceará",2020-04-18,"nowcast",0,3,0,1,1,1.37211634904714
"CE-Viçosa do Ceará",2020-04-19,"nowcast",0,3,0,1,1,1.61361361361361
"CE-Viçosa do Ceará",2020-04-20,"nowcast",0,4,1,2,2,1.918
