"region","date","type","bottom","top","lower","upper","median","mean","std","prob_control"
"MA-Barra do Corda",2020-05-07,"nowcast",1.03908199185287,1.98951827786426,1.29457589396823,1.66328980286238,1.49726084146678,1.52021176142402,0.295461468719512,0.0287390029325513
"MA-Barra do Corda",2020-05-08,"nowcast",1.00472511515294,1.86976737143984,1.28669498553993,1.61226512770854,1.45195431418168,1.46561145240958,0.263172321184083,0.0305447470817121
"MA-Barra do Corda",2020-05-09,"nowcast",0.98440763946351,1.78223681340795,1.25486516745477,1.56316487796792,1.40598039113705,1.41657141446055,0.250385718890117,0.0378536585365854
"MA-Barra do Corda",2020-05-10,"nowcast",0.973549860124465,1.73989278907893,1.19629099749996,1.48022765362295,1.35013435200357,1.36031408234377,0.234640718430786,0.0536203522504892
"MA-Barra do Corda",2020-05-11,"nowcast",0.989018343837184,1.69214770105929,1.19040802984815,1.47072614128837,1.32366688902547,1.32624474122874,0.218199229279959,0.0621915103652517
"MA-Barra do Corda",2020-05-12,"nowcast",0.990414961407702,1.63835024410292,1.17922153791078,1.42324776395417,1.29412546601637,1.29886974212162,0.200471304626898,0.0577299412915851
"MA-Barra do Corda",2020-05-13,"nowcast",0.954372038269475,1.56858449195778,1.16063607403512,1.39777242310843,1.28481974868455,1.28994028527555,0.190521236428024,0.0575073601570167
"MA-Barra do Corda",2020-05-14,"nowcast",0.996334717342456,1.57960050645953,1.15734956179656,1.37634951345246,1.27528337488969,1.28597655271882,0.182897815430912,0.0441176470588235
"MA-Barra do Corda",2020-05-15,"nowcast",0.999727773954841,1.57720847416396,1.14636762689655,1.36092110306262,1.27172611706901,1.28315025865181,0.182072705735138,0.0445103857566766
"MA-Barra do Corda",2020-05-16,"nowcast",0.960905196158291,1.53440686042366,1.12360932227902,1.3422355585972,1.24569644489592,1.25701034109869,0.179281951584524,0.0650840751730959
"MA-Barra do Corda",2020-05-17,"nowcast",0.945230964591084,1.50677346747119,1.1181330787939,1.32728729615073,1.23663849702808,1.24100373421429,0.17154948000097,0.0724580454096742
"MA-Barra do Corda",2020-05-18,"nowcast",0.956350539190907,1.48758804142309,1.0920906289247,1.28698211622476,1.19867956537132,1.20082165124234,0.160834305169763,0.095771878072763
"MA-Barra do Corda",2020-05-19,"nowcast",0.895259050467493,1.39232125517419,1.05845667290847,1.24876606095683,1.15360326505764,1.14747977698046,0.151972104378599,0.162151394422311
"MA-Barra do Corda",2020-05-20,"nowcast",0.837324504541708,1.33721023473659,1.01529473765093,1.21096258030557,1.10442472828189,1.09954213135047,0.153587552591001,0.2443359375
"MA-Barra do Corda",2020-05-21,"nowcast",0.824212832215774,1.30188949495901,0.985711249407688,1.1685623627697,1.06433123988114,1.05974459132985,0.145097942801991,0.320275590551181
"MA-Barra do Corda",2020-05-22,"nowcast",0.798207265879366,1.25371620866605,0.955367127784384,1.13474846150453,1.02758618189098,1.02294352033415,0.139069606228555,0.420355731225296
"MA-Barra do Corda",2020-05-23,"nowcast",0.749498719794189,1.19796518212706,0.935660999772059,1.10839411976114,0.997902948072111,0.991738692753981,0.13609513330197,0.508481262327416
"MA-Barra do Corda",2020-05-24,"nowcast",0.768031312496489,1.19187394924355,0.889555221951631,1.05195500233889,0.971878881990301,0.969734075382,0.130991040431903,0.599209486166008
"MA-Barra do Corda",2020-05-25,"nowcast",0.719496461548735,1.13671062590305,0.853462282883966,1.01223067443819,0.940932459849984,0.940306508647407,0.128656381112077,0.694094488188976
"MA-Barra do Corda",2020-05-26,"nowcast",0.709531004267026,1.12920872599976,0.862021927262989,1.0186519159301,0.925955372508819,0.92089924897525,0.126899899144011,0.744739429695182
"MA-Barra do Corda",2020-05-27,"nowcast",0.698650648469479,1.10375093459443,0.825504987111312,0.979431003032366,0.90763861576119,0.908431235090745,0.126201598197901,0.789205103042198
"MA-Barra do Corda",2020-05-28,"nowcast",0.692535360539656,1.11469902744152,0.830409358709219,0.983219545874988,0.9061798982356,0.907661209688519,0.129494181031767,0.791707798617966
"MA-Barra do Corda",2020-05-29,"nowcast",0.699623932512405,1.09732873087095,0.825636574253837,0.971384699781851,0.90778460157331,0.911856981233964,0.125760447549238,0.800588235294118
"MA-Barra do Corda",2020-05-30,"nowcast",0.704746884183131,1.14708791987936,0.836774429745267,0.992187822806995,0.906085356619848,0.912420653021816,0.135105464319582,0.78996062992126
"MA-Barra do Corda",2020-05-31,"nowcast",0.695106815791721,1.12417699800637,0.815776300520631,0.970704489707999,0.903202597044194,0.910474426630815,0.137097190513972,0.784737363726462
"MA-Barra do Corda",2020-06-01,"nowcast",0.679675129363894,1.09964401662197,0.819637320403839,0.966513158657726,0.907728617857333,0.913337473429065,0.131310736381968,0.7875
"MA-Barra do Corda",2020-06-02,"nowcast",0.715139874315382,1.14941927493235,0.826909078943909,0.979871378843718,0.90967654009226,0.916973314040259,0.134904208221558,0.774168297455969
"MA-Barra do Corda",2020-06-03,"nowcast",0.694364292413071,1.13380220394708,0.821289054707805,0.979398191078945,0.906844488409027,0.91347738679528,0.135473832699469,0.766831194471866
"MA-Barra do Corda",2020-06-04,"nowcast",0.701915080026595,1.14135821195865,0.829208901999851,0.986713428202219,0.912430942455269,0.921381779845985,0.137163022443411,0.756650246305419
"MA-Barra do Corda",2020-06-05,"nowcast",0.695625602501676,1.15069685353943,0.828783522758334,0.991636995278127,0.920435280031068,0.929444662582103,0.141073722603868,0.735749265426053
"MA-Barra do Corda",2020-06-06,"nowcast",0.713111263274125,1.19397276868871,0.816448873465717,0.988870484786185,0.922113896350068,0.934105680555801,0.148329407639451,0.715581854043392
"MA-Barra do Corda",2020-06-07,"nowcast",0.699222210816013,1.18975572218894,0.825454350416044,0.999753395284049,0.93868934919116,0.951960100215142,0.152948933021627,0.676377952755906
"MA-Barra do Corda",2020-06-08,"nowcast",0.711472339323486,1.19777775665382,0.867075676943021,1.03744920192178,0.956642211859174,0.969854247998591,0.154325792437051,0.633107454017425
"MA-Barra do Corda",2020-06-09,"nowcast",0.734980578265072,1.20317112586715,0.879063579096745,1.05093801568022,0.969633128205247,0.980426072813642,0.149171727648243,0.591321499013807
"MA-Barra do Corda",2020-06-10,"nowcast",0.741302788313094,1.24456646072674,0.864041631198568,1.04496126721539,0.97462916239417,0.987329534152156,0.156426059374354,0.576204523107178
"MA-Barra do Corda",2020-06-11,"nowcast",0.728842411256999,1.23344688665823,0.894479288392886,1.07781500634065,0.986387566096523,1.00037827721622,0.156955269611539,0.540864440078585
"MA-Barra do Corda",2020-06-12,"nowcast",0.746030603912859,1.25204267503895,0.890116081136629,1.07724601764002,0.997626913702314,1.00659491672317,0.162144089829367,0.505778648383937
"MA-Barra do Corda",2020-06-13,"nowcast",0.775583401774277,1.26458840881998,0.900798770145828,1.0822636180445,0.997258605191833,1.00575690273714,0.155699840630358,0.507586206896552
"MA-Barra do Corda",2020-06-14,"nowcast",0.763889100011253,1.27380489961142,0.894114713581697,1.07807408528601,1.00258729533307,1.0159460476227,0.162869499276522,0.492247301275761
"MA-Barra do Corda",2020-06-15,"nowcast",0.756288484058478,1.2866098284877,0.915033532687208,1.10770650999735,1.0237651899636,1.03755454346095,0.16382610839001,0.429388560157791
"MA-Barra do Corda",2020-06-16,"nowcast",0.797669567871022,1.35646252793148,0.936638735220328,1.13646671048055,1.04816915542792,1.06969806370202,0.177068427182463,0.368338249754179
"MA-Barra do Corda",2020-06-17,"nowcast",0.830775968182174,1.3874565529517,0.95521384056432,1.16172626836887,1.08920494839241,1.10653579047447,0.175777001995197,0.273137254901961
"MA-Barra do Corda",2020-06-18,"nowcast",0.874960400414339,1.45254309542222,1.00425661005315,1.21986360154714,1.13654655882807,1.15779425961889,0.18153329116344,0.181620553359684
"MA-Barra do Corda",2020-06-19,"nowcast",0.916041629709463,1.50853767040422,1.04363512091002,1.26309509180346,1.18049304751568,1.21129893778875,0.187483998686648,0.0983316977428852
"MA-Barra do Corda",2020-06-20,"nowcast",0.952789364466047,1.56057926296662,1.07734668423709,1.30352257077503,1.23532226198514,1.25903405791643,0.193098271427989,0.0580137659783677
"MA-Barra do Corda",2020-06-21,"nowcast",0.990383186922149,1.58321926635834,1.14192626675337,1.36036770604318,1.26870476317513,1.29355346370086,0.185812320240087,0.0319607843137255
"MA-Barra do Corda",2020-06-22,"nowcast",1.03388486978001,1.58214914270537,1.14961220382728,1.35268344349158,1.28662176016016,1.30826900253407,0.176584115015873,0.0209072978303748
"MA-Barra do Corda",2020-06-23,"nowcast",1.05985006032897,1.60818444657426,1.18430714861859,1.3834117854194,1.30619673877604,1.32225796494625,0.170132210778463,0.0169291338582677
"MA-Barra do Corda",2020-06-24,"nowcast",1.05039920619903,1.57827991747938,1.19903126864159,1.39772084497775,1.30511860264341,1.3138875688825,0.161761316170169,0.0195266272189349
"MA-Barra do Corda",2020-06-25,"nowcast",1.00611348937128,1.530356421238,1.18751169529964,1.38159917438137,1.27955447973434,1.28505050469108,0.160657604964642,0.0334975369458128
"MA-Barra do Corda",2020-06-26,"nowcast",0.995866404265108,1.51369754986457,1.15740877442531,1.35276134265998,1.25631126133825,1.25734068298112,0.156816784020677,0.0538461538461538
"MA-Barra do Corda",2020-06-27,"nowcast",0.951152693862043,1.44565262821557,1.11879493437774,1.31081354545555,1.21009786004009,1.20617110835602,0.15093323168448,0.0886251236399604
"MA-Barra do Corda",2020-06-28,"nowcast",0.892657995427792,1.37292948417621,1.05806140792885,1.25473169740653,1.13480048211799,1.13108585802024,0.147279385638489,0.18400789733465
"MA-Barra do Corda",2020-06-29,"nowcast",0.830042828125175,1.28018618272803,0.967274403401697,1.15793605628743,1.06174496657106,1.05938599083801,0.140075366387634,0.331144278606965
"MA-Barra do Corda",2020-06-30,"nowcast",0.747987531514049,1.1993161372958,0.880452831500416,1.07324653895336,0.979142311030668,0.975659826207986,0.139808554874368,0.56
"MA-Barra do Corda",2020-07-01,"nowcast",0.706774581109859,1.13159203291161,0.849842520287312,1.02433564190625,0.921028905005558,0.915860825164487,0.12988457695117,0.734657398212512
"MA-Barra do Corda",2020-07-02,"nowcast",0.672019886546212,1.06932742865127,0.805646662477622,0.970680835700399,0.877162502148121,0.872302671262792,0.121436942210372,0.858788480635551
"MA-Barra do Corda",2020-07-03,"nowcast",0.651573871653244,1.03266547284065,0.77081308664938,0.926982100691763,0.849846803794417,0.846352126311514,0.118558783660481,0.91025641025641
"MA-Barra do Corda",2020-07-04,"nowcast",0.647721958296085,0.996329542580317,0.77413646744275,0.910692320535883,0.833783243698858,0.828136412548553,0.107076530151823,0.954965585054081
"MA-Barra do Corda",2020-07-05,"nowcast",0.632793753598108,0.983785848883125,0.750741562073532,0.888377580726897,0.813381264479087,0.810131093666031,0.108296436598431,0.962092793682132
"MA-Barra do Corda",2020-07-06,"nowcast",0.595479541538369,0.957817436214543,0.739607628372375,0.874761876917247,0.79834830893328,0.796333286537574,0.111220689028401,0.965585054080629
"MA-Barra do Corda",2020-07-07,"nowcast",0.612744131125828,0.984541247937899,0.732240956827928,0.866533199761696,0.801804492920965,0.803944157854918,0.115029583952587,0.955138339920949
"MA-Barra do Corda",2020-07-08,"nowcast",0.624007944430023,1.01925414833026,0.741095452410357,0.877013709536702,0.811773706572752,0.819992550762237,0.121244752110362,0.926377952755906
"MA-Barra do Corda",2020-07-09,"nowcast",0.632381291775178,1.06614153507615,0.750651584177564,0.90521507245154,0.840133480370537,0.853698914639386,0.135718152287349,0.874190382728165
"MA-Barra do Corda",2020-07-10,"nowcast",0.667393867170659,1.11584647626871,0.769553434858837,0.932529780007015,0.867441671200181,0.888501782437073,0.141647281919273,0.810079051383399
"MA-Barra do Corda",2020-07-11,"nowcast",0.705399760260774,1.14466592690239,0.78926258594252,0.953956640566922,0.896045142618911,0.915387214009474,0.142434778605968,0.768297455968689
"MA-Barra do Corda",2020-07-12,"nowcast",0.722240722386504,1.18319052458623,0.821863073806939,0.994272802136374,0.930172306339046,0.947962361437267,0.148209059868004,0.691248770894789
"MA-Barra do Corda",2020-07-13,"nowcast",0.738515203804295,1.21392035558228,0.834354628130138,1.00634435154845,0.955060269170984,0.973562590857599,0.149668311057319,0.631858407079646
"MA-Barra do Corda",2020-07-14,"nowcast",0.768706241207934,1.22200919801575,0.866490710575076,1.03448448896161,0.973786230457822,0.992446953742507,0.147573884709112,0.574827925270403
"MA-Barra do Corda",2020-07-15,"nowcast",0.798434258973536,1.2425079170051,0.896469565734578,1.0544422384061,0.987741559651826,1.00100981610618,0.137044648918259,0.537708129285015
"MA-Barra do Corda",2020-07-16,"nowcast",0.791907503432112,1.25242437132889,0.906311793068163,1.07363087934824,1.00676117457611,1.0195155310202,0.145680411819415,0.479092702169625
"MA-Barra do Corda",2020-07-17,"nowcast",0.787646086995984,1.24345197034881,0.90806856345436,1.07262602257867,1.00919445788536,1.01951186110246,0.140415772632077,0.465230166503428
"MA-Barra do Corda",2020-07-18,"nowcast",0.803962301088477,1.23636309175928,0.908392851538535,1.07145556091124,1.0157238673688,1.02083244935087,0.135278069400981,0.453307008884501
"MA-Barra do Corda",2020-07-19,"nowcast",0.793375922951083,1.23930112696452,0.92009968624967,1.08001802461802,1.00324389976534,1.00640415399686,0.137291886449714,0.491806515301086
"MA-Barra do Corda",2020-07-20,"nowcast",0.769813450217566,1.21077035728853,0.909042578969315,1.07361269149175,0.993572649069196,0.995055799186249,0.139905746075534,0.520355731225296
"MA-Barra do Corda",2020-07-21,"nowcast",0.757712586535378,1.19592774720216,0.90202941108847,1.06737454884486,0.984856423297348,0.983840965233751,0.135578651445554,0.546745562130178
"MA-Barra do Corda",2020-07-22,"nowcast",0.766583600832211,1.20326119138303,0.893644139998384,1.05455554498863,0.979881609573219,0.982258566008288,0.135069070672781,0.569667318982387
"MA-Barra do Corda",2020-07-23,"nowcast",0.761350218644423,1.20339744085962,0.904952132449135,1.06488183023252,0.99011523521407,0.991931734070527,0.136163095147349,0.532941176470588
"MA-Barra do Corda",2020-07-24,"nowcast",0.770678513514744,1.21316952970236,0.90041493693317,1.05919231677341,0.986076220100934,0.994752469762265,0.137299754093911,0.541410129096326
"MA-Barra do Corda",2020-07-25,"nowcast",0.767966997664088,1.21728555875481,0.888347387236361,1.0467021693791,0.977605200051445,0.985593377236707,0.139458551517533,0.575147928994083
"MA-Barra do Corda",2020-07-26,"nowcast",0.748110254644976,1.19000775439184,0.872647457601518,1.03759434161047,0.967026090696712,0.972633892404877,0.136404130970563,0.602952755905512
"MA-Barra do Corda",2020-07-27,"nowcast",0.73925334453805,1.18501472881922,0.893587952784309,1.05493370677484,0.956991379161828,0.958897212924634,0.137613648730734,0.636862745098039
"MA-Barra do Corda",2020-07-28,"nowcast",0.722109963433212,1.17286830792873,0.858174575733748,1.01982462952305,0.949984429585095,0.953690030956045,0.139168866278976,0.665294117647059
"MA-Barra do Corda",2020-07-29,"nowcast",0.724705187023407,1.17363187225482,0.850969350175583,1.01544891429137,0.945425666386737,0.947480949549495,0.139542481202069,0.67721021611002
