"region","date","type","bottom","top","lower","upper","median","mean","std","prob_control"
"MA-Bom Jesus das Selvas",2020-05-16,"nowcast",0.854923725813069,1.56567316774349,0.99315717160544,1.23342700656734,1.13725224153795,1.15642627972336,0.220454528150236,0.217307692307692
"MA-Bom Jesus das Selvas",2020-05-17,"nowcast",0.749730787512073,1.48235554952619,0.96030092523593,1.21689735991877,1.10527913476973,1.11743895448417,0.226304313502441,0.299029126213592
"MA-Bom Jesus das Selvas",2020-05-18,"nowcast",0.755412405149993,1.4402590519817,0.975688705484457,1.19629309709945,1.08916345233413,1.09466240487269,0.211189600982092,0.299009900990099
"MA-Bom Jesus das Selvas",2020-05-19,"nowcast",0.809257328535205,1.47418237653952,0.925156395248282,1.1457957434664,1.073770907293,1.09840322063588,0.204324381510115,0.333980582524272
"MA-Bom Jesus das Selvas",2020-05-20,"nowcast",0.772701282451968,1.40161259905319,0.984037701377513,1.20154901225618,1.10148065348694,1.10892327489229,0.196307351425141,0.287378640776699
"MA-Bom Jesus das Selvas",2020-05-21,"nowcast",0.786623751660204,1.47715915986404,0.973937203534887,1.19927209437157,1.09679785139519,1.10378749775428,0.222646852846081,0.285436893203883
"MA-Bom Jesus das Selvas",2020-05-22,"nowcast",0.693058874541283,1.35393409129489,0.903458927031688,1.14709525162696,1.03369263124754,1.04589876545389,0.212951786978412,0.418867924528302
"MA-Bom Jesus das Selvas",2020-05-23,"nowcast",0.75655894486009,1.42116363084746,0.927318619358264,1.17719852650704,1.06223661098242,1.07074470002599,0.208381773866304,0.353846153846154
"MA-Bom Jesus das Selvas",2020-05-24,"nowcast",0.731762944329232,1.28252426228494,0.931570752800193,1.11976958437419,1.01308529753972,1.03375693099011,0.179085279477041,0.461386138613861
"MA-Bom Jesus das Selvas",2020-05-25,"nowcast",0.692562014726246,1.32390706204848,0.926244670985852,1.16013229741537,1.03358494354238,1.04485617505622,0.194165488881647,0.438095238095238
"MA-Bom Jesus das Selvas",2020-05-26,"nowcast",0.731326878081704,1.41532736768121,0.932480899210656,1.16246240291907,1.04605448694457,1.068817210629,0.218381002488864,0.392
"MA-Bom Jesus das Selvas",2020-05-27,"nowcast",0.698191812995712,1.37447703428296,0.836857302015617,1.08999563819994,1.04891468974978,1.06839639183973,0.209022589421712,0.394117647058824
"MA-Bom Jesus das Selvas",2020-05-28,"nowcast",0.812264009852003,1.43587203846055,0.944045458644637,1.18037573917956,1.05497228888429,1.06842592915753,0.193710428132803,0.376699029126214
"MA-Bom Jesus das Selvas",2020-05-29,"nowcast",0.715832137478315,1.34787191423064,0.906319279081479,1.15360712731642,1.0552521616614,1.06798600674099,0.207863495298843,0.381132075471698
"MA-Bom Jesus das Selvas",2020-05-30,"nowcast",0.683011263819799,1.36152251458795,0.883649265706762,1.13439894407384,1.04531388197975,1.08051443129201,0.227757432878647,0.411538461538462
"MA-Bom Jesus das Selvas",2020-05-31,"nowcast",0.809066903375399,1.36167213978887,0.927978115868293,1.14924302740763,1.06474760519572,1.06599890901735,0.175221580054442,0.357281553398058
"MA-Bom Jesus das Selvas",2020-06-01,"nowcast",0.704615566977027,1.33186818198431,0.963202288219245,1.15696687143193,1.05329602292745,1.06379414401502,0.195076081031214,0.36039603960396
"MA-Bom Jesus das Selvas",2020-06-02,"nowcast",0.776555670296118,1.396482334801,0.896346765223972,1.11566730166617,1.02409304007908,1.02787923440334,0.18262321609653,0.437254901960784
"MA-Bom Jesus das Selvas",2020-06-03,"nowcast",0.776660706776709,1.33423807797422,0.887385454765654,1.10372786465068,1.03379790957716,1.03255325633945,0.182736373994271,0.43921568627451
"MA-Bom Jesus das Selvas",2020-06-04,"nowcast",0.753869886892716,1.33832298211891,0.878712748198308,1.08415228745679,1.01488224116652,1.02876241831315,0.185349680810901,0.460194174757282
"MA-Bom Jesus das Selvas",2020-06-05,"nowcast",0.737155566426443,1.31382162053896,0.90593332874167,1.12505963206783,1.03596504234833,1.04540528932615,0.184606450277564,0.413725490196078
"MA-Bom Jesus das Selvas",2020-06-06,"nowcast",0.79881833295005,1.32086978199396,0.92365543499287,1.12417958923109,1.03755723938335,1.04894896370434,0.172667471000718,0.38252427184466
"MA-Bom Jesus das Selvas",2020-06-07,"nowcast",0.743316027048768,1.31545311460578,0.887210601921691,1.10733438816427,1.01926053097125,1.02557727050847,0.179117637878357,0.43921568627451
"MA-Bom Jesus das Selvas",2020-06-08,"nowcast",0.762973200380851,1.33209919900393,0.916237354184217,1.12968859532767,1.03186642226178,1.04903679725627,0.178720797213834,0.415533980582524
"MA-Bom Jesus das Selvas",2020-06-09,"nowcast",0.743170878944215,1.34741851558402,0.907217377699279,1.14544011090395,1.02070829342581,1.03482359374071,0.185557640896719,0.438834951456311
"MA-Bom Jesus das Selvas",2020-06-10,"nowcast",0.698298932766458,1.28464726377249,0.888562678226908,1.10229174297171,1.01458646538802,1.01913253675048,0.177817253681201,0.471153846153846
"MA-Bom Jesus das Selvas",2020-06-11,"nowcast",0.728839403683684,1.28858169557183,0.933786630241662,1.13711146845351,1.01933517760048,1.0178771359388,0.17708659103283,0.447524752475248
"MA-Bom Jesus das Selvas",2020-06-12,"nowcast",0.700487728517023,1.28879757353687,0.907324881742047,1.13060175867496,1.02084925802812,1.01891225982479,0.19003919002479,0.44950495049505
"MA-Bom Jesus das Selvas",2020-06-13,"nowcast",0.801896169491176,1.35503091868851,0.89745867445781,1.10399923602912,1.02259905248259,1.03404134279241,0.176621366942178,0.444660194174757
"MA-Bom Jesus das Selvas",2020-06-14,"nowcast",0.719818971151408,1.29927958818959,0.883420453547481,1.08904819359076,1.00866046647685,1.02226032167814,0.176080537192941,0.47
"MA-Bom Jesus das Selvas",2020-06-15,"nowcast",0.681523036770862,1.31668448728129,0.889533710795861,1.11310623577409,1.00755503411054,1.01865640409964,0.190039828760797,0.474509803921569
"MA-Bom Jesus das Selvas",2020-06-16,"nowcast",0.628958021766117,1.25778171593636,0.884403420077404,1.10713448985889,1.00726169868037,1.00198406028082,0.191411850799141,0.479611650485437
"MA-Bom Jesus das Selvas",2020-06-17,"nowcast",0.708226959626851,1.28630832130655,0.885778603239255,1.07709913088146,1.00912721403016,1.02560789571362,0.178404452525619,0.484
"MA-Bom Jesus das Selvas",2020-06-18,"nowcast",0.725769203931323,1.28734293835146,0.901302145218509,1.11481058312823,1.01100459464636,1.02782041040815,0.194688363654403,0.465384615384615
"MA-Bom Jesus das Selvas",2020-06-19,"nowcast",0.77255957058648,1.39274612075358,0.923804346104258,1.15373968671109,1.05269808683237,1.06894525350217,0.195356749618495,0.38
"MA-Bom Jesus das Selvas",2020-06-20,"nowcast",0.742891891194695,1.27415517202666,0.92852778276808,1.13910050539035,1.03225633844232,1.04735845843967,0.171813266502132,0.4
"MA-Bom Jesus das Selvas",2020-06-21,"nowcast",0.777225065919005,1.33474928573153,0.920663258775909,1.11547137760672,1.0384452812399,1.03968162120705,0.17162851945236,0.398076923076923
"MA-Bom Jesus das Selvas",2020-06-22,"nowcast",0.797126533303133,1.33386612094181,0.935934589714092,1.1477051577966,1.04386648155383,1.05112649550157,0.178107628929769,0.392156862745098
"MA-Bom Jesus das Selvas",2020-06-23,"nowcast",0.774557167762073,1.30002772033582,0.964093180021668,1.16279384140473,1.04734780665347,1.05267608867774,0.172224477078818,0.368627450980392
"MA-Bom Jesus das Selvas",2020-06-24,"nowcast",0.826502239014284,1.34002138602675,0.943970279228485,1.1311042305103,1.03916307943768,1.05113893907517,0.1572947112297,0.364705882352941
"MA-Bom Jesus das Selvas",2020-06-25,"nowcast",0.758519243760253,1.29011755788695,0.943468681895001,1.15627356244908,1.02191800299422,1.02100598258536,0.173138506524742,0.452941176470588
"MA-Bom Jesus das Selvas",2020-06-26,"nowcast",0.768475923854268,1.30841545418317,0.92438988718943,1.11997889177811,1.02998022954115,1.04514762874745,0.166143679872647,0.398
"MA-Bom Jesus das Selvas",2020-06-27,"nowcast",0.725054913890489,1.30094367199296,0.920043915370667,1.12923458136553,1.02866572798262,1.03295121958995,0.185559100124426,0.435294117647059
"MA-Bom Jesus das Selvas",2020-06-28,"nowcast",0.719808361627141,1.27592079108505,0.920468335910668,1.10868846966203,1.01940258176995,1.0235654993146,0.175939152341166,0.462135922330097
"MA-Bom Jesus das Selvas",2020-06-29,"nowcast",0.709064395168854,1.32394339445737,0.873797306413367,1.07710468942791,0.991680291640125,0.993668719394876,0.188301073717159,0.541747572815534
"MA-Bom Jesus das Selvas",2020-06-30,"nowcast",0.742216278182299,1.28117306284439,0.907821323188742,1.11174435317672,0.995464562412606,1.00357724692758,0.170765267718068,0.515686274509804
"MA-Bom Jesus das Selvas",2020-07-01,"nowcast",0.750482130296912,1.27238603496863,0.854427657786916,1.04682658192457,1.00732073105317,1.01896980311069,0.162787913146705,0.477227722772277
"MA-Bom Jesus das Selvas",2020-07-02,"nowcast",0.689507739433116,1.24250246172385,0.887718924095762,1.08817124905824,0.99870587045082,1.00116024691249,0.178181701924322,0.502970297029703
"MA-Bom Jesus das Selvas",2020-07-03,"nowcast",0.6498734390752,1.30090554575061,0.87768239187314,1.08298725795199,0.994881564677915,1.0013498366246,0.189501531891596,0.514
"MA-Bom Jesus das Selvas",2020-07-04,"nowcast",0.661199856946227,1.21619713029457,0.859662210635971,1.06571424341721,0.975258583087771,0.984788336083869,0.173152268194445,0.568
"MA-Bom Jesus das Selvas",2020-07-05,"nowcast",0.677718114088749,1.24885525931764,0.843408145157137,1.04594975030143,0.978870378554926,0.979869950711486,0.174667567498585,0.558
"MA-Bom Jesus das Selvas",2020-07-06,"nowcast",0.675255626947392,1.23935893616919,0.845574919119998,1.06265730633198,0.95736279766047,0.965007216232371,0.180189290338567,0.594117647058824
"MA-Bom Jesus das Selvas",2020-07-07,"nowcast",0.680639455741583,1.18023688968082,0.885997263917939,1.08618420135343,0.970472214568853,0.973052283098237,0.163334564794076,0.571153846153846
"MA-Bom Jesus das Selvas",2020-07-08,"nowcast",0.727745883664118,1.25785889911609,0.83925048408865,1.03667069783157,0.956103264249256,0.971035955982187,0.166194229789166,0.609708737864078
"MA-Bom Jesus das Selvas",2020-07-09,"nowcast",0.702053445143749,1.26425007517892,0.863777722829713,1.07241541451033,0.960015720434857,0.972019336342035,0.178740168418467,0.598058252427184
"MA-Bom Jesus das Selvas",2020-07-10,"nowcast",0.721658074716776,1.38211837361448,0.901273060240567,1.14973450477252,1.0281622182868,1.04121318528106,0.207081733257157,0.442
"MA-Bom Jesus das Selvas",2020-07-11,"nowcast",0.702556634193768,1.24520087969683,0.815216306135986,1.03025224024938,0.985629698545057,0.995172534330186,0.17254307670103,0.537864077669903
"MA-Bom Jesus das Selvas",2020-07-12,"nowcast",0.723652623125813,1.25668144585132,0.881652846133503,1.09882166223243,0.993885655402277,0.988012434281309,0.182906527837446,0.514563106796116
"MA-Bom Jesus das Selvas",2020-07-13,"nowcast",0.686817613372144,1.28112974669005,0.855348931241038,1.07101491347573,0.967908018236928,0.971798507114513,0.181398323486009,0.58252427184466
"MA-Bom Jesus das Selvas",2020-07-14,"nowcast",0.73736116692659,1.24964043556074,0.90481703221983,1.08130519961247,0.984629700358925,0.998198338270366,0.166664684603467,0.535922330097087
"MA-Bom Jesus das Selvas",2020-07-15,"nowcast",0.688001542733455,1.2281939892269,0.836636556078821,1.05330093384588,0.955249716147463,0.951537779939768,0.174719333165119,0.633333333333333
"MA-Bom Jesus das Selvas",2020-07-16,"nowcast",0.639561922255383,1.20399525428402,0.774324832145896,1.00178061507503,0.926248094027056,0.924011441344277,0.183067809047823,0.672
"MA-Bom Jesus das Selvas",2020-07-17,"nowcast",0.598406409161396,1.20035274964592,0.854572935943796,1.1094560012524,0.926957187794238,0.928628401337632,0.193166378286632,0.645544554455446
"MA-Bom Jesus das Selvas",2020-07-18,"nowcast",0.582543096471585,1.19442024567087,0.786546988683173,1.00268356452648,0.893858281128598,0.905066381639863,0.188443230018715,0.749514563106796
"MA-Bom Jesus das Selvas",2020-07-19,"nowcast",0.605573059764319,1.251520475034,0.772826099600472,0.999123578827582,0.883072477659283,0.890051511594667,0.194561038738268,0.746534653465347
"MA-Bom Jesus das Selvas",2020-07-20,"nowcast",0.490467859943989,1.16252026939879,0.782739497033789,1.00637198238254,0.868699153763324,0.881976023929031,0.208354417974211,0.762
"MA-Bom Jesus das Selvas",2020-07-21,"nowcast",0.53095814699815,1.21141126710824,0.80113758968722,1.05403624187037,0.886595237440717,0.907024007103489,0.216857609337153,0.694117647058824
"MA-Bom Jesus das Selvas",2020-07-22,"nowcast",0.576805774422379,1.24494419047875,0.747237740716582,1.01192405598155,0.877125711192428,0.900189751021719,0.22416254004366,0.711764705882353
"MA-Bom Jesus das Selvas",2020-07-23,"nowcast",0.528802609771222,1.22926775054441,0.687017069836526,0.957210964936106,0.894816567367753,0.927187817880263,0.242168384568543,0.678846153846154
"MA-Bom Jesus das Selvas",2020-07-24,"nowcast",0.514218850758728,1.13958627236876,0.745881760234892,0.965173654456245,0.859223784270894,0.879852119587797,0.190489726508121,0.774257425742574
"MA-Bom Jesus das Selvas",2020-07-25,"nowcast",0.545468228808683,1.22386065470995,0.698650487053895,0.954915504656481,0.85885672212567,0.864310969509744,0.208557676559977,0.747058823529412
"MA-Bom Jesus das Selvas",2020-07-26,"nowcast",0.46472197414617,1.18034392091864,0.712084534260076,0.955573636654764,0.849163882129376,0.860293787055656,0.212797395492828,0.762376237623762
"MA-Bom Jesus das Selvas",2020-07-27,"nowcast",0.531874048091059,1.24205729184922,0.717362412725814,0.972426385915115,0.881002100913527,0.899304352749122,0.221113615368913,0.714
"MA-Bom Jesus das Selvas",2020-07-28,"nowcast",0.557986999087633,1.18425101054246,0.707754450246047,0.951152588285983,0.86053067747277,0.87740941717405,0.219313093069926,0.776
"MA-Bom Jesus das Selvas",2020-07-29,"nowcast",0.524987306491599,1.23625895822182,0.794151499305922,1.04843107080216,0.87522047851432,0.878634350722298,0.223936338505986,0.747572815533981
"MA-Bom Jesus das Selvas",2020-07-30,"nowcast",0.564522432694568,1.21055002085799,0.731060880384736,0.972103151003513,0.854372377027248,0.88122759931048,0.218795045026993,0.756862745098039
"MA-Bom Jesus das Selvas",2020-07-31,"nowcast",0.493419180525017,1.24280421934469,0.710190894106394,0.992597621956125,0.890451331892368,0.915340571474058,0.2470704137721,0.702857142857143
"MA-Bom Jesus das Selvas",2020-08-01,"nowcast",0.555419805207998,1.47097645150702,0.725921107841992,1.02702275220932,0.916591664166226,0.957489888466239,0.305609084401373,0.657425742574257
"MA-Bom Jesus das Selvas",2020-08-02,"nowcast",0.488459400746845,1.47026492823695,0.725745078410464,1.06642852937914,0.940815173066424,0.988321617752314,0.311921012562757,0.586274509803922
"MA-Bom Jesus das Selvas",2020-08-03,"nowcast",0.608500771087942,1.50469394961094,0.767450529866994,1.11966211640693,0.954869177699349,0.991162076550412,0.284176158398951,0.56039603960396
"MA-Bom Jesus das Selvas",2020-08-04,"nowcast",0.581185957937026,1.4136560133759,0.761308895953362,1.06678496630618,0.949550782682494,0.977520884697183,0.283758311382936,0.576470588235294
"MA-Bom Jesus das Selvas",2020-08-05,"nowcast",0.548541005176803,1.35219330293384,0.80549274943984,1.07101332087877,0.963682335039787,0.981790764961813,0.249664309998864,0.582352941176471
"MA-Bom Jesus das Selvas",2020-08-06,"nowcast",0.550987003406337,1.48375194856607,0.85290343943351,1.20060642919963,1.02031532832814,1.03240322860487,0.295514813849775,0.466019417475728
"MA-Bom Jesus das Selvas",2020-08-07,"nowcast",0.63426927041326,1.49658162316444,0.905372053218841,1.20528196837728,1.03619143521261,1.0745767255297,0.284936072413397,0.429411764705882
"MA-Bom Jesus das Selvas",2020-08-08,"nowcast",0.539014293958104,1.46597997098932,0.846579216045674,1.18975326717727,1.02994713246599,1.04051869366476,0.282578569978517,0.473584905660377
"MA-Bom Jesus das Selvas",2020-08-09,"nowcast",0.561914688414678,1.50892655346333,0.79505235343167,1.14007413746644,1.03276106554817,1.06051892924287,0.347725867128332,0.464
"MA-Bom Jesus das Selvas",2020-08-10,"nowcast",0.655590197241899,1.58594330090017,0.800616380020722,1.14990317952472,1.02308750516055,1.04774526928519,0.300220116798643,0.461386138613861
"MA-Bom Jesus das Selvas",2020-08-11,"forecast",0.531311193831843,1.58778176970371,0.75408964737471,1.15816657438675,1.00581029565021,1.03184945672318,0.331065019928906,0.494
"MA-Bom Jesus das Selvas",2020-08-12,"forecast",0.478777233284802,1.60241074950186,0.764393768955973,1.1974153397516,1.02391856433503,1.03864229074904,0.350469967599663,0.476
"MA-Bom Jesus das Selvas",2020-08-13,"forecast",0.42580595672709,1.66826147241669,0.841408102436992,1.32492510543291,1.06390476517181,1.06137872450351,0.393539020444811,0.448
"MA-Bom Jesus das Selvas",2020-08-14,"forecast",0.403302623472967,1.75659883794884,0.736324088501375,1.21677035715904,1.04074744866526,1.0609579353447,0.435578727317526,0.454
"MA-Bom Jesus das Selvas",2020-08-15,"forecast",0.330539157084212,1.77775397475862,0.774118748968654,1.27759038975978,1.02026000951099,1.04188020578107,0.430413106761549,0.466
"MA-Bom Jesus das Selvas",2020-08-16,"forecast",0.312156401809825,1.74187034395806,0.784282929754445,1.28839530379552,1.02584764257175,1.05479764643214,0.443883184197841,0.464
"MA-Bom Jesus das Selvas",2020-08-17,"forecast",0.0907507427145878,1.70684112454449,0.539472320817189,1.15359870956455,1.0178441405044,1.04054565995129,0.48837512415578,0.484
"MA-Bom Jesus das Selvas",2020-08-18,"forecast",0.247336623219678,1.87682508198113,0.667454518636809,1.26596151237609,1.03829173647423,1.07574300989812,0.50012993249559,0.454
"MA-Bom Jesus das Selvas",2020-08-19,"forecast",0.257586389540076,1.96376461144481,0.64536691283103,1.25410463432422,1.03255961594393,1.08604056985096,0.528326072052815,0.47
"MA-Bom Jesus das Selvas",2020-08-20,"forecast",0.271966057068476,2.00769796548892,0.720320716062975,1.34698608890214,1.03044695020061,1.07639103851105,0.525615941666562,0.478
"MA-Bom Jesus das Selvas",2020-08-21,"forecast",0.15051189241892,1.8465769000193,0.741865709082044,1.39559683972042,1.01991465951608,1.06481123919436,0.565381433935598,0.48
"MA-Bom Jesus das Selvas",2020-08-22,"forecast",0,1.68143598920042,0.600215810980838,1.24853533717283,0.999539760005679,1.03415884746053,0.54846286866888,0.5
"MA-Bom Jesus das Selvas",2020-08-23,"forecast",0,1.87747499901722,0.795658621644311,1.492082557999,1.07941669129366,1.12561297913548,0.586531381030859,0.416
"MA-Bom Jesus das Selvas",2020-08-24,"forecast",0,1.87987210066777,0.506920635504068,1.23046866345261,1.00982760105609,1.08327813832926,0.634340795907575,0.494
