"region","date","type","bottom","top","lower","upper","median","mean"
"MA-Cururupu",2020-03-17,"nowcast",1,1,1,1,1,1
"MA-Cururupu",2020-03-18,"nowcast",0,0,0,0,0,0
"MA-Cururupu",2020-03-19,"nowcast",0,1,0,1,0.5,0.5
"MA-Cururupu",2020-03-20,"nowcast",0,1,0,0,0,0.333333333333333
"MA-Cururupu",2020-03-21,"nowcast",0,1,1,1,1,0.666666666666667
"MA-Cururupu",2020-03-22,"nowcast",0,1,0,0,0,0.4
"MA-Cururupu",2020-03-23,"nowcast",0,1,0,0,0,0.166666666666667
"MA-Cururupu",2020-03-24,"nowcast",0,1,0,0,0,0.421052631578947
"MA-Cururupu",2020-03-25,"nowcast",0,1,0,0,0,0.269230769230769
"MA-Cururupu",2020-03-26,"nowcast",0,1,0,0,0,0.41025641025641
"MA-Cururupu",2020-03-27,"nowcast",0,1,0,0,0,0.217391304347826
"MA-Cururupu",2020-03-28,"nowcast",0,1,0,0,0,0.254545454545455
"MA-Cururupu",2020-03-29,"nowcast",0,1,0,0,0,0.283582089552239
"MA-Cururupu",2020-03-30,"nowcast",0,1,0,0,0,0.35632183908046
"MA-Cururupu",2020-03-31,"nowcast",0,1,0,0,0,0.242990654205607
"MA-Cururupu",2020-04-01,"nowcast",0,1,0,0,0,0.303703703703704
"MA-Cururupu",2020-04-02,"nowcast",0,1,0,0,0,0.290697674418605
"MA-Cururupu",2020-04-03,"nowcast",0,1,0,0,0,0.233830845771144
"MA-Cururupu",2020-04-04,"nowcast",0,1,0,0,0,0.278884462151394
"MA-Cururupu",2020-04-05,"nowcast",0,1,0,0,0,0.293729372937294
"MA-Cururupu",2020-04-06,"nowcast",0,1,0,0,0,0.282485875706215
"MA-Cururupu",2020-04-07,"nowcast",0,1,0,0,0,0.295942720763723
"MA-Cururupu",2020-04-08,"nowcast",0,1,0,0,0,0.292181069958848
"MA-Cururupu",2020-04-09,"nowcast",0,1,0,0,0,0.311072056239016
"MA-Cururupu",2020-04-10,"nowcast",0,1,0,0,0,0.31924882629108
"MA-Cururupu",2020-04-11,"nowcast",0,1,0,0,0,0.340306834030683
"MA-Cururupu",2020-04-12,"nowcast",0,1,0,0,0,0.324427480916031
"MA-Cururupu",2020-04-13,"nowcast",0,1,0,0,0,0.300480769230769
"MA-Cururupu",2020-04-14,"nowcast",0,1,0,0,0,0.329479768786127
"MA-Cururupu",2020-04-15,"nowcast",0,1,0,0,0,0.342952275249723
"MA-Cururupu",2020-04-16,"nowcast",0,1,0,0,0,0.361771058315335
"MA-Cururupu",2020-04-17,"nowcast",0,1,0,0,0,0.39304531085353
"MA-Cururupu",2020-04-18,"nowcast",0,1,0,0,0,0.40956340956341
"MA-Cururupu",2020-04-19,"nowcast",0,1,0,0,0,0.522006141248721
"MA-Cururupu",2020-04-20,"nowcast",0,2,0,0,0,0.571283095723014
"MA-Cururupu",2020-04-21,"nowcast",0,2,0,0,0,0.587639311043566
"MA-Cururupu",2020-04-22,"nowcast",0,2,0,0,0,0.656941649899396
"MA-Cururupu",2020-04-23,"nowcast",0,2,0,0,0,0.656281407035176
"MA-Cururupu",2020-04-24,"nowcast",0,2,0,1,1,0.686686686686687
"MA-Cururupu",2020-04-25,"nowcast",0,2,0,0,0,0.615
"MA-Cururupu",2020-04-26,"nowcast",0,2,0,1,1,0.687
"MA-Cururupu",2020-04-27,"nowcast",0,2,0,1,1,0.747
"MA-Cururupu",2020-04-28,"nowcast",0,2,0,1,1,0.797
"MA-Cururupu",2020-04-29,"nowcast",0,2,0,1,1,0.89
"MA-Cururupu",2020-04-30,"nowcast",0,2,0,1,1,1.048
"MA-Cururupu",2020-05-01,"nowcast",0,2,0,1,1,1.111
"MA-Cururupu",2020-05-02,"nowcast",0,2,0,1,1,1.061
"MA-Cururupu",2020-05-03,"nowcast",0,2,0,1,1,1.166
"MA-Cururupu",2020-05-04,"nowcast",0,2,0,1,1,1.095
"MA-Cururupu",2020-05-05,"nowcast",0,3,0,1,1,1.225
"MA-Cururupu",2020-05-06,"nowcast",0,3,0,1,1,1.269
"MA-Cururupu",2020-05-07,"nowcast",0,3,0,1,1,1.319
"MA-Cururupu",2020-05-08,"nowcast",0,3,0,1,1,1.529
"MA-Cururupu",2020-05-09,"nowcast",0,3,0,1,1,1.575
"MA-Cururupu",2020-05-10,"nowcast",0,3,1,2,2,1.707
"MA-Cururupu",2020-05-11,"nowcast",0,4,1,2,2,2.107
"MA-Cururupu",2020-05-12,"nowcast",0,5,0,2,2,2.449
"MA-Cururupu",2020-05-13,"nowcast",0,5,1,3,3,2.912
"MA-Cururupu",2020-05-14,"nowcast",0,6,2,4,3,3.489
"MA-Cururupu",2020-05-15,"nowcast",0,6,2,4,4,3.783
"MA-Cururupu",2020-05-16,"nowcast",1,7,2,4,4,4.299
"MA-Cururupu",2020-05-17,"nowcast",2,8,3,5,5,4.767
"MA-Cururupu",2020-05-18,"nowcast",1,8,2,5,5,5.276
"MA-Cururupu",2020-05-19,"nowcast",1,9,3,6,6,5.877
"MA-Cururupu",2020-05-20,"nowcast",2,10,4,7,6,6.571
"MA-Cururupu",2020-05-21,"nowcast",3,11,5,8,7,7.296
"MA-Cururupu",2020-05-22,"nowcast",4,12,5,8,8,7.838
"MA-Cururupu",2020-05-23,"nowcast",4,13,6,9,9,8.774
"MA-Cururupu",2020-05-24,"nowcast",4,13,5,9,9,9.022
"MA-Cururupu",2020-05-25,"nowcast",4,13,7,10,9,9.546
"MA-Cururupu",2020-05-26,"nowcast",5,15,6,10,10,9.984
"MA-Cururupu",2020-05-27,"nowcast",5,15,7,11,11,10.636
"MA-Cururupu",2020-05-28,"nowcast",6,16,8,12,11,11.343
"MA-Cururupu",2020-05-29,"nowcast",5,16,8,12,12,11.883
"MA-Cururupu",2020-05-30,"nowcast",6,17,9,13,12,11.894
"MA-Cururupu",2020-05-31,"nowcast",5,16,9,13,11,11.369
"MA-Cururupu",2020-06-01,"nowcast",5,15,7,11,10,10.525
"MA-Cururupu",2020-06-02,"nowcast",5,14,5,9,9,8.95
"MA-Cururupu",2020-06-03,"nowcast",4,12,6,9,8,8.034
"MA-Cururupu",2020-06-04,"nowcast",3,11,4,7,7,7.12
"MA-Cururupu",2020-06-05,"nowcast",3,10,3,6,6,6.455
"MA-Cururupu",2020-06-06,"nowcast",2,10,4,7,6,6.435
"MA-Cururupu",2020-06-07,"nowcast",2,10,4,7,6,6.422
"MA-Cururupu",2020-06-08,"nowcast",2,10,4,7,7,6.738
"MA-Cururupu",2020-06-09,"nowcast",2,10,4,7,6,6.322
"MA-Cururupu",2020-06-10,"nowcast",1,9,3,6,6,5.766
"MA-Cururupu",2020-06-11,"nowcast",1,8,1,4,4,4.627
"MA-Cururupu",2020-06-12,"nowcast",0,6,1,3,3,3.332
"MA-Cururupu",2020-06-13,"nowcast",0,4,1,2,2,1.941
"MA-Cururupu",2020-06-14,"nowcast",0,2,0,1,1,0.942
"MA-Cururupu",2020-06-15,"nowcast",0,1,0,0,0,0.501
"MA-Cururupu",2020-06-16,"nowcast",0,1,0,0,0,0.379
"MA-Cururupu",2020-06-17,"nowcast",0,1,0,0,0,0.45
"MA-Cururupu",2020-06-18,"nowcast",0,2,0,0,0,0.534
"MA-Cururupu",2020-06-19,"nowcast",0,2,0,0,0,0.664
"MA-Cururupu",2020-06-20,"nowcast",0,2,0,1,1,0.793
"MA-Cururupu",2020-06-21,"nowcast",0,2,0,1,1,0.998
"MA-Cururupu",2020-06-22,"nowcast",0,3,0,1,1,1.202
"MA-Cururupu",2020-06-23,"nowcast",0,3,0,1,1,1.434
"MA-Cururupu",2020-06-24,"nowcast",0,3,1,2,2,1.711
"MA-Cururupu",2020-06-25,"nowcast",0,4,1,2,2,2.13
"MA-Cururupu",2020-06-26,"nowcast",0,5,0,2,2,2.567
"MA-Cururupu",2020-06-27,"nowcast",0,5,1,3,3,2.924
"MA-Cururupu",2020-06-28,"nowcast",1,6,1,3,3,3.377
