"region","date","type","bottom","top","lower","upper","median","mean","std","prob_control"
"MA-Imperatriz",2020-04-11,"nowcast",0.936554569864544,1.40987914626296,1.09891926105148,1.26664630566934,1.19277927879947,1.19196200835924,0.152328864543494,0.0950495049504951
"MA-Imperatriz",2020-04-12,"nowcast",0.917536038236231,1.46977146106843,1.06317941026463,1.24810039330891,1.16306000633848,1.16357521446,0.165422819993649,0.154
"MA-Imperatriz",2020-04-13,"nowcast",0.92033859731723,1.38398046101976,1.03657496926213,1.21943923170238,1.16475031525596,1.16518921287129,0.14481220138081,0.125490196078431
"MA-Imperatriz",2020-04-14,"nowcast",0.95701341420437,1.37930311517291,1.03750042148161,1.2068668297494,1.15373736568519,1.16605038999635,0.138612086587533,0.0912621359223301
"MA-Imperatriz",2020-04-15,"nowcast",0.900912884814049,1.38058460389108,1.0574170387825,1.25033665049405,1.15889833740649,1.15948025682253,0.152207308043385,0.138
"MA-Imperatriz",2020-04-16,"nowcast",0.979267276555903,1.39703941486659,1.04717807384289,1.19254371047423,1.14786934359963,1.14996551830319,0.129756120629908,0.094
"MA-Imperatriz",2020-04-17,"nowcast",0.932143968919446,1.41630580757455,1.00176548494546,1.18902519480043,1.14154189974188,1.1572693932081,0.150834382152714,0.126732673267327
"MA-Imperatriz",2020-04-18,"nowcast",0.937078930005359,1.37119104571001,1.04918332194474,1.19235962976419,1.15304118046504,1.16625780035602,0.13585107450714,0.074
"MA-Imperatriz",2020-04-19,"nowcast",0.948776868950147,1.37965028085151,1.08774126470024,1.24057693579933,1.16482996649414,1.16814175214348,0.13113305041867,0.09
"MA-Imperatriz",2020-04-20,"nowcast",0.950977881167253,1.38676681130749,1.06333684044808,1.22107218423935,1.15911272039199,1.16033438842485,0.136316792367554,0.097029702970297
"MA-Imperatriz",2020-04-21,"nowcast",0.912633489349512,1.32665253080479,1.04864695486597,1.22033352975486,1.13173208312618,1.13527568035349,0.137705529933219,0.17
"MA-Imperatriz",2020-04-22,"nowcast",0.944851377478831,1.33348520692238,1.01939229654302,1.1865232673385,1.11993277971778,1.13423320046542,0.122596984520157,0.133980582524272
"MA-Imperatriz",2020-04-23,"nowcast",0.94113331303902,1.31968988268793,1.04862347031782,1.18662083823706,1.11241224678828,1.11441443746375,0.117037252108522,0.152475247524752
"MA-Imperatriz",2020-04-24,"nowcast",0.905747064000642,1.33824461582348,1.06498910925952,1.21791071808495,1.12876075836938,1.12751154300806,0.131790454661416,0.154455445544554
"MA-Imperatriz",2020-04-25,"nowcast",0.912132347307754,1.30883058616353,1.04696645320171,1.18932632188503,1.12070768907442,1.11702339062203,0.118607444437831,0.142
"MA-Imperatriz",2020-04-26,"nowcast",0.930154286298602,1.29954758299978,1.02332939290261,1.16021050988895,1.10139952256593,1.10303011042976,0.114236821652129,0.176237623762376
"MA-Imperatriz",2020-04-27,"nowcast",0.935911775339122,1.28894313540631,1.02396173187895,1.15962023194331,1.11841402589161,1.11745548149814,0.110152362659952,0.127450980392157
"MA-Imperatriz",2020-04-28,"nowcast",0.922800746225857,1.26001715000939,1.04064419429927,1.17111333700716,1.09937872306909,1.10219198169968,0.108251965199468,0.158415841584158
"MA-Imperatriz",2020-04-29,"nowcast",0.928192000459929,1.26273815500567,1.02357560482611,1.14206182607652,1.09718301445045,1.09982961253415,0.106363616585772,0.153398058252427
"MA-Imperatriz",2020-04-30,"nowcast",0.895632111820878,1.25415089796274,1.02776450547428,1.14342504574227,1.08602874420916,1.08926183372634,0.109568943126885,0.168627450980392
"MA-Imperatriz",2020-05-01,"nowcast",0.914580299286596,1.2611483674701,0.995976736268232,1.1298845180127,1.08418870809657,1.08667250114868,0.10927410436998,0.198019801980198
"MA-Imperatriz",2020-05-02,"nowcast",0.873701987026293,1.23548703683193,0.998113109137056,1.1290953042703,1.07722368792985,1.07865810033626,0.108140830528319,0.227184466019417
"MA-Imperatriz",2020-05-03,"nowcast",0.855684655108891,1.20051104423071,0.978524890051785,1.09859448591094,1.05194841044138,1.0602426869788,0.108534548967091,0.274509803921569
"MA-Imperatriz",2020-05-04,"nowcast",0.915049230007813,1.22339800917711,1.00788722694905,1.12126558827312,1.07246745610778,1.07592841170494,0.0978198312155943,0.19009900990099
"MA-Imperatriz",2020-05-05,"nowcast",0.889414830486117,1.1937071380582,1.01169954514765,1.12793946328939,1.06071266649091,1.06188847717334,0.098420043342942,0.251485148514851
"MA-Imperatriz",2020-05-06,"nowcast",0.862607461162957,1.21645658458847,0.996321994337534,1.12828062525027,1.04500984406635,1.04980219242302,0.109701949955718,0.301960784313725
"MA-Imperatriz",2020-05-07,"nowcast",0.910309245770119,1.24284755783303,0.967709360382797,1.0793696893527,1.04998873946311,1.06041203731673,0.105676039071539,0.258
"MA-Imperatriz",2020-05-08,"nowcast",0.899655977778339,1.22886984074191,0.989073982692769,1.10947227271139,1.04772247023392,1.05042367853228,0.102984298326761,0.298
"MA-Imperatriz",2020-05-09,"nowcast",0.894998460079269,1.19706105740265,0.994706708765641,1.10967981589823,1.04553049267358,1.04921058831032,0.0934813203003802,0.299009900990099
"MA-Imperatriz",2020-05-10,"nowcast",0.882069424559166,1.18923960627059,0.971820674801672,1.08787492859483,1.02602819703153,1.03242281125525,0.0965268036951406,0.374757281553398
"MA-Imperatriz",2020-05-11,"nowcast",0.864607069336215,1.18062698067016,0.987295826294139,1.11007023498964,1.02400436500637,1.02429349367301,0.102209869846546,0.378217821782178
"MA-Imperatriz",2020-05-12,"nowcast",0.859367586810305,1.17248058047024,0.950244487928214,1.07000291310102,1.02335905621307,1.02145571598648,0.0993524050366415,0.392
"MA-Imperatriz",2020-05-13,"nowcast",0.857089907273464,1.14627412575216,0.941292195712101,1.05874614432966,1.00669070830575,1.01027412064621,0.0933213480804481,0.467326732673267
"MA-Imperatriz",2020-05-14,"nowcast",0.839403652429092,1.14214316011785,0.931054152325712,1.04870577759079,1.00313539688407,1.00247217886014,0.0933900614567826,0.484313725490196
"MA-Imperatriz",2020-05-15,"nowcast",0.822200221710655,1.13171912091751,0.953762689684143,1.05822685154994,0.994157497107473,0.993494209606776,0.0962623407213748,0.520792079207921
"MA-Imperatriz",2020-05-16,"nowcast",0.875477815867242,1.15683050273164,0.938293520923878,1.04173826784362,0.997007645181632,0.995784920014621,0.0870911699987372,0.512
"MA-Imperatriz",2020-05-17,"nowcast",0.836762435164715,1.11846825301829,0.920502316223015,1.0310160695398,0.972125820025695,0.974637886610224,0.0965203786615097,0.634
"MA-Imperatriz",2020-05-18,"nowcast",0.818720746257584,1.12951941789257,0.923888737691532,1.03142418093343,0.968392704019885,0.965022934484003,0.094718688357154,0.63
"MA-Imperatriz",2020-05-19,"nowcast",0.771408938134319,1.08464664474707,0.891263223260968,1.00167769642617,0.953768359656404,0.947546963776603,0.0974428344624858,0.72
"MA-Imperatriz",2020-05-20,"nowcast",0.796966617972405,1.08252927113708,0.904326041719149,1.00621164015065,0.950054131511066,0.95316752005981,0.0876389944693088,0.718
"MA-Imperatriz",2020-05-21,"nowcast",0.805022024090483,1.0757081001366,0.912114987300623,1.01584309549006,0.948595271596507,0.945152107146172,0.0855668217465846,0.746
"MA-Imperatriz",2020-05-22,"nowcast",0.810385997581446,1.09739094650275,0.897987823086281,1.00989191741905,0.949299047164668,0.951830231743895,0.090488678053797,0.708910891089109
"MA-Imperatriz",2020-05-23,"nowcast",0.789112734432752,1.08075196413553,0.900382588256015,0.995326917885198,0.93523246746732,0.939444957548661,0.0962953469121551,0.80990099009901
"MA-Imperatriz",2020-05-24,"nowcast",0.791871155416129,1.08193297147991,0.875170441509525,0.985051946177544,0.935527896793263,0.935987366450961,0.0906599609784069,0.77843137254902
"MA-Imperatriz",2020-05-25,"nowcast",0.799958391367853,1.07622653332789,0.885600763878455,0.983227476744235,0.929707991383897,0.935947985338793,0.0850900056172796,0.805882352941176
"MA-Imperatriz",2020-05-26,"nowcast",0.787392114520441,1.06492405904739,0.862343200429045,0.968532131647635,0.917379181184267,0.924908332998806,0.0875649618943918,0.815841584158416
"MA-Imperatriz",2020-05-27,"nowcast",0.765392081576756,1.06297875269881,0.861647512272868,0.970364335516426,0.930775823876922,0.934380111004533,0.0904323621242163,0.803921568627451
"MA-Imperatriz",2020-05-28,"nowcast",0.790825783091284,1.07140553910906,0.852934653028773,0.960838093913041,0.918711135388009,0.917890322921511,0.0869315123192553,0.833333333333333
"MA-Imperatriz",2020-05-29,"nowcast",0.807722315575923,1.07250318663826,0.862253812707271,0.967025423177769,0.917444186602829,0.916462836380188,0.0834447762082406,0.850980392156863
"MA-Imperatriz",2020-05-30,"nowcast",0.761397342508437,1.04844918137134,0.862394431743258,0.971280336038999,0.912435725333151,0.917691519924757,0.0909068106003341,0.83
"MA-Imperatriz",2020-05-31,"nowcast",0.773608459422614,1.06136086029289,0.870867422726245,0.980397783401592,0.9216040997545,0.919362453044089,0.0894755816085284,0.825742574257426
"MA-Imperatriz",2020-06-01,"nowcast",0.756126043382888,1.04736901150058,0.864580284842297,0.979389750138626,0.917247530032325,0.917743011817484,0.0923300433711272,0.83960396039604
"MA-Imperatriz",2020-06-02,"nowcast",0.755135425813651,1.08835138932698,0.878783605833059,1.01040363293594,0.912289858378157,0.911272429628334,0.105652839116565,0.805882352941176
"MA-Imperatriz",2020-06-03,"nowcast",0.740716765517278,1.10589667914366,0.829138824836987,0.954723694603876,0.913171932766309,0.911131451709472,0.109384968645613,0.825490196078431
"MA-Imperatriz",2020-06-04,"nowcast",0.730069625345367,1.03207661634917,0.854878896227494,0.966100090629459,0.902247311299559,0.906495906852722,0.0963003610118665,0.859405940594059
"MA-Imperatriz",2020-06-05,"nowcast",0.752672414526424,1.07369611662359,0.854071997661019,0.970264234939439,0.914775875701107,0.923620722930816,0.100888153937473,0.794117647058823
"MA-Imperatriz",2020-06-06,"nowcast",0.765647653079122,1.07243786293165,0.852017989583502,0.967588556975716,0.906218479185427,0.913379819913348,0.101202260069658,0.827184466019418
"MA-Imperatriz",2020-06-07,"nowcast",0.75675474392993,1.12531766468116,0.850861746312232,0.966214202926878,0.913998900929956,0.917381437737636,0.109184274173707,0.819417475728155
"MA-Imperatriz",2020-06-08,"nowcast",0.776293791416492,1.08852764810914,0.852722689892642,0.969188475667313,0.92108835903712,0.932134395721529,0.106432385983611,0.778217821782178
"MA-Imperatriz",2020-06-09,"nowcast",0.785447910530302,1.09559016859524,0.852685468597375,0.983746458622438,0.93008570272994,0.929938776142417,0.106514461797354,0.77029702970297
"MA-Imperatriz",2020-06-10,"nowcast",0.761892780739047,1.08248666361924,0.862250240920638,0.984092240586757,0.91995027198273,0.922479465179169,0.107202991871468,0.803960396039604
"MA-Imperatriz",2020-06-11,"nowcast",0.708554756764082,1.082373837628,0.840534148602998,0.964465657011941,0.905335559305768,0.907599713193112,0.113454079822016,0.82970297029703
"MA-Imperatriz",2020-06-12,"nowcast",0.732401975781615,1.04326197308183,0.828065568905877,0.94744485527482,0.903788031083212,0.906163439043923,0.101226495286431,0.836
"MA-Imperatriz",2020-06-13,"nowcast",0.730665836748019,1.08479707000268,0.816774584001758,0.958741079894313,0.89789419544238,0.895557072068436,0.113978237519545,0.825490196078431
"MA-Imperatriz",2020-06-14,"nowcast",0.663301271830977,1.04919263963843,0.851294789997617,0.96543052868307,0.895219245126971,0.888104559826335,0.110808943799583,0.882352941176471
