"region","date","type","bottom","top","lower","upper","median","mean"
"PB-Campina Grande",2020-02-16,"nowcast",1,1,1,1,1,1
"PB-Campina Grande",2020-02-17,"nowcast",1,1,1,1,1,1
"PB-Campina Grande",2020-02-18,"nowcast",0,0,0,0,0,0
"PB-Campina Grande",2020-02-19,"nowcast",0,0,0,0,0,0
"PB-Campina Grande",2020-02-20,"nowcast",0,0,0,0,0,0
"PB-Campina Grande",2020-02-21,"nowcast",0,0,0,0,0,0
"PB-Campina Grande",2020-02-22,"nowcast",0,1,0,1,0.5,0.5
"PB-Campina Grande",2020-02-23,"nowcast",0,0,0,0,0,0
"PB-Campina Grande",2020-02-24,"nowcast",0,1,0,1,0.5,0.5
"PB-Campina Grande",2020-02-25,"nowcast",0,1,0,0,0,0.333333333333333
"PB-Campina Grande",2020-02-26,"nowcast",0,1,0,0,0,0.333333333333333
"PB-Campina Grande",2020-02-27,"nowcast",0,1,0,0,0,0.307692307692308
"PB-Campina Grande",2020-02-28,"nowcast",0,1,0,0,0,0.1875
"PB-Campina Grande",2020-02-29,"nowcast",0,1,0,0,0,0.235294117647059
"PB-Campina Grande",2020-03-01,"nowcast",0,1,0,0,0,0.3
"PB-Campina Grande",2020-03-02,"nowcast",0,1,0,0,0,0.24
"PB-Campina Grande",2020-03-03,"nowcast",0,1,0,0,0,0.290322580645161
"PB-Campina Grande",2020-03-04,"nowcast",0,1,0,0,0,0.404255319148936
"PB-Campina Grande",2020-03-05,"nowcast",0,1,0,0,0,0.272727272727273
"PB-Campina Grande",2020-03-06,"nowcast",0,1,0,0,0,0.314285714285714
"PB-Campina Grande",2020-03-07,"nowcast",0,1,0,0,0,0.280898876404494
"PB-Campina Grande",2020-03-08,"nowcast",0,1,0,0,0,0.226415094339623
"PB-Campina Grande",2020-03-09,"nowcast",0,1,0,0,0,0.323943661971831
"PB-Campina Grande",2020-03-10,"nowcast",0,1,0,0,0,0.271676300578035
"PB-Campina Grande",2020-03-11,"nowcast",0,1,0,0,0,0.244019138755981
"PB-Campina Grande",2020-03-12,"nowcast",0,1,0,0,0,0.274509803921569
"PB-Campina Grande",2020-03-13,"nowcast",0,1,0,0,0,0.288025889967638
"PB-Campina Grande",2020-03-14,"nowcast",0,1,0,0,0,0.296495956873315
"PB-Campina Grande",2020-03-15,"nowcast",0,1,0,0,0,0.275626423690205
"PB-Campina Grande",2020-03-16,"nowcast",0,1,0,0,0,0.324324324324324
"PB-Campina Grande",2020-03-17,"nowcast",0,1,0,0,0,0.297113752122241
"PB-Campina Grande",2020-03-18,"nowcast",0,1,0,0,0,0.274268104776579
"PB-Campina Grande",2020-03-19,"nowcast",0,1,0,0,0,0.271328671328671
"PB-Campina Grande",2020-03-20,"nowcast",0,1,0,0,0,0.283697047496791
"PB-Campina Grande",2020-03-21,"nowcast",0,1,0,0,0,0.323076923076923
"PB-Campina Grande",2020-03-22,"nowcast",0,1,0,0,0,0.285234899328859
"PB-Campina Grande",2020-03-23,"nowcast",0,1,0,0,0,0.259868421052632
"PB-Campina Grande",2020-03-24,"nowcast",0,1,0,0,0,0.27438370846731
"PB-Campina Grande",2020-03-25,"nowcast",0,1,0,0,0,0.274841437632135
"PB-Campina Grande",2020-03-26,"nowcast",0,1,0,0,0,0.26155462184874
"PB-Campina Grande",2020-03-27,"nowcast",0,1,0,0,0,0.293691830403309
"PB-Campina Grande",2020-03-28,"nowcast",0,1,0,0,0,0.315843621399177
"PB-Campina Grande",2020-03-29,"nowcast",0,1,0,0,0,0.433367243133266
"PB-Campina Grande",2020-03-30,"nowcast",0,1,0,0,0,0.489878542510121
"PB-Campina Grande",2020-03-31,"nowcast",0,2,0,0,0,0.606673407482305
"PB-Campina Grande",2020-04-01,"nowcast",0,2,0,0,0,0.65625
"PB-Campina Grande",2020-04-02,"nowcast",0,2,0,1,1,0.73943661971831
"PB-Campina Grande",2020-04-03,"nowcast",0,2,0,1,1,0.893787575150301
"PB-Campina Grande",2020-04-04,"nowcast",0,2,0,1,1,1.05605605605606
"PB-Campina Grande",2020-04-05,"nowcast",0,3,0,1,1,1.209
"PB-Campina Grande",2020-04-06,"nowcast",0,3,0,1,1,1.492
"PB-Campina Grande",2020-04-07,"nowcast",0,3,1,2,2,1.717
"PB-Campina Grande",2020-04-08,"nowcast",0,4,1,2,2,2.17
"PB-Campina Grande",2020-04-09,"nowcast",0,4,0,2,2,2.318
"PB-Campina Grande",2020-04-10,"nowcast",0,5,1,3,3,2.655
"PB-Campina Grande",2020-04-11,"nowcast",0,5,1,3,3,2.924
"PB-Campina Grande",2020-04-12,"nowcast",1,6,1,3,3,3.286
"PB-Campina Grande",2020-04-13,"nowcast",1,6,2,4,3,3.529
"PB-Campina Grande",2020-04-14,"nowcast",0,6,2,4,4,3.757
"PB-Campina Grande",2020-04-15,"nowcast",0,6,2,4,4,3.982
"PB-Campina Grande",2020-04-16,"nowcast",1,7,2,4,4,4.321
"PB-Campina Grande",2020-04-17,"nowcast",1,7,3,5,4,4.54
"PB-Campina Grande",2020-04-18,"nowcast",1,7,3,5,4.5,4.634
"PB-Campina Grande",2020-04-19,"nowcast",1,8,2,5,5,4.962
"PB-Campina Grande",2020-04-20,"nowcast",1,8,4,6,5,5.207
"PB-Campina Grande",2020-04-21,"nowcast",2,9,2,5,5,5.51
"PB-Campina Grande",2020-04-22,"nowcast",2,10,3,6,6,5.955
"PB-Campina Grande",2020-04-23,"nowcast",2,11,4,7,6,6.805
"PB-Campina Grande",2020-04-24,"nowcast",2,12,4,8,7,7.654
"PB-Campina Grande",2020-04-25,"nowcast",2,13,5,9,8,8.744
"PB-Campina Grande",2020-04-26,"nowcast",3,15,7,11,10,10.028
"PB-Campina Grande",2020-04-27,"nowcast",5,17,6,11,11,11.391
"PB-Campina Grande",2020-04-28,"nowcast",5,19,9,14,12,12.865
"PB-Campina Grande",2020-04-29,"nowcast",7,22,9,15,14,14.817
"PB-Campina Grande",2020-04-30,"nowcast",8,25,12,18,17,17.257
"PB-Campina Grande",2020-05-01,"nowcast",10,28,13,20,19,19.589
"PB-Campina Grande",2020-05-02,"nowcast",12,32,17,24,22,22.612
"PB-Campina Grande",2020-05-03,"nowcast",14,35,19,27,25,25.875
"PB-Campina Grande",2020-05-04,"nowcast",18,40,21,31,29,29.535
"PB-Campina Grande",2020-05-05,"nowcast",22,47,25,35,33,33.711
"PB-Campina Grande",2020-05-06,"nowcast",23,50,31,41,38,38.407
"PB-Campina Grande",2020-05-07,"nowcast",30,57,34,45,43,43.55
"PB-Campina Grande",2020-05-08,"nowcast",32,60,42,53,48,48.282
"PB-Campina Grande",2020-05-09,"nowcast",37,67,45,57,53,53.817
"PB-Campina Grande",2020-05-10,"nowcast",45,76,50,63,59,59.827
"PB-Campina Grande",2020-05-11,"nowcast",46,80,54,67,64,65.01
"PB-Campina Grande",2020-05-12,"nowcast",56,90,62,75,71,71.678
"PB-Campina Grande",2020-05-13,"nowcast",60,96,68,82,79,79.021
"PB-Campina Grande",2020-05-14,"nowcast",66,105,73,89,86,86.778
"PB-Campina Grande",2020-05-15,"nowcast",74,112,84,99,95,94.905
"PB-Campina Grande",2020-05-16,"nowcast",84,119,94,108,102,101.922
"PB-Campina Grande",2020-05-17,"nowcast",90,125,101,115,108,108.817
"PB-Campina Grande",2020-05-18,"nowcast",92,130,104,118,113,113.385
"PB-Campina Grande",2020-05-19,"nowcast",99,136,111,126,116,116.646
"PB-Campina Grande",2020-05-20,"nowcast",98,137,106,123,120,119.912
"PB-Campina Grande",2020-05-21,"nowcast",101,142,112,129,124,124.481
"PB-Campina Grande",2020-05-22,"nowcast",109,151,118,135,130,130.085
"PB-Campina Grande",2020-05-23,"nowcast",115,156,122,140,136,136.062
"PB-Campina Grande",2020-05-24,"nowcast",117,161,128,147,143,143.256
"PB-Campina Grande",2020-05-25,"nowcast",128,173,137,155,150,150.461
"PB-Campina Grande",2020-05-26,"nowcast",133,179,148,167,157,157.213
"PB-Campina Grande",2020-05-27,"nowcast",137,187,149,169,164,164.636
"PB-Campina Grande",2020-05-28,"nowcast",150,196,162,181,174,174.251
"PB-Campina Grande",2020-05-29,"nowcast",158,207,173,193,184,183.607
"PB-Campina Grande",2020-05-30,"nowcast",172,217,180,199,194,194.203
"PB-Campina Grande",2020-05-31,"nowcast",181,224,191,209,203,202.897
"PB-Campina Grande",2020-06-01,"nowcast",185,230,196,215,209,208.518
"PB-Campina Grande",2020-06-02,"nowcast",188,236,200,219,212,212.563
"PB-Campina Grande",2020-06-03,"nowcast",190,238,202,222,214,214.562
"PB-Campina Grande",2020-06-04,"nowcast",184,237,202,222,215,214.4
"PB-Campina Grande",2020-06-05,"nowcast",182,235,197,218,211,210.536
"PB-Campina Grande",2020-06-06,"nowcast",180,232,193,213,205,203.941
"PB-Campina Grande",2020-06-07,"nowcast",170,222,179,200,195,194.61
"PB-Campina Grande",2020-06-08,"nowcast",159,207,172,193,185,184.339
"PB-Campina Grande",2020-06-09,"nowcast",151,197,163,182,175,175.668
"PB-Campina Grande",2020-06-10,"nowcast",146,190,161,178,168,168.446
"PB-Campina Grande",2020-06-11,"nowcast",141,185,151,169,163,163.206
"PB-Campina Grande",2020-06-12,"nowcast",138,183,149,167,159,158.715
"PB-Campina Grande",2020-06-13,"nowcast",130,174,142,160,153,152.52
"PB-Campina Grande",2020-06-14,"nowcast",122,165,134,151,145,145.466
"PB-Campina Grande",2020-06-15,"nowcast",118,157,126,141,136,136.981
"PB-Campina Grande",2020-06-16,"nowcast",110,148,119,134,130,130.317
"PB-Campina Grande",2020-06-17,"nowcast",106,140,118,132,125,125.1
"PB-Campina Grande",2020-06-18,"nowcast",104,139,116,130,124,123.97
