"region","date","type","bottom","top","lower","upper","median","mean"
"PB-Campina Grande",2020-02-22,"nowcast",1,1,1,1,1,1
"PB-Campina Grande",2020-02-23,"nowcast",0,0,0,0,0,0
"PB-Campina Grande",2020-02-24,"nowcast",0,0,0,0,0,0
"PB-Campina Grande",2020-02-25,"nowcast",0,0,0,0,0,0
"PB-Campina Grande",2020-02-26,"nowcast",0,0,0,0,0,0
"PB-Campina Grande",2020-02-27,"nowcast",0,0,0,0,0,0
"PB-Campina Grande",2020-02-28,"nowcast",0,1,1,1,1,0.8
"PB-Campina Grande",2020-02-29,"nowcast",0,0,0,0,0,0
"PB-Campina Grande",2020-03-01,"nowcast",0,1,0,0,0,0.375
"PB-Campina Grande",2020-03-02,"nowcast",0,1,0,0,0,0.384615384615385
"PB-Campina Grande",2020-03-03,"nowcast",0,1,0,0,0,0.4
"PB-Campina Grande",2020-03-04,"nowcast",0,1,0,0,0,0.32
"PB-Campina Grande",2020-03-05,"nowcast",0,1,0,0,0,0.447368421052632
"PB-Campina Grande",2020-03-06,"nowcast",0,1,0,0,0,0.4
"PB-Campina Grande",2020-03-07,"nowcast",0,1,0,0,0,0.206349206349206
"PB-Campina Grande",2020-03-08,"nowcast",0,1,0,0,0,0.296296296296296
"PB-Campina Grande",2020-03-09,"nowcast",0,1,0,0,0,0.318181818181818
"PB-Campina Grande",2020-03-10,"nowcast",0,1,0,0,0,0.291970802919708
"PB-Campina Grande",2020-03-11,"nowcast",0,1,0,0,0,0.293413173652695
"PB-Campina Grande",2020-03-12,"nowcast",0,1,0,0,0,0.279187817258883
"PB-Campina Grande",2020-03-13,"nowcast",0,1,0,0,0,0.295652173913043
"PB-Campina Grande",2020-03-14,"nowcast",0,1,0,0,0,0.339285714285714
"PB-Campina Grande",2020-03-15,"nowcast",0,1,0,0,0,0.304477611940298
"PB-Campina Grande",2020-03-16,"nowcast",0,1,0,0,0,0.32741116751269
"PB-Campina Grande",2020-03-17,"nowcast",0,1,0,0,0,0.338495575221239
"PB-Campina Grande",2020-03-18,"nowcast",0,1,0,0,0,0.380952380952381
"PB-Campina Grande",2020-03-19,"nowcast",0,1,0,0,0,0.348408710217755
"PB-Campina Grande",2020-03-20,"nowcast",0,1,0,0,0,0.334355828220859
"PB-Campina Grande",2020-03-21,"nowcast",0,1,0,0,0,0.357541899441341
"PB-Campina Grande",2020-03-22,"nowcast",0,1,0,0,0,0.354248366013072
"PB-Campina Grande",2020-03-23,"nowcast",0,1,0,0,0,0.301863354037267
"PB-Campina Grande",2020-03-24,"nowcast",0,1,0,0,0,0.320574162679426
"PB-Campina Grande",2020-03-25,"nowcast",0,1,0,0,0,0.268378063010502
"PB-Campina Grande",2020-03-26,"nowcast",0,1,0,0,0,0.274914089347079
"PB-Campina Grande",2020-03-27,"nowcast",0,1,0,0,0,0.291759465478842
"PB-Campina Grande",2020-03-28,"nowcast",0,1,0,0,0,0.312087912087912
"PB-Campina Grande",2020-03-29,"nowcast",0,1,0,0,0,0.336569579288026
"PB-Campina Grande",2020-03-30,"nowcast",0,1,0,0,0,0.408510638297872
"PB-Campina Grande",2020-03-31,"nowcast",0,1,0,0,0,0.475941422594142
"PB-Campina Grande",2020-04-01,"nowcast",0,2,0,0,0,0.56198347107438
"PB-Campina Grande",2020-04-02,"nowcast",0,2,0,0,0,0.635714285714286
"PB-Campina Grande",2020-04-03,"nowcast",0,2,0,1,1,0.749745676500509
"PB-Campina Grande",2020-04-04,"nowcast",0,2,0,1,1,0.91742195367573
"PB-Campina Grande",2020-04-05,"nowcast",0,2,0,1,1,1.00201207243461
"PB-Campina Grande",2020-04-06,"nowcast",0,3,0,1,1,1.264
"PB-Campina Grande",2020-04-07,"nowcast",0,3,0,1,1,1.522
"PB-Campina Grande",2020-04-08,"nowcast",0,4,1,2,2,1.827
"PB-Campina Grande",2020-04-09,"nowcast",0,4,1,2,2,2.016
"PB-Campina Grande",2020-04-10,"nowcast",0,4,0,2,2,2.393
"PB-Campina Grande",2020-04-11,"nowcast",0,5,0,2,2,2.637
"PB-Campina Grande",2020-04-12,"nowcast",0,5,1,3,3,2.906
"PB-Campina Grande",2020-04-13,"nowcast",1,6,1,3,3,3.188
"PB-Campina Grande",2020-04-14,"nowcast",1,6,2,4,3,3.505
"PB-Campina Grande",2020-04-15,"nowcast",0,6,2,4,4,3.83
"PB-Campina Grande",2020-04-16,"nowcast",1,7,2,4,4,3.976
"PB-Campina Grande",2020-04-17,"nowcast",1,7,2,4,4,4.212
"PB-Campina Grande",2020-04-18,"nowcast",1,7,3,5,4,4.502
"PB-Campina Grande",2020-04-19,"nowcast",0,7,3,5,4,4.532
"PB-Campina Grande",2020-04-20,"nowcast",1,8,2,5,4,4.649
"PB-Campina Grande",2020-04-21,"nowcast",1,8,2,5,5,4.914
"PB-Campina Grande",2020-04-22,"nowcast",1,9,2,5,5,5.452
"PB-Campina Grande",2020-04-23,"nowcast",1,10,3,6,6,5.964
"PB-Campina Grande",2020-04-24,"nowcast",1,10,4,7,6,6.547
"PB-Campina Grande",2020-04-25,"nowcast",3,12,3,7,7,7.485
"PB-Campina Grande",2020-04-26,"nowcast",3,13,4,8,8,8.314
"PB-Campina Grande",2020-04-27,"nowcast",4,16,6,10,9,9.742
"PB-Campina Grande",2020-04-28,"nowcast",4,17,6,11,11,11.121
"PB-Campina Grande",2020-04-29,"nowcast",5,19,9,14,12,12.681
"PB-Campina Grande",2020-04-30,"nowcast",6,21,10,16,14,14.717
"PB-Campina Grande",2020-05-01,"nowcast",7,24,11,17,16,16.897
"PB-Campina Grande",2020-05-02,"nowcast",10,28,13,20,19,19.482
"PB-Campina Grande",2020-05-03,"nowcast",10,30,16,24,22,22.018
"PB-Campina Grande",2020-05-04,"nowcast",14,36,17,26,25,25.244
"PB-Campina Grande",2020-05-05,"nowcast",16,39,22,31,29,29.113
"PB-Campina Grande",2020-05-06,"nowcast",19,44,28,37,33,33.21
"PB-Campina Grande",2020-05-07,"nowcast",23,50,28,39,37,37.482
"PB-Campina Grande",2020-05-08,"nowcast",27,56,33,45,42,42.776
"PB-Campina Grande",2020-05-09,"nowcast",33,62,38,50,47,47.284
"PB-Campina Grande",2020-05-10,"nowcast",36,67,43,55,52,52.369
"PB-Campina Grande",2020-05-11,"nowcast",40,73,50,63,58,58.033
"PB-Campina Grande",2020-05-12,"nowcast",44,82,55,70,64,64.193
"PB-Campina Grande",2020-05-13,"nowcast",50,87,61,75,70,69.879
"PB-Campina Grande",2020-05-14,"nowcast",57,95,70,84,77,76.963
"PB-Campina Grande",2020-05-15,"nowcast",64,103,75,90,84,84.713
"PB-Campina Grande",2020-05-16,"nowcast",75,110,84,99,92,92.227
"PB-Campina Grande",2020-05-17,"nowcast",80,117,94,108,100,100.169
"PB-Campina Grande",2020-05-18,"nowcast",88,124,93,109,106,105.879
"PB-Campina Grande",2020-05-19,"nowcast",89,127,101,115,109,109.616
"PB-Campina Grande",2020-05-20,"nowcast",88,130,101,118,112,112.222
"PB-Campina Grande",2020-05-21,"nowcast",95,137,103,120,115,115.386
"PB-Campina Grande",2020-05-22,"nowcast",98,141,110,127,119,119.569
"PB-Campina Grande",2020-05-23,"nowcast",104,148,113,131,125,125.301
"PB-Campina Grande",2020-05-24,"nowcast",107,154,119,137,132,132.374
"PB-Campina Grande",2020-05-25,"nowcast",111,161,126,144,139,138.807
"PB-Campina Grande",2020-05-26,"nowcast",121,168,129,149,145,144.89
"PB-Campina Grande",2020-05-27,"nowcast",124,174,136,156,151,150.999
"PB-Campina Grande",2020-05-28,"nowcast",134,184,148,170,160,159.818
"PB-Campina Grande",2020-05-29,"nowcast",140,193,162,182,170,169.674
