"region","date","type","bottom","top","lower","upper","median","mean"
"PB-Patos",2020-01-15,"nowcast",1,1,1,1,1,1
"PB-Patos",2020-01-16,"nowcast",0,0,0,0,0,0
"PB-Patos",2020-01-17,"nowcast",0,1,0,1,0.5,0.5
"PB-Patos",2020-01-18,"nowcast",0,0,0,0,0,0
"PB-Patos",2020-01-19,"nowcast",0,1,0,0,0,0.333333333333333
"PB-Patos",2020-01-20,"nowcast",0,0,0,0,0,0
"PB-Patos",2020-01-21,"nowcast",0,0,0,0,0,0
"PB-Patos",2020-01-22,"nowcast",0,0,0,0,0,0
"PB-Patos",2020-01-23,"nowcast",0,1,0,0,0,0.25
"PB-Patos",2020-01-24,"nowcast",0,0,0,0,0,0
"PB-Patos",2020-01-25,"nowcast",0,0,0,0,0,0
"PB-Patos",2020-01-26,"nowcast",0,0,0,0,0,0
"PB-Patos",2020-01-27,"nowcast",0,0,0,0,0,0
"PB-Patos",2020-01-28,"nowcast",0,1,0,0,0,0.25
"PB-Patos",2020-01-29,"nowcast",0,1,0,0,0,0.2
"PB-Patos",2020-01-30,"nowcast",0,1,0,0,0,0.166666666666667
"PB-Patos",2020-01-31,"nowcast",0,1,0,0,0,0.25
"PB-Patos",2020-02-01,"nowcast",0,1,0,1,0.5,0.5
"PB-Patos",2020-02-02,"nowcast",0,1,0,0,0,0.2
"PB-Patos",2020-02-03,"nowcast",0,1,0,0,0,0.1
"PB-Patos",2020-02-04,"nowcast",0,1,0,0,0,0.272727272727273
"PB-Patos",2020-02-05,"nowcast",0,0,0,0,0,0
"PB-Patos",2020-02-06,"nowcast",0,0,0,0,0,0
"PB-Patos",2020-02-07,"nowcast",0,1,0,0,0,0.266666666666667
"PB-Patos",2020-02-08,"nowcast",0,1,0,0,0,0.117647058823529
"PB-Patos",2020-02-09,"nowcast",0,1,0,0,0,0.111111111111111
"PB-Patos",2020-02-10,"nowcast",0,1,0,0,0,0.105263157894737
"PB-Patos",2020-02-11,"nowcast",0,1,0,0,0,0.210526315789474
"PB-Patos",2020-02-12,"nowcast",0,1,0,0,0,0.260869565217391
"PB-Patos",2020-02-13,"nowcast",0,1,0,0,0,0.12
"PB-Patos",2020-02-14,"nowcast",0,1,0,0,0,0.12
"PB-Patos",2020-02-15,"nowcast",0,1,0,0,0,0.178571428571429
"PB-Patos",2020-02-16,"nowcast",0,0,0,0,0,0.0689655172413793
"PB-Patos",2020-02-17,"nowcast",0,1,0,0,0,0.137931034482759
"PB-Patos",2020-02-18,"nowcast",0,1,0,0,0,0.21875
"PB-Patos",2020-02-19,"nowcast",0,0,0,0,0,0.0909090909090909
"PB-Patos",2020-02-20,"nowcast",0,1,0,0,0,0.25
"PB-Patos",2020-02-21,"nowcast",0,1,0,0,0,0.263157894736842
"PB-Patos",2020-02-22,"nowcast",0,1,0,0,0,0.195121951219512
"PB-Patos",2020-02-23,"nowcast",0,1,0,0,0,0.214285714285714
"PB-Patos",2020-02-24,"nowcast",0,1,0,0,0,0.212765957446809
"PB-Patos",2020-02-25,"nowcast",0,1,0,0,0,0.166666666666667
"PB-Patos",2020-02-26,"nowcast",0,1,0,0,0,0.269230769230769
"PB-Patos",2020-02-27,"nowcast",0,1,0,0,0,0.203703703703704
"PB-Patos",2020-02-28,"nowcast",0,1,0,0,0,0.196428571428571
"PB-Patos",2020-02-29,"nowcast",0,1,0,0,0,0.203389830508475
"PB-Patos",2020-03-01,"nowcast",0,1,0,0,0,0.25
"PB-Patos",2020-03-02,"nowcast",0,1,0,0,0,0.194029850746269
"PB-Patos",2020-03-03,"nowcast",0,1,0,0,0,0.309859154929577
"PB-Patos",2020-03-04,"nowcast",0,1,0,0,0,0.388888888888889
"PB-Patos",2020-03-05,"nowcast",0,1,0,0,0,0.306666666666667
"PB-Patos",2020-03-06,"nowcast",0,1,0,0,0,0.282051282051282
"PB-Patos",2020-03-07,"nowcast",0,1,0,0,0,0.345679012345679
"PB-Patos",2020-03-08,"nowcast",0,1,0,0,0,0.297619047619048
"PB-Patos",2020-03-09,"nowcast",0,1,0,0,0,0.258823529411765
"PB-Patos",2020-03-10,"nowcast",0,1,0,0,0,0.379310344827586
"PB-Patos",2020-03-11,"nowcast",0,1,0,0,0,0.43956043956044
"PB-Patos",2020-03-12,"nowcast",0,1,0,0,0,0.358695652173913
"PB-Patos",2020-03-13,"nowcast",0,1,0,0,0,0.483870967741935
"PB-Patos",2020-03-14,"nowcast",0,2,0,0,0,0.691489361702128
"PB-Patos",2020-03-15,"nowcast",0,2,0,0,0,0.54639175257732
"PB-Patos",2020-03-16,"nowcast",0,2,0,0,0,0.701030927835051
"PB-Patos",2020-03-17,"nowcast",0,2,0,0,0,0.724489795918367
"PB-Patos",2020-03-18,"nowcast",0,2,0,0,0,0.676767676767677
"PB-Patos",2020-03-19,"nowcast",0,2,0,0,0,0.6
"PB-Patos",2020-03-20,"nowcast",0,2,0,1,1,0.77
"PB-Patos",2020-03-21,"nowcast",0,2,0,1,1,0.88
"PB-Patos",2020-03-22,"nowcast",0,3,0,1,1,1.02
"PB-Patos",2020-03-23,"nowcast",0,2,0,1,1,0.98
"PB-Patos",2020-03-24,"nowcast",0,2,0,1,1,0.97
"PB-Patos",2020-03-25,"nowcast",0,3,0,1,1,1.16
"PB-Patos",2020-03-26,"nowcast",0,3,0,1,1,1.33
"PB-Patos",2020-03-27,"nowcast",0,3,0,1,1,1.43
"PB-Patos",2020-03-28,"nowcast",0,3,0,1,1,1.47
"PB-Patos",2020-03-29,"nowcast",0,3,0,1,1,1.5
"PB-Patos",2020-03-30,"nowcast",0,4,0,1,1,1.6
"PB-Patos",2020-03-31,"nowcast",0,4,1,2,2,1.72
"PB-Patos",2020-04-01,"nowcast",0,4,1,2,2,2.05
"PB-Patos",2020-04-02,"nowcast",0,4,0,2,2,1.96
"PB-Patos",2020-04-03,"nowcast",0,4,0,2,2,2.38
"PB-Patos",2020-04-04,"nowcast",0,5,1,2,2,2.39
"PB-Patos",2020-04-05,"nowcast",0,5,0,2,2,2.47
"PB-Patos",2020-04-06,"nowcast",0,6,0,2,2,2.74
"PB-Patos",2020-04-07,"nowcast",0,5,1,3,3,3.04
"PB-Patos",2020-04-08,"nowcast",0,6,2,3,3,3.25
"PB-Patos",2020-04-09,"nowcast",1,6,2,4,3.5,3.51
"PB-Patos",2020-04-10,"nowcast",1,7,1,3,3,3.66
"PB-Patos",2020-04-11,"nowcast",0,7,1,4,4,4
"PB-Patos",2020-04-12,"nowcast",1,7,3,5,4,4.25
"PB-Patos",2020-04-13,"nowcast",2,8,3,5,4.5,4.85
"PB-Patos",2020-04-14,"nowcast",2,8,2,5,5,5.07
"PB-Patos",2020-04-15,"nowcast",1,10,4,7,6,5.92
"PB-Patos",2020-04-16,"nowcast",2,11,4,6,5,5.67
"PB-Patos",2020-04-17,"nowcast",1,9,4,7,6,6.33
"PB-Patos",2020-04-18,"nowcast",1,10,4,7,7,7.08
