"region","date","type","bottom","top","lower","upper","median","mean"
"PB-Queimadas",2020-03-19,"nowcast",1,1,1,1,1,1
"PB-Queimadas",2020-03-20,"nowcast",1,1,1,1,1,1
"PB-Queimadas",2020-03-21,"nowcast",0,1,1,1,1,0.666666666666667
"PB-Queimadas",2020-03-22,"nowcast",0,1,0,0,0,0.142857142857143
"PB-Queimadas",2020-03-23,"nowcast",0,1,0,0,0,0.3
"PB-Queimadas",2020-03-24,"nowcast",0,1,0,0,0,0.307692307692308
"PB-Queimadas",2020-03-25,"nowcast",0,1,0,0,0,0.352941176470588
"PB-Queimadas",2020-03-26,"nowcast",0,1,0,0,0,0.222222222222222
"PB-Queimadas",2020-03-27,"nowcast",0,1,0,0,0,0.346153846153846
"PB-Queimadas",2020-03-28,"nowcast",0,1,0,0,0,0.258064516129032
"PB-Queimadas",2020-03-29,"nowcast",0,1,0,0,0,0.166666666666667
"PB-Queimadas",2020-03-30,"nowcast",0,1,0,0,0,0.351851851851852
"PB-Queimadas",2020-03-31,"nowcast",0,1,0,0,0,0.309859154929577
"PB-Queimadas",2020-04-01,"nowcast",0,1,0,0,0,0.368932038834951
"PB-Queimadas",2020-04-02,"nowcast",0,1,0,0,0,0.283464566929134
"PB-Queimadas",2020-04-03,"nowcast",0,1,0,0,0,0.26
"PB-Queimadas",2020-04-04,"nowcast",0,1,0,0,0,0.232432432432432
"PB-Queimadas",2020-04-05,"nowcast",0,1,0,0,0,0.254464285714286
"PB-Queimadas",2020-04-06,"nowcast",0,1,0,0,0,0.226053639846743
"PB-Queimadas",2020-04-07,"nowcast",0,1,0,0,0,0.284829721362229
"PB-Queimadas",2020-04-08,"nowcast",0,1,0,0,0,0.268733850129199
"PB-Queimadas",2020-04-09,"nowcast",0,1,0,0,0,0.222972972972973
"PB-Queimadas",2020-04-10,"nowcast",0,1,0,0,0,0.192
"PB-Queimadas",2020-04-11,"nowcast",0,1,0,0,0,0.2
"PB-Queimadas",2020-04-12,"nowcast",0,1,0,0,0,0.20926517571885
"PB-Queimadas",2020-04-13,"nowcast",0,1,0,0,0,0.187039764359352
"PB-Queimadas",2020-04-14,"nowcast",0,1,0,0,0,0.14651493598862
"PB-Queimadas",2020-04-15,"nowcast",0,1,0,0,0,0.150273224043716
"PB-Queimadas",2020-04-16,"nowcast",0,1,0,0,0,0.158102766798419
"PB-Queimadas",2020-04-17,"nowcast",0,1,0,0,0,0.159438775510204
"PB-Queimadas",2020-04-18,"nowcast",0,1,0,0,0,0.197287299630086
"PB-Queimadas",2020-04-19,"nowcast",0,1,0,0,0,0.204790419161677
"PB-Queimadas",2020-04-20,"nowcast",0,1,0,0,0,0.235838150289017
"PB-Queimadas",2020-04-21,"nowcast",0,1,0,0,0,0.272930648769575
"PB-Queimadas",2020-04-22,"nowcast",0,1,0,0,0,0.311135371179039
"PB-Queimadas",2020-04-23,"nowcast",0,1,0,0,0,0.350580781414995
"PB-Queimadas",2020-04-24,"nowcast",0,1,0,0,0,0.43698347107438
"PB-Queimadas",2020-04-25,"nowcast",0,1,0,0,0,0.418461538461538
"PB-Queimadas",2020-04-26,"nowcast",0,1,0,0,0,0.506122448979592
"PB-Queimadas",2020-04-27,"nowcast",0,2,0,0,0,0.63030303030303
"PB-Queimadas",2020-04-28,"nowcast",0,2,0,0,0,0.664321608040201
"PB-Queimadas",2020-04-29,"nowcast",0,2,0,1,1,0.865731462925852
"PB-Queimadas",2020-04-30,"nowcast",0,2,0,1,1,1.031
"PB-Queimadas",2020-05-01,"nowcast",0,3,0,1,1,1.178
"PB-Queimadas",2020-05-02,"nowcast",0,3,0,1,1,1.391
"PB-Queimadas",2020-05-03,"nowcast",0,3,0,1,1,1.649
"PB-Queimadas",2020-05-04,"nowcast",0,4,1,2,2,1.837
"PB-Queimadas",2020-05-05,"nowcast",0,4,1,2,2,2.098
"PB-Queimadas",2020-05-06,"nowcast",0,4,0,2,2,2.359
"PB-Queimadas",2020-05-07,"nowcast",0,5,0,2,2,2.497
"PB-Queimadas",2020-05-08,"nowcast",0,5,1,3,3,2.861
"PB-Queimadas",2020-05-09,"nowcast",0,5,1,3,3,3.082
"PB-Queimadas",2020-05-10,"nowcast",1,6,1,3,3,3.31
"PB-Queimadas",2020-05-11,"nowcast",1,6,1,3,3,3.547
"PB-Queimadas",2020-05-12,"nowcast",0,6,2,4,3,3.685
"PB-Queimadas",2020-05-13,"nowcast",1,7,2,4,4,3.922
"PB-Queimadas",2020-05-14,"nowcast",0,7,3,5,4,4.4
"PB-Queimadas",2020-05-15,"nowcast",2,8,3,5,5,4.892
"PB-Queimadas",2020-05-16,"nowcast",1,8,2,5,5,5.334
"PB-Queimadas",2020-05-17,"nowcast",2,9,3,6,6,6.012
"PB-Queimadas",2020-05-18,"nowcast",2,10,4,7,6,6.589
"PB-Queimadas",2020-05-19,"nowcast",3,11,5,8,7,7.4
"PB-Queimadas",2020-05-20,"nowcast",3,12,6,9,8,8.04
"PB-Queimadas",2020-05-21,"nowcast",4,13,7,10,9,8.728
"PB-Queimadas",2020-05-22,"nowcast",4,13,7,10,9,9.165
"PB-Queimadas",2020-05-23,"nowcast",4,13,6,10,9,9.333
"PB-Queimadas",2020-05-24,"nowcast",5,14,8,11,9,9.498
"PB-Queimadas",2020-05-25,"nowcast",5,14,8,11,9,9.612
"PB-Queimadas",2020-05-26,"nowcast",4,14,6,10,10,9.965
"PB-Queimadas",2020-05-27,"nowcast",5,15,6,10,10,10.18
"PB-Queimadas",2020-05-28,"nowcast",5,15,7,11,11,10.787
"PB-Queimadas",2020-05-29,"nowcast",6,16,8,12,11,11.291
"PB-Queimadas",2020-05-30,"nowcast",6,17,9,13,12,12.016
"PB-Queimadas",2020-05-31,"nowcast",7,18,10,14,13,12.875
"PB-Queimadas",2020-06-01,"nowcast",7,18,10,14,13,13.256
"PB-Queimadas",2020-06-02,"nowcast",8,19,10,14,13,13.669
"PB-Queimadas",2020-06-03,"nowcast",7,19,11,15,14,13.897
"PB-Queimadas",2020-06-04,"nowcast",7,19,12,16,14,14.291
"PB-Queimadas",2020-06-05,"nowcast",9,20,12,16,14,14.466
"PB-Queimadas",2020-06-06,"nowcast",8,20,10,15,14,14.698
"PB-Queimadas",2020-06-07,"nowcast",9,20,13,17,15,14.848
"PB-Queimadas",2020-06-08,"nowcast",8,20,10,15,15,14.698
"PB-Queimadas",2020-06-09,"nowcast",9,20,11,15,14,14.419
"PB-Queimadas",2020-06-10,"nowcast",8,20,12,16,14,14.469
"PB-Queimadas",2020-06-11,"nowcast",9,21,12,16,15,14.687
"PB-Queimadas",2020-06-12,"nowcast",8,20,11,16,15,14.98
"PB-Queimadas",2020-06-13,"nowcast",9,20,12,16,15,15.124
"PB-Queimadas",2020-06-14,"nowcast",8,20,12,16,15,15.208
"PB-Queimadas",2020-06-15,"nowcast",9,21,11,16,15,15.406
"PB-Queimadas",2020-06-16,"nowcast",9,21,11,16,15,15.45
"PB-Queimadas",2020-06-17,"nowcast",9,21,11,16,16,15.678
"PB-Queimadas",2020-06-18,"nowcast",9,21,12,17,16,15.981
"PB-Queimadas",2020-06-19,"nowcast",10,22,12,17,16,16.326
"PB-Queimadas",2020-06-20,"nowcast",9,22,12,17,16,16.399
"PB-Queimadas",2020-06-21,"nowcast",9,21,12,17,16,16.412
"PB-Queimadas",2020-06-22,"nowcast",9,21,12,17,16,16.013
"PB-Queimadas",2020-06-23,"nowcast",9,21,12,17,16,15.822
"PB-Queimadas",2020-06-24,"nowcast",9,21,11,16,15,15.572
"PB-Queimadas",2020-06-25,"nowcast",9,21,11,16,15,15.427
"PB-Queimadas",2020-06-26,"nowcast",9,21,11,16,15,15.392
"PB-Queimadas",2020-06-27,"nowcast",7,20,11,16,15,15.336
"PB-Queimadas",2020-06-28,"nowcast",8,20,13,17,15,14.805
"PB-Queimadas",2020-06-29,"nowcast",8,20,10,15,15,14.761
"PB-Queimadas",2020-06-30,"nowcast",7,19,10,15,14,14.12
"PB-Queimadas",2020-07-01,"nowcast",7,18,11,15,13,13.637
"PB-Queimadas",2020-07-02,"nowcast",7,18,10,14,13,13.248
"PB-Queimadas",2020-07-03,"nowcast",7,18,10,14,13,13.145
"PB-Queimadas",2020-07-04,"nowcast",7,18,9,13,12,12.65
"PB-Queimadas",2020-07-05,"nowcast",7,17,9,13,12,12.239
"PB-Queimadas",2020-07-06,"nowcast",7,17,8,12,12,11.735
