"region","date","type","bottom","top","lower","upper","median","mean"
"PE-Camaragibe",2019-12-27,"nowcast",1,1,1,1,1,1
"PE-Camaragibe",2019-12-28,"nowcast",0,1,0,1,0.5,0.5
"PE-Camaragibe",2019-12-29,"nowcast",0,0,0,0,0,0
"PE-Camaragibe",2019-12-30,"nowcast",0,0,0,0,0,0
"PE-Camaragibe",2019-12-31,"nowcast",0,0,0,0,0,0
"PE-Camaragibe",2020-01-01,"nowcast",0,0,0,0,0,0
"PE-Camaragibe",2020-01-02,"nowcast",0,0,0,0,0,0
"PE-Camaragibe",2020-01-03,"nowcast",0,0,0,0,0,0
"PE-Camaragibe",2020-01-04,"nowcast",0,0,0,0,0,0
"PE-Camaragibe",2020-01-05,"nowcast",0,1,0,0,0,0.333333333333333
"PE-Camaragibe",2020-01-06,"nowcast",0,0,0,0,0,0
"PE-Camaragibe",2020-01-07,"nowcast",0,1,0,0,0,0.25
"PE-Camaragibe",2020-01-08,"nowcast",0,0,0,0,0,0
"PE-Camaragibe",2020-01-09,"nowcast",0,0,0,0,0,0
"PE-Camaragibe",2020-01-10,"nowcast",0,0,0,0,0,0
"PE-Camaragibe",2020-01-11,"nowcast",0,0,0,0,0,0
"PE-Camaragibe",2020-01-12,"nowcast",0,1,0,0,0,0.4
"PE-Camaragibe",2020-01-13,"nowcast",0,1,0,0,0,0.166666666666667
"PE-Camaragibe",2020-01-14,"nowcast",0,1,0,0,0,0.166666666666667
"PE-Camaragibe",2020-01-15,"nowcast",0,1,0,1,0.5,0.5
"PE-Camaragibe",2020-01-16,"nowcast",0,0,0,0,0,0
"PE-Camaragibe",2020-01-17,"nowcast",0,1,0,0,0,0.4
"PE-Camaragibe",2020-01-18,"nowcast",0,0,0,0,0,0.0909090909090909
"PE-Camaragibe",2020-01-19,"nowcast",0,0,0,0,0,0
"PE-Camaragibe",2020-01-20,"nowcast",0,0,0,0,0,0.0909090909090909
"PE-Camaragibe",2020-01-21,"nowcast",0,1,0,0,0,0.428571428571429
"PE-Camaragibe",2020-01-22,"nowcast",0,0,0,0,0,0.0666666666666667
"PE-Camaragibe",2020-01-23,"nowcast",0,0,0,0,0,0.0625
"PE-Camaragibe",2020-01-24,"nowcast",0,1,0,0,0,0.263157894736842
"PE-Camaragibe",2020-01-25,"nowcast",0,1,0,0,0,0.173913043478261
"PE-Camaragibe",2020-01-26,"nowcast",0,1,0,0,0,0.259259259259259
"PE-Camaragibe",2020-01-27,"nowcast",0,1,0,0,0,0.206896551724138
"PE-Camaragibe",2020-01-28,"nowcast",0,1,0,0,0,0.1
"PE-Camaragibe",2020-01-29,"nowcast",0,1,0,0,0,0.161290322580645
"PE-Camaragibe",2020-01-30,"nowcast",0,1,0,0,0,0.333333333333333
"PE-Camaragibe",2020-01-31,"nowcast",0,0,0,0,0,0.0882352941176471
"PE-Camaragibe",2020-02-01,"nowcast",0,1,0,0,0,0.138888888888889
"PE-Camaragibe",2020-02-02,"nowcast",0,0,0,0,0,0.0833333333333333
"PE-Camaragibe",2020-02-03,"nowcast",0,1,0,0,0,0.102564102564103
"PE-Camaragibe",2020-02-04,"nowcast",0,0,0,0,0,0.0975609756097561
"PE-Camaragibe",2020-02-05,"nowcast",0,1,0,0,0,0.214285714285714
"PE-Camaragibe",2020-02-06,"nowcast",0,1,0,0,0,0.155555555555556
"PE-Camaragibe",2020-02-07,"nowcast",0,1,0,0,0,0.276595744680851
"PE-Camaragibe",2020-02-08,"nowcast",0,1,0,0,0,0.2
"PE-Camaragibe",2020-02-09,"nowcast",0,1,0,0,0,0.303571428571429
"PE-Camaragibe",2020-02-10,"nowcast",0,1,0,0,0,0.295081967213115
"PE-Camaragibe",2020-02-11,"nowcast",0,1,0,0,0,0.3125
"PE-Camaragibe",2020-02-12,"nowcast",0,1,0,0,0,0.246153846153846
"PE-Camaragibe",2020-02-13,"nowcast",0,1,0,0,0,0.238805970149254
"PE-Camaragibe",2020-02-14,"nowcast",0,1,0,0,0,0.228571428571429
"PE-Camaragibe",2020-02-15,"nowcast",0,1,0,0,0,0.28169014084507
"PE-Camaragibe",2020-02-16,"nowcast",0,1,0,0,0,0.27027027027027
"PE-Camaragibe",2020-02-17,"nowcast",0,1,0,0,0,0.36
"PE-Camaragibe",2020-02-18,"nowcast",0,1,0,0,0,0.36144578313253
"PE-Camaragibe",2020-02-19,"nowcast",0,1,0,0,0,0.357142857142857
"PE-Camaragibe",2020-02-20,"nowcast",0,1,0,0,0,0.337209302325581
"PE-Camaragibe",2020-02-21,"nowcast",0,1,0,0,0,0.302325581395349
"PE-Camaragibe",2020-02-22,"nowcast",0,1,0,0,0,0.384615384615385
"PE-Camaragibe",2020-02-23,"nowcast",0,1,0,0,0,0.285714285714286
"PE-Camaragibe",2020-02-24,"nowcast",0,2,0,0,0,0.521739130434783
"PE-Camaragibe",2020-02-25,"nowcast",0,2,0,0,0,0.608695652173913
"PE-Camaragibe",2020-02-26,"nowcast",0,2,0,0,0,0.531914893617021
"PE-Camaragibe",2020-02-27,"nowcast",0,1,0,0,0,0.5
"PE-Camaragibe",2020-02-28,"nowcast",0,2,0,1,1,0.701030927835051
"PE-Camaragibe",2020-02-29,"nowcast",0,2,0,0,0,0.680412371134021
"PE-Camaragibe",2020-03-01,"nowcast",0,2,0,1,1,0.747474747474748
"PE-Camaragibe",2020-03-02,"nowcast",0,2,0,0,0,0.636363636363636
"PE-Camaragibe",2020-03-03,"nowcast",0,2,0,0,0,0.69
"PE-Camaragibe",2020-03-04,"nowcast",0,2,0,1,0.5,0.78
"PE-Camaragibe",2020-03-05,"nowcast",0,2,0,1,1,0.81
"PE-Camaragibe",2020-03-06,"nowcast",0,2,0,1,1,0.97
"PE-Camaragibe",2020-03-07,"nowcast",0,3,0,1,1,1.04
"PE-Camaragibe",2020-03-08,"nowcast",0,3,0,1,1,1.36
"PE-Camaragibe",2020-03-09,"nowcast",0,2,0,1,1,1.15
"PE-Camaragibe",2020-03-10,"nowcast",0,3,0,1,1,1.29
"PE-Camaragibe",2020-03-11,"nowcast",0,3,0,1,1,1.47
"PE-Camaragibe",2020-03-12,"nowcast",0,3,0,1,1,1.46
"PE-Camaragibe",2020-03-13,"nowcast",0,3,1,2,2,1.81
"PE-Camaragibe",2020-03-14,"nowcast",0,4,0,2,2,1.93
"PE-Camaragibe",2020-03-15,"nowcast",0,5,1,2,2,2.23
"PE-Camaragibe",2020-03-16,"nowcast",0,4,1,2,2,1.93
"PE-Camaragibe",2020-03-17,"nowcast",0,4,1,2,2,2.27
"PE-Camaragibe",2020-03-18,"nowcast",0,5,0,2,2,2.52
"PE-Camaragibe",2020-03-19,"nowcast",0,5,0,2,2,2.71
"PE-Camaragibe",2020-03-20,"nowcast",0,5,1,3,3,2.97
"PE-Camaragibe",2020-03-21,"nowcast",0,5,2,3,3,2.85
"PE-Camaragibe",2020-03-22,"nowcast",0,6,1,3,3,3.29
"PE-Camaragibe",2020-03-23,"nowcast",0,6,2,4,4,3.75
"PE-Camaragibe",2020-03-24,"nowcast",0,7,2,4,4,4.01
"PE-Camaragibe",2020-03-25,"nowcast",0,6,2,4,4,4
"PE-Camaragibe",2020-03-26,"nowcast",1,7,1,4,4,4.25
"PE-Camaragibe",2020-03-27,"nowcast",1,8,2,5,5,4.96
"PE-Camaragibe",2020-03-28,"nowcast",1,9,3,6,5,5.33
"PE-Camaragibe",2020-03-29,"nowcast",2,9,3,6,5.5,5.73
"PE-Camaragibe",2020-03-30,"nowcast",3,9,3,6,6,6.11
"PE-Camaragibe",2020-03-31,"nowcast",3,11,4,7,7,7.1
"PE-Camaragibe",2020-04-01,"nowcast",2,11,5,8,7.5,7.54
"PE-Camaragibe",2020-04-02,"nowcast",4,12,6,9,8,8.23
"PE-Camaragibe",2020-04-03,"nowcast",4,12,6,9,8,8.31
"PE-Camaragibe",2020-04-04,"nowcast",4,14,6,10,9,9.61
"PE-Camaragibe",2020-04-05,"nowcast",4,15,6,10,9,9.59
"PE-Camaragibe",2020-04-06,"nowcast",5,15,8,12,10.5,10.6
"PE-Camaragibe",2020-04-07,"nowcast",5,15,8,11,10,10.69
"PE-Camaragibe",2020-04-08,"nowcast",6,16,9,12,11,11.13
"PE-Camaragibe",2020-04-09,"nowcast",7,17,8,12,12,11.63
"PE-Camaragibe",2020-04-10,"nowcast",6,17,9,13,12,12.02
"PE-Camaragibe",2020-04-11,"nowcast",6,18,8,14,13,12.6
"PE-Camaragibe",2020-04-12,"nowcast",6,18,12,16,13,13.41
