"region","date","type","bottom","top","lower","upper","median","mean"
"PE-Caruaru",2020-02-11,"nowcast",1,1,1,1,1,1
"PE-Caruaru",2020-02-12,"nowcast",0,0,0,0,0,0
"PE-Caruaru",2020-02-13,"nowcast",0,0,0,0,0,0
"PE-Caruaru",2020-02-14,"nowcast",0,0,0,0,0,0
"PE-Caruaru",2020-02-15,"nowcast",0,0,0,0,0,0
"PE-Caruaru",2020-02-16,"nowcast",0,0,0,0,0,0
"PE-Caruaru",2020-02-17,"nowcast",0,0,0,0,0,0
"PE-Caruaru",2020-02-18,"nowcast",0,0,0,0,0,0
"PE-Caruaru",2020-02-19,"nowcast",0,0,0,0,0,0
"PE-Caruaru",2020-02-20,"nowcast",0,0,0,0,0,0
"PE-Caruaru",2020-02-21,"nowcast",0,1,0,1,0.5,0.5
"PE-Caruaru",2020-02-22,"nowcast",0,0,0,0,0,0
"PE-Caruaru",2020-02-23,"nowcast",0,1,1,1,1,0.666666666666667
"PE-Caruaru",2020-02-24,"nowcast",0,1,0,1,0.5,0.5
"PE-Caruaru",2020-02-25,"nowcast",0,1,0,0,0,0.333333333333333
"PE-Caruaru",2020-02-26,"nowcast",0,1,0,0,0,0.4
"PE-Caruaru",2020-02-27,"nowcast",0,1,0,0,0,0.466666666666667
"PE-Caruaru",2020-02-28,"nowcast",0,1,0,0,0,0.210526315789474
"PE-Caruaru",2020-02-29,"nowcast",0,1,0,0,0,0.25
"PE-Caruaru",2020-03-01,"nowcast",0,1,0,0,0,0.272727272727273
"PE-Caruaru",2020-03-02,"nowcast",0,1,0,0,0,0.189189189189189
"PE-Caruaru",2020-03-03,"nowcast",0,1,0,0,0,0.38
"PE-Caruaru",2020-03-04,"nowcast",0,1,0,0,0,0.262295081967213
"PE-Caruaru",2020-03-05,"nowcast",0,1,0,0,0,0.321428571428571
"PE-Caruaru",2020-03-06,"nowcast",0,1,0,0,0,0.237623762376238
"PE-Caruaru",2020-03-07,"nowcast",0,1,0,0,0,0.239669421487603
"PE-Caruaru",2020-03-08,"nowcast",0,1,0,0,0,0.281879194630872
"PE-Caruaru",2020-03-09,"nowcast",0,1,0,0,0,0.279569892473118
"PE-Caruaru",2020-03-10,"nowcast",0,1,0,0,0,0.271966527196653
"PE-Caruaru",2020-03-11,"nowcast",0,1,0,0,0,0.252669039145907
"PE-Caruaru",2020-03-12,"nowcast",0,1,0,0,0,0.245508982035928
"PE-Caruaru",2020-03-13,"nowcast",0,1,0,0,0,0.240740740740741
"PE-Caruaru",2020-03-14,"nowcast",0,1,0,0,0,0.261802575107296
"PE-Caruaru",2020-03-15,"nowcast",0,1,0,0,0,0.234962406015038
"PE-Caruaru",2020-03-16,"nowcast",0,1,0,0,0,0.219594594594595
"PE-Caruaru",2020-03-17,"nowcast",0,1,0,0,0,0.24812030075188
"PE-Caruaru",2020-03-18,"nowcast",0,1,0,0,0,0.218358831710709
"PE-Caruaru",2020-03-19,"nowcast",0,1,0,0,0,0.229465449804433
"PE-Caruaru",2020-03-20,"nowcast",0,1,0,0,0,0.223337515683814
"PE-Caruaru",2020-03-21,"nowcast",0,1,0,0,0,0.199516324062878
"PE-Caruaru",2020-03-22,"nowcast",0,1,0,0,0,0.233766233766234
"PE-Caruaru",2020-03-23,"nowcast",0,1,0,0,0,0.214532871972318
"PE-Caruaru",2020-03-24,"nowcast",0,1,0,0,0,0.292325056433409
"PE-Caruaru",2020-03-25,"nowcast",0,1,0,0,0,0.343201754385965
"PE-Caruaru",2020-03-26,"nowcast",0,1,0,0,0,0.362955032119914
"PE-Caruaru",2020-03-27,"nowcast",0,1,0,0,0,0.468062827225131
"PE-Caruaru",2020-03-28,"nowcast",0,1,0,0,0,0.505144032921811
"PE-Caruaru",2020-03-29,"nowcast",0,2,0,0,0,0.583078491335372
"PE-Caruaru",2020-03-30,"nowcast",0,2,0,0,0,0.616396761133603
"PE-Caruaru",2020-03-31,"nowcast",0,2,0,1,1,0.697183098591549
"PE-Caruaru",2020-04-01,"nowcast",0,2,0,1,1,0.704408817635271
"PE-Caruaru",2020-04-02,"nowcast",0,2,0,1,1,0.7625250501002
"PE-Caruaru",2020-04-03,"nowcast",0,2,0,1,1,0.801603206412826
"PE-Caruaru",2020-04-04,"nowcast",0,2,0,1,1,0.843687374749499
"PE-Caruaru",2020-04-05,"nowcast",0,2,0,1,1,0.885885885885886
"PE-Caruaru",2020-04-06,"nowcast",0,2,0,1,1,0.998
"PE-Caruaru",2020-04-07,"nowcast",0,2,0,1,1,1.013
"PE-Caruaru",2020-04-08,"nowcast",0,2,0,1,1,1.084
"PE-Caruaru",2020-04-09,"nowcast",0,3,0,1,1,1.146
"PE-Caruaru",2020-04-10,"nowcast",0,3,0,1,1,1.23
"PE-Caruaru",2020-04-11,"nowcast",0,3,0,1,1,1.309
"PE-Caruaru",2020-04-12,"nowcast",0,3,0,1,1,1.345
"PE-Caruaru",2020-04-13,"nowcast",0,3,0,1,1,1.411
"PE-Caruaru",2020-04-14,"nowcast",0,3,0,1,1,1.464
"PE-Caruaru",2020-04-15,"nowcast",0,3,0,1,1,1.49
"PE-Caruaru",2020-04-16,"nowcast",0,3,0,1,1,1.633
"PE-Caruaru",2020-04-17,"nowcast",0,4,1,2,2,1.855
"PE-Caruaru",2020-04-18,"nowcast",0,4,1,2,2,2.102
"PE-Caruaru",2020-04-19,"nowcast",0,4,0,2,2,2.303
"PE-Caruaru",2020-04-20,"nowcast",0,5,0,2,2,2.628
"PE-Caruaru",2020-04-21,"nowcast",0,5,1,3,3,2.905
"PE-Caruaru",2020-04-22,"nowcast",1,6,1,3,3,3.181
"PE-Caruaru",2020-04-23,"nowcast",0,6,2,4,3,3.511
"PE-Caruaru",2020-04-24,"nowcast",1,7,2,4,4,3.974
"PE-Caruaru",2020-04-25,"nowcast",0,7,3,5,4,4.349
"PE-Caruaru",2020-04-26,"nowcast",2,8,3,5,5,4.76
"PE-Caruaru",2020-04-27,"nowcast",1,8,2,5,5,5.151
"PE-Caruaru",2020-04-28,"nowcast",2,9,3,6,5,5.683
"PE-Caruaru",2020-04-29,"nowcast",2,10,4,7,6,6.261
"PE-Caruaru",2020-04-30,"nowcast",3,11,4,7,7,6.896
"PE-Caruaru",2020-05-01,"nowcast",3,12,5,8,7,7.686
"PE-Caruaru",2020-05-02,"nowcast",3,12,4,8,8,8.245
"PE-Caruaru",2020-05-03,"nowcast",5,14,7,10,9,9.262
"PE-Caruaru",2020-05-04,"nowcast",5,15,6,10,10,9.97
"PE-Caruaru",2020-05-05,"nowcast",5,15,7,11,11,10.964
"PE-Caruaru",2020-05-06,"nowcast",7,17,8,12,11,11.577
"PE-Caruaru",2020-05-07,"nowcast",7,18,10,14,13,12.843
"PE-Caruaru",2020-05-08,"nowcast",8,19,12,16,14,13.765
"PE-Caruaru",2020-05-09,"nowcast",8,20,10,15,15,14.671
"PE-Caruaru",2020-05-10,"nowcast",9,21,11,16,15,15.537
"PE-Caruaru",2020-05-11,"nowcast",9,21,12,17,16,16.257
"PE-Caruaru",2020-05-12,"nowcast",9,22,13,18,17,16.63
"PE-Caruaru",2020-05-13,"nowcast",10,23,14,19,17,17.223
