"region","date","type","bottom","top","lower","upper","median","mean"
"PE-Garanhuns",2020-02-28,"nowcast",1,1,1,1,1,1
"PE-Garanhuns",2020-02-29,"nowcast",0,1,1,1,1,0.75
"PE-Garanhuns",2020-03-01,"nowcast",0,0,0,0,0,0
"PE-Garanhuns",2020-03-02,"nowcast",0,1,0,0,0,0.25
"PE-Garanhuns",2020-03-03,"nowcast",0,0,0,0,0,0
"PE-Garanhuns",2020-03-04,"nowcast",0,1,0,0,0,0.2
"PE-Garanhuns",2020-03-05,"nowcast",0,0,0,0,0,0
"PE-Garanhuns",2020-03-06,"nowcast",0,1,0,0,0,0.166666666666667
"PE-Garanhuns",2020-03-07,"nowcast",0,1,0,1,0.5,0.5
"PE-Garanhuns",2020-03-08,"nowcast",0,1,0,0,0,0.4
"PE-Garanhuns",2020-03-09,"nowcast",0,1,0,0,0,0.176470588235294
"PE-Garanhuns",2020-03-10,"nowcast",0,1,0,0,0,0.222222222222222
"PE-Garanhuns",2020-03-11,"nowcast",0,1,0,0,0,0.15
"PE-Garanhuns",2020-03-12,"nowcast",0,1,0,0,0,0.217391304347826
"PE-Garanhuns",2020-03-13,"nowcast",0,1,0,0,0,0.241379310344828
"PE-Garanhuns",2020-03-14,"nowcast",0,1,0,0,0,0.307692307692308
"PE-Garanhuns",2020-03-15,"nowcast",0,1,0,0,0,0.177777777777778
"PE-Garanhuns",2020-03-16,"nowcast",0,1,0,0,0,0.263157894736842
"PE-Garanhuns",2020-03-17,"nowcast",0,1,0,0,0,0.273972602739726
"PE-Garanhuns",2020-03-18,"nowcast",0,1,0,0,0,0.244444444444444
"PE-Garanhuns",2020-03-19,"nowcast",0,1,0,0,0,0.214953271028037
"PE-Garanhuns",2020-03-20,"nowcast",0,1,0,0,0,0.292307692307692
"PE-Garanhuns",2020-03-21,"nowcast",0,1,0,0,0,0.187919463087248
"PE-Garanhuns",2020-03-22,"nowcast",0,1,0,0,0,0.294736842105263
"PE-Garanhuns",2020-03-23,"nowcast",0,1,0,0,0,0.258928571428571
"PE-Garanhuns",2020-03-24,"nowcast",0,1,0,0,0,0.314285714285714
"PE-Garanhuns",2020-03-25,"nowcast",0,1,0,0,0,0.244582043343653
"PE-Garanhuns",2020-03-26,"nowcast",0,1,0,0,0,0.335820895522388
"PE-Garanhuns",2020-03-27,"nowcast",0,1,0,0,0,0.328227571115974
"PE-Garanhuns",2020-03-28,"nowcast",0,1,0,0,0,0.326996197718631
"PE-Garanhuns",2020-03-29,"nowcast",0,1,0,0,0,0.363934426229508
"PE-Garanhuns",2020-03-30,"nowcast",0,1,0,0,0,0.371851851851852
