"region","date","type","bottom","top","lower","upper","median","mean"
"PE-Recife",2020-01-27,"nowcast",1,1,1,1,1,1
"PE-Recife",2020-01-28,"nowcast",0,0,0,0,0,0
"PE-Recife",2020-01-29,"nowcast",0,0,0,0,0,0
"PE-Recife",2020-01-30,"nowcast",0,0,0,0,0,0
"PE-Recife",2020-01-31,"nowcast",0,0,0,0,0,0
"PE-Recife",2020-02-01,"nowcast",0,0,0,0,0,0
"PE-Recife",2020-02-02,"nowcast",0,0,0,0,0,0
"PE-Recife",2020-02-03,"nowcast",0,0,0,0,0,0
"PE-Recife",2020-02-04,"nowcast",0,1,0,1,0.5,0.5
"PE-Recife",2020-02-05,"nowcast",0,0,0,0,0,0
"PE-Recife",2020-02-06,"nowcast",0,1,0,1,0.5,0.5
"PE-Recife",2020-02-07,"nowcast",0,1,0,0,0,0.333333333333333
"PE-Recife",2020-02-08,"nowcast",0,2,0,1,1,0.75
"PE-Recife",2020-02-09,"nowcast",0,1,0,0,0,0.384615384615385
"PE-Recife",2020-02-10,"nowcast",0,1,0,0,0,0.476190476190476
"PE-Recife",2020-02-11,"nowcast",0,1,0,0,0,0.296296296296296
"PE-Recife",2020-02-12,"nowcast",0,1,0,0,0,0.129032258064516
"PE-Recife",2020-02-13,"nowcast",0,1,0,0,0,0.340909090909091
"PE-Recife",2020-02-14,"nowcast",0,1,0,0,0,0.339285714285714
"PE-Recife",2020-02-15,"nowcast",0,1,0,0,0,0.323943661971831
"PE-Recife",2020-02-16,"nowcast",0,1,0,0,0,0.326315789473684
"PE-Recife",2020-02-17,"nowcast",0,1,0,0,0,0.295081967213115
"PE-Recife",2020-02-18,"nowcast",0,1,0,0,0,0.281045751633987
"PE-Recife",2020-02-19,"nowcast",0,1,0,0,0,0.321052631578947
"PE-Recife",2020-02-20,"nowcast",0,1,0,0,0,0.375527426160338
"PE-Recife",2020-02-21,"nowcast",0,1,0,0,0,0.411764705882353
"PE-Recife",2020-02-22,"nowcast",0,1,0,0,0,0.383522727272727
"PE-Recife",2020-02-23,"nowcast",0,1,0,0,0,0.369928400954654
"PE-Recife",2020-02-24,"nowcast",0,1,0,0,0,0.430327868852459
"PE-Recife",2020-02-25,"nowcast",0,1,0,0,0,0.486865148861646
"PE-Recife",2020-02-26,"nowcast",0,1,0,0,0,0.49211356466877
"PE-Recife",2020-02-27,"nowcast",0,2,0,0,0,0.558823529411765
"PE-Recife",2020-02-28,"nowcast",0,2,0,0,0,0.608365019011407
"PE-Recife",2020-02-29,"nowcast",0,2,0,1,1,0.684898929845422
"PE-Recife",2020-03-01,"nowcast",0,2,0,1,1,0.839822024471635
"PE-Recife",2020-03-02,"nowcast",0,2,0,1,1,1.01912858660999
"PE-Recife",2020-03-03,"nowcast",0,3,0,1,1,1.10041407867495
"PE-Recife",2020-03-04,"nowcast",0,3,0,1,1,1.37664974619289
