"region","date","type","bottom","top","lower","upper","median","mean"
"PE-Tabira",2020-03-21,"nowcast",1,1,1,1,1,1
"PE-Tabira",2020-03-22,"nowcast",0,0,0,0,0,0
"PE-Tabira",2020-03-23,"nowcast",0,1,1,1,1,0.666666666666667
"PE-Tabira",2020-03-24,"nowcast",0,0,0,0,0,0
"PE-Tabira",2020-03-25,"nowcast",0,1,1,1,1,0.714285714285714
"PE-Tabira",2020-03-26,"nowcast",0,1,0,0,0,0.333333333333333
"PE-Tabira",2020-03-27,"nowcast",0,1,0,0,0,0.25
"PE-Tabira",2020-03-28,"nowcast",0,1,0,0,0,0.142857142857143
"PE-Tabira",2020-03-29,"nowcast",0,1,0,0,0,0.44
"PE-Tabira",2020-03-30,"nowcast",0,1,0,0,0,0.342857142857143
"PE-Tabira",2020-03-31,"nowcast",0,1,0,0,0,0.268292682926829
"PE-Tabira",2020-04-01,"nowcast",0,1,0,0,0,0.310344827586207
"PE-Tabira",2020-04-02,"nowcast",0,1,0,0,0,0.243243243243243
"PE-Tabira",2020-04-03,"nowcast",0,1,0,0,0,0.263736263736264
"PE-Tabira",2020-04-04,"nowcast",0,1,0,0,0,0.163461538461538
"PE-Tabira",2020-04-05,"nowcast",0,1,0,0,0,0.301470588235294
"PE-Tabira",2020-04-06,"nowcast",0,1,0,0,0,0.239263803680982
"PE-Tabira",2020-04-07,"nowcast",0,1,0,0,0,0.255
"PE-Tabira",2020-04-08,"nowcast",0,1,0,0,0,0.295081967213115
"PE-Tabira",2020-04-09,"nowcast",0,1,0,0,0,0.232081911262799
"PE-Tabira",2020-04-10,"nowcast",0,1,0,0,0,0.207715133531157
"PE-Tabira",2020-04-11,"nowcast",0,1,0,0,0,0.232911392405063
"PE-Tabira",2020-04-12,"nowcast",0,1,0,0,0,0.275862068965517
"PE-Tabira",2020-04-13,"nowcast",0,1,0,0,0,0.251865671641791
"PE-Tabira",2020-04-14,"nowcast",0,1,0,0,0,0.239316239316239
"PE-Tabira",2020-04-15,"nowcast",0,1,0,0,0,0.219626168224299
