"region","date","type","bottom","top","lower","upper","median","mean"
"PI-Assunção do Piauí",2020-03-27,"nowcast",1,1,1,1,1,1
"PI-Assunção do Piauí",2020-03-28,"nowcast",0,0,0,0,0,0
"PI-Assunção do Piauí",2020-03-29,"nowcast",0,0,0,0,0,0
"PI-Assunção do Piauí",2020-03-30,"nowcast",0,0,0,0,0,0
"PI-Assunção do Piauí",2020-03-31,"nowcast",0,0,0,0,0,0
"PI-Assunção do Piauí",2020-04-01,"nowcast",0,0,0,0,0,0
"PI-Assunção do Piauí",2020-04-02,"nowcast",0,1,0,0,0,0.333333333333333
"PI-Assunção do Piauí",2020-04-03,"nowcast",0,0,0,0,0,0
"PI-Assunção do Piauí",2020-04-04,"nowcast",0,0,0,0,0,0
"PI-Assunção do Piauí",2020-04-05,"nowcast",0,0,0,0,0,0
"PI-Assunção do Piauí",2020-04-06,"nowcast",0,0,0,0,0,0
"PI-Assunção do Piauí",2020-04-07,"nowcast",0,0,0,0,0,0
"PI-Assunção do Piauí",2020-04-08,"nowcast",0,0,0,0,0,0
"PI-Assunção do Piauí",2020-04-09,"nowcast",0,0,0,0,0,0
"PI-Assunção do Piauí",2020-04-10,"nowcast",0,0,0,0,0,0
"PI-Assunção do Piauí",2020-04-11,"nowcast",0,1,0,1,0.5,0.5
"PI-Assunção do Piauí",2020-04-12,"nowcast",0,1,0,0,0,0.25
"PI-Assunção do Piauí",2020-04-13,"nowcast",0,1,0,0,0,0.2
"PI-Assunção do Piauí",2020-04-14,"nowcast",0,1,0,0,0,0.166666666666667
"PI-Assunção do Piauí",2020-04-15,"nowcast",0,1,0,0,0,0.166666666666667
"PI-Assunção do Piauí",2020-04-16,"nowcast",0,1,0,0,0,0.142857142857143
"PI-Assunção do Piauí",2020-04-17,"nowcast",0,0,0,0,0,0
"PI-Assunção do Piauí",2020-04-18,"nowcast",0,1,0,0,0,0.125
"PI-Assunção do Piauí",2020-04-19,"nowcast",0,1,0,0,0,0.111111111111111
"PI-Assunção do Piauí",2020-04-20,"nowcast",0,1,0,0,0,0.181818181818182
"PI-Assunção do Piauí",2020-04-21,"nowcast",0,1,0,0,0,0.4
"PI-Assunção do Piauí",2020-04-22,"nowcast",0,1,0,0,0,0.222222222222222
"PI-Assunção do Piauí",2020-04-23,"nowcast",0,0,0,0,0,0.0526315789473684
"PI-Assunção do Piauí",2020-04-24,"nowcast",0,1,0,0,0,0.304347826086957
"PI-Assunção do Piauí",2020-04-25,"nowcast",0,0,0,0,0,0.0833333333333333
"PI-Assunção do Piauí",2020-04-26,"nowcast",0,1,0,0,0,0.2
"PI-Assunção do Piauí",2020-04-27,"nowcast",0,1,0,0,0,0.12
"PI-Assunção do Piauí",2020-04-28,"nowcast",0,1,0,0,0,0.115384615384615
"PI-Assunção do Piauí",2020-04-29,"nowcast",0,0,0,0,0,0.037037037037037
"PI-Assunção do Piauí",2020-04-30,"nowcast",0,0,0,0,0,0.0740740740740741
"PI-Assunção do Piauí",2020-05-01,"nowcast",0,1,0,0,0,0.1875
"PI-Assunção do Piauí",2020-05-02,"nowcast",0,0,0,0,0,0.09375
"PI-Assunção do Piauí",2020-05-03,"nowcast",0,0,0,0,0,0
"PI-Assunção do Piauí",2020-05-04,"nowcast",0,0,0,0,0,0.0909090909090909
"PI-Assunção do Piauí",2020-05-05,"nowcast",0,0,0,0,0,0.0588235294117647
"PI-Assunção do Piauí",2020-05-06,"nowcast",0,1,0,0,0,0.236842105263158
"PI-Assunção do Piauí",2020-05-07,"nowcast",0,1,0,0,0,0.142857142857143
"PI-Assunção do Piauí",2020-05-08,"nowcast",0,1,0,0,0,0.217391304347826
"PI-Assunção do Piauí",2020-05-09,"nowcast",0,1,0,0,0,0.122448979591837
"PI-Assunção do Piauí",2020-05-10,"nowcast",0,1,0,0,0,0.2
"PI-Assunção do Piauí",2020-05-11,"nowcast",0,1,0,0,0,0.173076923076923
"PI-Assunção do Piauí",2020-05-12,"nowcast",0,0,0,0,0,0.0943396226415094
"PI-Assunção do Piauí",2020-05-13,"nowcast",0,1,0,0,0,0.160714285714286
