"region","date","type","bottom","top","lower","upper","median","mean"
"PI-Floriano",2020-03-11,"nowcast",1,1,1,1,1,1
"PI-Floriano",2020-03-12,"nowcast",0,0,0,0,0,0
"PI-Floriano",2020-03-13,"nowcast",0,1,0,1,0.5,0.5
"PI-Floriano",2020-03-14,"nowcast",0,0,0,0,0,0
"PI-Floriano",2020-03-15,"nowcast",0,1,1,1,1,0.6
"PI-Floriano",2020-03-16,"nowcast",0,1,0,0,0,0.375
"PI-Floriano",2020-03-17,"nowcast",0,1,0,0,0,0.2
"PI-Floriano",2020-03-18,"nowcast",0,1,0,0,0,0.25
"PI-Floriano",2020-03-19,"nowcast",0,1,0,0,0,0.352941176470588
"PI-Floriano",2020-03-20,"nowcast",0,1,0,0,0,0.304347826086957
"PI-Floriano",2020-03-21,"nowcast",0,1,0,0,0,0.275862068965517
"PI-Floriano",2020-03-22,"nowcast",0,1,0,0,0,0.1875
"PI-Floriano",2020-03-23,"nowcast",0,1,0,0,0,0.275
"PI-Floriano",2020-03-24,"nowcast",0,1,0,0,0,0.333333333333333
"PI-Floriano",2020-03-25,"nowcast",0,1,0,0,0,0.234375
"PI-Floriano",2020-03-26,"nowcast",0,1,0,0,0,0.246753246753247
"PI-Floriano",2020-03-27,"nowcast",0,1,0,0,0,0.213483146067416
"PI-Floriano",2020-03-28,"nowcast",0,1,0,0,0,0.297297297297297
"PI-Floriano",2020-03-29,"nowcast",0,1,0,0,0,0.209302325581395
"PI-Floriano",2020-03-30,"nowcast",0,1,0,0,0,0.290123456790123
"PI-Floriano",2020-03-31,"nowcast",0,1,0,0,0,0.303030303030303
"PI-Floriano",2020-04-01,"nowcast",0,1,0,0,0,0.309623430962343
"PI-Floriano",2020-04-02,"nowcast",0,1,0,0,0,0.299651567944251
"PI-Floriano",2020-04-03,"nowcast",0,1,0,0,0,0.364902506963788
"PI-Floriano",2020-04-04,"nowcast",0,1,0,0,0,0.334939759036145
"PI-Floriano",2020-04-05,"nowcast",0,1,0,0,0,0.327380952380952
"PI-Floriano",2020-04-06,"nowcast",0,1,0,0,0,0.363945578231293
"PI-Floriano",2020-04-07,"nowcast",0,1,0,0,0,0.382882882882883
"PI-Floriano",2020-04-08,"nowcast",0,1,0,0,0,0.399198931909212
"PI-Floriano",2020-04-09,"nowcast",0,1,0,0,0,0.404176904176904
"PI-Floriano",2020-04-10,"nowcast",0,1,0,0,0,0.450460829493088
"PI-Floriano",2020-04-11,"nowcast",0,1,0,0,0,0.455752212389381
"PI-Floriano",2020-04-12,"nowcast",0,1,0,0,0,0.532838983050847
"PI-Floriano",2020-04-13,"nowcast",0,2,0,0,0,0.556818181818182
"PI-Floriano",2020-04-14,"nowcast",0,2,0,0,0,0.593082400813835
