"region","date","type","bottom","top","lower","upper","median","mean"
"PI-Fronteiras",2020-03-01,"nowcast",1,1,1,1,1,1
"PI-Fronteiras",2020-03-02,"nowcast",1,1,1,1,1,1
"PI-Fronteiras",2020-03-03,"nowcast",0,0,0,0,0,0
"PI-Fronteiras",2020-03-04,"nowcast",0,0,0,0,0,0
"PI-Fronteiras",2020-03-05,"nowcast",0,0,0,0,0,0
"PI-Fronteiras",2020-03-06,"nowcast",0,0,0,0,0,0
"PI-Fronteiras",2020-03-07,"nowcast",0,0,0,0,0,0
"PI-Fronteiras",2020-03-08,"nowcast",0,1,0,1,0.5,0.5
"PI-Fronteiras",2020-03-09,"nowcast",0,1,1,1,1,0.6
"PI-Fronteiras",2020-03-10,"nowcast",0,0,0,0,0,0
"PI-Fronteiras",2020-03-11,"nowcast",0,1,0,0,0,0.375
"PI-Fronteiras",2020-03-12,"nowcast",0,1,0,0,0,0.111111111111111
"PI-Fronteiras",2020-03-13,"nowcast",0,0,0,0,0,0
"PI-Fronteiras",2020-03-14,"nowcast",0,1,0,0,0,0.1
"PI-Fronteiras",2020-03-15,"nowcast",0,1,0,0,0,0.230769230769231
"PI-Fronteiras",2020-03-16,"nowcast",0,0,0,0,0,0.0714285714285714
"PI-Fronteiras",2020-03-17,"nowcast",0,1,0,0,0,0.142857142857143
"PI-Fronteiras",2020-03-18,"nowcast",0,1,0,0,0,0.352941176470588
"PI-Fronteiras",2020-03-19,"nowcast",0,1,0,0,0,0.3
"PI-Fronteiras",2020-03-20,"nowcast",0,1,0,0,0,0.1
"PI-Fronteiras",2020-03-21,"nowcast",0,0,0,0,0,0.05
"PI-Fronteiras",2020-03-22,"nowcast",0,0,0,0,0,0
"PI-Fronteiras",2020-03-23,"nowcast",0,0,0,0,0,0.0909090909090909
"PI-Fronteiras",2020-03-24,"nowcast",0,0,0,0,0,0.0833333333333333
"PI-Fronteiras",2020-03-25,"nowcast",0,1,0,0,0,0.115384615384615
"PI-Fronteiras",2020-03-26,"nowcast",0,0,0,0,0,0.0740740740740741
"PI-Fronteiras",2020-03-27,"nowcast",0,0,0,0,0,0.0714285714285714
"PI-Fronteiras",2020-03-28,"nowcast",0,1,0,0,0,0.103448275862069
"PI-Fronteiras",2020-03-29,"nowcast",0,0,0,0,0,0.0666666666666667
"PI-Fronteiras",2020-03-30,"nowcast",0,0,0,0,0,0.09375
"PI-Fronteiras",2020-03-31,"nowcast",0,1,0,0,0,0.147058823529412
"PI-Fronteiras",2020-04-01,"nowcast",0,1,0,0,0,0.111111111111111
"PI-Fronteiras",2020-04-02,"nowcast",0,0,0,0,0,0.0789473684210526
"PI-Fronteiras",2020-04-03,"nowcast",0,1,0,0,0,0.146341463414634
"PI-Fronteiras",2020-04-04,"nowcast",0,0,0,0,0,0.0697674418604651
"PI-Fronteiras",2020-04-05,"nowcast",0,1,0,0,0,0.22
"PI-Fronteiras",2020-04-06,"nowcast",0,0,0,0,0,0.0925925925925926
"PI-Fronteiras",2020-04-07,"nowcast",0,1,0,0,0,0.160714285714286
"PI-Fronteiras",2020-04-08,"nowcast",0,1,0,0,0,0.169491525423729
"PI-Fronteiras",2020-04-09,"nowcast",0,1,0,0,0,0.114754098360656
"PI-Fronteiras",2020-04-10,"nowcast",0,1,0,0,0,0.147540983606557
"PI-Fronteiras",2020-04-11,"nowcast",0,0,0,0,0,0.0806451612903226
"PI-Fronteiras",2020-04-12,"nowcast",0,1,0,0,0,0.153846153846154
"PI-Fronteiras",2020-04-13,"nowcast",0,1,0,0,0,0.115942028985507
"PI-Fronteiras",2020-04-14,"nowcast",0,1,0,0,0,0.194444444444444
"PI-Fronteiras",2020-04-15,"nowcast",0,1,0,0,0,0.125
"PI-Fronteiras",2020-04-16,"nowcast",0,1,0,0,0,0.123287671232877
"PI-Fronteiras",2020-04-17,"nowcast",0,1,0,0,0,0.24
"PI-Fronteiras",2020-04-18,"nowcast",0,1,0,0,0,0.207792207792208
"PI-Fronteiras",2020-04-19,"nowcast",0,1,0,0,0,0.177215189873418
"PI-Fronteiras",2020-04-20,"nowcast",0,1,0,0,0,0.215189873417722
"PI-Fronteiras",2020-04-21,"nowcast",0,1,0,0,0,0.2
"PI-Fronteiras",2020-04-22,"nowcast",0,1,0,0,0,0.192771084337349
"PI-Fronteiras",2020-04-23,"nowcast",0,1,0,0,0,0.223529411764706
"PI-Fronteiras",2020-04-24,"nowcast",0,1,0,0,0,0.235294117647059
"PI-Fronteiras",2020-04-25,"nowcast",0,1,0,0,0,0.267441860465116
"PI-Fronteiras",2020-04-26,"nowcast",0,1,0,0,0,0.247191011235955
"PI-Fronteiras",2020-04-27,"nowcast",0,1,0,0,0,0.326086956521739
"PI-Fronteiras",2020-04-28,"nowcast",0,1,0,0,0,0.271739130434783
"PI-Fronteiras",2020-04-29,"nowcast",0,1,0,0,0,0.378947368421053
"PI-Fronteiras",2020-04-30,"nowcast",0,1,0,0,0,0.360824742268041
"PI-Fronteiras",2020-05-01,"nowcast",0,1,0,0,0,0.464646464646465
"PI-Fronteiras",2020-05-02,"nowcast",0,2,0,0,0,0.59
"PI-Fronteiras",2020-05-03,"nowcast",0,2,0,0,0,0.57
"PI-Fronteiras",2020-05-04,"nowcast",0,2,0,0,0,0.57
"PI-Fronteiras",2020-05-05,"nowcast",0,1,0,0,0,0.55
"PI-Fronteiras",2020-05-06,"nowcast",0,1,0,0,0,0.52
"PI-Fronteiras",2020-05-07,"nowcast",0,2,0,0,0,0.45
"PI-Fronteiras",2020-05-08,"nowcast",0,1,0,0,0,0.42
"PI-Fronteiras",2020-05-09,"nowcast",0,2,0,0,0,0.48
"PI-Fronteiras",2020-05-10,"nowcast",0,1,0,0,0,0.54
"PI-Fronteiras",2020-05-11,"nowcast",0,2,0,0,0,0.51
"PI-Fronteiras",2020-05-12,"nowcast",0,1,0,0,0,0.42
"PI-Fronteiras",2020-05-13,"nowcast",0,2,0,1,1,0.69
"PI-Fronteiras",2020-05-14,"nowcast",0,2,0,0,0,0.55
"PI-Fronteiras",2020-05-15,"nowcast",0,2,0,1,1,0.76
"PI-Fronteiras",2020-05-16,"nowcast",0,2,0,1,0.5,0.73
"PI-Fronteiras",2020-05-17,"nowcast",0,2,0,1,1,0.69
"PI-Fronteiras",2020-05-18,"nowcast",0,2,0,1,1,0.81
"PI-Fronteiras",2020-05-19,"nowcast",0,2,0,1,1,0.89
"PI-Fronteiras",2020-05-20,"nowcast",0,3,0,1,1,1.06
"PI-Fronteiras",2020-05-21,"nowcast",0,3,0,1,1,1.15
"PI-Fronteiras",2020-05-22,"nowcast",0,3,0,1,1,1.35
"PI-Fronteiras",2020-05-23,"nowcast",0,3,0,1,1,1.26
"PI-Fronteiras",2020-05-24,"nowcast",0,3,0,2,2,1.56
"PI-Fronteiras",2020-05-25,"nowcast",0,3,0,1,1,1.48
"PI-Fronteiras",2020-05-26,"nowcast",0,3,0,1,1,1.66
"PI-Fronteiras",2020-05-27,"nowcast",0,3,1,2,2,1.72
"PI-Fronteiras",2020-05-28,"nowcast",0,3,1,2,2,1.6
"PI-Fronteiras",2020-05-29,"nowcast",0,4,1,2,2,1.81
"PI-Fronteiras",2020-05-30,"nowcast",0,5,1,2,2,2.29
"PI-Fronteiras",2020-05-31,"nowcast",0,4,0,2,2,2.19
"PI-Fronteiras",2020-06-01,"nowcast",0,4,1,2,2,2.08
"PI-Fronteiras",2020-06-02,"nowcast",0,4,0,2,2,2.2
"PI-Fronteiras",2020-06-03,"nowcast",0,5,1,3,3,2.83
"PI-Fronteiras",2020-06-04,"nowcast",1,5,1,3,3,2.83
"PI-Fronteiras",2020-06-05,"nowcast",0,5,1,3,3,2.73
"PI-Fronteiras",2020-06-06,"nowcast",0,5,0,2,2,2.67
"PI-Fronteiras",2020-06-07,"nowcast",0,5,0,2,2,2.74
"PI-Fronteiras",2020-06-08,"nowcast",0,5,0,2,2,2.32
"PI-Fronteiras",2020-06-09,"nowcast",0,5,0,2,2,2.57
"PI-Fronteiras",2020-06-10,"nowcast",0,5,1,2,2,2.36
"PI-Fronteiras",2020-06-11,"nowcast",0,4,1,3,2.5,2.41
"PI-Fronteiras",2020-06-12,"nowcast",0,4,1,2,2,2.08
"PI-Fronteiras",2020-06-13,"nowcast",0,4,1,2,2,2.15
"PI-Fronteiras",2020-06-14,"nowcast",0,4,1,2,2,2.44
"PI-Fronteiras",2020-06-15,"nowcast",0,4,0,2,2,2.08
"PI-Fronteiras",2020-06-16,"nowcast",0,4,1,2,2,2.01
"PI-Fronteiras",2020-06-17,"nowcast",0,3,0,1,1,1.59
"PI-Fronteiras",2020-06-18,"nowcast",0,3,1,2,2,1.7
"PI-Fronteiras",2020-06-19,"nowcast",0,3,0,1,1,1.32
"PI-Fronteiras",2020-06-20,"nowcast",0,3,0,1,1,1.36
"PI-Fronteiras",2020-06-21,"nowcast",0,3,0,1,1,1.3
"PI-Fronteiras",2020-06-22,"nowcast",0,3,0,1,1,1.16
"PI-Fronteiras",2020-06-23,"nowcast",0,2,0,1,1,0.84
"PI-Fronteiras",2020-06-24,"nowcast",0,2,0,1,1,0.67
"PI-Fronteiras",2020-06-25,"nowcast",0,2,0,1,1,0.84
"PI-Fronteiras",2020-06-26,"nowcast",0,2,0,1,1,0.73
"PI-Fronteiras",2020-06-27,"nowcast",0,2,0,0,0,0.66
"PI-Fronteiras",2020-06-28,"nowcast",0,2,0,0,0,0.62
"PI-Fronteiras",2020-06-29,"nowcast",0,1,0,0,0,0.54
"PI-Fronteiras",2020-06-30,"nowcast",0,1,0,0,0,0.52
"PI-Fronteiras",2020-07-01,"nowcast",0,1,0,0,0,0.49
"PI-Fronteiras",2020-07-02,"nowcast",0,2,0,0,0,0.66
"PI-Fronteiras",2020-07-03,"nowcast",0,2,0,0,0,0.62
"PI-Fronteiras",2020-07-04,"nowcast",0,2,0,0,0,0.72
"PI-Fronteiras",2020-07-05,"nowcast",0,2,0,1,1,0.7
"PI-Fronteiras",2020-07-06,"nowcast",0,2,0,0,0,0.68
"PI-Fronteiras",2020-07-07,"nowcast",0,1,0,0,0,0.58
"PI-Fronteiras",2020-07-08,"nowcast",0,2,0,1,0.5,0.7
"PI-Fronteiras",2020-07-09,"nowcast",0,2,0,1,1,0.74
"PI-Fronteiras",2020-07-10,"nowcast",0,2,0,1,1,0.71
"PI-Fronteiras",2020-07-11,"nowcast",0,1,0,0,0,0.51
"PI-Fronteiras",2020-07-12,"nowcast",0,2,0,0,0,0.62
"PI-Fronteiras",2020-07-13,"nowcast",0,2,0,0,0,0.63
"PI-Fronteiras",2020-07-14,"nowcast",0,2,0,0,0,0.66
"PI-Fronteiras",2020-07-15,"nowcast",0,2,0,1,1,0.79
"PI-Fronteiras",2020-07-16,"nowcast",0,2,0,1,1,0.7
"PI-Fronteiras",2020-07-17,"nowcast",0,2,0,1,1,0.92
"PI-Fronteiras",2020-07-18,"nowcast",0,2,0,1,1,0.79
"PI-Fronteiras",2020-07-19,"nowcast",0,2,0,1,1,0.95
"PI-Fronteiras",2020-07-20,"nowcast",0,3,0,1,1,1.18
"PI-Fronteiras",2020-07-21,"nowcast",0,2,0,1,1,1.12
"PI-Fronteiras",2020-07-22,"nowcast",0,3,0,1,1,1.24
"PI-Fronteiras",2020-07-23,"nowcast",0,3,0,1,1,1.4
"PI-Fronteiras",2020-07-24,"nowcast",0,3,0,1,1,1.45
"PI-Fronteiras",2020-07-25,"nowcast",0,4,1,2,1.5,1.73
"PI-Fronteiras",2020-07-26,"nowcast",0,3,0,1,1,1.6
"PI-Fronteiras",2020-07-27,"nowcast",0,3,1,2,2,1.78
"PI-Fronteiras",2020-07-28,"nowcast",0,4,1,2,2,1.86
"PI-Fronteiras",2020-07-29,"nowcast",0,3,1,2,2,1.89
"PI-Fronteiras",2020-07-30,"nowcast",0,4,0,2,2,1.95
"PI-Fronteiras",2020-07-31,"nowcast",0,4,0,2,2,2.09
"PI-Fronteiras",2020-08-01,"nowcast",0,4,2,3,2,2.3
"PI-Fronteiras",2020-08-02,"nowcast",1,5,1,3,3,2.79
"PI-Fronteiras",2020-08-03,"nowcast",0,5,0,2,2,2.56
"PI-Fronteiras",2020-08-04,"nowcast",0,5,1,3,3,3.07
"PI-Fronteiras",2020-08-05,"nowcast",1,6,2,4,3.5,3.59
"PI-Fronteiras",2020-08-06,"nowcast",1,7,2,4,4,3.74
"PI-Fronteiras",2020-08-07,"nowcast",0,7,3,5,4,4.24
"PI-Fronteiras",2020-08-08,"nowcast",1,8,2,4,4,4.52
"PI-Fronteiras",2020-08-09,"nowcast",0,7,1,4,4,4.11
"PI-Fronteiras",2020-08-10,"nowcast",1,9,1,4,4,4.97
"PI-Fronteiras",2020-08-11,"nowcast",0,9,2,5,5,5.29
"PI-Fronteiras",2020-05-08,"observed",NA,NA,NA,NA,1,NA
"PI-Fronteiras",2020-05-09,"observed",NA,NA,NA,NA,1,NA
"PI-Fronteiras",2020-05-10,"observed",NA,NA,NA,NA,1,NA
"PI-Fronteiras",2020-05-11,"observed",NA,NA,NA,NA,0,NA
"PI-Fronteiras",2020-05-12,"observed",NA,NA,NA,NA,0,NA
"PI-Fronteiras",2020-05-13,"observed",NA,NA,NA,NA,0,NA
