"region","date","type","bottom","top","lower","upper","median","mean"
"PI-Piripiri",2020-01-24,"nowcast",1,1,1,1,1,1
"PI-Piripiri",2020-01-25,"nowcast",0,0,0,0,0,0
"PI-Piripiri",2020-01-26,"nowcast",0,0,0,0,0,0
"PI-Piripiri",2020-01-27,"nowcast",0,0,0,0,0,0
"PI-Piripiri",2020-01-28,"nowcast",0,1,1,1,1,0.666666666666667
"PI-Piripiri",2020-01-29,"nowcast",0,1,0,0,0,0.333333333333333
"PI-Piripiri",2020-01-30,"nowcast",0,0,0,0,0,0
"PI-Piripiri",2020-01-31,"nowcast",0,0,0,0,0,0
"PI-Piripiri",2020-02-01,"nowcast",0,0,0,0,0,0
"PI-Piripiri",2020-02-02,"nowcast",0,0,0,0,0,0
"PI-Piripiri",2020-02-03,"nowcast",0,0,0,0,0,0
"PI-Piripiri",2020-02-04,"nowcast",0,1,0,0,0,0.25
"PI-Piripiri",2020-02-05,"nowcast",0,0,0,0,0,0
"PI-Piripiri",2020-02-06,"nowcast",0,0,0,0,0,0
"PI-Piripiri",2020-02-07,"nowcast",0,1,0,0,0,0.2
"PI-Piripiri",2020-02-08,"nowcast",0,0,0,0,0,0
"PI-Piripiri",2020-02-09,"nowcast",0,1,0,0,0,0.166666666666667
"PI-Piripiri",2020-02-10,"nowcast",0,1,0,0,0,0.166666666666667
"PI-Piripiri",2020-02-11,"nowcast",0,1,0,0,0,0.428571428571429
"PI-Piripiri",2020-02-12,"nowcast",0,1,0,0,0,0.25
"PI-Piripiri",2020-02-13,"nowcast",0,1,0,0,0,0.125
"PI-Piripiri",2020-02-14,"nowcast",0,1,0,0,0,0.111111111111111
"PI-Piripiri",2020-02-15,"nowcast",0,0,0,0,0,0
"PI-Piripiri",2020-02-16,"nowcast",0,1,0,0,0,0.1
"PI-Piripiri",2020-02-17,"nowcast",0,1,0,0,0,0.1
"PI-Piripiri",2020-02-18,"nowcast",0,0,0,0,0,0
"PI-Piripiri",2020-02-19,"nowcast",0,0,0,0,0,0.0909090909090909
"PI-Piripiri",2020-02-20,"nowcast",0,0,0,0,0,0.0833333333333333
"PI-Piripiri",2020-02-21,"nowcast",0,0,0,0,0,0.0769230769230769
"PI-Piripiri",2020-02-22,"nowcast",0,0,0,0,0,0.0714285714285714
"PI-Piripiri",2020-02-23,"nowcast",0,1,0,0,0,0.1875
"PI-Piripiri",2020-02-24,"nowcast",0,0,0,0,0,0
"PI-Piripiri",2020-02-25,"nowcast",0,0,0,0,0,0
"PI-Piripiri",2020-02-26,"nowcast",0,0,0,0,0,0
"PI-Piripiri",2020-02-27,"nowcast",0,1,0,0,0,0.111111111111111
"PI-Piripiri",2020-02-28,"nowcast",0,1,0,0,0,0.238095238095238
"PI-Piripiri",2020-02-29,"nowcast",0,0,0,0,0,0
"PI-Piripiri",2020-03-01,"nowcast",0,1,0,0,0,0.208333333333333
"PI-Piripiri",2020-03-02,"nowcast",0,0,0,0,0,0.0416666666666667
"PI-Piripiri",2020-03-03,"nowcast",0,0,0,0,0,0.0416666666666667
"PI-Piripiri",2020-03-04,"nowcast",0,1,0,0,0,0.115384615384615
"PI-Piripiri",2020-03-05,"nowcast",0,0,0,0,0,0.037037037037037
"PI-Piripiri",2020-03-06,"nowcast",0,1,0,0,0,0.107142857142857
"PI-Piripiri",2020-03-07,"nowcast",0,1,0,0,0,0.205882352941176
"PI-Piripiri",2020-03-08,"nowcast",0,0,0,0,0,0.0857142857142857
"PI-Piripiri",2020-03-09,"nowcast",0,1,0,0,0,0.128205128205128
"PI-Piripiri",2020-03-10,"nowcast",0,0,0,0,0,0.075
"PI-Piripiri",2020-03-11,"nowcast",0,1,0,0,0,0.142857142857143
"PI-Piripiri",2020-03-12,"nowcast",0,1,0,0,0,0.177777777777778
"PI-Piripiri",2020-03-13,"nowcast",0,1,0,0,0,0.127659574468085
"PI-Piripiri",2020-03-14,"nowcast",0,1,0,0,0,0.16
"PI-Piripiri",2020-03-15,"nowcast",0,1,0,0,0,0.196078431372549
"PI-Piripiri",2020-03-16,"nowcast",0,1,0,0,0,0.134615384615385
"PI-Piripiri",2020-03-17,"nowcast",0,1,0,0,0,0.245614035087719
"PI-Piripiri",2020-03-18,"nowcast",0,1,0,0,0,0.183333333333333
"PI-Piripiri",2020-03-19,"nowcast",0,1,0,0,0,0.21875
"PI-Piripiri",2020-03-20,"nowcast",0,1,0,0,0,0.191176470588235
"PI-Piripiri",2020-03-21,"nowcast",0,1,0,0,0,0.347222222222222
