"region","date","type","bottom","top","lower","upper","median","mean"
"PI-São Raimundo Nonato",2020-03-07,"nowcast",1,1,1,1,1,1
"PI-São Raimundo Nonato",2020-03-08,"nowcast",1,1,1,1,1,1
"PI-São Raimundo Nonato",2020-03-09,"nowcast",1,1,1,1,1,1
"PI-São Raimundo Nonato",2020-03-10,"nowcast",0,0,0,0,0,0
"PI-São Raimundo Nonato",2020-03-11,"nowcast",0,0,0,0,0,0
"PI-São Raimundo Nonato",2020-03-12,"nowcast",0,0,0,0,0,0
"PI-São Raimundo Nonato",2020-03-13,"nowcast",0,1,1,1,1,0.6
"PI-São Raimundo Nonato",2020-03-14,"nowcast",0,1,0,0,0,0.444444444444444
"PI-São Raimundo Nonato",2020-03-15,"nowcast",0,1,0,0,0,0.384615384615385
"PI-São Raimundo Nonato",2020-03-16,"nowcast",0,1,0,0,0,0.333333333333333
"PI-São Raimundo Nonato",2020-03-17,"nowcast",0,1,0,0,0,0.260869565217391
"PI-São Raimundo Nonato",2020-03-18,"nowcast",0,1,0,0,0,0.25
"PI-São Raimundo Nonato",2020-03-19,"nowcast",0,1,0,0,0,0.351351351351351
"PI-São Raimundo Nonato",2020-03-20,"nowcast",0,1,0,0,0,0.260869565217391
"PI-São Raimundo Nonato",2020-03-21,"nowcast",0,1,0,0,0,0.363636363636364
"PI-São Raimundo Nonato",2020-03-22,"nowcast",0,1,0,0,0,0.272727272727273
"PI-São Raimundo Nonato",2020-03-23,"nowcast",0,1,0,0,0,0.388888888888889
"PI-São Raimundo Nonato",2020-03-24,"nowcast",0,1,0,0,0,0.385245901639344
"PI-São Raimundo Nonato",2020-03-25,"nowcast",0,1,0,0,0,0.386904761904762
"PI-São Raimundo Nonato",2020-03-26,"nowcast",0,1,0,0,0,0.317073170731707
"PI-São Raimundo Nonato",2020-03-27,"nowcast",0,1,0,0,0,0.356862745098039
"PI-São Raimundo Nonato",2020-03-28,"nowcast",0,1,0,0,0,0.43343653250774
"PI-São Raimundo Nonato",2020-03-29,"nowcast",0,1,0,0,0,0.341968911917098
"PI-São Raimundo Nonato",2020-03-30,"nowcast",0,1,0,0,0,0.388286334056399
"PI-São Raimundo Nonato",2020-03-31,"nowcast",0,1,0,0,0,0.371534195933457
"PI-São Raimundo Nonato",2020-04-01,"nowcast",0,1,0,0,0,0.439418416801292
"PI-São Raimundo Nonato",2020-04-02,"nowcast",0,1,0,0,0,0.435672514619883
"PI-São Raimundo Nonato",2020-04-03,"nowcast",0,1,0,0,0,0.475
"PI-São Raimundo Nonato",2020-04-04,"nowcast",0,1,0,0,0,0.511990407673861
"PI-São Raimundo Nonato",2020-04-05,"nowcast",0,2,0,0,0,0.592090395480226
"PI-São Raimundo Nonato",2020-04-06,"nowcast",0,2,0,1,1,0.698924731182796
"PI-São Raimundo Nonato",2020-04-07,"nowcast",0,2,0,1,1,0.737279335410177
"PI-São Raimundo Nonato",2020-04-08,"nowcast",0,2,0,1,1,0.9244126659857
"PI-São Raimundo Nonato",2020-04-09,"nowcast",0,2,0,1,1,1.04540867810293
