"region","date","type","bottom","top","lower","upper","median","mean"
"PI-Teresina",2020-02-05,"nowcast",1,1,1,1,1,1
"PI-Teresina",2020-02-06,"nowcast",0,0,0,0,0,0
"PI-Teresina",2020-02-07,"nowcast",0,1,0,1,0.5,0.5
"PI-Teresina",2020-02-08,"nowcast",0,1,0,1,0.5,0.5
"PI-Teresina",2020-02-09,"nowcast",0,1,1,1,1,0.666666666666667
"PI-Teresina",2020-02-10,"nowcast",0,1,0,0,0,0.25
"PI-Teresina",2020-02-11,"nowcast",0,1,0,1,0.5,0.5
"PI-Teresina",2020-02-12,"nowcast",0,1,0,0,0,0.142857142857143
"PI-Teresina",2020-02-13,"nowcast",0,1,0,0,0,0.125
"PI-Teresina",2020-02-14,"nowcast",0,1,0,0,0,0.363636363636364
"PI-Teresina",2020-02-15,"nowcast",0,1,0,0,0,0.230769230769231
"PI-Teresina",2020-02-16,"nowcast",0,1,0,0,0,0.375
"PI-Teresina",2020-02-17,"nowcast",0,1,0,0,0,0.272727272727273
"PI-Teresina",2020-02-18,"nowcast",0,0,0,0,0,0.0434782608695652
"PI-Teresina",2020-02-19,"nowcast",0,1,0,0,0,0.275862068965517
"PI-Teresina",2020-02-20,"nowcast",0,1,0,0,0,0.243243243243243
"PI-Teresina",2020-02-21,"nowcast",0,1,0,0,0,0.204545454545455
"PI-Teresina",2020-02-22,"nowcast",0,1,0,0,0,0.426229508196721
"PI-Teresina",2020-02-23,"nowcast",0,1,0,0,0,0.298701298701299
"PI-Teresina",2020-02-24,"nowcast",0,1,0,0,0,0.352941176470588
"PI-Teresina",2020-02-25,"nowcast",0,1,0,0,0,0.218487394957983
"PI-Teresina",2020-02-26,"nowcast",0,1,0,0,0,0.274647887323944
"PI-Teresina",2020-02-27,"nowcast",0,1,0,0,0,0.276470588235294
"PI-Teresina",2020-02-28,"nowcast",0,1,0,0,0,0.327014218009479
"PI-Teresina",2020-02-29,"nowcast",0,1,0,0,0,0.315384615384615
"PI-Teresina",2020-03-01,"nowcast",0,1,0,0,0,0.315789473684211
"PI-Teresina",2020-03-02,"nowcast",0,1,0,0,0,0.357333333333333
"PI-Teresina",2020-03-03,"nowcast",0,1,0,0,0,0.34624145785877
"PI-Teresina",2020-03-04,"nowcast",0,1,0,0,0,0.405405405405405
"PI-Teresina",2020-03-05,"nowcast",0,1,0,0,0,0.471666666666667
"PI-Teresina",2020-03-06,"nowcast",0,1,0,0,0,0.46795827123696
"PI-Teresina",2020-03-07,"nowcast",0,1,0,0,0,0.458445040214477
"PI-Teresina",2020-03-08,"nowcast",0,1,0,0,0,0.516646115906289
"PI-Teresina",2020-03-09,"nowcast",0,2,0,0,0,0.633294528521537
"PI-Teresina",2020-03-10,"nowcast",0,2,0,0,0,0.683684794672586
"PI-Teresina",2020-03-11,"nowcast",0,2,0,1,1,0.691897654584222
"PI-Teresina",2020-03-12,"nowcast",0,2,0,1,1,0.778936392075078
"PI-Teresina",2020-03-13,"nowcast",0,2,0,1,1,0.911885245901639
"PI-Teresina",2020-03-14,"nowcast",0,2,0,1,1,0.95959595959596
"PI-Teresina",2020-03-15,"nowcast",0,2,0,1,1,1.04819277108434
"PI-Teresina",2020-03-16,"nowcast",0,2,0,1,1,1.05205205205205
"PI-Teresina",2020-03-17,"nowcast",0,2,0,1,1,1.093
"PI-Teresina",2020-03-18,"nowcast",0,3,0,1,1,1.148
"PI-Teresina",2020-03-19,"nowcast",0,3,0,1,1,1.184
"PI-Teresina",2020-03-20,"nowcast",0,3,0,1,1,1.348
"PI-Teresina",2020-03-21,"nowcast",0,3,0,1,1,1.414
"PI-Teresina",2020-03-22,"nowcast",0,4,0,1,1,1.681
"PI-Teresina",2020-03-23,"nowcast",0,4,1,2,2,1.841
"PI-Teresina",2020-03-24,"nowcast",0,4,1,2,2,2.036
"PI-Teresina",2020-03-25,"nowcast",0,4,0,2,2,2.354
"PI-Teresina",2020-03-26,"nowcast",0,5,0,2,2,2.535
"PI-Teresina",2020-03-27,"nowcast",0,5,1,3,3,2.816
"PI-Teresina",2020-03-28,"nowcast",1,6,1,3,3,3.108
"PI-Teresina",2020-03-29,"nowcast",0,6,2,4,3,3.566
"PI-Teresina",2020-03-30,"nowcast",1,7,3,5,4,4.063
"PI-Teresina",2020-03-31,"nowcast",0,7,3,5,4,4.541
"PI-Teresina",2020-04-01,"nowcast",1,9,2,5,5,5.24
"PI-Teresina",2020-04-02,"nowcast",2,10,3,6,6,6.107
"PI-Teresina",2020-04-03,"nowcast",2,11,4,7,7,6.819
"PI-Teresina",2020-04-04,"nowcast",3,12,6,9,8,7.768
"PI-Teresina",2020-04-05,"nowcast",3,13,5,9,8,8.771
"PI-Teresina",2020-04-06,"nowcast",5,15,7,11,10,10.025
"PI-Teresina",2020-04-07,"nowcast",5,16,8,12,11,11.153
"PI-Teresina",2020-04-08,"nowcast",6,18,7,12,12,12.286
"PI-Teresina",2020-04-09,"nowcast",6,19,9,14,13,13.617
"PI-Teresina",2020-04-10,"nowcast",8,20,10,15,14.5,14.691
"PI-Teresina",2020-04-11,"nowcast",8,21,11,16,15,15.584
"PI-Teresina",2020-04-12,"nowcast",10,24,15,20,17,16.96
"PI-Teresina",2020-04-13,"nowcast",11,25,14,19,18,18.185
"PI-Teresina",2020-04-14,"nowcast",12,27,14,20,19,19.238
"PI-Teresina",2020-04-15,"nowcast",11,27,16,22,21,20.968
"PI-Teresina",2020-04-16,"nowcast",13,30,20,26,23,22.815
"PI-Teresina",2020-04-17,"nowcast",15,32,19,26,24,24.45
"PI-Teresina",2020-04-18,"nowcast",17,35,22,29,26,26.536
"PI-Teresina",2020-04-19,"nowcast",20,38,22,30,29,28.857
"PI-Teresina",2020-04-20,"nowcast",22,41,27,34,31,31.244
"PI-Teresina",2020-04-21,"nowcast",22,43,27,35,34,33.91
"PI-Teresina",2020-04-22,"nowcast",26,46,30,38,35,35.717
"PI-Teresina",2020-04-23,"nowcast",26,48,31,40,38,38.261
"PI-Teresina",2020-04-24,"nowcast",29,50,33,42,40,40.716
"PI-Teresina",2020-04-25,"nowcast",30,52,35,44,42,42.429
"PI-Teresina",2020-04-26,"nowcast",32,54,36,45,44,44.329
"PI-Teresina",2020-04-27,"nowcast",36,57,39,48,46,46.227
"PI-Teresina",2020-04-28,"nowcast",35,58,39,49,47,47.238
"PI-Teresina",2020-04-29,"nowcast",36,60,40,50,49,48.993
"PI-Teresina",2020-04-30,"nowcast",37,62,44,53,50,50.154
