"region","date","type","bottom","top","lower","upper","median","mean","std","prob_control"
"PI-Teresina",2020-03-30,"nowcast",0.573014362520083,2.53329814313583,1.10561538019422,1.81441007274342,1.49445309092288,1.59327272999422,0.670339986303889,0.154702495201536
"PI-Teresina",2020-03-31,"nowcast",0.638730982805865,2.54690373038992,1.08990332161648,1.78326313858922,1.54141068038352,1.62840832394917,0.635113636020206,0.126736441484301
"PI-Teresina",2020-04-01,"nowcast",0.765555741884697,2.55859797282606,1.13771952836457,1.78548056903509,1.55139542011603,1.63552022004015,0.58122931169497,0.0970504281636537
"PI-Teresina",2020-04-02,"nowcast",0.81268530693182,2.52406835216108,1.18912467515918,1.81372184998906,1.55692857193148,1.6397254542638,0.562366821339547,0.0941289701636189
"PI-Teresina",2020-04-03,"nowcast",0.850198573161692,2.45383946684776,1.20254133945466,1.79787194789748,1.5678782132776,1.63862786362979,0.530269775426827,0.071868978805395
"PI-Teresina",2020-04-04,"nowcast",0.882510936022387,2.41652511298557,1.20862554792026,1.77959893902336,1.57125665516355,1.64627329552336,0.513115543734645,0.0653771760154739
"PI-Teresina",2020-04-05,"nowcast",0.884092537585001,2.35771436621796,1.24804152262226,1.78388909478051,1.56358662018732,1.62376003441808,0.478916871461555,0.0597857838364168
"PI-Teresina",2020-04-06,"nowcast",0.942951895977788,2.34528650948532,1.26616878036681,1.79189954316602,1.56711232836508,1.62133080977463,0.451877159057603,0.0536023054755043
"PI-Teresina",2020-04-07,"nowcast",0.932397642212431,2.18235187947161,1.25977007818607,1.72922183998234,1.53640319888283,1.57757920529293,0.401085293293522,0.0481951219512195
"PI-Teresina",2020-04-08,"nowcast",0.981451967163092,2.14692036227222,1.2583918971945,1.70277231166139,1.51532115658821,1.55073720005486,0.372832311241282,0.0465161923454367
"PI-Teresina",2020-04-09,"nowcast",0.9383913368162,2.06670429362082,1.29994343173125,1.73469207029574,1.49486990608421,1.52860667790081,0.362037041807287,0.0491674828599412
"PI-Teresina",2020-04-10,"nowcast",0.973457090150339,2.05270386008925,1.21501356765232,1.61413430361634,1.46530259912973,1.49650440949284,0.332753766341861,0.0488802336903603
"PI-Teresina",2020-04-11,"nowcast",0.968913615131617,1.94149181882237,1.24829775450252,1.61587462970139,1.44262947430152,1.46118333000018,0.302668249469256,0.0505386875612145
"PI-Teresina",2020-04-12,"nowcast",0.974484134424729,1.87080689259798,1.18775724655487,1.53865856275312,1.40881912494604,1.42525792290235,0.283218932127616,0.0454011741682975
"PI-Teresina",2020-04-13,"nowcast",0.913407072738861,1.78270810756389,1.20994683738604,1.52537097321589,1.38321996605042,1.39973460131806,0.26891678307638,0.056385068762279
"PI-Teresina",2020-04-14,"nowcast",0.911728023489236,1.74509226750897,1.18646624730113,1.49946747453442,1.35932761478434,1.36965418967177,0.255342713017985,0.0652900688298918
"PI-Teresina",2020-04-15,"nowcast",0.9478117789792,1.73238100622425,1.16822945459999,1.46042330049508,1.34046764358334,1.35691953918575,0.247058041166776,0.0573658536585366
"PI-Teresina",2020-04-16,"nowcast",0.969281075962476,1.71635318361722,1.20501263187267,1.49115168535926,1.34826059529458,1.35784232602202,0.231676367297811,0.0489151873767258
"PI-Teresina",2020-04-17,"nowcast",0.9756845441301,1.70803286589011,1.19858322319201,1.47366294455032,1.34200895982396,1.35993217790411,0.231783338755241,0.0419291338582677
"PI-Teresina",2020-04-18,"nowcast",0.990899493968078,1.70026600643974,1.20471913969215,1.47098968360016,1.3430780044182,1.35535103894476,0.224817704962766,0.0446183953033268
"PI-Teresina",2020-04-19,"nowcast",1.01486662992174,1.68443635425239,1.21130638607466,1.46621921390783,1.33701768930576,1.35123743939653,0.212330971515532,0.0317554240631164
"PI-Teresina",2020-04-20,"nowcast",1.01823702101392,1.65427181690707,1.20556162301036,1.45221520303956,1.34352793313165,1.3546149376336,0.199577446062245,0.0245059288537549
