"region","date","type","bottom","top","lower","upper","median","mean"
"SE-Itabaiana",2020-03-02,"nowcast",1,1,1,1,1,1
"SE-Itabaiana",2020-03-03,"nowcast",0,0,0,0,0,0
"SE-Itabaiana",2020-03-04,"nowcast",0,0,0,0,0,0
"SE-Itabaiana",2020-03-05,"nowcast",0,0,0,0,0,0
"SE-Itabaiana",2020-03-06,"nowcast",0,0,0,0,0,0
"SE-Itabaiana",2020-03-07,"nowcast",0,1,0,1,0.5,0.5
"SE-Itabaiana",2020-03-08,"nowcast",0,1,0,0,0,0.333333333333333
"SE-Itabaiana",2020-03-09,"nowcast",0,1,1,1,1,0.666666666666667
"SE-Itabaiana",2020-03-10,"nowcast",0,1,0,1,0.5,0.5
"SE-Itabaiana",2020-03-11,"nowcast",0,1,0,0,0,0.25
"SE-Itabaiana",2020-03-12,"nowcast",0,1,0,0,0,0.272727272727273
"SE-Itabaiana",2020-03-13,"nowcast",0,1,0,0,0,0.333333333333333
"SE-Itabaiana",2020-03-14,"nowcast",0,1,0,0,0,0.333333333333333
"SE-Itabaiana",2020-03-15,"nowcast",0,1,0,0,0,0.354166666666667
"SE-Itabaiana",2020-03-16,"nowcast",0,1,0,0,0,0.352941176470588
"SE-Itabaiana",2020-03-17,"nowcast",0,1,0,0,0,0.179487179487179
"SE-Itabaiana",2020-03-18,"nowcast",0,1,0,0,0,0.310679611650485
"SE-Itabaiana",2020-03-19,"nowcast",0,1,0,0,0,0.225806451612903
"SE-Itabaiana",2020-03-20,"nowcast",0,1,0,0,0,0.282894736842105
"SE-Itabaiana",2020-03-21,"nowcast",0,1,0,0,0,0.258241758241758
"SE-Itabaiana",2020-03-22,"nowcast",0,1,0,0,0,0.306666666666667
"SE-Itabaiana",2020-03-23,"nowcast",0,1,0,0,0,0.238970588235294
"SE-Itabaiana",2020-03-24,"nowcast",0,1,0,0,0,0.241157556270096
"SE-Itabaiana",2020-03-25,"nowcast",0,1,0,0,0,0.248648648648649
"SE-Itabaiana",2020-03-26,"nowcast",0,1,0,0,0,0.241935483870968
"SE-Itabaiana",2020-03-27,"nowcast",0,1,0,0,0,0.225806451612903
"SE-Itabaiana",2020-03-28,"nowcast",0,1,0,0,0,0.196363636363636
"SE-Itabaiana",2020-03-29,"nowcast",0,1,0,0,0,0.240063593004769
"SE-Itabaiana",2020-03-30,"nowcast",0,1,0,0,0,0.196454948301329
"SE-Itabaiana",2020-03-31,"nowcast",0,1,0,0,0,0.223140495867769
"SE-Itabaiana",2020-04-01,"nowcast",0,1,0,0,0,0.188328912466843
"SE-Itabaiana",2020-04-02,"nowcast",0,1,0,0,0,0.202304737516005
"SE-Itabaiana",2020-04-03,"nowcast",0,1,0,0,0,0.196273291925466
"SE-Itabaiana",2020-04-04,"nowcast",0,1,0,0,0,0.245192307692308
"SE-Itabaiana",2020-04-05,"nowcast",0,1,0,0,0,0.289381563593932
"SE-Itabaiana",2020-04-06,"nowcast",0,1,0,0,0,0.356823266219239
"SE-Itabaiana",2020-04-07,"nowcast",0,1,0,0,0,0.421397379912664
"SE-Itabaiana",2020-04-08,"nowcast",0,1,0,0,0,0.51271186440678
"SE-Itabaiana",2020-04-09,"nowcast",0,2,0,0,0,0.551041666666667
"SE-Itabaiana",2020-04-10,"nowcast",0,2,0,0,0,0.646279306829766
"SE-Itabaiana",2020-04-11,"nowcast",0,2,0,1,1,0.710685483870968
"SE-Itabaiana",2020-04-12,"nowcast",0,2,0,1,1,0.927638190954774
"SE-Itabaiana",2020-04-13,"nowcast",0,2,0,1,1,1.02104208416834
"SE-Itabaiana",2020-04-14,"nowcast",0,3,0,1,1,1.189
"SE-Itabaiana",2020-04-15,"nowcast",0,3,0,1,1,1.352
"SE-Itabaiana",2020-04-16,"nowcast",0,3,0,1,1,1.623
"SE-Itabaiana",2020-04-17,"nowcast",0,4,1,2,2,1.759
"SE-Itabaiana",2020-04-18,"nowcast",0,4,1,2,2,1.977
"SE-Itabaiana",2020-04-19,"nowcast",0,4,0,2,2,2.347
"SE-Itabaiana",2020-04-20,"nowcast",0,5,0,2,2,2.629
"SE-Itabaiana",2020-04-21,"nowcast",0,5,1,3,3,2.942
"SE-Itabaiana",2020-04-22,"nowcast",1,6,1,3,3,3.348
"SE-Itabaiana",2020-04-23,"nowcast",0,6,2,4,4,3.773
"SE-Itabaiana",2020-04-24,"nowcast",1,7,2,4,4,4.136
"SE-Itabaiana",2020-04-25,"nowcast",1,7,3,5,4,4.445
"SE-Itabaiana",2020-04-26,"nowcast",1,8,3,5,5,4.899
"SE-Itabaiana",2020-04-27,"nowcast",2,9,3,6,5,5.398
"SE-Itabaiana",2020-04-28,"nowcast",2,9,3,6,6,5.876
"SE-Itabaiana",2020-04-29,"nowcast",2,10,4,7,6,6.388
"SE-Itabaiana",2020-04-30,"nowcast",3,11,5,8,7,7.213
"SE-Itabaiana",2020-05-01,"nowcast",3,12,6,9,8,7.9
"SE-Itabaiana",2020-05-02,"nowcast",4,13,5,9,9,8.922
"SE-Itabaiana",2020-05-03,"nowcast",4,14,6,10,10,10.076
"SE-Itabaiana",2020-05-04,"nowcast",6,16,8,12,11,11.285
"SE-Itabaiana",2020-05-05,"nowcast",7,18,9,13,12,12.437
"SE-Itabaiana",2020-05-06,"nowcast",8,19,11,15,14,13.74
