"region","date","type","bottom","top","lower","upper","median","mean"
"SE-Umbaúba",2020-01-20,"nowcast",1,1,1,1,1,1
"SE-Umbaúba",2020-01-21,"nowcast",0,0,0,0,0,0
"SE-Umbaúba",2020-01-22,"nowcast",0,0,0,0,0,0
"SE-Umbaúba",2020-01-23,"nowcast",0,0,0,0,0,0
"SE-Umbaúba",2020-01-24,"nowcast",0,0,0,0,0,0
"SE-Umbaúba",2020-01-25,"nowcast",0,0,0,0,0,0
"SE-Umbaúba",2020-01-26,"nowcast",0,0,0,0,0,0
"SE-Umbaúba",2020-01-27,"nowcast",0,0,0,0,0,0
"SE-Umbaúba",2020-01-28,"nowcast",0,0,0,0,0,0
"SE-Umbaúba",2020-01-29,"nowcast",0,0,0,0,0,0
"SE-Umbaúba",2020-01-30,"nowcast",0,1,0,1,0.5,0.5
"SE-Umbaúba",2020-01-31,"nowcast",0,0,0,0,0,0
"SE-Umbaúba",2020-02-01,"nowcast",0,0,0,0,0,0
"SE-Umbaúba",2020-02-02,"nowcast",0,1,0,1,0.5,0.5
"SE-Umbaúba",2020-02-03,"nowcast",0,0,0,0,0,0
"SE-Umbaúba",2020-02-04,"nowcast",0,0,0,0,0,0
"SE-Umbaúba",2020-02-05,"nowcast",0,1,0,1,0.5,0.5
"SE-Umbaúba",2020-02-06,"nowcast",0,1,0,0,0,0.333333333333333
"SE-Umbaúba",2020-02-07,"nowcast",0,0,0,0,0,0
"SE-Umbaúba",2020-02-08,"nowcast",0,0,0,0,0,0
"SE-Umbaúba",2020-02-09,"nowcast",0,0,0,0,0,0
"SE-Umbaúba",2020-02-10,"nowcast",0,1,0,0,0,0.333333333333333
"SE-Umbaúba",2020-02-11,"nowcast",0,1,0,1,0.5,0.5
"SE-Umbaúba",2020-02-12,"nowcast",0,0,0,0,0,0
"SE-Umbaúba",2020-02-13,"nowcast",0,0,0,0,0,0
"SE-Umbaúba",2020-02-14,"nowcast",0,1,0,0,0,0.25
"SE-Umbaúba",2020-02-15,"nowcast",0,0,0,0,0,0
"SE-Umbaúba",2020-02-16,"nowcast",0,1,0,0,0,0.2
"SE-Umbaúba",2020-02-17,"nowcast",0,1,0,0,0,0.2
"SE-Umbaúba",2020-02-18,"nowcast",0,1,0,0,0,0.375
"SE-Umbaúba",2020-02-19,"nowcast",0,1,0,0,0,0.125
"SE-Umbaúba",2020-02-20,"nowcast",0,0,0,0,0,0
"SE-Umbaúba",2020-02-21,"nowcast",0,0,0,0,0,0
"SE-Umbaúba",2020-02-22,"nowcast",0,1,0,0,0,0.3
"SE-Umbaúba",2020-02-23,"nowcast",0,1,0,0,0,0.25
"SE-Umbaúba",2020-02-24,"nowcast",0,1,0,0,0,0.230769230769231
"SE-Umbaúba",2020-02-25,"nowcast",0,0,0,0,0,0
"SE-Umbaúba",2020-02-26,"nowcast",0,1,0,0,0,0.266666666666667
"SE-Umbaúba",2020-02-27,"nowcast",0,0,0,0,0,0.0625
"SE-Umbaúba",2020-02-28,"nowcast",0,0,0,0,0,0.0588235294117647
"SE-Umbaúba",2020-02-29,"nowcast",0,1,0,0,0,0.117647058823529
"SE-Umbaúba",2020-03-01,"nowcast",0,1,0,0,0,0.2
"SE-Umbaúba",2020-03-02,"nowcast",0,0,0,0,0,0.0952380952380952
"SE-Umbaúba",2020-03-03,"nowcast",0,1,0,0,0,0.130434782608696
"SE-Umbaúba",2020-03-04,"nowcast",0,1,0,0,0,0.125
"SE-Umbaúba",2020-03-05,"nowcast",0,1,0,0,0,0.148148148148148
"SE-Umbaúba",2020-03-06,"nowcast",0,0,0,0,0,0.0357142857142857
"SE-Umbaúba",2020-03-07,"nowcast",0,1,0,0,0,0.133333333333333
"SE-Umbaúba",2020-03-08,"nowcast",0,1,0,0,0,0.125
"SE-Umbaúba",2020-03-09,"nowcast",0,1,0,0,0,0.216216216216216
"SE-Umbaúba",2020-03-10,"nowcast",0,1,0,0,0,0.210526315789474
"SE-Umbaúba",2020-03-11,"nowcast",0,1,0,0,0,0.146341463414634
"SE-Umbaúba",2020-03-12,"nowcast",0,0,0,0,0,0.0714285714285714
"SE-Umbaúba",2020-03-13,"nowcast",0,1,0,0,0,0.162790697674419
"SE-Umbaúba",2020-03-14,"nowcast",0,1,0,0,0,0.25
"SE-Umbaúba",2020-03-15,"nowcast",0,1,0,0,0,0.224489795918367
"SE-Umbaúba",2020-03-16,"nowcast",0,1,0,0,0,0.142857142857143
"SE-Umbaúba",2020-03-17,"nowcast",0,1,0,0,0,0.169811320754717
"SE-Umbaúba",2020-03-18,"nowcast",0,1,0,0,0,0.203703703703704
"SE-Umbaúba",2020-03-19,"nowcast",0,1,0,0,0,0.145454545454545
"SE-Umbaúba",2020-03-20,"nowcast",0,1,0,0,0,0.206896551724138
"SE-Umbaúba",2020-03-21,"nowcast",0,1,0,0,0,0.278688524590164
"SE-Umbaúba",2020-03-22,"nowcast",0,1,0,0,0,0.21875
"SE-Umbaúba",2020-03-23,"nowcast",0,1,0,0,0,0.242424242424242
"SE-Umbaúba",2020-03-24,"nowcast",0,1,0,0,0,0.277777777777778
"SE-Umbaúba",2020-03-25,"nowcast",0,1,0,0,0,0.208333333333333
"SE-Umbaúba",2020-03-26,"nowcast",0,1,0,0,0,0.263157894736842
"SE-Umbaúba",2020-03-27,"nowcast",0,1,0,0,0,0.256410256410256
"SE-Umbaúba",2020-03-28,"nowcast",0,1,0,0,0,0.292682926829268
"SE-Umbaúba",2020-03-29,"nowcast",0,1,0,0,0,0.301204819277108
"SE-Umbaúba",2020-03-30,"nowcast",0,1,0,0,0,0.32183908045977
"SE-Umbaúba",2020-03-31,"nowcast",0,1,0,0,0,0.295454545454545
"SE-Umbaúba",2020-04-01,"nowcast",0,1,0,0,0,0.344086021505376
"SE-Umbaúba",2020-04-02,"nowcast",0,1,0,0,0,0.326315789473684
"SE-Umbaúba",2020-04-03,"nowcast",0,1,0,0,0,0.260416666666667
"SE-Umbaúba",2020-04-04,"nowcast",0,1,0,0,0,0.291666666666667
"SE-Umbaúba",2020-04-05,"nowcast",0,1,0,0,0,0.381443298969072
"SE-Umbaúba",2020-04-06,"nowcast",0,1,0,0,0,0.346938775510204
"SE-Umbaúba",2020-04-07,"nowcast",0,1,0,0,0,0.545454545454545
"SE-Umbaúba",2020-04-08,"nowcast",0,1,0,0,0,0.37
"SE-Umbaúba",2020-04-09,"nowcast",0,2,0,0,0,0.6
"SE-Umbaúba",2020-04-10,"nowcast",0,2,0,0,0,0.54
"SE-Umbaúba",2020-04-11,"nowcast",0,2,0,0,0,0.5
"SE-Umbaúba",2020-04-12,"nowcast",0,1,0,1,0.5,0.59
"SE-Umbaúba",2020-04-13,"nowcast",0,2,0,1,1,0.74
"SE-Umbaúba",2020-04-14,"nowcast",0,2,0,1,1,0.87
"SE-Umbaúba",2020-04-15,"nowcast",0,2,0,1,1,0.91
"SE-Umbaúba",2020-04-16,"nowcast",0,2,0,1,1,0.92
