"Region","New confirmed cases by infection date","Expected change in daily cases","Effective reproduction no.","Doubling/halving time (days)"
"BA-Salvador","29 (16 -- 39)","Unsure","1.1 (0.8 -- 1.4)","32 (6.9 -- -13)"
"CE-Fortaleza","10 (4 -- 17)","Unsure","1.2 (0.6 -- 1.7)","16 (3.6 -- -6.8)"
"MA-São Luís","18 (9 -- 26)","Unsure","1.1 (0.7 -- 1.5)","25 (5.3 -- -9.1)"
"PB-Campina Grande","10 (4 -- 17)","Likely increasing","1.3 (0.7 -- 1.9)","10 (3.2 -- -8.8)"
"PB-João Pessoa","11 (3 -- 18)","Unsure","1.1 (0.6 -- 1.6)","29 (4.4 -- -6.1)"
"PE-Jaboatão dos Guararapes","11 (4 -- 17)","Unsure","1.1 (0.6 -- 1.6)","51 (4.6 -- -5.6)"
"PE-Olinda","11 (5 -- 19)","Unsure","1.3 (0.7 -- 1.8)","11 (3.3 -- -8.3)"
"PE-Recife","11 (4 -- 18)","Unsure","1.2 (0.6 -- 1.6)","19 (4.1 -- -6.9)"
"PI-Teresina","12 (4 -- 18)","Unsure","1.1 (0.6 -- 1.6)","23 (4.3 -- -7.1)"
"RN-Natal","20 (9 -- 28)","Likely increasing","1.3 (0.9 -- 1.8)","9.2 (3.8 -- -22)"
"SE-Aracaju","12 (4 -- 19)","Unsure","1.1 (0.6 -- 1.5)","61 (5 -- -6)"
