"region","date","type","bottom","top","lower","upper","median","mean"
"Ceará",2020-01-29,"nowcast",1,1,1,1,1,1
"Ceará",2020-01-30,"nowcast",0,1,0,1,0.5,0.5
"Ceará",2020-01-31,"nowcast",0,1,0,0,0,0.333333333333333
"Ceará",2020-02-01,"nowcast",0,1,0,0,0,0.25
"Ceará",2020-02-02,"nowcast",0,1,0,0,0,0.333333333333333
"Ceará",2020-02-03,"nowcast",0,1,0,0,0,0.142857142857143
"Ceará",2020-02-04,"nowcast",0,1,0,0,0,0.454545454545455
"Ceará",2020-02-05,"nowcast",0,1,0,0,0,0.3125
"Ceará",2020-02-06,"nowcast",0,1,0,0,0,0.25
"Ceará",2020-02-07,"nowcast",0,1,0,0,0,0.25
"Ceará",2020-02-08,"nowcast",0,1,0,0,0,0.405405405405405
"Ceará",2020-02-09,"nowcast",0,1,0,0,0,0.352941176470588
"Ceará",2020-02-10,"nowcast",0,1,0,0,0,0.357142857142857
"Ceará",2020-02-11,"nowcast",0,1,0,0,0,0.240963855421687
"Ceará",2020-02-12,"nowcast",0,1,0,0,0,0.29126213592233
"Ceará",2020-02-13,"nowcast",0,1,0,0,0,0.293650793650794
"Ceará",2020-02-14,"nowcast",0,1,0,0,0,0.292993630573248
"Ceará",2020-02-15,"nowcast",0,1,0,0,0,0.274611398963731
"Ceará",2020-02-16,"nowcast",0,1,0,0,0,0.302631578947368
"Ceará",2020-02-17,"nowcast",0,1,0,0,0,0.253787878787879
"Ceará",2020-02-18,"nowcast",0,1,0,0,0,0.278145695364238
"Ceará",2020-02-19,"nowcast",0,1,0,0,0,0.283667621776504
"Ceará",2020-02-20,"nowcast",0,1,0,0,0,0.332518337408313
"Ceará",2020-02-21,"nowcast",0,1,0,0,0,0.273706896551724
"Ceará",2020-02-22,"nowcast",0,1,0,0,0,0.388571428571429
"Ceará",2020-02-23,"nowcast",0,1,0,0,0,0.392255892255892
"Ceará",2020-02-24,"nowcast",0,1,0,0,0,0.400921658986175
"Ceará",2020-02-25,"nowcast",0,1,0,0,0,0.418670438472419
"Ceará",2020-02-26,"nowcast",0,1,0,0,0,0.446091644204852
"Ceará",2020-02-27,"nowcast",0,2,0,0,0,0.525851197982345
"Ceará",2020-02-28,"nowcast",0,2,0,0,0,0.604952830188679
"Ceará",2020-02-29,"nowcast",0,2,0,0,0,0.672748004561003
"Ceará",2020-03-01,"nowcast",0,2,0,1,1,0.765555555555556
"Ceará",2020-03-02,"nowcast",0,2,0,1,1,0.863440860215054
"Ceará",2020-03-03,"nowcast",0,2,0,1,1,0.928870292887029
"Ceará",2020-03-04,"nowcast",0,3,0,1,1,1.04320987654321
"Ceará",2020-03-05,"nowcast",0,3,0,1,1,1.1746192893401
"Ceará",2020-03-06,"nowcast",0,3,0,1,1,1.31281533804238
"Ceará",2020-03-07,"nowcast",0,3,0,1,1,1.46030150753769
"Ceará",2020-03-08,"nowcast",0,4,0,1,1,1.8008008008008
"Ceará",2020-03-09,"nowcast",0,4,1,2,2,1.931
"Ceará",2020-03-10,"nowcast",0,4,0,2,2,2.206
"Ceará",2020-03-11,"nowcast",0,5,0,2,2,2.606
"Ceará",2020-03-12,"nowcast",0,5,1,3,3,2.878
"Ceará",2020-03-13,"nowcast",0,6,1,3,3,3.333
"Ceará",2020-03-14,"nowcast",1,7,2,4,3,3.752
"Ceará",2020-03-15,"nowcast",0,7,2,4,4,4.148
"Ceará",2020-03-16,"nowcast",1,8,1,4,4,4.646
"Ceará",2020-03-17,"nowcast",1,9,2,5,5,5.079
"Ceará",2020-03-18,"nowcast",2,10,3,6,6,5.889
"Ceará",2020-03-19,"nowcast",1,10,4,7,6,6.441
"Ceará",2020-03-20,"nowcast",2,11,5,8,7,7.012
"Ceará",2020-03-21,"nowcast",2,12,4,8,7,7.714
"Ceará",2020-03-22,"nowcast",3,13,4,8,8,8.389
"Ceará",2020-03-23,"nowcast",4,15,7,11,9,9.479
"Ceará",2020-03-24,"nowcast",5,16,7,11,10,10.335
"Ceará",2020-03-25,"nowcast",5,17,6,11,11,11.034
"Ceará",2020-03-26,"nowcast",6,18,7,12,12,12.029
"Ceará",2020-03-27,"nowcast",7,20,8,13,13,13.054
"Ceará",2020-03-28,"nowcast",7,21,11,16,14,14.184
"Ceará",2020-03-29,"nowcast",8,22,12,17,15,15.461
"Ceará",2020-03-30,"nowcast",8,23,11,17,16,16.42
"Ceará",2020-03-31,"nowcast",9,25,12,18,17,17.785
"Ceará",2020-04-01,"nowcast",9,26,14,20,19,19.01
"Ceará",2020-04-02,"nowcast",12,29,14,21,20,20.7
"Ceará",2020-04-03,"nowcast",13,30,16,23,21,21.751
"Ceará",2020-04-04,"nowcast",14,32,18,25,23,23.574
"Ceará",2020-04-05,"nowcast",16,35,19,26,24,25.044
"Ceará",2020-04-06,"nowcast",18,37,19,27,26,26.903
"Ceará",2020-04-07,"nowcast",17,37,23,31,28,28.443
"Ceará",2020-04-08,"nowcast",19,40,24,32,30,30.526
"Ceará",2020-04-09,"nowcast",21,42,27,35,32,32.306
"Ceará",2020-04-10,"nowcast",24,46,27,36,34,34.433
"Ceará",2020-04-11,"nowcast",25,47,31,40,36,36.579
"Ceará",2020-04-12,"nowcast",27,51,33,42,39,39.114
"Ceará",2020-04-13,"nowcast",29,53,33,43,41,41.417
"Ceará",2020-04-14,"nowcast",30,55,36,46,44,44.07
"Ceará",2020-04-15,"nowcast",31,57,39,49,46,46.37
"Ceará",2020-04-16,"nowcast",36,63,40,51,49,49.278
"Ceará",2020-04-17,"nowcast",39,64,45,55,52,52
"Ceará",2020-04-18,"nowcast",40,68,46,57,54,54.38
"Ceará",2020-04-19,"nowcast",42,69,48,59,57,56.862
"Ceará",2020-04-20,"nowcast",45,73,52,63,59,59.793
"Ceará",2020-04-21,"nowcast",47,76,53,65,62.5,62.63
"Ceará",2020-04-22,"nowcast",51,79,57,69,66,65.877
"Ceará",2020-04-23,"nowcast",53,82,58,70,68,68.283
"Ceará",2020-04-24,"nowcast",55,85,59,72,70,70.759
"Ceará",2020-04-25,"nowcast",57,87,65,77,73,73.685
"Ceará",2020-04-26,"nowcast",60,89,66,78,75,76.016
"Ceará",2020-04-27,"nowcast",60,92,69,81,78,78.901
"Ceará",2020-04-28,"nowcast",64,94,71,83,80,80.623
"Ceará",2020-04-29,"nowcast",68,99,76,88,83,82.667
"Ceará",2020-04-30,"nowcast",69,101,75,87,84,84.391
"Ceará",2020-05-01,"nowcast",70,102,74,88,86,87.034
"Ceará",2020-05-02,"nowcast",72,103,80,92,88,88.635
"Ceará",2020-05-03,"nowcast",74,107,86,99,91,90.914
"Ceará",2020-05-04,"nowcast",76,109,84,97,93,92.952
"Ceará",2020-05-05,"nowcast",79,111,86,99,95,95.397
"Ceará",2020-05-06,"nowcast",79,112,87,100,96,96.565
"Ceará",2020-05-07,"nowcast",82,113,89,102,99,98.804
"Ceará",2020-05-08,"nowcast",84,117,90,104,100,100.875
"Ceará",2020-05-09,"nowcast",88,120,93,106,102,102.549
"Ceará",2020-05-10,"nowcast",88,121,96,110,105,104.612
"Ceará",2020-05-11,"nowcast",86,120,102,116,106,105.764
"Ceará",2020-05-12,"nowcast",91,124,102,115,109,108.426
"Ceará",2020-05-13,"nowcast",94,126,102,115,110,109.738
"Ceará",2020-05-14,"nowcast",92,125,102,115,111,110.508
"Ceará",2020-05-15,"nowcast",93,128,105,118,112,112.406
"Ceará",2020-05-16,"nowcast",95,128,106,119,114,113.549
"Ceará",2020-05-17,"nowcast",100,132,103,117,114,114.409
"Ceará",2020-05-18,"nowcast",97,131,105,119,115,114.696
"Ceará",2020-05-19,"nowcast",97,132,107,120,116,116.712
"Ceará",2020-05-20,"nowcast",98,133,107,121,117,117.445
"Ceará",2020-05-21,"nowcast",99,134,112,125,120,119.392
"Ceará",2020-05-22,"nowcast",100,136,110,125,120,120.267
"Ceará",2020-05-23,"nowcast",101,137,111,126,120,120.239
"Ceará",2020-05-24,"nowcast",101,137,111,126,120,120.027
"Ceará",2020-05-25,"nowcast",102,138,111,125,119,119.613
"Ceará",2020-05-26,"nowcast",98,135,109,123,117.5,117.772
"Ceará",2020-05-27,"nowcast",96,134,105,121,116,115.949
"Ceará",2020-05-28,"nowcast",92,130,105,120,113,113.389
"Ceará",2020-05-29,"nowcast",92,127,102,116,110,110.282
"Ceará",2020-05-30,"nowcast",86,122,95,110,106.5,106.455
"Ceará",2020-05-31,"nowcast",87,121,94,108,103,103.292
