"region","date","type","bottom","top","lower","upper","median","mean"
"Mato Grosso do Sul",2020-01-28,"nowcast",1,1,1,1,1,1
"Mato Grosso do Sul",2020-01-29,"nowcast",0,0,0,0,0,0
"Mato Grosso do Sul",2020-01-30,"nowcast",0,0,0,0,0,0
"Mato Grosso do Sul",2020-01-31,"nowcast",0,0,0,0,0,0
"Mato Grosso do Sul",2020-02-01,"nowcast",0,0,0,0,0,0
"Mato Grosso do Sul",2020-02-02,"nowcast",0,0,0,0,0,0
"Mato Grosso do Sul",2020-02-03,"nowcast",0,0,0,0,0,0
"Mato Grosso do Sul",2020-02-04,"nowcast",0,0,0,0,0,0
"Mato Grosso do Sul",2020-02-05,"nowcast",0,0,0,0,0,0
"Mato Grosso do Sul",2020-02-06,"nowcast",0,1,1,1,1,0.666666666666667
"Mato Grosso do Sul",2020-02-07,"nowcast",0,0,0,0,0,0
"Mato Grosso do Sul",2020-02-08,"nowcast",0,0,0,0,0,0
"Mato Grosso do Sul",2020-02-09,"nowcast",0,0,0,0,0,0
"Mato Grosso do Sul",2020-02-10,"nowcast",0,0,0,0,0,0
"Mato Grosso do Sul",2020-02-11,"nowcast",0,0,0,0,0,0
"Mato Grosso do Sul",2020-02-12,"nowcast",0,1,0,0,0,0.25
"Mato Grosso do Sul",2020-02-13,"nowcast",0,0,0,0,0,0
"Mato Grosso do Sul",2020-02-14,"nowcast",0,0,0,0,0,0
"Mato Grosso do Sul",2020-02-15,"nowcast",0,1,0,0,0,0.2
"Mato Grosso do Sul",2020-02-16,"nowcast",0,1,0,0,0,0.166666666666667
"Mato Grosso do Sul",2020-02-17,"nowcast",0,1,1,1,1,0.545454545454545
"Mato Grosso do Sul",2020-02-18,"nowcast",0,1,0,0,0,0.230769230769231
"Mato Grosso do Sul",2020-02-19,"nowcast",0,1,0,0,0,0.357142857142857
"Mato Grosso do Sul",2020-02-20,"nowcast",0,1,0,0,0,0.125
"Mato Grosso do Sul",2020-02-21,"nowcast",0,1,0,0,0,0.263157894736842
"Mato Grosso do Sul",2020-02-22,"nowcast",0,1,0,0,0,0.25
"Mato Grosso do Sul",2020-02-23,"nowcast",0,1,0,0,0,0.185185185185185
"Mato Grosso do Sul",2020-02-24,"nowcast",0,1,0,0,0,0.257142857142857
"Mato Grosso do Sul",2020-02-25,"nowcast",0,1,0,0,0,0.238095238095238
"Mato Grosso do Sul",2020-02-26,"nowcast",0,1,0,0,0,0.196078431372549
"Mato Grosso do Sul",2020-02-27,"nowcast",0,1,0,0,0,0.225806451612903
"Mato Grosso do Sul",2020-02-28,"nowcast",0,1,0,0,0,0.2
"Mato Grosso do Sul",2020-02-29,"nowcast",0,1,0,0,0,0.175
"Mato Grosso do Sul",2020-03-01,"nowcast",0,1,0,0,0,0.239583333333333
"Mato Grosso do Sul",2020-03-02,"nowcast",0,1,0,0,0,0.252173913043478
"Mato Grosso do Sul",2020-03-03,"nowcast",0,1,0,0,0,0.184615384615385
"Mato Grosso do Sul",2020-03-04,"nowcast",0,1,0,0,0,0.195804195804196
