"date","type","bottom","top","lower","upper","median","mean","region"
2020-01-30,"nowcast",1,1,1,1,1,1,"Paraná"
2020-01-31,"nowcast",0,0,0,0,0,0,"Paraná"
2020-02-01,"nowcast",0,0,0,0,0,0,"Paraná"
2020-02-02,"nowcast",0,0,0,0,0,0,"Paraná"
2020-02-03,"nowcast",0,0,0,0,0,0,"Paraná"
2020-02-04,"nowcast",0,1,0,1,0.5,0.5,"Paraná"
2020-02-05,"nowcast",0,1,0,0,0,0.333333333333333,"Paraná"
2020-02-06,"nowcast",0,1,1,1,1,0.8,"Paraná"
2020-02-07,"nowcast",0,1,0,0,0,0.444444444444444,"Paraná"
2020-02-08,"nowcast",0,1,0,0,0,0.25,"Paraná"
2020-02-09,"nowcast",0,1,0,0,0,0.388888888888889,"Paraná"
2020-02-10,"nowcast",0,1,0,0,0,0.227272727272727,"Paraná"
2020-02-11,"nowcast",0,1,0,0,0,0.259259259259259,"Paraná"
2020-02-12,"nowcast",0,1,0,0,0,0.21875,"Paraná"
2020-02-13,"nowcast",0,1,0,0,0,0.27906976744186,"Paraná"
2020-02-14,"nowcast",0,1,0,0,0,0.315789473684211,"Paraná"
2020-02-15,"nowcast",0,1,0,0,0,0.271428571428571,"Paraná"
2020-02-16,"nowcast",0,1,0,0,0,0.216867469879518,"Paraná"
2020-02-17,"nowcast",0,1,0,0,0,0.284313725490196,"Paraná"
2020-02-18,"nowcast",0,1,0,0,0,0.24031007751938,"Paraná"
2020-02-19,"nowcast",0,1,0,0,0,0.273885350318471,"Paraná"
2020-02-20,"nowcast",0,1,0,0,0,0.261780104712042,"Paraná"
2020-02-21,"nowcast",0,1,0,0,0,0.301801801801802,"Paraná"
2020-02-22,"nowcast",0,1,0,0,0,0.218253968253968,"Paraná"
2020-02-23,"nowcast",0,1,0,0,0,0.280701754385965,"Paraná"
2020-02-24,"nowcast",0,1,0,0,0,0.226415094339623,"Paraná"
2020-02-25,"nowcast",0,1,0,0,0,0.226519337016575,"Paraná"
2020-02-26,"nowcast",0,1,0,0,0,0.315533980582524,"Paraná"
2020-02-27,"nowcast",0,1,0,0,0,0.310195227765727,"Paraná"
2020-02-28,"nowcast",0,1,0,0,0,0.285433070866142,"Paraná"
2020-02-29,"nowcast",0,1,0,0,0,0.331569664902998,"Paraná"
2020-03-01,"nowcast",0,1,0,0,0,0.340764331210191,"Paraná"
2020-03-02,"nowcast",0,1,0,0,0,0.337719298245614,"Paraná"
2020-03-03,"nowcast",0,1,0,0,0,0.335635359116022,"Paraná"
2020-03-04,"nowcast",0,1,0,0,0,0.398172323759791,"Paraná"
2020-03-05,"nowcast",0,1,0,0,0,0.377639751552795,"Paraná"
2020-03-06,"nowcast",0,1,0,0,0,0.41627358490566,"Paraná"
2020-03-07,"nowcast",0,1,0,0,0,0.453196347031963,"Paraná"
2020-03-08,"nowcast",0,1,0,0,0,0.467920353982301,"Paraná"
2020-03-09,"nowcast",0,2,0,0,0,0.570658036677454,"Paraná"
2020-03-10,"nowcast",0,2,0,0,0,0.642857142857143,"Paraná"
2020-03-11,"nowcast",0,2,0,1,1,0.719876416065911,"Paraná"
2020-03-12,"nowcast",0,2,0,1,1,0.770325203252033,"Paraná"
2020-03-13,"nowcast",0,2,0,1,1,0.867810292633703,"Paraná"
2020-03-14,"nowcast",0,2,0,1,1,0.954773869346734,"Paraná"
2020-03-15,"nowcast",0,2,0,1,1,1.05405405405405,"Paraná"
2020-03-16,"nowcast",0,3,0,1,1,1.179,"Paraná"
2020-03-17,"nowcast",0,3,0,1,1,1.295,"Paraná"
2020-03-18,"nowcast",0,3,0,1,1,1.343,"Paraná"
2020-03-19,"nowcast",0,3,0,1,1,1.504,"Paraná"
2020-03-20,"nowcast",0,3,0,1,1,1.594,"Paraná"
2020-03-21,"nowcast",0,4,1,2,2,1.705,"Paraná"
2020-03-22,"nowcast",0,4,1,2,2,1.911,"Paraná"
2020-03-23,"nowcast",0,4,1,2,2,1.941,"Paraná"
2020-03-24,"nowcast",0,4,1,2,2,2.107,"Paraná"
2020-03-25,"nowcast",0,4,0,2,2,2.287,"Paraná"
2020-03-26,"nowcast",0,4,0,2,2,2.402,"Paraná"
2020-03-27,"nowcast",0,5,1,3,3,2.607,"Paraná"
2020-03-28,"nowcast",0,5,1,3,3,2.727,"Paraná"
2020-03-29,"nowcast",0,5,1,3,3,2.772,"Paraná"
2020-03-30,"nowcast",0,5,1,3,3,2.863,"Paraná"
2020-03-31,"nowcast",0,5,1,3,3,2.831,"Paraná"
2020-04-01,"nowcast",0,5,1,3,3,2.892,"Paraná"
2020-04-02,"nowcast",0,5,1,3,3,3.012,"Paraná"
2020-04-03,"nowcast",0,5,1,3,3,2.982,"Paraná"
2020-04-04,"nowcast",0,5,1,3,3,3.028,"Paraná"
2020-04-05,"nowcast",0,5,1,3,3,3.011,"Paraná"
2020-04-06,"nowcast",0,5,1,3,3,3.021,"Paraná"
2020-04-07,"nowcast",0,5,1,3,3,2.937,"Paraná"
2020-04-08,"nowcast",0,5,1,3,3,2.933,"Paraná"
2020-04-09,"nowcast",0,5,1,3,3,2.988,"Paraná"
2020-04-10,"nowcast",0,5,1,3,3,2.991,"Paraná"
2020-04-11,"nowcast",0,5,1,3,3,2.98,"Paraná"
2020-04-12,"nowcast",0,5,1,3,3,3.098,"Paraná"
2020-04-13,"nowcast",0,5,1,3,3,2.976,"Paraná"
2020-04-14,"nowcast",0,5,1,3,3,2.992,"Paraná"
2020-04-15,"nowcast",0,5,1,3,3,3.075,"Paraná"
2020-04-16,"nowcast",0,5,1,3,3,3.136,"Paraná"
2020-04-17,"nowcast",0,5,1,3,3,2.967,"Paraná"
2020-04-18,"nowcast",0,5,1,3,3,3.061,"Paraná"
2020-04-19,"nowcast",0,5,1,3,3,3.018,"Paraná"
2020-04-20,"nowcast",0,5,1,3,3,2.953,"Paraná"
2020-04-21,"nowcast",0,5,1,3,3,2.917,"Paraná"
2020-04-22,"nowcast",0,5,1,3,3,2.985,"Paraná"
2020-04-23,"nowcast",0,5,1,3,3,2.922,"Paraná"
2020-04-24,"nowcast",0,5,1,3,3,3.002,"Paraná"
2020-04-25,"nowcast",1,6,1,3,3,3.13,"Paraná"
2020-04-26,"nowcast",0,5,1,3,3,3.065,"Paraná"
2020-04-27,"nowcast",0,5,1,3,3,3.066,"Paraná"
2020-04-28,"nowcast",0,5,1,3,3,3.188,"Paraná"
2020-04-29,"nowcast",1,6,1,3,3,3.217,"Paraná"
2020-04-30,"nowcast",1,6,1,3,3,3.318,"Paraná"
2020-05-01,"nowcast",0,6,1,3,3,3.425,"Paraná"
2020-05-02,"nowcast",0,6,2,4,3,3.517,"Paraná"
2020-05-03,"nowcast",0,6,2,4,4,3.807,"Paraná"
2020-05-04,"nowcast",1,7,2,4,4,3.993,"Paraná"
2020-05-05,"nowcast",1,7,2,4,4,4.115,"Paraná"
2020-05-06,"nowcast",1,7,3,5,4,4.312,"Paraná"
2020-05-07,"nowcast",2,8,3,5,4,4.664,"Paraná"
2020-05-08,"nowcast",1,8,4,6,5,4.962,"Paraná"
2020-05-09,"nowcast",1,8,4,6,5,5.156,"Paraná"
2020-05-10,"nowcast",2,9,2,5,5,5.435,"Paraná"
2020-05-11,"nowcast",2,9,3,6,6,5.803,"Paraná"
2020-05-12,"nowcast",1,9,3,6,6,6.043,"Paraná"
2020-05-13,"nowcast",2,10,3,6,6,6.241,"Paraná"
2020-05-14,"nowcast",2,10,4,7,6,6.616,"Paraná"
2020-05-15,"nowcast",3,11,5,8,7,7.107,"Paraná"
2020-05-16,"nowcast",3,11,5,8,7,7.347,"Paraná"
2020-05-17,"nowcast",3,12,6,9,8,7.973,"Paraná"
2020-05-18,"nowcast",3,12,6,9,8,8.211,"Paraná"
2020-05-19,"nowcast",4,13,7,10,8,8.618,"Paraná"
2020-05-20,"nowcast",3,13,5,9,9,9.122,"Paraná"
2020-05-21,"nowcast",5,15,6,10,10,9.705,"Paraná"
2020-05-22,"nowcast",5,15,7,11,10,10.057,"Paraná"
2020-05-23,"nowcast",5,15,7,11,11,10.708,"Paraná"
2020-05-24,"nowcast",5,16,8,12,11,11.256,"Paraná"
2020-05-25,"nowcast",5,17,9,13,12,12.265,"Paraná"
2020-05-26,"nowcast",6,18,8,13,12,12.508,"Paraná"
2020-05-27,"nowcast",6,18,10,14,13,13.194,"Paraná"
2020-05-28,"nowcast",8,20,9,14,14,13.818,"Paraná"
2020-05-29,"nowcast",9,21,10,15,15,14.647,"Paraná"
2020-05-30,"nowcast",8,20,11,16,15,14.984,"Paraná"
2020-05-31,"nowcast",8,21,11,16,15,15.551,"Paraná"
2020-06-01,"nowcast",9,22,12,17,16,16.492,"Paraná"
2020-06-02,"nowcast",9,23,13,18,17,16.974,"Paraná"
2020-06-03,"nowcast",11,24,14,19,18,17.897,"Paraná"
2020-06-04,"nowcast",11,25,15,20,18,18.364,"Paraná"
2020-06-05,"nowcast",12,26,16,21,19,19.092,"Paraná"
2020-06-06,"nowcast",13,27,16,21,19,19.681,"Paraná"
2020-06-07,"nowcast",12,26,17,22,20,20.325,"Paraná"
2020-06-08,"nowcast",13,28,15,21,21,20.835,"Paraná"
2020-06-09,"nowcast",13,28,16,22,21,21.466,"Paraná"
2020-06-10,"nowcast",15,30,17,23,22,22.221,"Paraná"
2020-06-11,"nowcast",14,30,17,23,22,22.619,"Paraná"
2020-06-12,"nowcast",15,30,18,24,23,23.191,"Paraná"
2020-06-13,"nowcast",16,31,20,26,24,23.702,"Paraná"
2020-06-14,"nowcast",16,32,20,26,25,24.713,"Paraná"
2020-06-15,"nowcast",17,33,22,28,25,25.395,"Paraná"
2020-06-16,"nowcast",18,34,21,28,26,26.018,"Paraná"
2020-06-17,"nowcast",17,35,22,29,27,27.316,"Paraná"
2020-06-18,"nowcast",19,36,23,30,28,28.023,"Paraná"
2020-06-19,"nowcast",19,37,23,30,29,28.956,"Paraná"
2020-06-20,"nowcast",19,38,23,31,30,29.662,"Paraná"
2020-06-21,"nowcast",21,40,24,32,31,30.99,"Paraná"
2020-06-22,"nowcast",20,41,26,34,32,32.24,"Paraná"
2020-06-23,"nowcast",22,44,28,36,33,33.509,"Paraná"
2020-06-24,"nowcast",23,45,30,38,35,35.071,"Paraná"
2020-06-25,"nowcast",23,46,29,38,36,36.541,"Paraná"
2020-06-26,"nowcast",25,49,33,42,38,38.219,"Paraná"
2020-06-27,"nowcast",26,52,31,41,39,39.835,"Paraná"
2020-06-28,"forecast",23,59,30,44,40,41.5334,"Paraná"
2020-06-29,"forecast",22,63,30,46,42,43.3246,"Paraná"
2020-06-30,"forecast",23,67,30,48,44,45.15,"Paraná"
2020-07-01,"forecast",23,74,32,51,45,47.2142,"Paraná"
2020-07-02,"forecast",19,75,32,53,47,49.1178,"Paraná"
2020-07-03,"forecast",18,80,29,53,49,51.411,"Paraná"
2020-07-04,"forecast",18,85,31,56,50,53.4548,"Paraná"
2020-07-05,"forecast",17,91,29,57,52,56.0936,"Paraná"
2020-07-06,"forecast",15,95,34,63,54,58.6784,"Paraná"
2020-07-07,"forecast",15,103,29,62,56,61.8652,"Paraná"
2020-07-08,"forecast",19,112,33,66,57,64.327,"Paraná"
2020-07-09,"forecast",12,116,29,66,59,67.4076,"Paraná"
2020-07-10,"forecast",16,127,31,70,62,70.7326,"Paraná"
2020-07-11,"forecast",12,134,36,76,64,74.4456,"Paraná"
