"region","date","type","bottom","top","lower","upper","median","mean","std","prob_control"
"Pará",2020-04-14,"nowcast",1.06716104009248,1.7829110981048,1.23894168871296,1.51186412405948,1.41115851661579,1.43142979408883,0.225651300747257,0.0158415841584158
"Pará",2020-04-15,"nowcast",1.08648915828361,1.74705158022247,1.26581443969249,1.50992705462346,1.39522381120612,1.40989414629331,0.206269991794485,0.0195459032576505
"Pará",2020-04-16,"nowcast",1.09252070037697,1.72836955157607,1.24993083515192,1.48256360970191,1.39087687772775,1.4077911906697,0.197266477947358,0.0167322834645669
"Pará",2020-04-17,"nowcast",1.07515072408168,1.70341843055649,1.26218362162161,1.500311696391,1.38471454477652,1.39726935342442,0.194079636861501,0.0149459193706981
"Pará",2020-04-18,"nowcast",1.09023091769183,1.67981549559967,1.24811456596972,1.47079266515104,1.36708864397696,1.38049761349455,0.182358114666705,0.0124876114965312
"Pará",2020-04-19,"nowcast",1.09030740745475,1.6644526405299,1.25992960854408,1.47157933025008,1.35359301068874,1.36558031343259,0.17876918328641,0.0163546798029557
"Pará",2020-04-20,"nowcast",1.08240951209386,1.60633382863915,1.24218162384583,1.44388688612553,1.34154243640388,1.34978264730869,0.163018871536252,0.0121031746031746
"Pará",2020-04-21,"nowcast",1.07931473412867,1.58782064262346,1.21955413803301,1.41066393801813,1.32254409375186,1.32998667512715,0.156272530301413,0.0158572844400396
"Pará",2020-04-22,"nowcast",1.0751562173847,1.57298856591987,1.21073491997983,1.39865949337587,1.30662396095809,1.31507898513287,0.15256407332498,0.0140733399405352
"Pará",2020-04-23,"nowcast",1.07039673594713,1.540085575775,1.18811857411821,1.3670763052539,1.29522712142537,1.30283097747912,0.145557531972184,0.0146534653465347
"Pará",2020-04-24,"nowcast",1.06025218145274,1.5193718242852,1.1935077457792,1.3715271575395,1.28627125943474,1.29140956329797,0.143158537551572,0.0178748758689176
"Pará",2020-04-25,"nowcast",1.05772288279163,1.48855242574265,1.18559464511493,1.3503694846587,1.27312773590104,1.27838270045247,0.134035900448734,0.0193867457962413
"Pará",2020-04-26,"nowcast",1.06116047945805,1.4792450166097,1.18101690146125,1.34253385664682,1.25868272791416,1.26651057112328,0.129008243073574,0.0153241650294695
"Pará",2020-04-27,"nowcast",1.05246664696138,1.45305865996101,1.15373170532531,1.30802129900235,1.24757641865993,1.2499509919171,0.122342912579451,0.020990099009901
"Pará",2020-04-28,"nowcast",1.03026339688951,1.42103398148421,1.1588817576043,1.31155612248456,1.23263906600478,1.23362659418021,0.118986529358985,0.0261645193260654
"Pará",2020-04-29,"nowcast",1.03878776649136,1.42167049343297,1.14386284118579,1.29300364548982,1.2165091704553,1.22114356240867,0.117343948652655,0.0293596059113301
"Pará",2020-04-30,"nowcast",1.03415727147966,1.3947688093699,1.13903768764913,1.28224294134871,1.21143018513308,1.21623330825911,0.113166488979415,0.0267062314540059
"Pará",2020-05-01,"nowcast",1.01401187203855,1.37887298110804,1.11781359015943,1.25600427925842,1.19727139522617,1.20175550196574,0.110166559105306,0.0323212536728697
"Pará",2020-05-02,"nowcast",1.02439977439012,1.38090361864512,1.12332574132044,1.26190620023499,1.18805934494769,1.19155791212738,0.109771251311088,0.0346878097125867
"Pará",2020-05-03,"nowcast",1.0149705375871,1.34579363864544,1.11644655582392,1.24252652695725,1.1744809690746,1.17377955877943,0.102471038855966,0.0458374142997062
"Pará",2020-05-04,"nowcast",0.996895546432097,1.33088194926691,1.10390367955418,1.23314959455119,1.15933482661709,1.15843023917542,0.10281016428108,0.0609731876861966
"Pará",2020-05-05,"nowcast",0.989421646260907,1.30330066774439,1.09221102851248,1.21913573882479,1.14484802418315,1.14391803920314,0.0970654012226978,0.0706231454005935
"Pará",2020-05-06,"nowcast",0.966111625114508,1.28470022372291,1.07646393810361,1.197566747789,1.13169971066223,1.13070844149678,0.0956982911014264,0.0856577645895153
"Pará",2020-05-07,"nowcast",0.964819658826656,1.26527723744959,1.05105120138243,1.16919265811446,1.11633753573826,1.11607146333854,0.0924157197858844,0.102089552238806
"Pará",2020-05-08,"nowcast",0.961297587602413,1.24408968735089,1.04896210963862,1.15818519385157,1.09896290138263,1.09935318456138,0.0879638667211811,0.117635467980296
"Pará",2020-05-09,"nowcast",0.946954547806422,1.22182782543993,1.04330318112556,1.14975945772468,1.08684929521317,1.08458908719843,0.0846224282991095,0.150793650793651
"Pará",2020-05-10,"nowcast",0.935238990766401,1.19698159085799,1.02576078891787,1.12627281111839,1.06771484569942,1.06673748543302,0.080871640436834,0.192437810945274
