"region","date","type","bottom","top","lower","upper","median","mean"
"Rondônia",2020-02-05,"nowcast",1,1,1,1,1,1
"Rondônia",2020-02-06,"nowcast",0,0,0,0,0,0
"Rondônia",2020-02-07,"nowcast",0,0,0,0,0,0
"Rondônia",2020-02-08,"nowcast",0,1,0,1,0.5,0.5
"Rondônia",2020-02-09,"nowcast",0,1,0,1,0.5,0.5
"Rondônia",2020-02-10,"nowcast",0,1,0,1,0.5,0.5
"Rondônia",2020-02-11,"nowcast",0,1,0,1,0.5,0.5
"Rondônia",2020-02-12,"nowcast",0,0,0,0,0,0
"Rondônia",2020-02-13,"nowcast",0,1,0,0,0,0.333333333333333
"Rondônia",2020-02-14,"nowcast",0,1,0,0,0,0.4
"Rondônia",2020-02-15,"nowcast",0,1,0,0,0,0.285714285714286
"Rondônia",2020-02-16,"nowcast",0,1,0,0,0,0.444444444444444
"Rondônia",2020-02-17,"nowcast",0,1,0,0,0,0.272727272727273
"Rondônia",2020-02-18,"nowcast",0,1,0,0,0,0.411764705882353
"Rondônia",2020-02-19,"nowcast",0,1,0,0,0,0.277777777777778
"Rondônia",2020-02-20,"nowcast",0,1,0,0,0,0.238095238095238
"Rondônia",2020-02-21,"nowcast",0,0,0,0,0,0.0869565217391304
"Rondônia",2020-02-22,"nowcast",0,1,0,0,0,0.241379310344828
"Rondônia",2020-02-23,"nowcast",0,1,0,0,0,0.2
"Rondônia",2020-02-24,"nowcast",0,1,0,0,0,0.170731707317073
"Rondônia",2020-02-25,"nowcast",0,1,0,0,0,0.224489795918367
"Rondônia",2020-02-26,"nowcast",0,1,0,0,0,0.157894736842105
"Rondônia",2020-02-27,"nowcast",0,1,0,0,0,0.158730158730159
"Rondônia",2020-02-28,"nowcast",0,1,0,0,0,0.142857142857143
"Rondônia",2020-02-29,"nowcast",0,1,0,0,0,0.229885057471264
"Rondônia",2020-03-01,"nowcast",0,1,0,0,0,0.158415841584158
"Rondônia",2020-03-02,"nowcast",0,1,0,0,0,0.176991150442478
"Rondônia",2020-03-03,"nowcast",0,1,0,0,0,0.16
"Rondônia",2020-03-04,"nowcast",0,1,0,0,0,0.163120567375887
"Rondônia",2020-03-05,"nowcast",0,1,0,0,0,0.207317073170732
"Rondônia",2020-03-06,"nowcast",0,1,0,0,0,0.229946524064171
"Rondônia",2020-03-07,"nowcast",0,1,0,0,0,0.207547169811321
"Rondônia",2020-03-08,"nowcast",0,1,0,0,0,0.236947791164659
"Rondônia",2020-03-09,"nowcast",0,1,0,0,0,0.214545454545455
"Rondônia",2020-03-10,"nowcast",0,1,0,0,0,0.247619047619048
"Rondônia",2020-03-11,"nowcast",0,1,0,0,0,0.211267605633803
"Rondônia",2020-03-12,"nowcast",0,1,0,0,0,0.197402597402597
"Rondônia",2020-03-13,"nowcast",0,1,0,0,0,0.188095238095238
"Rondônia",2020-03-14,"nowcast",0,1,0,0,0,0.230769230769231
"Rondônia",2020-03-15,"nowcast",0,1,0,0,0,0.235849056603774
"Rondônia",2020-03-16,"nowcast",0,1,0,0,0,0.248677248677249
"Rondônia",2020-03-17,"nowcast",0,1,0,0,0,0.2448
"Rondônia",2020-03-18,"nowcast",0,1,0,0,0,0.247787610619469
"Rondônia",2020-03-19,"nowcast",0,1,0,0,0,0.238227146814404
"Rondônia",2020-03-20,"nowcast",0,1,0,0,0,0.257595772787318
"Rondônia",2020-03-21,"nowcast",0,1,0,0,0,0.281987577639752
"Rondônia",2020-03-22,"nowcast",0,1,0,0,0,0.303980699638118
"Rondônia",2020-03-23,"nowcast",0,1,0,0,0,0.307339449541284
"Rondônia",2020-03-24,"nowcast",0,1,0,0,0,0.324053452115813
"Rondônia",2020-03-25,"nowcast",0,1,0,0,0,0.359782608695652
"Rondônia",2020-03-26,"nowcast",0,1,0,0,0,0.337234042553192
"Rondônia",2020-03-27,"nowcast",0,1,0,0,0,0.381400208986416
"Rondônia",2020-03-28,"nowcast",0,1,0,0,0,0.391933815925543
"Rondônia",2020-03-29,"nowcast",0,1,0,0,0,0.431654676258993
"Rondônia",2020-03-30,"nowcast",0,1,0,0,0,0.477596741344195
"Rondônia",2020-03-31,"nowcast",0,2,0,0,0,0.563323201621074
"Rondônia",2020-04-01,"nowcast",0,2,0,0,0,0.617558022199798
"Rondônia",2020-04-02,"nowcast",0,2,0,1,1,0.695171026156942
"Rondônia",2020-04-03,"nowcast",0,2,0,1,1,0.746238716148445
