"date","type","bottom","top","lower","upper","median","mean","region"
2020-01-26,"nowcast",1,1,1,1,1,1,"RN-Natal"
2020-01-27,"nowcast",0,0,0,0,0,0,"RN-Natal"
2020-01-28,"nowcast",0,0,0,0,0,0,"RN-Natal"
2020-01-29,"nowcast",0,0,0,0,0,0,"RN-Natal"
2020-01-30,"nowcast",0,0,0,0,0,0,"RN-Natal"
2020-01-31,"nowcast",1,1,1,1,1,1,"RN-Natal"
2020-02-01,"nowcast",0,0,0,0,0,0,"RN-Natal"
2020-02-02,"nowcast",0,0,0,0,0,0,"RN-Natal"
2020-02-03,"nowcast",0,0,0,0,0,0,"RN-Natal"
2020-02-04,"nowcast",0,0,0,0,0,0,"RN-Natal"
2020-02-05,"nowcast",0,0,0,0,0,0,"RN-Natal"
2020-02-06,"nowcast",0,1,1,1,1,0.666666666666667,"RN-Natal"
2020-02-07,"nowcast",0,1,0,0,0,0.25,"RN-Natal"
2020-02-08,"nowcast",0,1,0,0,0,0.4,"RN-Natal"
2020-02-09,"nowcast",0,1,0,0,0,0.166666666666667,"RN-Natal"
2020-02-10,"nowcast",0,0,0,0,0,0,"RN-Natal"
2020-02-11,"nowcast",0,1,0,0,0,0.142857142857143,"RN-Natal"
2020-02-12,"nowcast",0,1,0,0,0,0.333333333333333,"RN-Natal"
2020-02-13,"nowcast",0,1,0,0,0,0.333333333333333,"RN-Natal"
2020-02-14,"nowcast",0,1,0,0,0,0.368421052631579,"RN-Natal"
2020-02-15,"nowcast",0,1,0,0,0,0.260869565217391,"RN-Natal"
2020-02-16,"nowcast",0,1,0,0,0,0.214285714285714,"RN-Natal"
2020-02-17,"nowcast",0,1,0,0,0,0.277777777777778,"RN-Natal"
2020-02-18,"nowcast",0,1,0,0,0,0.354166666666667,"RN-Natal"
2020-02-19,"nowcast",0,1,0,0,0,0.283333333333333,"RN-Natal"
2020-02-20,"nowcast",0,1,0,0,0,0.236842105263158,"RN-Natal"
2020-02-21,"nowcast",0,1,0,0,0,0.306122448979592,"RN-Natal"
2020-02-22,"nowcast",0,1,0,0,0,0.341085271317829,"RN-Natal"
2020-02-23,"nowcast",0,1,0,0,0,0.29746835443038,"RN-Natal"
