"region","date","type","bottom","top","lower","upper","median","mean"
"Acre",2020-01-31,"nowcast",1,1,1,1,1,1
"Acre",2020-02-01,"nowcast",0,0,0,0,0,0
"Acre",2020-02-02,"nowcast",0,0,0,0,0,0
"Acre",2020-02-03,"nowcast",0,0,0,0,0,0
"Acre",2020-02-04,"nowcast",0,0,0,0,0,0
"Acre",2020-02-05,"nowcast",0,0,0,0,0,0
"Acre",2020-02-06,"nowcast",0,0,0,0,0,0
"Acre",2020-02-07,"nowcast",0,1,1,1,1,0.666666666666667
"Acre",2020-02-08,"nowcast",0,0,0,0,0,0
"Acre",2020-02-09,"nowcast",0,1,0,0,0,0.25
"Acre",2020-02-10,"nowcast",0,1,0,0,0,0.2
"Acre",2020-02-11,"nowcast",0,1,0,0,0,0.285714285714286
"Acre",2020-02-12,"nowcast",0,1,0,0,0,0.125
"Acre",2020-02-13,"nowcast",0,1,0,0,0,0.363636363636364
"Acre",2020-02-14,"nowcast",0,1,0,0,0,0.266666666666667
"Acre",2020-02-15,"nowcast",0,1,0,0,0,0.3
"Acre",2020-02-16,"nowcast",0,1,0,0,0,0.217391304347826
"Acre",2020-02-17,"nowcast",0,1,0,0,0,0.3
"Acre",2020-02-18,"nowcast",0,1,0,0,0,0.375
"Acre",2020-02-19,"nowcast",0,1,0,0,0,0.396551724137931
"Acre",2020-02-20,"nowcast",0,1,0,0,0,0.23943661971831
"Acre",2020-02-21,"nowcast",0,1,0,0,0,0.354838709677419
"Acre",2020-02-22,"nowcast",0,1,0,0,0,0.363636363636364
"Acre",2020-02-23,"nowcast",0,1,0,0,0,0.364779874213836
"Acre",2020-02-24,"nowcast",0,1,0,0,0,0.252577319587629
"Acre",2020-02-25,"nowcast",0,1,0,0,0,0.392996108949416
"Acre",2020-02-26,"nowcast",0,1,0,0,0,0.358974358974359
"Acre",2020-02-27,"nowcast",0,1,0,0,0,0.433249370277078
"Acre",2020-02-28,"nowcast",0,1,0,0,0,0.369978858350951
"Acre",2020-02-29,"nowcast",0,1,0,0,0,0.411873840445269
"Acre",2020-03-01,"nowcast",0,1,0,0,0,0.453808752025932
"Acre",2020-03-02,"nowcast",0,1,0,0,0,0.533333333333333
"Acre",2020-03-03,"nowcast",0,1,0,0,0,0.501288659793814
"Acre",2020-03-04,"nowcast",0,2,0,0,0,0.589712918660287
"Acre",2020-03-05,"nowcast",0,2,0,1,1,0.728908886389201
"Acre",2020-03-06,"nowcast",0,2,0,1,1,0.848975188781014
"Acre",2020-03-07,"nowcast",0,2,0,1,1,0.946708463949843
"Acre",2020-03-08,"nowcast",0,2,0,1,1,1.08282208588957
"Acre",2020-03-09,"nowcast",0,3,0,1,1,1.29726996966633
"Acre",2020-03-10,"nowcast",0,3,0,1,1,1.6327967806841
"Acre",2020-03-11,"nowcast",0,4,1,2,2,1.74148296593186
"Acre",2020-03-12,"nowcast",0,4,1,2,2,2.024
"Acre",2020-03-13,"nowcast",0,4,0,2,2,2.197
"Acre",2020-03-14,"nowcast",0,5,0,2,2,2.376
"Acre",2020-03-15,"nowcast",0,5,2,3,2,2.565
"Acre",2020-03-16,"nowcast",0,5,1,3,3,2.76
"Acre",2020-03-17,"nowcast",0,5,1,3,3,2.887
"Acre",2020-03-18,"nowcast",0,5,1,3,3,2.821
"Acre",2020-03-19,"nowcast",0,5,1,3,3,2.936
"Acre",2020-03-20,"nowcast",0,5,1,3,3,3.11
"Acre",2020-03-21,"nowcast",0,5,1,3,3,3.029
"Acre",2020-03-22,"nowcast",1,6,1,3,3,3.165
"Acre",2020-03-23,"nowcast",1,6,1,3,3,3.238
"Acre",2020-03-24,"nowcast",1,6,1,3,3,3.41
"Acre",2020-03-25,"nowcast",0,6,2,4,3,3.507
"Acre",2020-03-26,"nowcast",1,6,2,4,3,3.58
"Acre",2020-03-27,"nowcast",1,6,2,4,4,3.709
"Acre",2020-03-28,"nowcast",1,7,2,4,4,3.863
"Acre",2020-03-29,"nowcast",1,7,2,4,4,4.042
"Acre",2020-03-30,"nowcast",1,8,1,4,4,4.571
"Acre",2020-03-31,"nowcast",2,9,2,5,5,5.294
"Acre",2020-04-01,"nowcast",2,10,3,6,6,6.149
"Acre",2020-04-02,"nowcast",2,11,5,8,7,7.144
"Acre",2020-04-03,"nowcast",2,12,4,8,8,8.29
"Acre",2020-04-04,"nowcast",4,14,6,10,9,9.08
"Acre",2020-04-05,"nowcast",5,16,7,11,10,10.2
"Acre",2020-04-06,"nowcast",6,17,8,12,11,11.19
"Acre",2020-04-07,"nowcast",6,18,9,13,12,12.263
"Acre",2020-04-08,"nowcast",7,20,10,15,14,13.719
"Acre",2020-04-09,"nowcast",8,22,11,16,15,15.363
"Acre",2020-04-10,"nowcast",9,24,12,18,17,16.852
"Acre",2020-04-11,"nowcast",11,26,14,20,18,18.282
"Acre",2020-04-12,"nowcast",12,29,14,21,20,20.422
"Acre",2020-04-13,"nowcast",11,30,16,23,22,22.102
"Acre",2020-04-14,"nowcast",13,34,17,25,24,24.397
"Acre",2020-04-15,"nowcast",15,37,19,28,26,26.951
"Acre",2020-04-16,"nowcast",18,41,25,34,30,30.102
"Acre",2020-04-17,"nowcast",21,46,25,35,32,32.992
"Acre",2020-04-18,"nowcast",23,49,27,38,36,36.467
"Acre",2020-04-19,"nowcast",26,55,31,43,41,41.424
"Acre",2020-04-20,"nowcast",32,63,36,49,46,46.506
"Acre",2020-04-21,"nowcast",34,67,43,56,52,52.723
"Acre",2020-04-22,"nowcast",40,75,47,62,59,59.256
"Acre",2020-04-23,"nowcast",47,84,56,71,66,66.585
"Acre",2020-04-24,"nowcast",52,89,63,77,73,73.122
"Acre",2020-04-25,"nowcast",60,98,70,86,80,80.501
"Acre",2020-04-26,"nowcast",69,106,76,91,87,87.699
"Acre",2020-04-27,"nowcast",77,114,83,98,93,94.297
"Acre",2020-04-28,"nowcast",80,118,91,106,100,100.218
"Acre",2020-04-29,"nowcast",84,124,95,111,105,105.856
"Acre",2020-04-30,"nowcast",88,129,101,117,111,110.411
"Acre",2020-05-01,"nowcast",89,133,103,120,114,114.428
"Acre",2020-05-02,"nowcast",97,143,106,124,118,119.393
"Acre",2020-05-03,"nowcast",100,148,109,128,123,124.281
"Acre",2020-05-04,"nowcast",103,155,118,139,129,129.502
"Acre",2020-05-05,"nowcast",106,162,119,142,135,135.544
"Acre",2020-05-06,"nowcast",110,171,127,151,142,142.34
"Acre",2020-05-07,"nowcast",113,181,133,162,151,151.981
"Acre",2020-05-08,"nowcast",132,202,145,174,163,164.07
"Acre",2020-05-09,"nowcast",142,217,161,190,179,179.762
"Acre",2020-05-10,"nowcast",161,233,181,212,196.5,197.393
