"region","date","type","bottom","top","lower","upper","median","mean","std","prob_control"
"Amazonas",2020-03-22,"nowcast",1.22118829342293,2.04992663751543,1.43629603020282,1.7610342781748,1.61215676508304,1.63346482932428,0.257084548636062,0.00315581854043392
"Amazonas",2020-03-23,"nowcast",1.2284664735017,1.98363701577739,1.42696213400573,1.71945636831753,1.60318401612313,1.6196977343784,0.234611067932668,0.00117762512266928
"Amazonas",2020-03-24,"nowcast",1.24218334231089,1.95762416391752,1.43536000747175,1.7037929173115,1.58088879151091,1.59970576926952,0.223534721033935,0.00216748768472906
"Amazonas",2020-03-25,"nowcast",1.21857446416651,1.88197156598345,1.40146613762803,1.66598382963776,1.56449226570074,1.57779138470737,0.208097495356117,0.000791295746785361
"Amazonas",2020-03-26,"nowcast",1.21865276983646,1.86789135486328,1.37537539545397,1.62213281300507,1.54105103759545,1.55654597987493,0.207388948816543,0.00297324083250743
"Amazonas",2020-03-27,"nowcast",1.25850965738475,1.87488002715964,1.40019207181954,1.6376736396935,1.53912242217044,1.5562533732073,0.191616479835622,0.000592300098716683
"Amazonas",2020-03-28,"nowcast",1.25849578687158,1.83763929696311,1.39305067418182,1.63457728482266,1.53702336403284,1.54357531101083,0.182421039418347,0.000593471810089021
"Amazonas",2020-03-29,"nowcast",1.24010137572243,1.7912158726669,1.39314836146781,1.60490211697009,1.51451875769531,1.52444546603726,0.168261478925955,0.000394477317554241
"Amazonas",2020-03-30,"nowcast",1.24734007744889,1.78183882946466,1.38683492379483,1.58652398902207,1.49121031883379,1.50162916953672,0.162372997045427,0
"Amazonas",2020-03-31,"nowcast",1.21020501656776,1.72934756545062,1.35199708310923,1.55085171985049,1.4677547497266,1.47260359377371,0.15709524318234,0.000198609731876862
"Amazonas",2020-04-01,"nowcast",1.193504080697,1.67486421094516,1.31804289617933,1.50627121098592,1.43184598105592,1.43727088832773,0.147420565722786,0.000398406374501992
"Amazonas",2020-04-02,"nowcast",1.1757663234836,1.61772211323966,1.29919734540241,1.476397362101,1.3872539774186,1.38805134260942,0.137113797873105,0.00199401794616152
"Amazonas",2020-04-03,"nowcast",1.11946254027668,1.53177478443402,1.23540312420999,1.40236764984789,1.33587299992982,1.33755078691114,0.127050494095752,0.00278884462151394
"Amazonas",2020-04-04,"nowcast",1.09345766760422,1.48279186125845,1.22874650273244,1.37935877000941,1.2921660761017,1.29084807442135,0.117187316262049,0.00611439842209073
"Amazonas",2020-04-05,"nowcast",1.07609181245376,1.43377348989939,1.19828015304217,1.34340774287943,1.25945014201715,1.25609276835719,0.110373869406266,0.0142433234421365
"Amazonas",2020-04-06,"nowcast",1.05205958491991,1.39605944182536,1.16305997477431,1.29686143446779,1.2361480777167,1.23663134731391,0.104711351130534,0.0138613861386139
"Amazonas",2020-04-07,"nowcast",1.06906090415613,1.39392186087056,1.17761823430142,1.30377715829217,1.23114899957779,1.23057367274089,0.0997611877015841,0.0134387351778656
"Amazonas",2020-04-08,"nowcast",1.08159711485848,1.37924414701538,1.16667413020863,1.28225278313928,1.22819956445509,1.22951443555362,0.0909413332459772,0.00776892430278884
"Amazonas",2020-04-09,"nowcast",1.09845711707726,1.3883483408328,1.18979334324297,1.30061397254831,1.23879737620435,1.24196835032559,0.0889022263392604,0.00318407960199005
"Amazonas",2020-04-10,"nowcast",1.11354984464604,1.40643257475509,1.18782887529838,1.3047552219147,1.24893400622507,1.25542388840921,0.0915153132655164,0.000987166831194472
"Amazonas",2020-04-11,"nowcast",1.12932848005061,1.42150727490352,1.20144105512525,1.31288062825746,1.26380474813695,1.27071501039238,0.0897357811733959,0
"Amazonas",2020-04-12,"nowcast",1.14164147802702,1.43405785875641,1.20994178019967,1.32522099561282,1.28148198534705,1.28629975221395,0.0902979598428372,0
"Amazonas",2020-04-13,"nowcast",1.16324557443847,1.45215664358905,1.24330279611836,1.35894412169239,1.30008407893275,1.3065286871903,0.0907564945754769,0
"Amazonas",2020-04-14,"nowcast",1.19577499763739,1.48473954486126,1.26161767666428,1.3744207927654,1.32400372149008,1.32991412275545,0.0890270722099744,0
"Amazonas",2020-04-15,"nowcast",1.21001279522906,1.49695994324877,1.28427236117514,1.39894084523532,1.34874426337512,1.35513550027799,0.0898519909516697,0
"Amazonas",2020-04-16,"nowcast",1.23458931155918,1.52344149029079,1.30235419969166,1.41777744423379,1.37063284349747,1.3770992625718,0.0903584816912309,0
"Amazonas",2020-04-17,"nowcast",1.23974726039274,1.5275653740747,1.31159195942441,1.42487612445813,1.37940639064506,1.38728481679786,0.0892822407294147,0
"Amazonas",2020-04-18,"nowcast",1.24854880410452,1.53280092441689,1.32469776306496,1.43733247382067,1.3871656096228,1.39326277550327,0.0897094331694024,0
"Amazonas",2020-04-19,"nowcast",1.23986558614156,1.51567795648589,1.32949214677574,1.43965656906711,1.38656965654129,1.39045300315193,0.0856507338941821,0
"Amazonas",2020-04-20,"nowcast",1.24768366261523,1.50853422241528,1.31472513807672,1.41682836259877,1.37460213721466,1.37832742785299,0.0803467891786225,0
"Amazonas",2020-04-21,"nowcast",1.22132672226675,1.49408475667787,1.28326419489984,1.39637577889244,1.35368564055936,1.3569897005891,0.0849666734325733,0
"Amazonas",2020-04-22,"nowcast",1.21251239089703,1.4701056801717,1.27679953549049,1.37834169822531,1.34388826634292,1.34531421831494,0.0789251577179316,0
"Amazonas",2020-04-23,"nowcast",1.2079258743647,1.45801167113797,1.29171524574611,1.39299155767529,1.33475243191883,1.33618815306135,0.0774216024179109,0
"Amazonas",2020-04-24,"nowcast",1.21852126173576,1.45450969196746,1.29004631844789,1.38762929115618,1.33479233031262,1.33555693194911,0.0737844772098813,0
"Amazonas",2020-04-25,"nowcast",1.21489305940217,1.44796506534513,1.29369510976666,1.38726088778064,1.33382766753795,1.33608650837421,0.0713089347006174,0
"Amazonas",2020-04-26,"nowcast",1.22000200129607,1.45174510890552,1.28809829191645,1.37875135746654,1.33181019549889,1.33510464417382,0.0705673131029021,0
"Amazonas",2020-04-27,"nowcast",1.21616817990475,1.43787979872851,1.28734527652119,1.37782850324566,1.32458048374686,1.32595540983517,0.0690616832194656,0
"Amazonas",2020-04-28,"nowcast",1.20521197135813,1.42903876592279,1.268213896309,1.35893014547916,1.31492538923464,1.31677632792795,0.0698396702050179,0
"Amazonas",2020-04-29,"nowcast",1.19083638748589,1.41524831083934,1.24840301037694,1.33529953334788,1.30137038936692,1.30346663779706,0.068920698429521,0
"Amazonas",2020-04-30,"nowcast",1.18166198403345,1.4045754957235,1.24284071098757,1.33232686375003,1.28301587871566,1.28772954833302,0.0684943343513776,0
"Amazonas",2020-05-01,"nowcast",1.16475995755016,1.37872552025539,1.21446943683295,1.30117024467507,1.26715734035335,1.26954603023639,0.0659837426006581,0
"Amazonas",2020-05-02,"nowcast",1.14293680689033,1.34432400359349,1.19915298001985,1.27773674746419,1.24206700708916,1.24353853858287,0.0613981127432015,0
"Amazonas",2020-05-03,"nowcast",1.11890158149889,1.30836227168287,1.17665288926678,1.25186572285796,1.21586596442746,1.21715023718888,0.0581907572935262,0
"Amazonas",2020-05-04,"nowcast",1.11371135221757,1.2842268268447,1.15666987082994,1.22335714433991,1.19245800944332,1.19428284417284,0.0523401301267679,0.000199401794616152
"Amazonas",2020-05-05,"nowcast",1.09193297310444,1.25722931661062,1.14080235129471,1.20770871124676,1.17504955130028,1.17614741189179,0.0502487620746833,0.0003996003996004
"Amazonas",2020-05-06,"nowcast",1.0947827142212,1.25001116652112,1.13342668497729,1.19296518217532,1.16446522751194,1.1664024513656,0.0467864342360327,0
