"region","date","type","bottom","top","lower","upper","median","mean"
"Goiás",2019-11-18,"nowcast",1,1,1,1,1,1
"Goiás",2019-11-19,"nowcast",0,0,0,0,0,0
"Goiás",2019-11-20,"nowcast",0,1,0,1,0.5,0.5
"Goiás",2019-11-21,"nowcast",0,0,0,0,0,0
"Goiás",2019-11-22,"nowcast",0,0,0,0,0,0
"Goiás",2019-11-23,"nowcast",0,1,0,0,0,0.333333333333333
"Goiás",2019-11-24,"nowcast",0,1,0,0,0,0.333333333333333
"Goiás",2019-11-25,"nowcast",0,1,0,0,0,0.25
"Goiás",2019-11-26,"nowcast",0,1,0,0,0,0.2
"Goiás",2019-11-27,"nowcast",0,0,0,0,0,0
"Goiás",2019-11-28,"nowcast",0,1,0,0,0,0.166666666666667
"Goiás",2019-11-29,"nowcast",0,1,0,0,0,0.166666666666667
"Goiás",2019-11-30,"nowcast",0,1,0,0,0,0.285714285714286
"Goiás",2019-12-01,"nowcast",0,1,0,0,0,0.125
"Goiás",2019-12-02,"nowcast",0,1,0,0,0,0.111111111111111
"Goiás",2019-12-03,"nowcast",0,1,0,0,0,0.272727272727273
"Goiás",2019-12-04,"nowcast",0,1,0,0,0,0.153846153846154
"Goiás",2019-12-05,"nowcast",0,1,0,0,0,0.333333333333333
"Goiás",2019-12-06,"nowcast",0,1,0,0,0,0.222222222222222
"Goiás",2019-12-07,"nowcast",0,1,0,0,0,0.25
"Goiás",2019-12-08,"nowcast",0,1,0,0,0,0.181818181818182
"Goiás",2019-12-09,"nowcast",0,1,0,0,0,0.28
"Goiás",2019-12-10,"nowcast",0,1,0,0,0,0.172413793103448
"Goiás",2019-12-11,"nowcast",0,1,0,0,0,0.2
"Goiás",2019-12-12,"nowcast",0,1,0,0,0,0.166666666666667
"Goiás",2019-12-13,"nowcast",0,1,0,0,0,0.129032258064516
"Goiás",2019-12-14,"nowcast",0,1,0,0,0,0.151515151515152
"Goiás",2019-12-15,"nowcast",0,1,0,0,0,0.205882352941176
"Goiás",2019-12-16,"nowcast",0,1,0,0,0,0.228571428571429
"Goiás",2019-12-17,"nowcast",0,1,0,0,0,0.236842105263158
"Goiás",2019-12-18,"nowcast",0,1,0,0,0,0.409090909090909
"Goiás",2019-12-19,"nowcast",0,1,0,0,0,0.152173913043478
"Goiás",2019-12-20,"nowcast",0,1,0,0,0,0.224489795918367
"Goiás",2019-12-21,"nowcast",0,1,0,0,0,0.326923076923077
"Goiás",2019-12-22,"nowcast",0,1,0,0,0,0.236363636363636
"Goiás",2019-12-23,"nowcast",0,1,0,0,0,0.298245614035088
"Goiás",2019-12-24,"nowcast",0,1,0,0,0,0.241379310344828
"Goiás",2019-12-25,"nowcast",0,1,0,0,0,0.467741935483871
"Goiás",2019-12-26,"nowcast",0,1,0,0,0,0.492307692307692
"Goiás",2019-12-27,"nowcast",0,1,0,0,0,0.272727272727273
"Goiás",2019-12-28,"nowcast",0,1,0,0,0,0.347222222222222
"Goiás",2019-12-29,"nowcast",0,1,0,0,0,0.26027397260274
"Goiás",2019-12-30,"nowcast",0,1,0,0,0,0.44
"Goiás",2019-12-31,"nowcast",0,2,0,0,0,0.551282051282051
"Goiás",2020-01-01,"nowcast",0,1,0,0,0,0.455696202531646
"Goiás",2020-01-02,"nowcast",0,1,0,0,0,0.428571428571429
"Goiás",2020-01-03,"nowcast",0,2,0,0,0,0.558139534883721
"Goiás",2020-01-04,"nowcast",0,1,0,0,0,0.35632183908046
"Goiás",2020-01-05,"nowcast",0,1,0,0,0,0.443181818181818
"Goiás",2020-01-06,"nowcast",0,2,0,0,0,0.533333333333333
"Goiás",2020-01-07,"nowcast",0,1,0,0,0,0.576086956521739
