"region","date","type","bottom","top","lower","upper","median","mean"
"Maranhão",2019-12-07,"nowcast",1,1,1,1,1,1
"Maranhão",2019-12-08,"nowcast",0,0,0,0,0,0
"Maranhão",2019-12-09,"nowcast",0,0,0,0,0,0
"Maranhão",2019-12-10,"nowcast",0,0,0,0,0,0
"Maranhão",2019-12-11,"nowcast",0,0,0,0,0,0
"Maranhão",2019-12-12,"nowcast",1,1,1,1,1,1
"Maranhão",2019-12-13,"nowcast",0,1,1,1,1,0.666666666666667
"Maranhão",2019-12-14,"nowcast",0,0,0,0,0,0
"Maranhão",2019-12-15,"nowcast",0,0,0,0,0,0
"Maranhão",2019-12-16,"nowcast",0,1,0,0,0,0.25
"Maranhão",2019-12-17,"nowcast",0,1,0,0,0,0.25
"Maranhão",2019-12-18,"nowcast",0,1,0,0,0,0.2
"Maranhão",2019-12-19,"nowcast",0,0,0,0,0,0
"Maranhão",2019-12-20,"nowcast",0,1,0,0,0,0.2
"Maranhão",2019-12-21,"nowcast",0,1,0,0,0,0.2
"Maranhão",2019-12-22,"nowcast",0,1,0,0,0,0.333333333333333
"Maranhão",2019-12-23,"nowcast",0,1,0,0,0,0.142857142857143
"Maranhão",2019-12-24,"nowcast",0,1,0,0,0,0.125
"Maranhão",2019-12-25,"nowcast",0,1,0,0,0,0.222222222222222
"Maranhão",2019-12-26,"nowcast",0,1,0,0,0,0.1
"Maranhão",2019-12-27,"nowcast",0,1,0,0,0,0.272727272727273
"Maranhão",2019-12-28,"nowcast",0,1,0,0,0,0.357142857142857
"Maranhão",2019-12-29,"nowcast",0,1,0,0,0,0.25
"Maranhão",2019-12-30,"nowcast",0,1,0,0,0,0.176470588235294
"Maranhão",2019-12-31,"nowcast",0,1,0,0,0,0.111111111111111
"Maranhão",2020-01-01,"nowcast",0,1,0,0,0,0.210526315789474
"Maranhão",2020-01-02,"nowcast",0,1,0,0,0,0.263157894736842
"Maranhão",2020-01-03,"nowcast",0,1,0,0,0,0.1
"Maranhão",2020-01-04,"nowcast",0,1,0,0,0,0.272727272727273
"Maranhão",2020-01-05,"nowcast",0,1,0,0,0,0.181818181818182
"Maranhão",2020-01-06,"nowcast",0,1,0,0,0,0.24
"Maranhão",2020-01-07,"nowcast",0,1,0,0,0,0.214285714285714
"Maranhão",2020-01-08,"nowcast",0,1,0,0,0,0.25
"Maranhão",2020-01-09,"nowcast",0,1,0,0,0,0.428571428571429
"Maranhão",2020-01-10,"nowcast",0,1,0,0,0,0.325
"Maranhão",2020-01-11,"nowcast",0,1,0,0,0,0.409090909090909
"Maranhão",2020-01-12,"nowcast",0,1,0,0,0,0.41304347826087
"Maranhão",2020-01-13,"nowcast",0,1,0,0,0,0.36734693877551
"Maranhão",2020-01-14,"nowcast",0,1,0,0,0,0.36734693877551
"Maranhão",2020-01-15,"nowcast",0,1,0,0,0,0.365384615384615
"Maranhão",2020-01-16,"nowcast",0,2,0,0,0,0.436363636363636
"Maranhão",2020-01-17,"nowcast",0,1,0,0,0,0.491803278688525
"Maranhão",2020-01-18,"nowcast",0,1,0,0,0,0.476190476190476
"Maranhão",2020-01-19,"nowcast",0,2,0,0,0,0.584615384615385
"Maranhão",2020-01-20,"nowcast",0,1,0,0,0,0.477611940298507
"Maranhão",2020-01-21,"nowcast",0,1,0,0,0,0.376811594202899
"Maranhão",2020-01-22,"nowcast",0,1,0,0,0,0.575342465753425
"Maranhão",2020-01-23,"nowcast",0,2,0,0,0,0.527027027027027
"Maranhão",2020-01-24,"nowcast",0,2,0,0,0,0.641025641025641
"Maranhão",2020-01-25,"nowcast",0,2,0,0,0,0.585365853658537
"Maranhão",2020-01-26,"nowcast",0,2,0,0,0,0.682926829268293
"Maranhão",2020-01-27,"nowcast",0,2,0,0,0,0.823529411764706
"Maranhão",2020-01-28,"nowcast",0,2,0,0,0,0.744186046511628
"Maranhão",2020-01-29,"nowcast",0,3,0,1,1,1.05681818181818
"Maranhão",2020-01-30,"nowcast",0,3,0,1,1,1.10112359550562
"Maranhão",2020-01-31,"nowcast",0,3,0,1,1,1.18478260869565
"Maranhão",2020-02-01,"nowcast",0,3,0,1,1,1.27659574468085
"Maranhão",2020-02-02,"nowcast",0,4,0,1,1,1.47368421052632
"Maranhão",2020-02-03,"nowcast",0,4,0,1,1,1.50515463917526
"Maranhão",2020-02-04,"nowcast",0,4,0,1,1,1.49484536082474
"Maranhão",2020-02-05,"nowcast",0,5,0,1,1,1.60824742268041
"Maranhão",2020-02-06,"nowcast",0,4,0,1,1,1.70408163265306
"Maranhão",2020-02-07,"nowcast",0,5,0,1,1,1.95918367346939
"Maranhão",2020-02-08,"nowcast",0,6,0,1,1,2.16326530612245
"Maranhão",2020-02-09,"nowcast",0,6,0,2,2,2.45454545454545
"Maranhão",2020-02-10,"nowcast",0,5,0,2,2,2.36
"Maranhão",2020-02-11,"nowcast",0,7,0,2,2,2.7
"Maranhão",2020-02-12,"nowcast",0,7,0,2,2,3.08
